POA_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
POA2227,4451,4625,9080,372,374,748,1719,1863,3584,25,18,43,46,32,80,4,8,7,7,15,27,0,0,0,3,4,6,8,5,13,0,0,0,1814,1944,3763,145,165,312,36,36,76,2367,2526,4890,206,213,423,7023,7364,14392
POA2228,5002,5498,10502,560,592,1154,2867,3193,6063,28,26,55,52,48,99,10,9,17,14,12,20,5,5,10,0,7,6,17,8,28,0,0,0,2995,3302,6296,393,426,818,70,61,135,4013,4386,8401,456,427,881,9477,10304,19780
POA2229,7999,8623,16616,727,770,1498,4078,4178,8255,41,40,76,95,82,178,12,5,18,27,27,52,9,9,14,4,7,17,20,21,40,0,0,0,4278,4367,8644,365,406,771,80,62,142,5457,5602,11057,629,678,1309,14080,14897,28978
POA2230,7395,7715,15111,1347,1303,2655,4080,4319,8395,66,60,124,116,125,238,19,15,32,31,25,58,5,5,6,10,9,14,22,14,33,0,0,0,4348,4557,8910,467,546,1009,115,108,215,6271,6511,12787,643,678,1322,14313,14913,29225
POA2231,821,801,1624,120,117,240,148,162,307,0,0,0,3,5,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,154,170,325,10,13,29,9,8,16,299,312,605,56,50,104,1172,1163,2337
POA2232,9508,9952,19460,832,923,1754,4392,4671,9063,65,58,123,92,81,177,10,17,30,20,28,41,7,10,18,12,10,19,20,11,34,0,0,0,4617,4888,9510,425,534,957,118,87,206,5987,6439,12425,585,662,1249,16080,17050,33134
POA2233,9920,10263,20182,690,721,1411,2441,2651,5097,20,25,47,35,34,74,8,5,12,16,25,44,8,11,14,9,4,14,5,5,10,0,0,0,2544,2767,5312,153,167,320,48,43,93,3428,3709,7136,349,461,810,13694,14427,28123
POA2234,10324,10542,20864,790,823,1608,2568,2679,5250,18,13,31,33,35,62,4,10,10,15,14,30,3,0,8,0,0,9,18,16,29,0,0,0,2662,2771,5433,182,197,381,40,53,92,3671,3844,7515,295,321,614,14290,14708,28996
POA2250,18460,19608,38067,1788,1874,3660,8821,9364,18185,118,143,264,201,231,430,38,41,77,71,62,132,12,14,28,12,15,26,38,38,79,0,0,0,9320,9906,19227,907,987,1892,270,226,496,12287,12988,25273,1825,2138,3961,32572,34732,67301
POA2251,9637,10489,20129,898,931,1824,3622,3924,7548,60,72,126,53,56,113,9,11,16,23,32,56,11,14,24,16,13,26,14,17,28,0,0,0,3800,4130,7929,272,308,578,67,77,140,5036,5444,10471,625,756,1383,15297,16688,31983
