POA_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
POA2000,148,19,165,1864,325,15,2208,21945,2367,26520
POA2007,37,16,56,567,86,0,651,5707,568,6930
POA2008,16,3,25,535,116,0,657,8470,862,9989
POA2009,87,8,98,1549,337,21,1907,8565,886,11362
POA2010,269,63,330,1705,395,20,2128,20831,2054,25009
POA2011,299,125,418,964,374,11,1354,14278,1783,17415
POA2015,41,3,44,1559,162,20,1745,7839,538,10120
POA2016,167,45,211,1192,205,17,1413,9509,1070,11997
POA2017,177,53,233,2706,378,33,3111,21519,2077,26706
POA2018,303,35,339,2923,416,25,3361,12827,1054,17240
POA2019,111,41,155,2710,409,36,3158,7044,729,10924
POA2020,175,15,190,2785,350,24,3161,14671,1233,19057
POA2021,189,79,267,2227,355,27,2615,9694,692,12998
POA2022,267,39,306,2111,317,17,2454,8256,841,11551
POA2023,166,12,177,1860,444,25,2323,6028,414,8772
POA2024,193,204,401,2185,345,26,2560,6000,763,9320
POA2025,190,94,284,1176,281,16,1472,4241,363,6081
POA2026,364,74,449,5112,777,62,5943,20136,1951,28025
POA2027,281,57,341,949,294,14,1259,5209,492,6961
POA2028,129,19,144,689,151,13,853,3091,191,4126
POA2029,247,114,361,1709,304,20,2035,5705,556,8293
POA2030,356,69,428,2830,565,23,3423,7647,620,11690
POA2031,565,324,890,5875,729,59,6667,20179,1741,28589
POA2032,326,67,397,2133,387,11,2526,9372,763,12661
POA2033,267,20,291,1591,239,19,1851,7984,650,10488
POA2034,269,36,312,3254,549,35,3843,12328,1016,17187
POA2035,830,180,1030,5918,923,83,6927,20414,1640,28979
POA2036,557,159,728,5720,1042,60,6816,18417,2803,28039
POA2037,156,20,180,1946,385,24,2359,11552,972,14880
POA2038,119,11,133,1726,215,19,1952,5541,472,7967
POA2039,56,4,55,1643,215,14,1869,4968,237,7078
POA2040,334,93,427,4815,472,42,5327,12191,894,18419
POA2041,183,19,208,2952,458,38,3443,8946,560,12949
POA2042,123,23,145,2253,289,14,2556,13365,897,16822
POA2043,33,7,37,1309,140,19,1468,6797,344,8607
POA2044,98,6,108,1393,140,19,1550,5187,290,7028
POA2045,266,25,289,1129,179,4,1315,3948,152,5411
POA2046,705,175,885,5149,756,37,5946,15540,1071,22555
POA2047,291,107,406,2116,372,18,2507,7105,521,10129
POA2048,107,15,130,1204,136,10,1350,4953,327,6626
POA2049,134,61,200,1828,233,32,2099,7817,758,10674
POA2050,43,5,51,897,191,12,1097,7005,552,8660
POA2060,222,49,273,1921,447,21,2398,10338,827,13560
POA2061,127,27,155,509,195,9,713,4575,476,5769
POA2062,83,8,91,1494,193,11,1696,3890,178,5763
POA2063,248,19,270,1363,223,17,1611,3395,167,5167
POA2064,147,12,156,2049,196,15,2264,4991,315,7564
POA2065,389,67,464,5428,768,60,6255,19802,1043,27103
POA2066,583,122,703,7110,916,77,8098,18260,1001,27354
POA2067,633,37,673,5171,627,41,5846,15636,1023,22503
POA2068,384,65,460,3782,496,42,4321,8999,448,13769
POA2069,329,57,383,3113,495,32,3642,7655,367,11658
POA2070,393,15,412,3205,451,24,3681,7669,323,11674
POA2071,350,74,430,2752,441,25,3209,7487,350,11050
POA2072,171,9,187,1754,285,9,2047,4990,257,7297
POA2073,345,16,370,3755,561,25,4338,8970,387,13692
POA2074,1030,144,1174,4701,871,53,5625,12928,549,19105
POA2075,717,44,760,4843,740,42,5624,11091,395,17110
POA2076,1041,138,1188,5213,863,39,6122,13735,668,20520
POA2077,644,119,766,9187,1128,88,10406,22773,1373,34553
POA2079,90,5,94,1627,254,18,1902,4229,132,6260
POA2080,18,0,21,378,69,0,451,905,34,1386
POA2081,54,8,59,1127,160,18,1311,2881,82,4264
POA2082,70,7,75,1193,221,13,1424,2784,87,4297
POA2083,17,0,21,261,66,5,331,1037,85,1453
POA2084,130,12,136,671,170,8,846,2144,103,3097
POA2085,447,26,484,2261,397,27,2686,6423,194,9308
POA2086,248,3,256,3257,440,28,3732,7097,234,11066
POA2087,394,73,470,2859,375,38,3276,6735,340,10358
POA2088,858,55,916,5025,1009,48,6084,16766,870,23719
POA2089,186,66,248,1728,310,21,2053,7480,470,10007
POA2090,231,41,270,2240,410,21,2671,8433,450,11558
POA2092,134,12,147,1686,230,19,1939,3517,219,5672
POA2093,502,28,538,5360,698,71,6129,11828,551,18517
POA2094,93,3,102,1180,230,17,1422,3478,186,5083
POA2095,334,23,357,2539,568,37,3145,10299,672,14116
POA2096,186,8,197,2878,491,47,3419,8459,436,12308
POA2097,360,22,385,3106,603,33,3746,8787,465,12995
POA2099,829,97,932,8035,1297,118,9447,24414,1573,35433
POA2100,448,142,601,4527,742,54,5323,11477,756,17554
POA2101,863,110,974,3710,793,60,4564,11073,776,16413
