POA_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
POA2799,0,3,0,3,..,4,0,3,0,3,..,0,0,0,0,0,..,4,0,3,0,3,..,10,0,9,0,9,..,54,8,63,0,66,..,7,0,7,151,157,3930,61,8,72,151,4156
POA2800,3,59,0,59,..,44,29,74,0,74,..,21,4,26,0,26,..,47,16,55,0,57,..,489,66,553,22,575,..,2833,375,3201,52,3257,..,118,22,138,2505,2638,42387,2952,398,3343,2556,48283
POA2803,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,13,13,268,3,0,3,13,286
POA2804,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,70,8,75,8,81,..,14,0,14,278,284,2461,81,8,86,278,2832
POA2805,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,16,0,13,0,13,..,0,0,0,46,46,353,16,0,13,46,408
POA2806,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,13,0,11,0,18,..,3,0,3,123,124,726,13,0,18,120,862
POA2807,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,4,14,0,14,..,0,0,0,40,41,398,11,4,12,40,450
POA2808,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,0,0,0,23,23,188,6,0,6,23,216
POA2809,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,18,16,176,0,0,0,18,202
POA2810,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,6,0,6,..,47,0,49,0,49,..,5,0,5,214,223,2861,55,0,55,214,3132
POA2817,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,4,0,4,0,4,..,0,0,0,47,47,313,4,0,4,47,359
POA2818,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,65,65,776,0,0,0,65,849
POA2820,0,6,0,6,..,3,0,3,0,3,..,6,0,6,0,6,..,0,0,0,0,0,..,38,5,44,0,44,..,208,26,234,3,233,..,14,0,14,1534,1549,5598,225,26,248,1537,7378
POA2821,0,0,0,0,..,3,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,21,0,21,0,21,..,72,5,75,0,75,..,17,0,17,616,637,4067,90,5,94,622,4778
POA2822,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,61,61,368,0,0,0,61,433
POA2823,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,8,..,32,4,37,0,34,..,7,0,7,169,177,1131,40,4,42,172,1340
POA2824,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,67,3,71,0,71,..,3,0,3,216,221,1767,64,3,71,216,2055
POA2825,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,5,0,5,..,20,0,20,0,20,..,85,4,85,0,85,..,3,0,3,156,156,1963,84,4,88,156,2202
POA2826,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,10,10,163,4,0,4,10,178
POA2827,0,0,0,0,..,0,0,0,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,12,0,11,..,54,3,60,5,60,..,11,0,12,409,423,3198,66,3,71,413,3678
POA2828,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,3,0,3,107,113,683,11,0,11,107,798
POA2829,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,10,0,10,..,14,0,14,0,14,..,71,4,71,0,73,..,5,3,7,403,411,2480,75,7,79,405,2965
POA2830,8,74,4,78,..,34,11,44,0,44,..,0,0,0,0,0,..,43,14,55,0,56,..,542,49,591,17,610,..,3486,358,3844,57,3899,..,157,15,175,3647,3819,37246,3640,372,4017,3699,44963
POA2831,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,22,0,22,0,22,..,5,0,5,230,234,1593,26,0,27,230,1845
POA2832,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,23,0,23,0,24,..,67,13,72,0,76,..,10,0,10,717,723,1347,72,13,84,715,2149
POA2833,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,0,0,0,..,21,0,24,0,24,..,8,0,8,145,151,463,24,0,29,145,634
POA2834,0,0,0,0,..,3,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,40,0,38,0,38,..,153,20,173,5,176,..,11,0,11,407,413,1391,165,20,184,409,1984
POA2835,0,0,0,0,..,3,0,10,0,10,..,0,0,0,0,0,..,6,3,7,0,7,..,33,4,43,0,43,..,156,18,177,0,180,..,3,0,3,570,572,3045,161,18,179,569,3793
POA2836,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,5,0,6,..,10,0,11,0,17,..,3,5,5,171,177,702,16,3,20,170,895
POA2838,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,49,49,178,0,0,0,49,223
POA2839,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,15,0,15,0,15,..,43,3,45,0,50,..,0,0,0,160,162,872,41,3,46,160,1079
POA2840,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,27,0,27,0,27,..,83,3,92,0,93,..,14,0,14,395,408,1884,95,3,101,397,2389
POA2842,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,11,0,11,0,14,..,0,0,0,66,62,637,12,0,20,69,720
