SA3_CODE_2021,C21_75_84_No_need_assist_F,C21_75_84_No_need_assist_P,C21_75_84_Need_assist_ns_M,C21_75_84_Need_assist_ns_F,C21_75_84_Need_assist_ns_P,C21_75_84_Tot_M,C21_75_84_Tot_F,C21_75_84_Tot_P,C21_85over_Need_assist_M,C21_85over_Need_assist_F,C21_85over_Need_assist_P,C21_85over_No_need_assist_M,C21_85over_No_need_assist_F,C21_85over_No_need_assist_P,C21_85over_Need_assist_ns_M,C21_85over_Need_assist_ns_F,C21_85over_Need_assist_ns_P,C21_85over_Tot_M,C21_85over_Tot_F,C21_85over_Tot_P,C21_Tot_Need_assist_M,C21_Tot_Need_assist_F,C21_Tot_Need_assist_P,C21_Tot_No_need_assist_M,C21_Tot_No_need_assist_F,C21_Tot_No_need_assist_P,C21_Tot_Need_assist_ns_M,C21_Tot_Need_assist_ns_F,C21_Tot_Need_assist_ns_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
10803,15,27,0,3,7,15,18,38,0,0,7,7,7,7,0,0,0,7,7,15,10,4,12,187,204,394,22,20,38,219,228,445
10804,3533,6750,195,228,423,4101,4585,8692,491,1005,1497,771,838,1611,111,201,310,1373,2044,3414,3482,3711,7187,36014,39335,75346,2091,2151,4243,41587,45197,86780
10805,2044,4111,172,194,368,2688,2793,5477,302,567,869,382,502,881,62,106,176,746,1175,1926,2452,2537,4995,23477,24781,48257,2072,2021,4093,28001,29339,57345
10901,1698,3205,111,151,260,1945,2324,4274,242,560,804,303,400,696,52,63,112,597,1023,1611,2177,2397,4572,28325,29983,58312,2137,2020,4159,32639,34400,67044
10902,288,607,42,55,98,427,437,860,46,99,147,62,46,112,17,16,34,125,161,288,361,382,740,5453,5164,10622,906,789,1696,6720,6335,13056
10903,1595,3152,161,186,348,2014,2129,4148,220,375,593,358,387,745,88,91,179,666,853,1514,1462,1440,2909,18217,18740,36953,1873,1719,3586,21552,21899,43453
11001,1031,1961,114,134,245,1217,1398,2610,102,235,335,187,228,419,46,94,142,335,557,897,931,1094,2031,15513,16489,32002,1665,1836,3502,18109,19419,37537
11002,1294,2548,149,126,275,1681,1756,3436,160,366,516,233,294,526,50,75,123,443,735,1176,1459,1539,2996,15606,16264,31875,2024,1833,3858,19089,19636,38731
11003,486,958,86,80,168,678,700,1386,64,133,205,93,108,199,25,33,59,182,274,457,627,614,1244,9747,9746,19493,2033,1946,3978,12407,12306,24713
11004,2255,4183,216,266,475,2603,3116,5713,314,669,981,403,520,923,103,138,238,820,1327,2144,2761,2836,5590,35437,36771,72212,3443,3330,6773,41641,42937,84579
