region_id,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_school_quals_Cert_Level_M,Non_school_quals_Cert_Level_F,Non_school_quals_Cert_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SED10041,26883,28475,55358,11394,5746,17140,2887,6736,9623,989,962,1951,912,775,1687,16182,14219,30401,9516,13017,22533,5.6,5.5,5.5,60.2,49.9,54.9,56.8,47.2,51.9,712,519,1231,232,428,660,2142,2962,5104,1788,2665,4453,8720,4550,13270,27502,28660,56162,4020,4153,8173,19259,20078,39337,10457,11012,21469
SED10042,33642,33590,67232,12882,6962,19844,4410,5139,9549,1273,1033,2306,1721,1357,3078,20286,14491,34777,10401,16291,26692,8.5,9.4,8.9,60.3,43.1,51.7,55.2,39.1,47.1,1640,1117,2757,231,280,511,3947,4099,8046,2453,2731,5184,5390,3140,8530,34253,34284,68537,4974,4611,9585,22669,23094,45763,13392,12795,26187
SED10043,26394,29055,55449,13814,8944,22758,3132,6776,9908,729,985,1714,718,629,1347,18393,17334,35727,6963,10604,17567,3.9,3.6,3.8,69.7,59.7,64.4,67.0,57.5,62.0,3010,2569,5579,577,938,1515,6835,7592,14427,2248,3438,5686,3722,2341,6063,27032,29102,56134,4555,4785,9340,17630,19280,36910,12018,12609,24627
SED10044,28616,30075,58691,10497,6090,16587,4042,7453,11495,922,932,1854,1572,1197,2769,17033,15672,32705,10050,13090,23140,9.2,7.6,8.5,59.5,52.1,55.7,54.0,48.1,51.0,573,533,1106,334,688,1022,2526,3744,6270,1609,2688,4297,7744,4763,12507,29142,30098,59240,4736,5185,9921,20029,20422,40451,11757,12811,24568
SED10045,31647,32903,64550,13222,7376,20598,3010,4929,7939,1286,986,2272,1720,1410,3130,19238,14701,33939,9788,15645,25433,8.9,9.6,9.2,60.8,44.7,52.6,55.4,40.4,47.7,485,455,940,115,172,287,2313,2920,5233,2026,2565,4591,6067,3697,9764,33402,33955,67357,4433,4689,9122,23524,23866,47390,11528,12040,23568
SED10046,28551,29361,57912,14170,7646,21816,2775,6354,9129,1106,1045,2151,1135,1118,2253,19186,16163,35349,7735,11708,19443,5.9,6.9,6.4,67.2,55.1,61.0,63.2,51.2,57.1,425,449,874,176,286,462,1468,2377,3845,1512,2219,3731,8046,4582,12628,29920,30463,60383,4203,4429,8632,20972,21341,42313,10623,11195,21818
SED10047,31692,33751,65443,15691,9168,24859,3022,6034,9056,1186,1137,2323,1415,1311,2726,21314,17650,38964,8635,14056,22691,6.6,7.4,7.0,67.3,52.3,59.5,62.8,48.4,55.4,877,810,1687,183,294,477,3060,3914,6974,2207,2896,5103,7229,4309,11538,35173,36408,71581,4553,4751,9304,24091,24742,48833,12660,13474,26134
SED10048,28548,30502,59050,15176,7130,22306,2958,8029,10987,1027,1058,2085,897,915,1812,20058,17132,37190,7127,12128,19255,4.5,5.3,4.9,70.3,56.2,63.0,67.1,53.2,59.9,479,447,926,225,449,674,1989,3055,5044,1822,2597,4419,9479,5177,14656,30121,31560,61681,4923,5225,10148,20350,21266,41616,12198,13091,25289
SED10049,29730,31132,60862,16642,10122,26764,3825,7801,11626,939,1169,2108,769,702,1471,22175,19794,41969,5787,9698,15485,3.5,3.5,3.5,74.6,63.6,69.0,72.0,61.3,66.5,2530,2155,4685,584,928,1512,7579,8132,15711,2926,4161,7087,5168,2799,7967,27988,29020,57008,6607,6915,13522,16492,17392,33884,15605,16130,31735
SED10050,31393,32401,63794,13839,9073,22912,3453,6830,10283,1009,1074,2083,1025,858,1883,19326,17835,37161,9753,12305,22058,5.3,4.8,5.1,61.6,55.0,58.3,58.3,52.4,55.3,2099,1856,3955,296,577,873,4812,5689,10501,2126,3158,5284,5791,2926,8717,29302,30910,60212,4886,5109,9995,19205,20759,39964,12793,13154,25947
