LGA_CODE_2021,C21_AP_75_79_NCB_4,C21_AP_75_79_NCB_5,C21_AP_75_79_NCB_6mor,C21_AP_75_79_NCB_NS,C21_AP_75_79_Tot,C21_AP_80_84_NCB_0,C21_AP_80_84_NCB_1,C21_AP_80_84_NCB_2,C21_AP_80_84_NCB_3,C21_AP_80_84_NCB_4,C21_AP_80_84_NCB_5,C21_AP_80_84_NCB_6mor,C21_AP_80_84_NCB_NS,C21_AP_80_84_Tot,C21_AP_85over_N_c_b_0,C21_AP_85over_N_c_b_1,C21_AP_85over_N_c_b_2,C21_AP_85over_N_c_b_3,C21_AP_85over_N_c_b_4,C21_AP_85over_N_c_b_5,C21_AP_85over_N_c_b_6mor,C21_AP_85over_N_c_b_NS,C21_AP_85over_Tot,C21_AP_Tot_NCB_0,C21_AP_Tot_NCB_1,C21_AP_Tot_NCB_2,C21_AP_Tot_NCB_3,C21_AP_Tot_NCB_4,C21_AP_Tot_NCB_5,C21_AP_Tot_N_ch_b_6mor,C21_AP_Tot_NCB_NS,C21_AP_Tot_Tot
LGA15750,41,7,9,29,235,8,3,33,45,42,19,15,15,176,8,8,32,29,38,16,26,28,184,1103,401,1264,974,465,153,109,601,5067
LGA15800,21,6,6,19,150,6,4,11,22,20,6,4,11,83,6,6,27,21,24,12,10,16,127,429,193,559,483,257,81,60,246,2313
LGA15850,29,9,5,20,131,3,5,16,25,14,11,3,26,99,4,0,11,23,10,13,3,29,93,488,191,596,481,248,103,55,376,2520
LGA15900,269,83,51,229,2821,172,122,595,522,264,100,80,263,2122,185,231,682,574,330,191,119,581,2883,26447,8405,18552,9778,3215,1031,619,4571,72624
LGA15950,87,23,8,85,1278,175,70,242,157,67,19,10,85,831,135,64,171,149,86,29,19,110,755,16640,4473,6147,2367,671,130,74,1695,32198
LGA15990,479,102,46,301,5297,260,294,1301,924,385,141,52,289,3644,314,360,1201,1077,524,223,146,648,4499,35858,13348,34313,16354,4453,1022,458,5152,110961
LGA16100,17,3,4,18,136,3,0,15,15,19,0,5,8,76,0,4,12,17,4,6,13,10,64,445,206,553,417,199,53,54,264,2190
LGA16150,107,36,20,66,796,45,28,140,153,86,36,35,61,585,43,34,129,140,104,50,40,107,645,4865,1930,4585,3173,1358,449,290,1233,17878
LGA16200,48,13,11,25,295,15,9,45,77,40,21,16,34,247,18,5,54,58,47,30,32,40,283,1273,511,1390,1162,591,218,165,482,5792
LGA16260,289,96,71,195,3112,151,189,748,560,246,125,79,201,2301,153,191,601,533,313,137,158,309,2397,38325,19140,26479,10090,3329,1027,694,6179,105266
LGA16350,341,128,104,255,2593,96,122,394,390,234,131,128,244,1739,74,120,348,266,211,147,162,410,1750,25192,10770,23202,13517,5503,1895,1363,6271,87711
LGA16380,282,73,61,177,2771,156,114,479,483,247,97,58,183,1811,188,159,490,433,289,122,118,254,2044,9441,4115,11454,7108,2789,840,457,2237,38436
LGA16400,233,59,27,206,2107,83,82,370,303,154,63,37,129,1226,64,79,231,253,174,69,57,195,1117,7153,3245,9845,6076,2395,691,395,2116,31914
LGA16490,95,32,17,64,793,44,38,135,118,81,32,25,38,511,21,41,100,104,80,39,28,48,453,8017,3277,6938,3774,1388,375,220,1504,25495
LGA16550,170,49,27,195,2150,187,169,505,358,156,41,37,165,1623,225,206,487,330,178,70,71,477,2041,25875,7485,13703,5569,1583,376,252,3918,58759
LGA16610,85,29,19,81,571,20,19,69,84,69,38,27,56,380,20,24,60,88,81,35,53,86,455,2059,866,2419,1880,934,332,230,1074,9788
LGA16700,153,61,19,118,1735,138,125,473,359,179,65,49,140,1526,179,144,448,395,224,106,96,322,1915,22463,9032,13849,5317,1594,450,279,2954,55936
LGA16900,172,53,25,109,1370,56,53,283,256,147,64,32,136,1022,36,54,217,203,145,61,52,198,964,8240,3454,9663,5702,2101,679,353,1794,31983
LGA16950,338,95,60,251,2979,144,133,552,521,292,112,55,197,1996,132,134,511,514,298,122,116,252,2085,10504,5000,13382,8793,3625,1087,612,3375,46375
LGA17000,63,16,13,24,324,7,4,37,54,45,18,12,12,186,15,15,27,52,42,32,24,11,214,2322,1005,2578,1773,770,224,165,600,9446
LGA17040,47,19,10,31,382,22,11,80,66,42,13,19,29,277,20,12,55,62,48,25,28,36,279,2549,876,2354,1381,565,186,122,795,8818
LGA17080,44,31,16,50,332,7,11,46,52,34,17,20,27,213,15,11,52,48,39,35,33,28,251,1247,545,1569,1192,554,212,142,547,6024
