LGA_CODE_2021,C21_1PF_Cu15DS_MR_4000over,C21_1PF_Cu15DS_MR_NS,C21_1PF_Cu15DS_Tot,C21_1PF_CU15_NDS_MR_0_299,C21_1PF_CU15_NDS_MR_300_449,C21_1PF_CU15_NDS_MR_450_599,C21_1PF_CU15_NDS_MR_600_799,C21_1PF_CU15_NDS_MR_800_999,C21_1PF_CU15_NDS_MR_1000_1399,C21_1PF_CU15_NDS_MR_1400_1799,C21_1PF_CU15_NDS_MR_1800_2399,C21_1PF_CU15_NDS_MR_2400_2999,C21_1PF_CU15_NDS_MR_3000_3999,C21_1PF_CU15_NDS_MR_4000over,C21_1PF_CU15_NDS_MR_NS,C21_1PF_CU15_NDS_Tot,C21_1PF_NCu15DS_MR_0_299,C21_1PF_NCu15DS_MR_300_449,C21_1PF_NCu15DS_MR_450_599,C21_1PF_NCu15DS_MR_600_799,C21_1PF_NCu15DS_MR_800_999,C21_1PF_NCu15DS_MR_1000_1399,C21_1PF_NCu15DS_MR_1400_1799,C21_1PF_NCu15DS_MR_1800_2399,C21_1PF_NCu15DS_MR_2400_2999,C21_1PF_NCu15DS_MR_3000_3999,C21_1PF_NCu15DS_MR_4000over,C21_1PF_NCu15DS_MR_NS,C21_1PF_NCu15DS_Tot,C21_1PF_NDCO_MR_0_299,C21_1PF_NDCO_MR_300_449,C21_1PF_NDCO_MR_450_599,C21_1PF_NDCO_MR_600_799,C21_1PF_NDCO_MR_800_999,C21_1PF_NDCO_MR_1000_1399,C21_1PF_NDCO_MR_1400_1799,C21_1PF_NDCO_MR_1800_2399,C21_1PF_NDCO_MR_2400_2999,C21_1PF_NDCO_MR_3000_3999,C21_1PF_NDCO_MR_4000over,C21_1PF_NDCO_MR_NS,C21_1PF_NDCO_Tot,C21_1PF_Tot_MR_0_299,C21_1PF_Tot_MR_300_449,C21_1PF_Tot_MR_450_599,C21_1PF_Tot_MR_600_799,C21_1PF_Tot_MR_800_999,C21_1PF_Tot_MR_1000_1399,C21_1PF_Tot_MR_1400_1799,C21_1PF_Tot_MR_1800_2399,C21_1PF_Tot_MR_2400_2999,C21_1PF_Tot_MR_3000_3999,C21_1PF_Tot_MR_4000over,C21_1PF_Tot_MR_NS,C21_1PF_Tot_Tot,C21_Tot_MR_0_299,C21_Tot_MR_300_449,C21_Tot_MR_450_599,C21_Tot_MR_600_799,C21_Tot_MR_800_999,C21_Tot_MR_1000_1399,C21_Tot_MR_1400_1799,C21_Tot_MR_1800_2399,C21_Tot_MR_2400_2999,C21_Tot_MR_3000_3999,C21_Tot_MR_4000over,C21_Tot_MR_NS,C21_Tot_Tot
LGA11800,0,7,104,17,11,6,12,23,84,107,122,34,20,3,18,457,10,4,3,7,4,35,20,42,9,9,6,7,159,17,14,16,29,24,63,42,43,9,10,4,22,299,40,25,27,56,58,201,200,228,59,44,13,60,1014,319,139,125,237,341,1022,1416,1973,826,541,265,409,7623
LGA12000,0,0,7,0,0,0,4,4,3,8,5,0,0,0,0,22,0,0,0,3,0,0,0,0,0,0,0,0,6,0,3,0,0,0,4,0,0,0,0,0,0,13,0,3,0,12,4,8,11,9,0,0,0,3,50,21,20,14,36,48,105,97,64,17,17,10,26,474
LGA12150,0,0,0,0,0,3,3,5,5,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,5,0,0,0,0,0,0,0,0,5,14,0,9,3,3,3,8,0,0,0,0,5,6,41,28,17,17,19,12,45,17,13,6,0,11,21,230
LGA12160,0,0,16,7,0,4,6,7,13,3,0,0,0,0,6,44,0,0,0,0,0,7,0,0,0,0,0,0,14,6,5,0,5,4,6,3,0,0,0,0,0,34,9,5,9,13,14,30,13,7,0,4,0,8,99,52,18,29,77,118,251,161,109,26,39,18,49,963
LGA12350,0,0,10,3,0,0,6,10,17,9,7,0,0,0,3,69,0,0,0,0,0,7,3,0,0,0,0,0,15,3,8,5,10,7,6,9,0,0,0,0,6,51,9,6,3,13,19,37,29,13,0,0,0,15,146,53,44,34,67,134,255,214,131,45,27,36,55,1101
LGA12380,21,11,172,37,11,7,10,14,55,88,149,98,97,54,50,677,37,6,5,10,22,40,56,93,55,49,22,39,428,74,29,20,19,43,113,131,192,107,101,51,100,978,160,46,32,50,83,236,306,460,277,274,149,201,2264,952,195,189,306,460,1431,2058,4375,3034,3060,1911,1678,19651
LGA12390,0,6,58,15,3,9,22,34,104,78,52,14,11,13,30,382,0,0,0,8,3,9,9,10,5,4,0,6,61,6,12,3,14,20,58,22,21,11,4,0,17,194,22,16,14,46,72,189,124,93,25,17,11,59,699,171,77,89,202,359,1057,1208,1141,428,262,178,326,5497
LGA12700,0,0,15,0,0,0,0,5,12,9,5,4,5,4,0,61,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0,0,4,0,10,5,0,3,4,0,40,3,4,0,4,15,21,22,19,10,12,9,5,122,41,21,15,32,52,168,197,243,178,152,69,66,1235
LGA12730,0,0,4,0,4,4,8,3,10,8,4,0,0,3,0,47,0,0,0,0,4,5,5,0,0,0,0,0,10,5,0,10,0,8,12,3,0,0,0,0,0,33,3,4,14,14,18,29,14,5,0,0,3,0,101,48,18,38,72,100,195,141,84,18,20,18,40,797
LGA12750,0,4,59,7,4,8,18,13,31,46,30,9,5,0,12,175,4,0,0,3,3,16,13,8,5,4,0,6,57,5,8,6,5,23,33,24,22,0,3,0,5,138,18,12,14,31,40,94,101,67,15,17,10,23,437,183,104,95,142,182,518,623,668,275,176,109,163,3235
LGA12850,25,28,333,56,14,6,24,35,109,122,184,115,102,56,98,920,52,9,11,23,25,105,75,121,57,68,24,69,647,85,34,33,40,50,185,172,265,129,135,48,113,1303,219,68,62,90,122,428,426,639,343,337,157,303,3204,1041,275,242,409,562,1815,2004,3271,2111,2130,1138,1346,16339
LGA12870,0,0,20,0,0,7,3,0,23,13,3,0,0,0,0,49,0,0,0,0,3,10,5,0,0,0,0,0,19,4,3,0,10,8,13,3,4,0,0,0,0,42,3,6,3,14,17,46,21,12,3,0,0,9,137,62,30,23,63,134,316,234,171,55,37,28,91,1236
LGA12900,0,0,12,0,0,0,3,10,17,0,6,4,0,0,0,54,0,4,0,0,4,0,5,0,0,0,0,3,17,4,4,4,5,0,12,7,3,0,0,0,3,40,6,7,10,16,20,32,12,11,6,0,0,6,124,59,22,28,60,97,195,159,126,45,22,26,46,874
LGA12930,26,8,116,15,3,4,7,13,44,53,73,58,73,83,37,468,28,8,13,7,15,41,48,64,48,40,54,26,399,44,14,11,24,20,83,82,100,43,72,78,48,628,93,33,28,42,57,185,202,255,163,197,233,116,1608,768,177,150,232,316,944,1081,2431,1799,2633,3215,1105,14859
LGA12950,0,0,0,3,0,0,0,0,4,3,0,0,0,0,0,18,0,0,4,0,0,0,0,0,0,0,0,0,5,4,0,4,0,3,0,0,4,0,0,0,3,19,8,5,6,5,4,7,9,4,0,0,0,3,49,54,14,19,27,27,67,45,28,11,12,19,25,342
LGA13010,0,0,11,6,0,0,6,7,6,5,0,0,0,0,0,41,0,0,0,0,8,6,0,0,0,0,0,0,15,0,3,0,5,3,4,4,0,0,0,0,4,24,3,3,3,15,21,25,9,9,0,5,0,5,97,55,30,24,80,89,143,66,87,23,25,29,45,694
LGA13310,0,0,23,0,3,0,0,12,48,38,38,5,7,5,14,174,0,0,5,0,3,11,15,12,0,0,0,4,53,9,6,0,9,10,29,24,14,10,0,5,9,131,12,9,8,14,32,89,87,74,19,14,8,21,383,113,42,51,83,162,509,665,810,355,243,124,165,3316
LGA13340,0,0,15,0,0,6,0,8,14,13,5,0,0,0,4,54,4,0,0,0,4,5,6,0,0,0,0,0,23,8,4,0,7,0,10,4,6,0,0,0,5,44,5,5,7,13,16,37,25,7,7,0,3,7,134,69,33,37,71,104,255,212,171,71,49,45,73,1198
LGA13450,0,0,27,9,0,0,5,7,26,27,17,3,3,4,6,92,0,0,0,3,3,0,10,12,0,0,0,5,37,7,3,3,9,8,21,16,9,3,4,0,13,93,16,7,5,14,27,61,55,34,6,3,4,16,251,108,46,38,83,158,520,509,453,136,109,72,156,2385
LGA13550,0,0,14,3,3,3,0,7,19,17,10,7,0,0,14,87,0,0,0,0,0,0,3,3,0,0,0,0,11,7,0,0,9,0,9,9,6,0,5,0,3,47,10,0,3,11,11,31,28,20,7,6,3,17,148,70,17,25,57,85,250,250,234,102,81,40,82,1285
LGA13660,0,0,6,0,0,7,4,3,7,0,0,0,0,3,0,28,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,7,0,3,9,6,3,9,0,3,0,0,3,0,41,50,13,24,25,30,64,39,25,8,20,16,21,341
LGA13800,5,0,81,13,7,8,6,8,28,46,68,47,34,18,26,317,4,5,5,9,5,22,22,39,10,10,8,7,150,18,10,4,14,16,51,63,66,34,36,24,28,370,41,17,11,38,38,117,151,185,111,87,52,66,909,307,98,84,164,195,679,908,1786,1439,1442,1029,568,8698
LGA13850,0,0,4,0,0,0,3,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,0,0,0,0,0,0,13,0,0,3,6,3,9,0,0,0,0,0,0,33,11,6,15,36,31,38,22,8,7,3,0,13,193
LGA13910,0,0,31,8,0,0,7,8,23,15,8,0,0,0,3,79,4,0,7,4,6,11,5,6,0,0,0,4,38,0,9,4,0,10,14,8,4,0,0,0,8,61,12,10,10,20,29,56,42,13,3,4,0,11,204,84,33,50,135,173,405,298,221,74,61,39,91,1674
LGA14000,25,6,154,27,4,8,11,12,39,41,100,70,98,102,36,546,28,8,10,10,12,39,39,82,39,56,53,23,391,44,7,10,23,21,62,70,110,48,60,46,39,539,105,18,24,40,49,145,168,333,180,240,228,106,1633,980,212,174,254,343,1085,1245,2909,2409,3729,4869,1126,19354
LGA14100,4,0,10,0,0,0,0,0,0,3,3,3,6,23,0,39,6,0,0,0,0,4,6,4,0,3,8,3,30,4,0,0,0,0,0,3,4,4,4,11,4,36,13,0,0,0,0,5,13,11,6,20,49,6,122,78,0,12,14,13,49,50,104,88,162,707,92,1374
LGA14170,32,7,160,26,7,8,8,18,50,72,98,79,137,177,46,727,22,4,9,0,14,40,31,76,48,49,71,28,392,32,17,9,22,23,47,48,78,39,46,43,49,459,86,29,18,32,64,154,160,288,196,259,328,126,1736,687,152,122,188,290,815,904,2003,1906,3233,6114,807,17223
LGA14220,0,0,20,0,0,9,10,12,39,8,3,0,0,0,8,105,0,0,0,0,4,9,0,0,0,0,0,0,18,0,3,3,9,5,22,3,0,0,0,0,3,57,4,6,10,19,27,69,18,16,3,0,0,17,194,87,44,52,126,156,440,230,223,70,42,44,77,1585
