LGA_CODE_2021,C16_Aus_Mo_O_B_OS,C16_Aus_BP_B_Aus,C16_Aus_Bplace_NS,C16_Aus_Tot_resp,C16_Aus_Ab_BP_B_OS,C16_Aus_Ab_Fa_O_B_OS,C16_Aus_Ab_Mo_O_B_OS,C16_Aus_Ab_BP_B_Aus,C16_Aus_Abor_Bplace_NS,C16_Aus_Abor_Tot_resp,C16_Chi_BP_B_OS,C16_Chi_Fa_O_B_OS,C16_Chi_Mo_O_B_OS,C16_Chi_BP_B_Aus,C16_Chi_Bplace_NS,C16_Chi_Tot_resp,C16_Cro_BP_B_OS,C16_Cro_Fa_O_B_OS,C16_Cro_Mo_O_B_OS,C16_Cro_BP_B_Aus,C16_Cro_Bplace_NS,C16_Cro_Tot_resp,C16_Dut_BP_B_OS,C16_Dut_Fa_O_B_OS,C16_Dut_Mo_O_B_OS,C16_Dut_BP_B_Aus,C16_Dut_Bplace_NS,C16_Dut_Tot_resp,C16_Eng_BP_B_OS,C16_Eng_Fa_O_B_OS,C16_Eng_Mo_O_B_OS,C16_Eng_BP_B_Aus,C16_Eng_Bplace_NS,C16_Eng_Tot_resp,C16_Fil_BP_B_OS,C16_Fil_Fa_O_B_OS,C16_Fil_Mo_O_B_OS,C16_Fil_BP_B_Aus,C16_Fil_Bplace_NS,C16_Fil_Tot_resp,C16_Fre_BP_B_OS,C16_Fre_Fa_O_B_OS,C16_Fre_Mo_O_B_OS,C16_Fre_BP_B_Aus,C16_Fre_Bplace_NS,C16_Fre_Tot_resp,C16_Ger_BP_B_OS,C16_Ger_Fa_O_B_OS,C16_Ger_Mo_O_B_OS,C16_Ger_BP_B_Aus,C16_Ger_Bplace_NS,C16_Ger_Tot_resp,C16_Gre_BP_B_OS,C16_Gre_Fa_O_B_OS,C16_Gre_Mo_O_B_OS,C16_Gre_BP_B_Aus,C16_Gre_Bplace_NS,C16_Gre_Tot_resp,C16_Hun_BP_B_OS,C16_Hun_Fa_O_B_OS,C16_Hun_Mo_O_B_OS,C16_Hun_BP_B_Aus,C16_Hun_Bplace_NS,C16_Hun_Tot_resp,C16_Ind_BP_B_OS,C16_Ind_Fa_O_B_OS,C16_Ind_Mo_O_B_OS,C16_Ind_BP_B_Aus,C16_Ind_Bplace_NS,C16_Ind_Tot_resp,C16_Iri_BP_B_OS,C16_Iri_Fa_O_B_OS,C16_Iri_Mo_O_B_OS,C16_Iri_BP_B_Aus,C16_Iri_Bplace_NS,C16_Iri_Tot_resp,C16_Ita_BP_B_OS,C16_Ita_Fa_O_B_OS,C16_Ita_Mo_O_B_OS,C16_Ita_BP_B_Aus,C16_Ita_Bplace_NS,C16_Ita_Tot_resp,C16_Kor_BP_B_OS,C16_Kor_Fa_O_B_OS,C16_Kor_Mo_O_B_OS,C16_Kor_BP_B_Aus,C16_Kor_Bplace_NS,C16_Kor_Tot_resp,C16_Leb_BP_B_OS,C16_Leb_Fa_O_B_OS,C16_Leb_Mo_O_B_OS,C16_Leb_BP_B_Aus,C16_Leb_Bplace_NS,C16_Leb_Tot_resp,C16_Mac_BP_B_OS,C16_Mac_Fa_O_B_OS,C16_Mac_Mo_O_B_OS,C16_Mac_BP_B_Aus,C16_Mac_Bplace_NS,C16_Mac_Tot_resp,C16_Mal_BP_B_OS,C16_Mal_Fa_O_B_OS,C16_Mal_Mo_O_B_OS,C16_Mal_BP_B_Aus,C16_Mal_Bplace_NS,C16_Mal_Tot_resp,C16_Mao_BP_B_OS,C16_Mao_Fa_O_B_OS,C16_Mao_Mo_O_B_OS,C16_Mao_BP_B_Aus,C16_Mao_Bplace_NS,C16_Mao_Tot_resp,C16_NZ_BP_B_OS,C16_NZ_Fa_O_B_OS,C16_NZ_Mo_O_B_OS,C16_NZ_BP_B_Aus,C16_NZ_Bplace_NS,C16_NZ_Tot_resp,C16_Pol_BP_B_OS,C16_Pol_Fa_O_B_OS,C16_Pol_Mo_O_B_OS,C16_Pol_BP_B_Aus,C16_Pol_Bplace_NS,C16_Pol_Tot_resp,C16_Rus_BP_B_OS,C16_Rus_Fa_O_B_OS,C16_Rus_Mo_O_B_OS,C16_Rus_BP_B_Aus,C16_Rus_Birthplac_ns,C16_Rus_Tot_resp,C16_Sam_BP_B_OS,C16_Sam_Fa_O_B_OS,C16_Sam_Mo_O_B_OS,C16_Sam_BP_B_Aus,C16_Sam_Birthplac_ns,C16_Sam_Tot_resp,C16_Sco_BP_B_OS,C16_Sco_Fa_O_B_OS,C16_Sco_Mo_O_B_OS,C16_Sco_BP_B_Aus,C16_Sco_Birthplac_ns,C16_Sco_Tot_resp,C16_Ser_BP_B_OS,C16_Ser_Fa_O_B_OS,C16_Ser_Mo_O_B_OS,C16_Ser_BP_B_Aus,C16_Ser_Bplace_NS,C16_Ser_Tot_resp,C16_SAf_BP_B_OS,C16_SAf_Fa_O_B_OS,C16_SAf_Mo_O_B_OS,C16_SAf_BP_B_Aus,C16_SAf_Bplace_NS,C16_SAf_Tot_resp,C16_Span_BP_B_OS,C16_Span_Fa_O_B_OS,C16_Span_Mo_O_B_OS,C16_Span_BP_B_Aus,C16_Span_Bplace_NS,C16_Span_Tot_resp,C16_SriL_BP_B_OS,C16_SriL_Fa_O_B_OS,C16_SriL_Mo_O_B_OS,C16_SriL_BP_B_Aus,C16_SriL_Bplace_NS,C16_SriL_Tot_resp,C16_Viet_BP_B_OS,C16_Viet_Fa_O_B_OS,C16_Viet_Mo_O_B_OS,C16_Viet_BP_B_Aus,C16_Viet_Bplace_NS,C16_Viet_Tot_resp,C16_Wel_BP_B_OS,C16_Wel_Fa_O_B_OS,C16_Wel_Mo_O_B_OS,C16_Wel_BP_B_Aus,C16_Wel_Bplace_NS,C16_Wel_Tot_resp,C16_Oth_BP_B_OS,C16_Oth_Fa_O_B_OS,C16_Oth_Mo_O_B_OS,C16_Oth_BP_B_Aus,C16_Oth_Bplace_NS,C16_Oth_Tot_resp,C16_Anc_ns_BP_B_OS,C16_Anc_ns_Fa_O_B_OS,C16_Anc_ns_Mo_O_B_OS,C16_Anc_ns_BP_B_Aus,C16_Anc_ns_Bplace_NS,C16_Anc_NS_Tot_resp,C16_Tot_P_BP_B_OS,C16_Tot_P_Fa_O_B_OS,C16_Tot_P_Mo_O_B_OS,C16_Tot_P_BP_B_Aus,C16_Tot_P_Bplace_NS,C16_Tot_P_Tot_resp,C21_Aus_BP_B_OS,C21_Aus_Fa_O_B_OS,C21_Aus_Mo_O_B_OS,C21_Aus_BP_B_Aus
LGA12380,2200,13818,528,25760,8,25,15,164,11,211,26493,140,303,242,217,27385,1643,125,76,298,21,2155,275,71,44,115,3,504,7535,2089,1418,10797,412,22251,4863,89,211,32,60,5254,332,27,20,126,6,515,782,152,102,846,29,1921,1579,241,94,525,31,2466,218,37,3,28,3,301,17798,94,98,54,107,18143,1112,534,333,4225,83,6286,2939,560,266,1251,51,5064,5180,16,43,10,21,5272,19973,3975,1640,2745,319,28654,189,15,15,31,3,258,2226,290,171,661,41,3395,912,93,54,18,24,1104,461,100,72,63,18,711,686,66,39,120,7,928,631,32,28,86,13,796,820,73,24,24,19,963,929,421,259,2365,51,4031,446,43,11,43,3,554,195,25,15,12,0,247,1116,53,28,52,15,1264,2615,8,21,8,13,2664,4060,41,72,40,47,4262,98,37,21,122,8,294,58052,2041,1364,1334,617,63414,2504,172,102,364,10589,13718,157355,10516,6184,29031,12992,216080,7087,3804,2271,11407
LGA12390,666,21544,417,23707,5,16,6,698,18,740,287,17,24,178,9,513,16,3,3,10,0,37,169,61,55,217,0,506,980,885,672,16323,351,19210,220,0,46,6,4,280,44,12,9,133,3,202,158,83,57,1320,14,1631,63,16,15,84,0,185,26,7,0,4,0,41,452,11,9,15,0,490,231,219,157,5440,86,6134,114,61,23,405,9,606,55,3,0,0,0,61,36,8,7,40,0,93,4,0,0,0,0,9,29,21,5,58,0,119,65,28,18,36,0,152,72,60,30,49,5,206,49,16,13,56,3,143,40,4,0,14,0,58,19,3,0,0,0,27,259,258,171,3715,55,4467,4,0,5,3,0,12,49,9,5,6,0,76,26,9,0,30,8,67,102,4,3,0,0,112,54,0,4,0,5,67,35,17,9,113,4,180,1113,146,101,334,28,1730,48,13,12,557,4165,4795,4202,1740,1267,37885,4983,50075,223,1073,798,19749
LGA12700,146,3865,81,4325,0,0,0,26,0,27,10,0,0,13,0,26,6,0,0,4,0,8,32,15,9,21,0,79,260,222,155,3164,69,3868,8,3,0,0,0,15,3,6,0,11,0,18,46,22,10,363,9,455,0,0,0,0,0,5,3,0,0,4,0,9,0,0,0,0,0,5,50,30,28,865,27,1004,18,8,9,47,0,86,5,0,0,0,0,5,0,0,0,0,0,3,4,0,0,5,0,9,0,0,3,3,0,6,4,4,3,9,4,29,6,15,0,11,0,36,15,6,6,10,0,40,5,0,0,5,0,13,0,0,0,0,0,0,85,63,26,743,13,926,0,0,0,0,0,0,4,0,0,0,0,5,5,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,11,4,4,32,0,53,96,40,24,85,0,241,5,3,0,114,587,713,564,391,264,7010,746,8976,28,278,179,4065
LGA12730,100,3722,88,4107,0,0,0,37,3,40,53,0,0,23,0,73,0,0,0,6,0,6,32,10,10,43,3,102,205,159,117,2753,70,3304,11,0,0,0,3,15,7,4,0,16,0,20,33,9,21,198,7,267,12,4,0,8,4,29,0,0,0,0,0,0,43,0,0,0,0,47,43,30,31,831,15,949,63,22,11,137,5,237,15,0,0,0,0,15,0,0,0,3,0,3,3,0,0,0,0,3,5,0,0,7,0,15,27,4,9,5,5,45,16,3,8,5,0,33,11,8,0,4,0,18,0,0,0,0,0,0,0,3,0,0,0,7,60,58,39,833,18,1004,0,0,0,0,0,0,29,4,0,0,0,25,4,0,0,3,0,7,9,0,0,0,0,9,0,0,0,0,0,0,8,8,0,9,0,32,116,22,9,45,0,191,9,5,0,100,772,882,711,319,219,6646,954,8847,29,200,134,3301
LGA12750,854,12430,353,14930,0,12,0,377,7,397,78,15,13,99,5,215,166,14,10,38,0,221,346,82,54,169,8,655,2624,1187,835,10969,285,15905,99,0,27,3,0,133,89,6,6,111,8,223,532,107,81,931,25,1673,101,24,0,60,5,192,91,19,4,21,0,124,86,3,9,10,0,105,470,290,176,3986,58,4976,261,89,33,325,10,715,8,0,0,0,0,13,22,15,0,14,0,48,17,3,0,9,0,27,99,31,8,49,5,194,46,10,15,28,4,111,109,33,41,41,7,234,141,13,16,55,3,225,57,9,7,22,0,96,18,10,0,0,0,27,671,298,237,2967,66,4244,32,4,0,3,3,44,49,13,12,5,0,85,60,3,4,31,4,109,16,4,0,3,0,25,46,0,3,0,0,52,118,38,14,129,4,307,868,167,96,363,17,1517,66,17,13,328,2523,2947,6143,2157,1539,24191,3199,37229,201,1333,954,12697
LGA12850,1531,9680,412,18328,3,30,8,183,7,238,25744,242,329,273,353,26943,2915,210,113,399,41,3678,233,42,25,60,10,365,6573,1317,922,7028,416,16254,2907,52,176,34,54,3220,385,22,28,51,4,490,1191,147,89,550,25,1995,1020,149,111,381,18,1687,310,31,22,21,7,391,1929,30,26,17,22,2027,628,342,198,2307,55,3531,7488,1235,526,2500,157,11913,157,0,9,9,0,169,4109,994,333,583,81,6103,1244,99,76,160,11,1598,1780,264,176,625,34,2873,717,85,44,21,12,885,356,61,52,23,11,506,926,97,29,114,15,1190,777,64,27,51,82,1003,2367,124,56,32,44,2623,756,286,204,1418,59,2722,3309,178,140,192,99,3919,57,10,9,9,0,84,2693,96,89,107,43,3029,175,14,6,0,0,201,37877,326,519,253,603,39578,64,20,12,69,3,171,58868,1599,1268,984,638,63364,2472,94,79,232,8107,10989,155711,6966,4760,20358,11027,198816,6943,2247,1498,7431
LGA12870,206,4762,102,5368,0,0,0,22,0,22,24,0,0,13,0,45,11,5,0,0,0,13,75,20,17,29,0,135,430,274,165,3963,119,4953,46,4,5,4,0,61,5,6,0,35,0,47,69,25,15,454,8,577,6,0,6,16,0,30,18,8,0,5,0,26,23,0,3,0,0,25,85,67,31,1403,27,1623,62,17,10,129,0,224,16,0,0,0,0,16,0,0,0,0,0,4,0,0,0,0,0,0,13,0,0,7,0,25,11,4,8,0,0,16,35,3,10,6,0,52,29,4,0,15,0,49,6,0,0,6,0,13,0,0,0,0,0,0,118,66,33,1184,29,1430,3,0,0,0,0,3,4,0,0,3,0,9,7,0,0,0,0,12,3,0,0,0,0,3,6,0,0,0,0,6,10,13,0,30,0,51,146,26,13,76,3,266,14,5,0,182,894,1106,1079,497,324,9240,1136,12279,55,309,198,4801
LGA12900,133,4342,119,4769,0,0,0,64,0,66,22,0,0,18,0,44,8,5,0,3,0,13,17,12,13,38,0,79,162,135,102,3386,86,3869,27,5,11,4,0,36,3,0,0,38,0,46,18,19,13,288,5,341,3,7,0,17,0,28,0,0,0,6,0,9,27,0,0,4,0,35,41,36,22,1089,20,1206,29,16,0,64,0,109,0,0,0,0,0,0,0,0,0,10,0,6,9,0,0,0,0,5,8,0,0,0,0,10,0,10,0,7,0,15,16,0,5,5,0,23,12,3,0,16,0,29,0,0,0,4,0,8,0,0,0,3,0,4,45,36,26,654,7,772,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,5,0,7,0,0,0,0,0,3,6,0,0,0,0,6,3,5,4,14,0,26,75,15,19,66,0,175,4,0,0,143,742,895,475,274,202,7684,954,9589,11,134,140,3849
LGA12930,2275,15397,307,22724,8,25,12,143,0,193,39381,324,575,372,256,40905,1436,149,98,386,29,2095,278,81,56,130,4,546,5459,2368,1664,14088,377,23953,2572,55,226,28,31,2909,298,52,34,182,4,577,778,203,142,1053,37,2212,6213,967,550,3067,90,10881,264,43,14,55,4,381,3257,62,63,28,34,3444,1232,686,491,6194,97,8706,3056,711,359,1811,57,5996,664,7,27,16,3,716,3364,629,299,660,50,5000,3045,299,221,610,25,4201,534,130,70,233,13,974,862,92,42,27,23,1041,506,153,98,53,8,817,429,53,39,77,4,600,501,27,25,46,0,597,349,38,6,4,8,406,1138,574,432,3855,67,6063,512,55,36,46,4,654,248,43,31,13,0,333,869,60,46,70,17,1057,225,19,12,14,0,264,1270,25,75,24,14,1403,141,76,19,165,4,408,18763,1135,966,1192,181,22235,674,64,70,249,5697,6746,91265,7666,5579,35324,7126,146962,2271,3149,2471,14200
LGA12950,51,2007,49,2182,0,0,0,81,4,83,13,0,0,10,0,15,0,0,0,0,0,0,13,4,0,10,0,26,66,75,37,1379,58,1608,7,8,5,0,3,20,0,0,7,13,0,19,13,9,3,142,3,169,10,0,0,0,0,11,7,0,0,0,0,7,15,0,0,4,0,17,8,11,7,407,7,448,5,0,0,16,0,25,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,3,0,0,4,0,10,10,4,3,0,0,21,3,0,4,0,0,9,5,0,3,4,0,13,4,0,0,0,0,5,0,0,0,0,0,0,19,25,13,300,8,359,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,5,0,9,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,6,0,10,20,4,3,43,8,77,5,0,5,66,279,352,204,133,84,3415,393,4234,9,65,55,1724
LGA13010,136,3452,70,3849,0,0,4,55,0,61,21,3,0,19,0,38,0,0,0,0,0,0,49,12,4,13,0,83,280,167,137,2897,84,3559,22,0,9,0,0,34,8,0,0,17,0,32,44,29,6,391,5,465,8,5,0,3,0,14,5,6,0,0,0,8,26,3,0,0,0,35,52,36,30,886,19,1023,10,18,0,58,0,83,3,0,0,0,0,3,0,0,0,14,0,17,0,0,0,0,0,0,0,0,0,4,0,4,5,5,0,6,0,17,24,6,5,0,0,35,9,4,0,4,0,14,3,0,3,3,0,10,0,0,0,0,0,3,71,56,46,849,10,1033,0,0,0,0,0,0,6,0,4,0,0,11,0,3,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,25,0,8,35,0,60,124,28,17,51,4,225,7,0,4,107,952,1072,666,317,240,6505,1111,8832,30,183,126,3235
LGA13310,598,10969,247,12669,0,0,0,97,0,106,149,5,8,69,3,235,34,5,5,16,0,66,145,35,25,83,3,299,1161,714,519,9500,259,12151,152,6,28,13,0,196,50,12,5,76,0,134,192,84,51,672,14,1012,92,31,11,94,0,224,42,10,6,20,0,78,141,6,4,12,0,163,261,188,110,3247,62,3871,157,59,21,219,9,463,69,0,4,3,0,71,44,7,5,16,0,71,20,3,0,3,0,25,57,17,6,62,4,143,52,11,10,9,0,84,56,30,21,20,0,131,65,17,3,40,0,128,29,0,5,12,0,53,17,8,0,0,0,20,299,197,126,2184,35,2836,11,3,4,0,0,21,20,15,15,3,0,53,45,7,0,26,6,74,21,0,0,0,0,26,10,0,0,0,0,13,44,18,17,100,3,183,761,122,92,213,17,1202,40,8,9,275,2384,2721,3569,1396,1004,20739,2900,29608,122,888,679,11492
LGA13340,171,4203,84,4724,0,0,0,33,3,38,14,9,0,5,3,33,7,8,0,3,0,11,67,17,19,50,0,158,309,207,163,3158,66,3912,26,0,8,0,0,39,12,0,4,25,0,44,89,31,35,1014,18,1194,0,0,0,7,0,13,13,0,0,5,0,13,8,0,0,6,0,13,58,54,51,1077,15,1254,26,13,3,70,0,115,6,0,0,0,0,0,5,7,0,17,0,21,0,0,0,4,0,0,9,0,0,13,0,17,13,3,0,5,0,25,19,14,11,7,0,57,12,4,4,8,0,28,8,0,0,3,0,11,7,5,0,0,0,14,64,38,37,920,15,1076,6,0,0,0,0,4,10,0,0,0,0,9,7,4,0,11,0,18,7,0,0,0,0,7,4,0,0,0,0,10,7,0,0,29,0,46,123,24,28,97,0,283,6,8,5,131,595,744,776,423,337,8059,763,10357,31,283,214,4261
LGA13450,303,6442,154,7729,3,0,4,151,5,163,291,6,10,39,5,349,3,0,0,5,0,10,59,28,17,53,0,156,682,437,285,5480,129,7015,223,0,23,0,8,252,30,0,5,31,0,69,114,51,30,601,10,803,11,7,5,25,0,44,0,4,0,6,0,5,939,14,7,9,8,970,106,81,69,1829,30,2114,2609,678,233,2807,94,6424,23,0,0,0,0,19,26,3,3,16,0,55,7,0,0,0,0,12,20,4,4,7,0,37,70,3,0,0,4,82,77,23,14,16,9,138,13,8,8,10,0,45,10,0,6,3,0,20,234,17,13,6,21,288,136,114,91,1371,26,1730,3,0,3,5,0,8,53,7,0,3,0,68,96,14,13,35,0,157,17,0,0,0,0,17,5,0,0,0,0,5,11,6,5,48,3,74,1909,147,62,115,55,2288,118,18,11,190,2171,2505,7253,1448,772,13546,2618,25635,369,658,377,6194
LGA13550,180,5698,129,6263,0,0,0,121,0,125,52,0,6,37,0,97,0,5,0,0,0,9,42,15,10,44,0,107,244,186,149,3932,84,4597,45,6,5,0,0,61,11,4,0,33,0,44,50,31,24,443,7,563,6,6,4,17,0,36,5,0,0,0,0,4,16,3,0,3,0,22,40,30,36,1233,23,1360,19,7,0,75,4,107,8,0,0,0,0,14,0,0,0,12,0,14,0,0,0,0,0,3,11,4,3,14,0,23,25,8,3,4,0,41,19,7,10,15,0,52,11,3,0,11,0,24,5,0,3,4,0,10,0,0,0,4,0,6,68,49,36,990,23,1164,0,0,0,0,0,0,34,0,5,4,0,39,9,5,0,4,0,19,6,0,0,0,0,6,6,0,5,0,0,13,17,6,0,24,0,52,187,19,17,104,0,327,8,0,5,157,808,978,794,371,291,9720,1038,12214,38,224,218,5350
LGA13660,63,2322,49,2506,0,0,0,4,0,4,3,7,0,15,0,21,0,0,0,0,0,0,6,4,0,12,0,32,113,81,76,1909,47,2222,12,0,0,0,0,12,0,0,0,4,0,8,25,9,6,179,0,212,0,4,0,4,0,7,4,0,5,0,0,10,6,0,0,0,0,10,26,15,13,460,12,521,9,0,5,33,0,40,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,3,0,3,0,0,4,3,0,0,0,0,7,3,0,5,0,0,10,0,0,0,0,0,0,24,21,19,484,3,549,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,13,36,7,7,35,0,87,3,0,4,71,469,554,246,133,113,4200,557,5255,8,83,72,2071
LGA13800,1888,21973,367,27250,0,20,10,258,6,292,493,31,40,113,3,681,200,36,30,98,9,365,539,187,135,386,12,1266,4039,2418,1824,17810,371,26470,288,9,56,9,7,362,110,22,22,144,0,301,642,240,164,1358,36,2437,203,54,24,182,4,479,142,27,17,41,3,233,208,19,29,15,7,277,907,568,355,5493,83,7404,647,316,117,1091,23,2192,33,0,5,3,0,46,176,69,30,110,4,389,176,26,21,47,0,274,1294,348,188,1291,37,3151,156,42,25,18,0,239,246,146,114,66,0,571,208,58,37,159,0,458,71,18,18,51,4,155,27,16,11,0,0,51,975,511,384,4157,78,6103,58,14,12,18,0,99,159,41,22,13,0,237,155,17,7,54,0,235,34,18,4,0,0,63,69,0,10,0,0,80,161,57,25,188,3,430,1671,423,320,657,26,3102,98,40,18,357,3405,3919,11785,5010,3484,40092,4219,64591,494,2779,2047,22112
LGA13850,24,1246,24,1369,0,5,0,16,0,20,8,0,0,3,0,12,0,0,0,0,0,0,8,0,0,4,0,13,66,48,36,967,26,1140,8,0,4,0,0,14,3,5,0,3,0,12,7,3,0,48,0,64,9,8,0,0,0,17,0,0,0,0,0,0,12,0,0,0,0,11,8,14,5,308,3,339,31,10,0,38,6,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,17,0,0,0,0,19,6,10,0,0,0,15,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,21,7,13,231,5,267,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,0,8,72,10,7,20,4,107,0,0,0,36,317,358,243,113,55,2163,367,2945,7,59,34,1086
LGA13910,294,7849,178,8757,0,3,5,47,0,55,59,0,15,28,4,101,20,0,0,3,0,27,70,25,17,47,0,163,498,358,287,6303,154,7601,53,4,11,4,0,66,22,3,7,44,0,75,78,37,29,527,7,674,10,3,0,26,0,41,8,4,0,7,0,15,47,3,0,4,0,48,81,86,55,2476,39,2739,58,31,0,112,10,205,7,0,0,0,0,3,125,29,20,28,4,213,9,0,0,0,0,11,21,9,5,21,0,58,15,4,4,10,0,32,19,8,11,17,0,54,27,4,0,9,0,40,10,0,4,0,0,19,5,6,0,0,0,10,147,105,54,1373,25,1698,33,0,15,0,0,51,8,4,0,0,0,15,3,0,0,9,0,11,8,0,0,0,0,6,3,0,0,0,0,3,13,4,7,42,0,79,239,45,43,103,8,438,21,7,4,242,1075,1352,1445,701,550,14382,1412,18497,96,414,314,7492
LGA14000,4169,26159,324,37363,3,6,11,88,0,104,18807,232,539,333,167,20076,304,61,42,108,9,525,1013,320,144,372,13,1861,10791,4650,3335,24098,426,43299,2145,42,154,22,22,2379,449,88,56,313,9,919,1431,422,304,2039,43,4229,505,113,76,321,10,1021,362,63,31,69,4,528,7643,110,88,50,32,7919,2253,1149,846,9521,116,13896,1971,565,258,1608,41,4440,3509,14,71,19,10,3619,1259,181,157,460,19,2073,48,8,14,6,0,74,297,112,60,178,6,649,178,43,18,12,4,256,704,286,226,121,0,1343,762,93,78,167,7,1111,779,42,60,105,5,994,63,9,3,0,0,74,2281,1173,849,7285,108,11697,149,24,15,22,0,209,1103,113,76,17,0,1312,719,38,36,65,4,855,1557,61,31,18,6,1674,663,8,51,4,4,739,426,101,65,376,10,975,13768,1128,1148,1262,119,17417,411,45,40,301,4975,5767,67611,9642,7487,51772,6159,142666,1714,5426,4624,25138
LGA14100,454,2695,29,3908,0,0,0,13,0,13,1005,50,74,49,15,1188,57,10,10,29,0,102,86,39,20,31,0,172,912,521,348,2573,43,4401,73,5,9,3,0,87,43,16,9,42,0,113,123,48,28,260,0,454,233,48,32,146,7,462,49,13,8,28,7,104,192,14,14,8,3,231,294,189,136,1510,16,2148,447,127,67,393,10,1047,96,3,7,7,0,119,127,46,24,89,3,295,32,0,0,9,0,36,42,23,6,24,0,97,17,0,4,6,0,24,90,48,20,11,0,171,98,21,9,16,4,143,38,4,5,19,18,90,3,0,0,0,0,3,229,154,92,806,6,1290,46,3,8,18,0,70,58,26,18,0,3,103,50,4,4,9,0,71,36,11,0,0,0,45,73,5,3,0,0,81,45,10,8,45,0,105,950,162,138,182,67,1502,40,4,5,32,800,878,4762,1301,906,6051,986,13999,120,658,421,2337
LGA14170,5221,27375,467,41912,11,49,10,443,15,528,13009,408,598,569,130,14713,788,134,84,230,9,1253,857,365,238,479,11,1951,14149,6336,4451,27023,562,52526,2397,53,269,52,32,2809,961,162,107,408,21,1657,1921,697,440,2844,61,5956,5096,614,328,1411,90,7542,491,145,66,143,8,858,3399,145,138,61,23,3770,4981,2337,1533,15467,238,24553,6562,1378,619,2976,121,11665,1008,25,58,37,9,1138,2026,298,216,518,25,3083,526,67,24,56,7,672,585,201,122,331,16,1259,479,83,53,22,3,645,1300,358,321,108,23,2113,1039,197,162,320,10,1724,656,75,86,149,10,967,185,23,16,5,9,242,3789,1699,1213,9338,142,16187,540,65,50,57,8,719,524,116,59,33,3,737,1333,125,78,161,7,1711,450,41,43,29,4,557,3920,60,132,47,38,4200,597,177,108,597,4,1484,20053,2196,1707,2263,242,26469,590,64,71,432,12738,13887,80644,14800,10562,61490,14533,182037,1986,8130,6116,28086
LGA14220,271,7624,198,8462,0,0,4,150,6,161,49,4,0,89,3,150,4,0,0,4,0,7,59,10,10,47,0,130,427,307,244,5798,175,6955,149,0,11,0,0,164,27,4,4,50,0,85,122,38,25,698,16,903,7,6,0,16,5,30,19,0,0,3,0,19,21,4,0,4,0,36,75,56,31,1604,29,1789,49,27,10,123,4,221,22,0,0,0,0,22,12,0,0,9,0,24,0,0,0,0,0,0,8,0,0,13,0,29,15,8,0,16,0,43,15,12,14,17,0,54,13,11,7,24,0,51,4,0,4,3,0,12,0,0,0,0,0,0,106,74,56,1456,34,1729,0,0,0,0,0,4,11,4,0,4,0,25,20,0,3,8,0,32,4,0,0,0,0,4,19,0,0,0,0,23,20,7,0,42,0,70,282,51,35,83,10,456,40,3,6,182,1246,1479,1323,592,434,13475,1636,17467,29,323,257,7006
LGA14300,81,2284,38,2520,0,0,0,22,3,27,67,0,0,11,4,77,4,0,0,0,0,0,12,3,3,19,0,38,126,95,89,1749,35,2090,23,0,0,0,0,24,0,0,0,22,3,24,30,14,5,223,0,276,0,0,0,4,0,10,0,0,0,0,0,3,8,0,0,0,0,6,25,21,16,610,12,688,4,4,0,35,0,46,7,0,0,0,0,5,0,0,0,0,0,6,0,0,0,4,0,4,4,0,0,7,0,15,17,6,0,0,0,24,8,6,0,3,0,20,8,0,3,7,0,16,3,0,0,0,0,3,0,0,0,0,0,0,29,21,17,369,9,447,3,3,0,0,0,3,3,6,4,0,0,8,9,0,0,3,0,12,3,0,0,0,0,6,0,0,0,0,0,0,4,0,0,3,0,10,75,12,14,33,0,134,11,5,3,81,1316,1419,416,183,152,4137,1402,6295,11,119,99,2209
LGA14350,503,11509,269,13073,0,7,8,698,23,731,100,4,4,38,5,149,12,5,6,5,0,26,129,46,17,56,3,255,1017,641,471,9243,242,11613,104,0,40,7,0,158,28,10,6,78,3,124,161,53,48,742,21,1021,29,15,5,40,0,83,17,7,0,8,0,40,61,4,8,13,0,84,190,130,74,2782,57,3229,64,42,20,240,3,364,6,0,0,0,0,9,8,12,0,24,0,38,0,0,0,0,0,9,58,13,12,69,0,146,25,19,8,16,0,63,58,42,21,30,4,145,49,8,3,15,5,76,15,7,0,10,0,35,16,9,0,0,0,18,265,139,122,1849,38,2411,4,0,0,0,0,6,23,0,5,4,0,35,33,3,0,20,0,59,4,0,0,0,0,9,9,7,0,0,0,21,41,17,8,84,4,156,402,108,77,218,21,818,21,16,6,338,2788,3167,2436,1233,877,20999,3344,28886,91,788,547,10775
