LGA_CODE_2021,Per_age_15over_C11_M,Per_age_15over_C11_F,Per_age_15over_C11_P,Per_age_15over_C16_M,Per_age_15over_C16_F,Per_age_15over_C16_P,Per_age_15over_C21_M,Per_age_15over_C21_F,Per_age_15over_C21_P,Lfs_Em_FT_C11_M,Lfs_Em_FT_C11_F,Lfs_Em_FT_C11_P,Lfs_Em_FT_C16_M,Lfs_Em_FT_C16_F,Lfs_Em_FT_C16_P,Lfs_Em_FT_C21_M,Lfs_Em_FT_C21_F,Lfs_Em_FT_C21_P,Lfs_Em_PT_C11_M,Lfs_Em_PT_C11_F,Lfs_Em_PT_C11_P,Lfs_Em_PT_C16_M,Lfs_Em_PT_C16_F,Lfs_Em_PT_C16_P,Lfs_Em_PT_C21_M,Lfs_Em_PT_C21_F,Lfs_Em_PT_C21_P,Lfs_Em_AFWr_C11_M,Lfs_Em_AFWr_C11_F,Lfs_Em_AFWr_C11_P,Lfs_Em_AFWr_C16_M,Lfs_Em_AFWr_C16_F,Lfs_Em_AFWr_C16_P,Lfs_Em_AFWr_C21_M,Lfs_Em_AFWr_C21_F,Lfs_Em_AFWr_C21_P,Lfs_Unem_LFW_C11_M,Lfs_Unem_LFW_C11_F,Lfs_Unem_LFW_C11_P,Lfs_Unem_LFW_C16_M,Lfs_Unem_LFW_C16_F,Lfs_Unem_LFW_C16_P,Lfs_Unem_LFW_C21_M,Lfs_Unem_LFW_C21_F,Lfs_Unem_LFW_C21_P,Lfs_Tot_LForc_C11_M,Lfs_Tot_LForc_C11_F,Lfs_Tot_LForc_C11_P,Lfs_Tot_LForc_C16_M,Lfs_Tot_LForc_C16_F,Lfs_Tot_LForc_C16_P,Lfs_Tot_LForc_C21_M,Lfs_Tot_LForc_C21_F,Lfs_Tot_LForc_C21_P,N_LForc_C11_M,N_LForc_C11_F,N_LForc_C11_P,N_LForc_C16_M,N_LForc_C16_F,N_LForc_C16_P,N_LForc_C21_M,N_LForc_C21_F,N_LForc_C21_P,Pcnt_Unemp_C11_M,Pcnt_Unemp_C11_F,Pcnt_Unemp_C11_P,Pcnt_Unemp_C16_M,Pcnt_Unemp_C16_F,Pcnt_Unemp_C16_P,Pcnt_Unemp_C21_M,Pcnt_Unemp_C21_F,Pcnt_Unemp_C21_P,Pcnt_LForc_prt_C11_M,Pcnt_LForc_prt_C11_F,Pcnt_LForc_prt_C11_P,Pcnt_LForc_prt_C16_M,Pcnt_LForc_prt_C16_F,Pcnt_LForc_prt_C16_P,Pcnt_LForc_prt_C21_M,Pcnt_LForc_prt_C21_F,Pcnt_LForc_prt_C21_P,Pcnt_Emp_to_pop_C11_M,Pcnt_Emp_to_pop_C11_F,Pcnt_Emp_to_pop_C11_P,Pcnt_Emp_to_pop_C16_M,Pcnt_Emp_to_pop_C16_F,Pcnt_Emp_to_pop_C16_P,Pcnt_Emp_to_pop_C21_M,Pcnt_Emp_to_pop_C21_F,Pcnt_Emp_to_pop_C21_P,H_no_sc_qu_Po_De_C11_M,H_no_sc_qu_Po_De_C11_F,H_no_sc_qu_Po_De_C11_P,H_no_sc_qu_Po_De_C16_M,H_no_sc_qu_Po_De_C16_F,H_no_sc_qu_Po_De_C16_P,H_no_sc_qu_Po_De_C21_M,H_no_sc_qu_Po_De_C21_F,H_no_sc_qu_Po_De_C21_P,H_n_s_q_Gr_D_G_Ce_C11_M,H_n_s_q_Gr_D_G_Ce_C11_F,H_n_s_q_Gr_D_G_Ce_C11_P,H_n_s_q_Gr_D_G_Ce_C16_M,H_n_s_q_Gr_D_G_Ce_C16_F,H_n_s_q_Gr_D_G_Ce_C16_P,H_n_s_q_Gr_D_G_Ce_C21_M,H_n_s_q_Gr_D_G_Ce_C21_F,H_n_s_q_Gr_D_G_Ce_C21_P,H_n_s_q_BD_C11_M,H_n_s_q_BD_C11_F,H_n_s_q_BD_C11_P,H_n_s_q_BD_C16_M,H_n_s_q_BD_C16_F,H_n_s_q_BD_C16_P,H_n_s_q_BD_C21_M,H_n_s_q_BD_C21_F,H_n_s_q_BD_C21_P,H_n_s_q_AdDip_DL_C11_M,H_n_s_q_AdDip_DL_C11_F,H_n_s_q_AdDip_DL_C11_P,H_n_s_q_AdDip_DL_C16_M,H_n_s_q_AdDip_DL_C16_F,H_n_s_q_AdDip_DL_C16_P,H_n_s_q_AdDip_DL_C21_M,H_n_s_q_AdDip_DL_C21_F,H_n_s_q_AdDip_DL_C21_P,H_n_s_q_Cert_III_IV_C11_M,H_n_s_q_Cert_III_IV_C11_F,H_n_s_q_Cert_III_IV_C11_P,H_n_s_q_Cert_III_IV_C16_M,H_n_s_q_Cert_III_IV_C16_F,H_n_s_q_Cert_III_IV_C16_P,H_n_s_q_Cert_III_IV_C21_M,H_n_s_q_Cert_III_IV_C21_F,H_n_s_q_Cert_III_IV_C21_P,H_n_s_q_Cert_I_II_C11_M,H_n_s_q_Cert_I_II_C11_F,H_n_s_q_Cert_I_II_C11_P,H_n_s_q_Cert_I_II_C16_M,H_n_s_q_Cert_I_II_C16_F,H_n_s_q_Cert_I_II_C16_P,H_n_s_q_Cert_I_II_C21_M,H_n_s_q_Cert_I_II_C21_F,H_n_s_q_Cert_I_II_C21_P,H_n_s_q_Cert_Lev_nfd_C11_M,H_n_s_q_Cert_Lev_nfd_C11_F,H_n_s_q_Cert_Lev_nfd_C11_P,H_n_s_q_Cert_Lev_nfd_C16_M,H_n_s_q_Cert_Lev_nfd_C16_F,H_n_s_q_Cert_Lev_nfd_C16_P,H_n_s_q_Cert_Lev_nfd_C21_M,H_n_s_q_Cert_Lev_nfd_C21_F,H_n_s_q_Cert_Lev_nfd_C21_P,H_n_s_q_Cert_Lev_Tot_C11_M,H_n_s_q_Cert_Lev_Tot_C11_F,H_n_s_q_Cert_Lev_Tot_C11_P,H_n_s_q_Cert_Lev_Tot_C16_M,H_n_s_q_Cert_Lev_Tot_C16_F,H_n_s_q_Cert_Lev_Tot_C16_P,H_n_s_q_Cert_Lev_Tot_C21_M,H_n_s_q_Cert_Lev_Tot_C21_F,H_n_s_q_Cert_Lev_Tot_C21_P,Mi_Liv_SA_1yr_ag_C11_M,Mi_Liv_SA_1yr_ag_C11_F,Mi_Liv_SA_1yr_ag_C11_P,Mi_Liv_SA_1yr_ag_C16_M,Mi_Liv_SA_1yr_ag_C16_F,Mi_Liv_SA_1yr_ag_C16_P,Mi_Liv_SA_1yr_ag_C21_M,Mi_Liv_SA_1yr_ag_C21_F,Mi_Liv_SA_1yr_ag_C21_P,Mi_Liv_DA_1yr_ag_C11_M,Mi_Liv_DA_1yr_ag_C11_F,Mi_Liv_DA_1yr_ag_C11_P,Mi_Liv_DA_1yr_ag_C16_M,Mi_Liv_DA_1yr_ag_C16_F,Mi_Liv_DA_1yr_ag_C16_P,Mi_Liv_DA_1yr_ag_C21_M,Mi_Liv_DA_1yr_ag_C21_F,Mi_Liv_DA_1yr_ag_C21_P,Mi_Liv_SA_5yrs_ag_C11_M,Mi_Liv_SA_5yrs_ag_C11_F,Mi_Liv_SA_5yrs_ag_C11_P,Mi_Liv_SA_5yrs_ag_C16_M,Mi_Liv_SA_5yrs_ag_C16_F,Mi_Liv_SA_5yrs_ag_C16_P,Mi_Liv_SA_5yrs_ag_C21_M,Mi_Liv_SA_5yrs_ag_C21_F,Mi_Liv_SA_5yrs_ag_C21_P,Mi_Liv_DA_5yrs_ag_C11_M,Mi_Liv_DA_5yrs_ag_C11_F,Mi_Liv_DA_5yrs_ag_C11_P,Mi_Liv_DA_5yrs_ag_C16_M,Mi_Liv_DA_5yrs_ag_C16_F,Mi_Liv_DA_5yrs_ag_C16_P,Mi_Liv_DA_5yrs_ag_C21_M,Mi_Liv_DA_5yrs_ag_C21_F,Mi_Liv_DA_5yrs_ag_C21_P
LGA11730,19784,20660,40444,20767,21596,42364,22587,22870,45462,6407,3349,9762,6065,3368,9431,6517,4090,10608,2241,4535,6778,2422,4575,6992,2732,5002,7734,661,563,1233,556,580,1137,704,732,1433,972,765,1739,977,759,1740,747,556,1302,10279,9217,19501,10019,9287,19304,10695,10379,21077,8563,10567,19130,9156,10755,19914,10282,10890,21170,9.4,8.3,8.9,9.8,8.2,9,7,5.4,6.2,52,44.6,48.2,48.2,43,45.6,47.4,45.4,46.4,47.1,40.9,43.9,43.5,39.5,41.5,44.1,42.9,43.5,226,181,408,288,289,574,392,435,826,154,256,418,196,311,504,230,465,697,1029,1598,2633,1183,1947,3132,1432,2417,3844,935,1405,2343,1135,1880,3008,1273,2218,3489,5385,2416,7799,5740,2935,8672,6186,3613,9799,224,470,695,228,433,666,282,517,794,261,580,840,399,761,1159,421,699,1118,5870,3461,9335,6366,4130,10497,6881,4828,11710,19763,20341,40098,19254,19773,39027,20634,21248,41886,3243,3604,6841,3197,3368,6562,3251,3479,6733,13424,13782,27206,13691,13895,27587,14223,14191,28416,8194,8852,17043,7814,8439,16254,8455,9368,17833
LGA11750,1878,1714,3598,1833,1722,3554,1648,1578,3227,1102,461,1565,945,463,1411,811,451,1265,103,381,481,104,339,452,117,313,426,90,70,161,83,73,153,86,71,153,58,47,106,72,41,112,32,32,61,1350,959,2313,1211,919,2126,1043,859,1901,358,634,989,396,610,1001,347,474,817,4.1,4.9,4.4,6,4.6,5.4,3,3.4,3.2,71.9,56,64.3,66,53.2,59.8,63.2,54.5,58.9,68.9,53.2,61.4,62,50.8,56.6,61.3,52.7,57.1,15,14,30,22,25,51,17,21,43,9,15,19,15,20,33,7,18,27,94,137,226,103,146,249,90,151,241,47,87,130,49,123,175,50,111,163,542,198,739,534,213,746,472,221,694,7,38,46,13,39,52,5,32,41,12,22,36,22,27,50,16,34,44,557,260,818,571,281,846,495,279,770,1728,1628,3363,1694,1600,3295,1435,1372,2808,442,401,845,295,297,592,272,292,566,1088,989,2075,1126,1029,2160,968,928,1895,925,871,1788,744,739,1484,626,635,1255
LGA11800,26514,28795,55306,28554,31041,59593,30944,33851,64798,9770,5682,15444,10124,6192,16312,10821,7241,18067,3590,7097,10686,4004,7719,11726,4882,8875,13763,884,970,1858,738,845,1583,1014,1218,2227,1448,1085,2533,1305,1037,2343,1072,847,1911,15693,14831,30524,16177,15797,31965,17785,18181,35969,9417,12558,21968,10128,12869,23001,11130,13496,24626,9.2,7.3,8.3,8.1,6.6,7.3,6,4.6,5.3,59.2,51.5,55.2,56.6,50.9,53.6,57.5,53.7,55.5,53.7,47.7,50.6,52.1,47.5,49.7,54,51.2,52.6,489,422,907,600,650,1246,918,1160,2076,229,434,660,339,599,939,440,910,1356,2236,3202,5437,2648,3985,6632,3304,5047,8352,1574,2634,4210,1973,3457,5436,2291,3923,6214,7315,3354,10669,7841,3868,11703,8436,4925,13360,322,623,945,334,690,1018,348,606,960,348,759,1104,513,1006,1517,576,926,1507,7983,4731,12717,8688,5558,14243,9362,6463,15825,25934,27506,53442,26444,28007,54454,29759,31824,61579,5402,5939,11339,5292,5840,11140,5433,5957,11391,16617,17414,34031,17277,18031,35311,19003,20173,39170,12747,13986,26734,13273,14729,27994,14388,15872,30265
LGA12000,1552,1628,3182,1673,1754,3428,1730,1793,3522,747,359,1100,697,374,1071,804,464,1267,131,347,482,153,384,541,172,437,610,58,57,116,50,63,115,47,61,110,33,31,63,56,42,103,41,31,71,970,795,1760,966,860,1826,1060,990,2052,495,742,1241,535,687,1226,551,700,1253,3.3,3.8,3.5,5.7,5.2,5.5,3.8,3.1,3.5,62.2,48.9,55.4,57.4,49.3,53.2,61.4,55.1,58.2,60.1,47,53.4,54.1,46.7,50.3,59.1,53.4,56.2,23,20,39,17,28,49,33,43,73,10,22,32,8,25,31,17,47,58,74,164,234,79,192,268,89,234,322,67,113,177,82,141,222,91,153,248,359,142,501,434,213,642,480,251,726,13,31,44,20,35,55,18,35,45,10,31,40,31,54,80,19,39,63,384,203,585,485,295,779,520,326,838,1663,1746,3407,1631,1644,3279,1739,1771,3506,210,233,445,234,230,464,267,291,559,1267,1289,2551,1172,1211,2386,1228,1252,2481,507,574,1081,618,584,1201,660,712,1371
LGA12150,1601,1570,3171,1553,1574,3122,1413,1502,2916,698,381,1079,548,351,902,524,362,890,132,288,418,135,259,391,135,262,399,70,48,118,61,69,125,50,50,97,89,56,146,76,66,140,53,40,99,988,763,1752,826,739,1563,762,718,1487,500,712,1210,464,581,1039,461,566,1027,8.8,7.3,8.2,9.3,8.4,8.9,7.3,6,6.7,61.8,48.8,55.3,53.1,46.8,50,54,47.8,50.8,56.3,45.2,50.8,48.1,42.9,45.5,50,44.9,47.4,3,14,19,10,22,26,12,35,40,3,22,23,0,14,19,0,19,18,48,119,169,59,137,196,69,160,226,62,102,164,47,106,160,56,101,155,279,127,403,270,167,433,255,187,442,10,31,36,11,33,43,6,33,42,22,24,48,16,33,53,22,18,32,307,188,488,301,234,535,286,235,519,1618,1626,3243,1385,1394,2779,1352,1322,2674,264,255,523,207,219,430,212,237,452,1246,1220,2471,1035,1010,2043,993,943,1936,518,549,1066,473,515,986,431,509,943
LGA12160,4315,4514,8825,4435,4690,9128,4632,4799,9429,1875,922,2796,1705,917,2621,1692,954,2646,408,983,1381,468,1019,1487,481,1035,1513,162,135,290,140,134,273,176,165,344,124,109,237,138,122,252,109,84,189,2561,2139,4707,2450,2182,4632,2453,2235,4685,1511,2143,3657,1648,2166,3817,1792,2206,4004,4.9,5.1,5,5.5,5.5,5.5,4.4,3.6,4.1,59.5,47.4,53.3,55.3,46.5,50.8,53,46.6,49.7,56.5,45,50.7,52.3,44,48,50.6,44.9,47.7,40,37,70,42,59,102,66,78,146,34,50,85,20,60,83,37,78,113,193,370,563,232,416,650,260,500,758,189,292,478,243,409,649,271,462,728,1082,499,1573,1139,565,1704,1171,658,1824,32,98,135,43,106,151,57,93,149,54,111,167,70,136,209,85,135,221,1169,712,1878,1256,802,2061,1312,882,2193,4474,4644,9119,4347,4461,8804,4456,4562,9019,613,664,1276,626,666,1296,618,623,1243,3321,3358,6675,3201,3281,6483,3208,3242,6457,1470,1630,3106,1536,1644,3180,1623,1713,3337
LGA12350,4861,4978,9835,5069,5227,10299,5219,5344,10563,1974,898,2874,1932,949,2878,2011,1046,3060,473,1092,1565,492,1156,1645,534,1220,1764,139,157,293,137,151,288,152,190,340,190,156,342,181,157,338,140,138,277,2774,2304,5079,2743,2404,5148,2842,2593,5443,1727,2366,4094,1916,2383,4295,1914,2339,4255,6.7,6.8,6.8,6.7,6.4,6.5,5,5.3,5.1,57.1,46.3,51.6,54.1,46,50,54.5,48.6,51.5,53.2,43.1,48.1,50.5,43.1,46.7,51.8,46,48.8,35,29,65,50,46,100,69,82,155,19,61,76,31,73,100,34,107,143,238,372,604,252,472,728,302,524,825,216,361,576,214,452,670,257,526,781,1146,512,1657,1322,622,1943,1384,776,2159,53,99,152,48,114,163,69,118,184,57,116,179,78,158,231,72,131,204,1251,727,1980,1448,896,2343,1525,1020,2548,4904,4979,9881,4843,4910,9754,4969,5014,9980,723,723,1447,670,738,1408,700,759,1460,3548,3618,7164,3479,3433,6909,3531,3472,7001,1757,1741,3505,1775,1957,3731,1860,2042,3899
LGA12380,76119,76312,152434,88381,83328,171711,97436,91112,188553,31324,18011,49336,35292,19321,54615,26889,18881,45769,9440,11796,21233,12771,14559,27326,12070,14048,26119,2956,2308,5261,2741,2156,4901,8425,5716,14142,3793,3153,6947,5259,3845,9103,4664,3154,7816,47514,35261,82776,56061,39881,95939,52048,41798,93846,22749,35934,58689,26863,38475,65341,37017,42369,79389,8,8.9,8.4,9.4,9.6,9.5,9,7.5,8.3,62.4,46.2,54.3,63.4,47.9,55.9,53.4,45.9,49.8,57.4,42.1,49.7,57.5,43.2,50.6,48.6,42.4,45.6,3843,2910,6750,5494,4574,10072,8078,6837,14913,603,669,1270,753,965,1717,940,1451,2400,9076,10197,19270,12668,13590,26254,15953,17016,32966,5724,6454,12182,6731,7829,14554,7914,9013,16921,11270,4881,16155,11359,5422,16778,10986,5933,16923,540,1067,1614,532,951,1483,553,994,1551,747,1320,2064,1237,1660,2891,1238,1710,2951,12560,7266,19822,13123,8035,21160,12783,8642,21425,76388,77114,153502,84094,82017,166107,92791,89006,181794,12631,12163,24793,17482,14329,31813,18242,15794,34039,48939,50033,98975,52625,53466,106090,56900,57208,114110,33106,32480,65591,43352,37423,80774,46814,41186,88003
LGA12390,17759,19079,36841,19223,20480,39701,21267,22146,43414,8669,5332,14003,8867,5693,14560,9714,6652,16359,1731,4445,6173,1855,4528,6379,2358,5088,7447,585,664,1253,538,660,1200,700,872,1574,673,549,1220,736,648,1380,534,418,946,11659,10994,22647,11999,11527,23528,13302,13031,26334,5135,7203,12333,5678,7324,12996,6025,7205,13227,5.8,5,5.4,6.1,5.6,5.9,4,3.2,3.6,65.6,57.6,61.5,62.4,56.3,59.3,62.6,58.8,60.7,61.8,54.7,58.2,58.6,53.1,55.8,60.1,56.9,58.5,225,254,481,358,440,803,693,845,1536,137,292,427,192,375,572,216,523,732,1114,2164,3282,1395,2664,4056,1819,3309,5130,792,1361,2148,1009,1839,2850,1191,2068,3264,4609,2364,6971,5088,2748,7841,5455,3225,8677,213,470,681,178,449,627,192,427,622,212,466,677,303,555,852,301,549,847,5035,3294,8329,5562,3751,9316,5951,4197,10152,17994,19095,37081,17786,18765,36553,19729,20977,40706,3267,3673,6940,3484,3819,7298,3772,3964,7736,11637,12291,23930,11728,12314,24046,12539,13022,25557,7875,8916,16791,8370,9149,17523,9422,10338,19761
LGA12700,3390,3369,6758,3624,3689,7315,3862,3911,7769,1520,684,2203,1484,770,2254,1635,859,2488,373,890,1261,469,932,1398,500,1052,1548,142,117,259,122,108,235,174,185,366,113,60,177,120,102,220,85,72,153,2144,1757,3896,2194,1920,4111,2393,2166,4558,1100,1458,2556,1150,1487,2644,1302,1558,2863,5.2,3.6,4.5,5.4,5.5,5.4,3.4,3.3,3.3,63.2,52.2,57.7,60.5,52,56.2,61.9,55.4,58.6,59.9,50.3,55.1,57.2,49.1,53.2,59.8,53.5,56.7,50,53,104,68,71,134,105,123,224,24,52,75,33,68,96,34,87,119,206,346,553,232,417,647,319,529,844,194,311,502,234,427,660,263,467,727,982,404,1392,1135,468,1604,1292,644,1933,26,57,76,26,72,97,30,66,100,39,94,132,61,120,186,59,124,181,1046,552,1600,1223,661,1882,1383,838,2219,3567,3469,7033,3638,3620,7257,4015,3982,7996,415,459,877,457,483,944,491,533,1027,2599,2506,5103,2679,2582,5262,2820,2760,5575,1130,1211,2344,1206,1323,2530,1467,1542,3010
LGA12730,3407,3529,6943,3555,3714,7272,3377,3596,6972,1612,780,2389,1487,810,2303,1430,876,2310,306,879,1183,391,885,1270,350,882,1236,137,138,277,119,117,232,120,118,236,76,81,160,105,95,199,77,64,140,2141,1873,4013,2101,1905,4010,1978,1943,3918,1029,1463,2490,1093,1436,2523,1061,1318,2382,3.7,4.3,4,5,4.9,5,4,3.2,3.6,62.8,53,57.8,59.1,51.3,55.1,58.6,54,56.2,60.4,50.7,55.5,56.1,48.8,52.4,56.2,52.3,54.2,32,30,59,37,50,91,53,65,117,8,57,64,21,68,84,24,92,115,166,320,488,194,370,563,210,421,634,183,251,436,183,325,508,202,327,531,799,435,1236,875,461,1337,872,507,1375,25,59,84,34,64,97,27,50,78,44,77,118,62,79,140,43,64,105,863,569,1436,969,603,1573,946,619,1568,3445,3544,6987,3320,3420,6742,3213,3337,6557,526,608,1132,506,531,1035,475,491,965,2530,2545,5071,2403,2425,4828,2309,2348,4659,1177,1334,2513,1220,1321,2545,1185,1299,2480
LGA12750,14549,15306,29856,15525,16388,31914,17004,17964,34972,4097,2316,6408,4011,2474,6482,4544,2960,7501,1856,3336,5194,2092,3572,5664,2396,3967,6360,474,447,927,394,435,835,591,644,1241,601,416,1014,568,418,986,385,265,646,7031,6514,13546,7059,6905,13959,7918,7832,15744,6596,7929,14525,7133,8119,15257,7782,8832,16614,8.6,6.3,7.5,8,6.1,7.1,4.9,3.3,4.1,48.3,42.6,45.4,45.5,42.1,43.7,46.6,43.6,45,44.2,39.9,42,41.8,39.6,40.7,44.3,42.1,43.2,267,234,499,353,360,712,543,666,1207,175,299,479,230,391,622,267,538,807,1046,1402,2451,1219,1733,2953,1566,2275,3842,799,1338,2136,1037,1623,2658,1227,2026,3249,4251,1666,5924,4525,1960,6490,4869,2446,7314,136,288,426,168,272,440,177,326,506,187,390,576,310,591,895,334,553,889,4576,2345,6923,5003,2820,7824,5385,3320,8707,14020,14578,28602,14034,14562,28592,15489,16115,31601,2415,2557,4974,2364,2500,4866,2578,2779,5352,9671,9851,19526,9652,9865,19514,10150,10555,20706,5876,6468,12347,6275,6741,13014,7137,7599,14739
LGA12850,72852,76692,149548,78427,82457,160880,83678,87551,171228,28537,16085,44626,28540,16688,45227,18956,13723,32677,7606,11330,18937,9447,13186,22633,7980,10518,18496,2791,2263,5047,2233,1810,4044,7249,5413,12658,4052,3288,7343,4517,3913,8427,3519,2550,6070,42991,32963,75949,44729,35599,80328,37699,32203,69900,25928,39908,65837,29720,42934,72659,40198,49496,89693,9.4,10,9.7,10.1,11,10.5,9.3,7.9,8.7,59,43,50.8,57,43.2,49.9,45,36.8,40.8,53.4,38.7,45.9,51.3,38.4,44.7,40.8,33.9,37.3,853,773,1624,1236,1385,2615,1585,1801,3386,212,323,536,277,505,782,371,748,1117,5403,6267,11673,6862,7945,14810,8406,9865,18272,4172,5211,9386,4947,6588,11535,5321,7021,12338,10978,5098,16070,11573,5786,17363,10849,6305,17150,581,1133,1717,571,1151,1723,619,1115,1735,716,1330,2044,1164,1682,2843,1074,1625,2697,12273,7556,19834,13311,8617,21926,12540,9043,21583,78570,81139,159710,80436,83420,163858,86348,89025,175368,8852,9366,18217,10449,10694,21144,9415,9598,19015,57482,59192,116677,58717,60806,119529,61763,63924,125692,24044,25656,49704,28051,29148,57199,29227,30084,59309
LGA12870,4989,4915,9899,5060,5122,10184,5374,5505,10875,2239,962,3204,1996,941,2937,2105,1102,3210,446,1124,1574,480,1172,1650,549,1292,1844,177,172,349,187,195,380,183,227,411,127,119,250,130,125,255,105,85,189,2990,2386,5379,2797,2429,5228,2940,2712,5654,1730,2294,4019,1807,2245,4048,2020,2389,4413,4.2,5.1,4.6,4.7,5.2,4.9,3.6,3.1,3.4,60,48.5,54.3,55.3,47.4,51.3,54.7,49.3,52,57.4,46.1,51.8,52.7,44.9,48.8,52.8,47.8,50.2,38,43,83,38,63,102,57,82,145,30,59,82,37,71,101,41,105,143,212,377,588,216,444,658,267,521,786,195,325,522,246,433,677,276,497,776,1445,526,1975,1456,569,2025,1618,830,2450,32,100,139,37,110,144,36,102,140,50,92,141,84,136,220,72,104,181,1526,719,2249,1577,815,2385,1729,1038,2770,5116,5033,10147,4726,4726,9452,5036,5106,10144,670,734,1398,735,778,1512,810,819,1624,3745,3639,7388,3529,3513,7044,3492,3523,7015,1720,1789,3511,1677,1760,3441,2082,2166,4249
LGA12900,3546,3688,7237,3822,3817,7634,3702,3767,7469,1659,855,2516,1643,857,2495,1680,943,2631,274,828,1109,362,811,1180,386,878,1272,146,122,262,126,141,274,125,132,254,130,85,217,121,108,229,88,73,164,2212,1889,4104,2255,1914,4166,2282,2034,4312,1147,1624,2775,1201,1565,2764,1101,1416,2507,5.9,4.6,5.3,5.3,5.7,5.5,3.8,3.7,3.7,62.4,51.2,56.7,59,50.2,54.6,61.6,54,57.7,58.7,48.9,53.7,55.8,47.3,51.6,59.2,52,55.6,21,37,54,34,56,89,46,89,138,16,48,64,29,48,76,22,74,91,171,342,515,193,400,585,227,475,698,138,268,406,175,340,514,175,322,494,869,447,1317,926,468,1387,983,525,1508,44,81,120,39,85,130,40,77,118,37,88,130,69,108,170,60,114,184,959,610,1569,1033,657,1694,1085,721,1806,3759,3757,7515,3724,3643,7367,3599,3686,7284,563,663,1226,542,609,1147,539,574,1115,2632,2574,5208,2623,2560,5179,2543,2574,5116,1376,1531,2911,1411,1451,2861,1379,1444,2825
LGA12930,53175,57689,110868,59124,63196,122316,62451,65558,128007,25306,16016,41317,26485,16799,43277,21349,16424,37777,6638,11847,18485,8805,14124,22931,9046,12942,21989,1822,1894,3719,1574,1806,3380,5787,4921,10699,1988,1951,3934,2452,2400,4850,2231,1641,3874,35751,31706,67455,39313,35127,74440,38409,35929,74332,15098,23510,38607,17187,25266,42448,21026,26257,47285,5.6,6.2,5.8,6.2,6.8,6.5,5.8,4.6,5.2,67.2,55,60.8,66.5,55.6,60.9,61.5,54.8,58.1,63.5,51.6,57.3,62.3,51.8,56.9,57.9,52.3,55,3809,3388,7197,5116,4818,9937,6096,5921,12013,626,906,1532,772,1149,1926,902,1535,2434,9280,10618,19896,11788,13247,25037,13803,15448,29250,4673,6113,10782,5162,6689,11851,5985,7497,13483,8857,3557,12412,8538,3805,12345,8572,4216,12788,353,669,1024,319,591,914,395,703,1103,664,1230,1898,997,1698,2696,1042,1666,2702,9872,5459,15331,9856,6089,15953,10005,6581,16594,54027,57403,111429,56222,59139,115361,59938,62314,122248,8062,8430,16494,10429,10895,21325,11230,10776,22009,36255,38689,74943,37635,39953,77590,40436,43011,83447,22157,23687,45844,26543,27653,54196,27290,27008,54298
LGA12950,1667,1825,3499,1687,1752,3443,1697,1778,3472,762,396,1161,726,384,1107,716,385,1096,159,405,564,178,377,553,136,425,562,56,56,108,55,68,119,52,76,129,63,57,122,69,38,111,49,42,90,1037,919,1953,1023,867,1894,959,927,1883,532,791,1319,512,743,1255,530,647,1177,6.1,6.3,6.2,6.7,4.8,5.9,5,4.4,4.7,62.1,50.2,55.9,60.6,49.6,55,56.4,52.1,54.2,58.3,47.1,52.4,56.5,47.2,51.8,53.6,49.8,51.6,9,14,21,12,16,31,10,28,39,0,20,30,3,12,12,10,19,27,52,164,215,58,185,242,71,238,308,53,113,172,53,135,193,56,149,201,383,176,560,398,229,629,422,260,686,14,31,45,20,30,51,16,26,43,24,38,63,27,42,71,26,37,65,419,251,669,447,307,751,471,326,792,1759,1855,3615,1649,1727,3372,1641,1662,3299,196,253,442,218,219,437,173,215,387,1286,1342,2626,1188,1222,2412,1257,1243,2498,535,649,1188,570,626,1204,444,539,986
LGA13010,3497,3590,7090,3628,3694,7325,3721,3839,7563,1328,708,2035,1169,668,1841,1126,759,1892,379,780,1163,397,766,1162,435,779,1214,111,114,225,104,119,216,108,125,236,141,113,251,169,115,286,129,98,227,1958,1707,3662,1844,1665,3511,1805,1763,3564,1351,1707,3061,1460,1666,3134,1544,1686,3228,7,6.4,6.7,9.2,6.8,8.1,7.1,5.6,6.4,55.8,47.6,51.6,50.8,45.1,47.9,48.4,45.9,47.1,51.9,44.5,48.2,46.1,42,44,44.9,43.3,44.1,34,34,64,32,57,92,45,63,105,20,46,65,22,49,70,35,74,108,158,316,471,178,319,496,220,400,617,153,263,417,177,345,518,178,349,527,772,403,1181,807,448,1250,885,559,1442,35,62,104,58,73,134,52,91,141,49,76,127,72,119,195,58,90,142,865,547,1410,932,641,1578,990,736,1730,3362,3508,6866,3223,3350,6569,3291,3397,6684,575,631,1211,501,572,1072,507,601,1105,2370,2480,4848,2349,2401,4744,2337,2399,4739,1329,1431,2762,1217,1337,2557,1285,1446,2730
