LGA_CODE_2021,C21_650_799_1PF_1C,C21_650_799_1PF_2C,C21_650_799_1PF_3C,C21_650_799_1PF_4mC,C21_650_799_Tot,C21_800_999_1PF_1C,C21_800_999_1PF_2C,C21_800_999_1PF_3C,C21_800_999_1PF_4mC,C21_800_999_Tot,C21_1000_1499_1PF_1C,C21_1000_1499_1PF_2C,C21_1000_1499_1PF_3C,C21_1000_1499_1PF_4mC,C21_1000_1499_Tot,C21_1500_1999_1PF_1C,C21_1500_1999_1PF_2C,C21_1500_1999_1PF_3C,C21_1500_1999_1PF_4mC,C21_1500_1999_Tot,C21_2000_2499_1PF_1C,C21_2000_2499_1PF_2C,C21_2000_2499_1PF_3C,C21_2000_2499_1PF_4mC,C21_2000_2499_Tot,C21_2500_2999_1PF_1C,C21_2500_2999_1PF_2C,C21_2500_2999_1PF_3C,C21_2500_2999_1PF_4mC,C21_2500_2999_Tot,C21_3000_3999_1PF_1C,C21_3000_3999_1PF_2C,C21_3000_3999_1PF_3C,C21_3000_3999_1PF_4mC,C21_3000_3999_Tot,C21_4000more_1PF_1C,C21_4000more_1PF_2C,C21_4000more_1PF_3C,C21_4000more_1PF_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_1PF_1C,C21_Par_inc_st_1PF_2C,C21_Par_inc_st_1PF_3C,C21_Par_inc_st_1PF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_1PF_1Ch,C21_All_inc_ns_1PF_2C,C21_All_inc_ns_1PF_3C,C21_All_inc_ns_1PF_4mC,C21_All_inc_ns_Tot,C21_Tot_1PF_1C,C21_Tot_1PF_2C,C21_Tot_1PF_3C,C21_Tot_1PF_4mC,C21_Tot_Tot
LGA17150,239,136,36,15,422,421,163,53,9,649,984,398,107,34,1522,757,369,117,20,1267,680,374,104,17,1181,372,174,40,16,607,329,252,51,17,644,221,246,70,14,550,278,215,97,23,615,62,22,0,0,80,4881,2589,743,183,8396
LGA17200,212,48,15,10,285,302,65,10,9,377,492,147,29,10,680,398,140,27,4,575,385,151,26,3,560,145,34,7,0,185,181,73,10,4,268,360,141,18,0,523,138,111,25,4,278,41,15,0,0,60,3231,1105,216,51,4609
LGA17310,168,107,58,17,347,193,95,55,22,367,463,188,67,46,764,191,107,49,11,366,135,58,36,15,243,51,20,3,0,80,23,24,9,0,63,25,13,5,5,49,75,72,22,14,183,47,10,4,0,69,1679,883,411,172,3144
LGA17350,14,3,0,0,21,14,10,3,0,31,31,17,3,0,50,18,9,3,0,34,8,10,0,0,17,3,0,0,0,4,0,4,0,0,6,3,0,0,0,7,10,4,4,3,19,3,0,0,0,3,137,72,30,6,244
LGA17400,16,8,3,3,29,20,8,0,0,31,37,14,0,0,54,16,6,0,0,21,4,4,0,0,9,0,0,0,0,0,0,0,0,0,6,3,0,0,0,3,9,8,8,7,26,4,0,0,0,8,153,87,31,16,283
LGA17420,143,86,24,5,254,204,89,27,12,329,470,243,84,13,813,444,261,65,13,785,413,251,76,8,750,250,134,34,14,431,217,208,53,14,493,233,243,72,20,567,138,150,59,9,357,31,18,3,5,58,2894,1889,540,118,5452
LGA17550,249,122,39,15,422,378,125,54,15,570,754,270,95,27,1140,356,183,61,28,626,181,126,30,16,346,85,59,13,4,153,45,32,11,4,94,45,27,7,4,78,171,120,55,22,361,62,24,10,4,101,2780,1293,434,146,4655
LGA17620,28,8,3,5,46,40,12,0,0,62,66,22,7,0,105,35,12,0,0,48,26,10,9,0,48,4,5,0,0,14,11,6,0,5,13,11,5,0,0,17,24,16,4,0,43,12,4,0,0,12,322,128,46,24,525
LGA17640,11,0,0,0,16,20,11,3,0,28,37,16,0,3,56,18,8,3,0,30,18,6,0,0,25,8,0,0,0,7,5,5,0,0,11,7,0,0,0,9,8,3,0,3,19,0,0,0,0,0,155,71,22,13,255
LGA17650,12,10,3,0,24,20,7,0,3,32,31,12,0,4,48,16,7,4,0,24,16,5,0,0,17,4,0,0,0,7,4,3,0,0,3,0,0,0,0,3,5,10,0,0,11,6,5,0,0,5,151,68,23,8,246
LGA17750,127,72,34,29,259,184,90,45,20,338,363,199,71,29,664,238,117,36,18,407,130,87,26,3,252,69,18,12,5,102,40,28,16,0,90,24,12,9,4,55,67,70,29,13,186,37,19,5,5,71,1617,880,347,159,3001
LGA17850,7,0,3,0,12,9,5,0,0,13,3,9,3,0,16,5,0,0,0,7,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,7,0,4,0,0,5,36,26,6,9,73
LGA17900,17,3,4,9,31,18,7,0,3,33,36,16,8,3,60,9,0,0,0,14,4,3,0,0,10,0,0,0,0,3,0,0,0,3,0,4,0,0,0,5,4,4,0,3,14,0,0,0,0,5,128,47,23,21,219
LGA17950,4,3,0,0,9,6,0,0,0,11,14,4,6,0,21,6,0,0,0,7,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,7,6,4,0,0,7,58,20,10,7,92
LGA18020,24,13,8,0,47,35,10,3,0,48,38,14,17,5,70,24,0,6,3,44,12,3,0,0,22,6,5,0,0,11,0,0,3,0,3,6,0,0,0,7,12,8,8,4,28,12,4,0,0,20,227,77,54,18,380
LGA18050,52,16,3,0,74,62,27,8,0,103,202,84,11,3,302,152,74,12,0,241,147,82,18,0,250,49,39,9,0,84,92,45,10,0,146,173,123,30,0,325,84,57,23,8,170,20,4,0,0,30,1171,597,135,14,1918
LGA18100,4,9,3,0,13,13,0,0,0,23,17,8,3,0,33,5,0,0,0,10,0,6,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,0,10,0,0,0,0,0,71,37,22,5,127
LGA18200,13,5,4,0,23,16,7,4,0,37,26,12,3,5,46,19,4,0,3,21,8,10,3,0,19,0,0,0,0,3,6,6,0,0,8,7,0,0,0,9,6,7,4,3,16,6,3,0,0,16,130,72,31,9,241
LGA18250,71,25,7,0,99,115,29,10,0,153,264,96,18,6,387,236,83,10,3,335,200,82,22,0,309,87,34,5,0,130,112,68,14,3,195,197,135,29,0,363,63,62,17,0,141,12,0,0,0,19,1660,767,157,14,2599
LGA18350,82,37,16,9,143,115,46,16,8,181,261,102,38,17,415,184,86,31,10,312,112,55,24,4,192,53,26,18,0,97,56,29,17,10,100,43,31,5,3,82,82,63,26,10,170,20,3,6,0,24,1145,547,202,66,1965
LGA18400,65,48,15,10,136,111,62,21,16,206,223,99,45,17,390,154,85,33,12,288,122,64,19,9,213,80,28,7,3,114,34,27,10,5,83,28,23,12,9,64,52,48,34,8,138,17,3,0,3,25,1030,578,229,99,1939
LGA18450,404,246,88,23,764,676,257,92,40,1059,1325,526,181,66,2091,769,400,114,35,1318,545,358,77,25,1006,242,117,27,7,399,184,179,37,7,414,108,120,43,15,277,249,219,107,38,614,90,24,3,6,124,5526,2870,908,324,9627
LGA18500,35,15,5,0,54,38,26,3,0,71,139,49,11,6,206,119,54,6,0,177,135,70,15,6,222,47,13,5,0,62,96,38,3,3,142,200,138,24,9,374,70,53,13,3,143,17,3,0,0,21,1001,514,96,24,1641
LGA18710,13,6,8,0,26,27,10,6,4,47,55,24,7,4,94,48,32,10,4,95,38,33,3,0,73,32,3,0,0,35,21,10,4,0,33,19,7,4,0,33,17,24,7,0,48,4,0,0,0,3,307,163,57,23,553
LGA19399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,18,7,0,0,24
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
