LGA_CODE_2021,Med_age_persns_C2011,Med_age_persns_C2016,Med_age_persns_C2021,Med_mortg_rep_mon_C2011,Med_mortg_rep_mon_C2016,Med_mortg_rep_mon_C2021,Med_person_inc_we_C2011,Med_person_inc_we_C2016,Med_person_inc_we_C2021,Med_rent_weekly_C2011,Med_rent_weekly_C2016,Med_rent_weekly_C2021,Med_Famly_inc_we_C2011,Med_Famly_inc_we_C2016,Med_Famly_inc_we_C2021,Avg_num_p_per_brm_C2011,Avg_num_p_per_brm_C2016,Avg_num_p_per_brm_C2021,Med_tot_hh_inc_wee_C2011,Med_tot_hh_inc_wee_C2016,Med_tot_hh_inc_wee_C2021,Average_hh_size_C2011,Average_hh_size_C2016,Average_hh_size_C2021
LGA10950,39,40,41,1020,1083,1083,480,634,774,150,180,200,1215,1561,1931,0.8,0.8,0.8,911,1155,1444,2.5,2.4,2.4
LGA11150,35,36,37,867,991,912,598,719,862,120,150,180,1252,1562,1899,0.8,0.8,0.8,1067,1243,1559,2.6,2.5,2.5
LGA11200,33,34,36,542,433,754,369,439,553,90,90,150,787,923,1232,0.9,0.9,0.8,792,864,962,2.7,2.6,2.3
LGA11250,43,45,44,969,953,867,414,527,647,160,195,220,996,1279,1623,0.8,0.7,0.7,786,965,1173,2.2,2.2,2.2
LGA11300,35,33,34,2167,2200,2500,490,552,739,410,500,500,1440,1725,2101,1,1.1,1.1,1311,1569,1867,2.8,2.9,2.7
LGA11350,42,44,43,1650,1733,2167,477,596,764,350,410,520,1054,1389,1926,0.8,0.8,0.9,885,1149,1602,2.4,2.4,2.5
LGA11400,42,43,44,1400,1517,1625,522,631,768,160,200,250,1291,1618,1984,0.8,0.8,0.8,1039,1301,1538,2.6,2.6,2.6
LGA11450,34,33,33,2182,2220,2500,690,821,984,360,460,500,1864,2161,2487,0.8,0.8,0.8,1727,2047,2353,3,3.1,3.1
LGA11500,33,34,35,1800,1842,2100,549,632,738,260,350,380,1390,1597,1927,0.9,0.9,0.9,1250,1459,1700,2.9,3,2.9
LGA11520,37,36,39,2600,2500,3000,782,882,1107,480,575,560,2153,2361,2870,1,1,1,1818,2061,2371,2.5,2.6,2.5
LGA11570,35,35,36,2000,2000,2167,429,502,625,306,380,400,1193,1437,1786,1,1.1,1,1063,1298,1556,2.9,3,2.9
LGA11600,40,40,37,902,867,867,529,681,837,128,160,200,1149,1538,1814,0.8,0.8,0.8,942,1240,1516,2.5,2.4,2.5
LGA11650,41,42,43,1820,1750,2000,502,600,727,275,350,400,1284,1560,1954,0.8,0.8,0.8,1003,1258,1507,2.5,2.5,2.5
LGA11700,39,39,42,442,575,650,389,460,524,100,110,153,898,1075,1128,0.8,0.8,0.8,790,901,988,2.4,2.4,2.3
LGA11720,37,38,37,1517,1517,1647,472,540,696,240,285,340,1266,1414,1818,0.9,0.8,0.8,1042,1177,1493,2.6,2.6,2.6
LGA11730,46,49,49,1300,1300,1378,396,477,578,220,260,310,923,1133,1398,0.8,0.8,0.8,768,910,1123,2.4,2.3,2.3
LGA11750,35,36,37,1300,1300,1096,596,724,900,150,170,200,1605,1953,2260,0.8,0.8,0.7,1275,1522,1740,2.4,2.4,2.3
LGA11800,42,44,44,1571,1603,1733,469,566,688,260,310,375,1097,1346,1685,0.8,0.8,0.8,902,1107,1363,2.4,2.4,2.4
LGA12000,43,44,44,1127,1083,1300,447,594,693,150,190,210,1043,1418,1691,0.8,0.8,0.8,849,1169,1310,2.6,2.5,2.5
LGA12150,40,43,39,844,867,867,438,519,661,130,175,190,978,1218,1533,0.8,0.8,0.8,798,976,1231,2.4,2.4,2.4
LGA12160,45,47,49,1100,1107,1170,440,539,627,160,195,220,1068,1280,1518,0.7,0.7,0.7,811,964,1132,2.3,2.3,2.3
LGA12350,45,47,47,1100,1148,1200,412,509,606,160,190,230,998,1225,1447,0.7,0.7,0.7,782,959,1112,2.3,2.3,2.3
LGA12380,32,32,34,2000,2000,2167,433,501,654,330,400,415,1201,1436,1808,1.1,1.1,1.1,1114,1379,1678,3,3.2,3
LGA12390,37,37,36,1443,1500,1517,548,660,837,190,250,300,1265,1525,1969,0.8,0.8,0.8,1019,1272,1597,2.5,2.5,2.5
LGA12700,44,45,46,1582,1662,1820,484,578,710,200,250,300,1275,1474,1856,0.8,0.8,0.8,1012,1226,1485,2.5,2.5,2.5
LGA12730,43,45,46,1083,1083,1083,480,595,701,150,195,220,1139,1399,1709,0.7,0.7,0.7,866,1080,1240,2.3,2.3,2.2
LGA12750,50,54,54,1408,1400,1517,424,512,618,220,260,325,940,1184,1436,0.7,0.7,0.7,784,939,1167,2.3,2.2,2.2
LGA12850,36,36,39,1800,1800,2000,369,439,485,280,350,390,1065,1263,1482,1,1.1,1,1021,1222,1390,3.2,3.3,3.2
LGA12870,46,49,51,1300,1300,1300,460,559,646,180,210,250,1062,1299,1592,0.8,0.7,0.7,861,1017,1187,2.3,2.3,2.2
LGA12900,41,42,42,1127,1148,1283,460,571,718,155,190,230,1015,1326,1691,0.8,0.8,0.7,832,1069,1259,2.4,2.4,2.4
LGA12930,37,37,38,2167,2167,2474,565,640,792,370,450,450,1552,1816,2209,1,1,1,1356,1654,1991,2.8,2.9,2.8
LGA12950,44,45,46,975,1083,1083,419,537,632,135,171,200,930,1199,1384,0.8,0.7,0.7,771,998,1149,2.4,2.4,2.3
LGA13010,46,47,50,1083,1083,1083,395,478,528,160,200,220,917,1111,1324,0.8,0.7,0.7,733,838,934,2.3,2.2,2.1
LGA13310,41,42,41,1517,1517,1733,516,625,749,190,260,320,1282,1505,1939,0.8,0.8,0.7,980,1196,1466,2.4,2.4,2.4
