LGA_CODE_2021,C16_OD_H_f_a_s_o_NPUR_5,C16_OD_H_f_a_s_o_NPUR_6mor,C16_OD_H_f_a_s_o_Tot,C16_OD_Tot_NPUR_1,C16_OD_Tot_NPUR_2,C16_OD_Tot_NPUR_3,C16_OD_Tot_NPUR_4,C16_OD_Tot_NPUR_5,C16_OD_Tot_NPUR_6mor,C16_OD_Tot_Tot,C16_DS_ns_NPUR_1,C16_DS_ns_NPUR_2,C16_DS_ns_NPUR_3,C16_DS_ns_NPUR_4,C16_DS_ns_NPUR_5,C16_DS_ns_NPUR_6more,C16_Dwg_st_NS_Tot,C16_Tot_NPUR_1,C16_Tot_NPUR_2,C16_Tot_NPUR_3,C16_Tot_NPUR_4,C16_Tot_NPUR_5,C16_Tot_NPUR_6more,C16_Tot_Tot,C21_Se_h_NPUR_1,C21_Se_h_NPUR_2,C21_Se_h_NPUR_3,C21_Se_h_NPUR_4,C21_Se_h_NPUR_5,C21_Se_h_NPUR_6more,C21_Se_h_Tot,C21_SDRTHT1S_NPUR_1,C21_SDRTHT1S_NPUR_2,C21_SDRTHT1S_NPUR_3,C21_SDRTHT1S_NPUR_4,C21_SDRTHT1S_NPUR_5,C21_SDRTHT1S_NPUR_6mor,C21_SDRTHT1S_Tot,C21_SDRTHT2S_NPUR_1,C21_SDRTHT2S_NPUR_2,C21_SDRTHT2S_NPUR_3,C21_SDRTHT2S_NPUR_4,C21_SDRTHT2S_NPUR_5,C21_SDRTHT2S_NPUR_6mor,C21_SDRTHT2S_Tot,C21_SDRTHT_Tot_NPUR_1,C21_SDRTHT_Tot_NPUR_2,C21_SDRTHT_Tot_NPUR_3,C21_SDRTHT_Tot_NPUR_4,C21_SDRTHT_Tot_NPUR_5,C21_SDRTHT_Tot_NPUR_6mor,C21_SDRTHT_Tot_Tot,C21_F_a_1_2SB_NPUR_1,C21_F_a_1_2SB_NPUR_2,C21_F_a_1_2SB_NPUR_3,C21_F_a_1_2SB_NPUR_4,C21_F_a_1_2SB_NPUR_5,C21_F_a_1_2SB_NPUR_6mor,C21_F_a_1_2SB_Tot,C21_F_a_I_a_3SB_NPUR_1,C21_F_a_I_a_3SB_NPUR_2,C21_F_a_I_a_3SB_NPUR_3,C21_F_a_I_a_3SB_NPUR_4,C21_F_a_I_a_3SB_NPUR_5,C21_F_a_I_a_3SB_NPUR_6mor,C21_F_a_In_a_3_st_b_Tot,C21_F_a_4_8SB_NPUR_1,C21_F_a_4_8SB_NPUR_2,C21_F_a_4_8SB_NPUR_3,C21_F_a_4_8SB_NPUR_4,C21_F_a_4_8SB_NPUR_5,C21_F_a_4_8SB_NPUR_6mor,C21_F_a_4_8SB_Tot,C21_F_a_9mor_s_b_NPUR_1,C21_F_a_9mor_s_b_NPUR_2,C21_F_a_9mor_s_b_NPUR_3,C21_F_a_9mor_s_b_NPUR_4,C21_F_a_9mor_s_b_NPUR_5,C21_F_a_9m_s_b_NPUR_6mor,C21_F_a_9mor_st_bl_Tot,C21_F_a_AH_NPUR_1,C21_F_a_AH_NPUR_2,C21_F_a_AH_NPUR_3,C21_F_a_AH_NPUR_4,C21_F_a_AH_NPUR_5,C21_F_a_AH_NPUR_6mor,C21_F_a_AH_Tot,C21_F_a_Tot_NPUR_1,C21_F_a_Tot_NPUR_2,C21_F_a_Tot_NPUR_3,C21_F_a_Tot_NPUR_4,C21_F_a_Tot_NPUR_5,C21_F_a_Tot_NPUR_6mor,C21_F_a_Tot_Tot,C21_OD_CCH_NPUR_1,C21_OD_CCH_NPUR_2,C21_OD_CCH_NPUR_3,C21_OD_CCH_NPUR_4,C21_OD_CCH_NPUR_5,C21_OD_CCH_NPUR_6mor,C21_OD_CCH_Tot,C21_OD_IHTSO_NPUR_1,C21_OD_IHTSO_NPUR_2,C21_OD_IHTSO_NPUR_3,C21_OD_IHTSO_NPUR_4,C21_OD_IHTSO_NPUR_5,C21_OD_IHTSO_NPUR_6mor,C21_OD_IHTSO_Tot,C21_OD_H_f_a_s_o_NPUR_1,C21_OD_H_f_a_s_o_NPUR_2,C21_OD_H_f_a_s_o_NPUR_3,C21_OD_H_f_a_s_o_NPUR_4,C21_OD_H_f_a_s_o_NPUR_5,C21_OD_H_f_a_s_o_NPUR_6mor,C21_OD_H_f_a_s_o_Tot,C21_OD_Tot_NPUR_1,C21_OD_Tot_NPUR_2,C21_OD_Tot_NPUR_3,C21_OD_Tot_NPUR_4,C21_OD_Tot_NPUR_5,C21_OD_Tot_NPUR_6mor,C21_OD_Tot_Tot,C21_DS_ns_NPUR_1,C21_DS_ns_NPUR_2,C21_DS_ns_NPUR_3,C21_DS_ns_NPUR_4,C21_DS_ns_NPUR_5,C21_DS_ns_NPUR_6more,C21_Dwg_st_NS_Tot,C21_Tot_NPUR_1,C21_Tot_NPUR_2,C21_Tot_NPUR_3,C21_Tot_NPUR_4,C21_Tot_NPUR_5,C21_Tot_NPUR_6more,C21_Tot_Tot
LGA11800,6,0,40,371,206,26,18,10,3,630,110,107,22,21,14,9,277,7274,9993,3921,3443,1560,850,27045,4604,8557,3514,3397,1546,929,22545,1013,669,202,96,43,9,2037,546,525,207,115,42,30,1472,1561,1197,405,217,88,37,3508,1224,633,209,98,50,18,2228,202,115,44,24,10,0,387,157,96,13,5,0,0,265,53,52,4,3,0,0,115,41,30,5,0,4,3,77,1668,919,273,128,62,24,3078,283,150,19,13,3,15,489,5,0,0,0,0,0,5,8,9,3,3,0,0,23,299,158,24,14,5,15,521,59,45,9,13,5,0,127,8195,10872,4232,3766,1701,1011,29774
LGA12000,0,0,0,0,3,0,0,0,0,5,0,6,0,0,4,0,13,371,554,219,173,111,64,1488,417,627,199,146,149,56,1600,16,9,0,0,0,0,23,0,0,0,0,0,0,0,16,7,0,0,0,0,23,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,6,0,0,0,0,13,3,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,3,8,5,0,0,0,0,10,0,0,0,0,0,0,6,450,640,198,149,149,58,1649
LGA12150,0,0,8,4,3,0,3,0,0,8,4,0,0,0,0,0,9,433,478,188,134,76,58,1367,367,431,178,116,85,48,1216,8,11,5,0,0,0,22,0,0,0,0,0,0,0,8,11,5,0,0,0,23,36,10,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,10,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,4,4,0,0,0,0,10,420,453,182,122,83,53,1303
LGA12160,4,0,34,28,13,0,7,4,0,48,12,10,5,3,0,0,26,1333,1715,505,443,245,117,4359,1181,1657,498,442,252,114,4150,149,40,6,0,0,0,194,11,7,4,0,0,0,25,162,52,3,0,0,0,214,46,12,3,7,0,0,73,11,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,17,3,7,0,0,83,6,0,0,0,0,0,8,0,0,0,0,0,0,0,9,8,0,3,0,0,22,16,10,0,3,0,0,31,9,4,0,0,0,0,17,1419,1734,506,457,252,119,4490
LGA12350,0,0,4,19,3,0,5,3,0,32,20,23,10,7,0,0,54,1486,1821,632,508,241,136,4818,1346,1839,617,490,261,124,4678,176,52,9,6,5,0,245,24,4,0,0,0,0,29,203,58,9,7,5,0,278,63,10,5,0,0,0,80,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,73,7,5,0,0,0,90,7,6,0,0,0,0,17,0,0,0,0,0,0,3,3,0,3,0,0,0,6,13,3,3,0,0,0,24,8,3,0,4,3,0,11,1641,1911,634,502,271,123,5081
LGA12380,43,47,334,65,71,72,72,45,48,368,120,71,59,35,26,27,337,11612,15169,12128,12409,6930,6262,64507,5503,8929,6533,7262,4388,4646,37257,1045,670,465,512,176,78,2945,1282,1709,1575,1765,882,637,7847,2327,2374,2041,2283,1055,712,10796,1672,1201,889,736,196,89,4789,1961,1941,1476,1085,367,174,7001,1841,2334,2032,1445,423,192,8276,387,666,511,510,199,127,2395,163,171,126,118,75,78,731,6030,6312,5035,3896,1254,658,23184,0,0,0,0,0,0,0,0,0,0,0,0,0,6,41,37,39,32,16,18,178,45,44,38,33,16,18,189,91,63,40,24,12,12,242,13989,17722,13687,13498,6721,6044,71666
LGA12390,16,16,279,102,119,38,38,15,19,339,31,29,13,5,5,0,85,4605,5922,2786,2339,1190,635,17474,3643,5665,2689,2465,1286,699,16444,777,423,131,70,22,12,1438,32,19,9,0,0,4,65,811,444,137,69,22,14,1502,696,265,102,53,15,5,1125,11,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,4,0,0,0,20,709,279,103,51,12,4,1159,26,14,0,4,0,0,36,5,6,0,0,0,0,7,16,15,10,5,3,0,52,50,28,10,4,5,0,100,33,14,10,3,4,0,70,5256,6426,2955,2591,1335,718,19279
LGA12700,0,0,6,17,12,5,5,0,3,46,5,8,3,4,0,0,20,775,1219,482,473,210,97,3256,803,1323,491,496,242,115,3469,38,9,3,3,0,0,55,0,0,0,0,0,0,0,38,9,3,3,0,0,55,8,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,0,0,8,11,10,0,0,0,0,25,0,0,0,0,0,0,4,4,3,0,0,0,0,11,12,16,5,0,0,0,32,3,5,0,0,0,0,16,865,1356,500,496,241,120,3578
LGA12730,0,0,7,21,8,0,0,0,0,30,15,17,4,3,4,0,41,1086,1259,404,372,185,68,3373,880,1184,341,348,169,75,2998,196,59,13,3,0,0,273,6,3,0,0,0,0,13,204,63,13,3,0,0,281,5,4,6,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,6,4,0,0,16,7,3,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,5,7,3,0,0,0,0,10,10,7,3,3,0,0,18,1112,1262,354,355,169,78,3331
LGA12750,0,0,17,201,94,18,6,6,0,317,36,43,14,7,3,0,100,4657,6514,1651,1303,578,333,15034,3575,6280,1606,1454,624,342,13873,462,260,46,19,12,5,802,284,210,46,15,12,4,577,749,474,95,37,23,6,1379,524,247,55,33,5,0,861,31,20,3,0,0,0,58,27,10,0,0,0,0,36,0,0,0,0,0,0,0,14,6,7,0,0,0,25,594,280,59,35,5,0,974,188,100,7,4,3,0,301,3,0,0,0,0,0,5,5,10,5,0,0,0,21,192,113,15,4,4,0,322,34,16,0,0,0,0,51,5135,7163,1772,1523,653,349,16603
LGA12850,44,34,345,138,98,68,58,53,37,456,83,67,56,39,12,14,273,9003,13391,10531,11169,6781,6310,57188,5831,10475,7915,8613,5546,5611,43987,536,400,219,208,106,75,1551,1036,1376,1187,1213,754,482,6055,1569,1780,1411,1420,862,558,7598,1182,689,365,314,128,57,2734,928,874,540,304,108,42,2789,647,644,386,230,91,28,2024,165,166,118,56,32,16,554,197,220,157,134,95,60,864,3122,2584,1565,1038,458,201,8970,48,7,3,0,0,0,63,5,0,0,0,0,0,3,39,24,14,10,10,3,99,93,40,20,6,11,3,173,63,40,26,23,13,14,191,10680,14920,10927,11105,6896,6387,60918
LGA12870,0,0,13,44,33,4,0,0,0,84,5,15,3,0,0,0,20,1493,1943,551,508,250,99,4845,1267,1929,552,512,242,107,4610,348,155,24,6,0,0,530,0,0,0,0,0,0,0,348,155,24,5,0,0,532,14,7,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,0,0,27,23,10,0,0,0,0,32,0,3,0,0,0,0,3,7,3,0,0,0,0,11,33,20,0,0,0,0,51,3,5,0,5,0,0,15,1667,2115,582,521,246,109,5231
LGA12900,0,0,24,25,22,6,0,5,0,58,7,6,0,4,0,0,12,1036,1292,439,385,244,108,3500,848,1227,402,381,221,112,3192,96,37,8,11,3,0,151,6,0,0,0,0,0,9,106,35,8,11,3,0,156,129,31,3,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,126,31,3,0,0,0,162,17,5,0,0,0,0,28,0,0,0,0,0,0,0,8,3,0,0,0,0,17,28,13,0,0,3,0,44,4,4,0,0,0,0,6,1115,1306,412,388,227,114,3563
LGA12930,14,8,262,83,75,46,44,15,11,272,62,47,23,23,7,9,165,9327,13653,9443,9626,4146,2506,48705,3828,7520,5065,6002,2954,1686,27051,820,641,321,282,92,36,2190,759,1020,766,810,301,155,3811,1579,1663,1083,1095,385,191,5995,857,492,290,203,50,19,1922,1651,1840,1171,750,176,73,5661,2237,2494,1644,1155,358,116,7997,675,1058,704,451,136,53,3080,77,101,46,31,22,15,297,5497,5980,3858,2592,741,272,18946,4,0,0,0,0,0,4,0,0,0,0,0,0,0,115,83,56,32,13,8,304,113,87,56,32,13,8,308,50,22,6,9,7,5,93,11070,15270,10072,9728,4099,2158,52401
LGA12950,0,0,0,0,3,0,0,0,0,9,3,5,5,0,0,0,12,464,605,184,173,108,48,1583,405,579,198,159,106,32,1482,23,12,0,0,0,0,42,0,0,0,0,0,0,0,23,12,0,0,0,0,42,32,14,5,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,14,5,0,0,0,51,13,3,0,0,0,0,16,0,0,0,0,0,0,0,0,5,0,0,0,0,6,13,4,0,0,0,0,22,0,0,0,0,0,0,5,478,607,207,164,106,35,1598
LGA13010,0,0,7,16,10,3,0,0,0,31,24,19,9,3,0,0,58,1143,1318,401,307,187,67,3427,1088,1350,375,309,157,61,3347,117,27,3,8,3,0,155,6,0,0,0,0,0,9,118,29,3,8,5,0,158,61,14,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,14,0,0,0,0,76,13,6,0,0,3,0,28,0,3,0,0,0,0,4,0,0,0,0,0,0,7,14,13,4,0,3,0,34,9,6,0,0,0,0,11,1292,1409,381,317,163,60,3628
LGA13310,0,0,36,66,27,11,6,4,3,115,16,16,16,3,5,0,55,3208,3851,1573,1334,630,346,10945,2719,3843,1493,1415,708,362,10534,526,211,63,43,11,7,867,86,54,22,3,3,0,170,614,265,83,51,18,11,1036,195,50,19,10,3,0,279,49,9,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,21,254,60,23,9,5,0,355,31,15,4,3,0,0,51,0,0,0,0,0,0,0,22,17,0,0,0,0,45,52,31,8,0,4,0,94,20,7,0,0,0,0,25,3665,4195,1607,1479,724,373,12045
LGA13340,0,0,16,9,9,0,0,8,0,25,13,9,0,0,3,0,30,946,1383,455,488,281,149,3696,921,1477,494,485,280,166,3828,59,11,0,4,0,0,76,0,0,0,0,0,0,3,58,7,0,4,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,0,0,3,10,7,6,0,0,0,0,16,1000,1497,492,491,282,171,3936
LGA13450,0,0,24,44,18,4,5,7,0,89,18,16,6,15,6,0,61,2028,2791,1219,1356,734,352,8483,1623,2554,1232,1301,669,407,7785,165,111,39,24,15,7,362,45,11,0,0,5,0,64,219,123,44,24,15,7,428,360,248,157,78,24,23,887,8,5,7,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,10,373,257,169,79,23,23,928,29,3,0,0,0,0,43,0,0,0,0,0,0,0,16,13,6,8,7,0,40,53,17,11,8,8,0,85,18,9,3,4,8,0,45,2278,2954,1458,1418,721,435,9266
LGA13550,0,0,19,20,6,4,0,0,0,37,12,14,3,4,0,0,29,1276,1556,659,610,282,145,4527,978,1536,613,628,330,146,4224,206,69,23,10,3,0,318,29,10,4,0,0,0,45,230,82,22,9,3,5,356,65,8,0,0,0,0,75,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,4,73,8,0,0,0,4,83,9,7,0,0,0,0,17,0,0,0,0,0,0,0,5,0,0,0,0,0,5,14,5,0,0,0,0,22,6,3,0,0,0,0,7,1301,1633,642,636,336,152,4697
LGA13660,0,0,3,14,14,4,0,3,0,39,0,6,0,0,0,0,6,589,802,222,194,131,42,1990,529,746,200,177,105,60,1821,18,7,0,0,0,0,27,0,0,0,0,0,0,0,18,7,0,0,0,0,27,7,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,9,12,8,0,0,0,0,14,5,0,0,0,0,0,5,0,0,0,0,0,0,0,9,10,0,0,0,0,23,8,4,3,0,0,0,15,573,768,210,181,106,64,1898
LGA13800,5,0,33,100,27,12,7,6,6,153,64,58,21,10,11,7,169,4389,6493,3676,3773,1916,1062,21311,3524,6404,3477,3597,1858,1151,20015,790,492,212,98,35,10,1644,212,178,85,55,26,8,555,1002,670,298,158,57,19,2198,301,113,31,15,5,6,474,56,37,9,5,0,0,100,7,11,0,0,0,0,21,0,0,0,0,0,0,0,23,19,6,3,4,5,64,388,171,53,22,10,13,660,59,28,5,0,0,0,88,4,4,0,0,0,0,8,10,7,8,3,0,0,25,70,37,8,9,3,0,121,31,24,4,3,0,3,68,5019,7305,3844,3782,1932,1185,23060
LGA13850,0,0,4,3,0,0,0,0,0,13,3,0,0,0,4,0,8,343,414,139,108,66,24,1095,325,394,133,102,54,25,1037,45,20,6,3,4,0,80,0,0,0,0,0,0,0,45,20,6,3,4,0,80,4,7,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,3,8,0,0,0,0,0,5,380,422,142,103,57,25,1134
LGA13910,3,0,25,21,18,8,7,3,0,53,26,9,5,9,0,0,52,2135,2631,869,790,424,217,7075,1855,2596,838,745,449,258,6742,288,88,37,13,7,0,435,8,7,0,5,0,0,14,292,90,34,12,7,0,448,96,31,3,3,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,94,34,3,5,0,0,137,23,12,0,0,0,0,37,0,0,0,0,0,0,0,11,3,0,0,6,0,19,35,16,0,0,8,0,56,13,8,0,4,0,3,31,2290,2748,886,768,457,260,7403
LGA14000,4,4,63,50,37,14,15,7,3,136,69,49,25,12,6,6,161,8169,13242,8756,10700,4292,1856,47009,4303,10349,6694,9212,3604,1705,35868,511,271,96,110,27,0,1019,781,889,681,725,159,35,3273,1293,1160,781,837,183,39,4292,767,396,135,87,18,4,1410,1274,1025,549,277,53,23,3199,1106,1219,881,548,89,18,3863,641,847,614,411,67,17,2591,67,70,37,22,13,6,213,3854,3556,2219,1348,236,62,11283,33,23,7,0,0,0,63,0,0,0,0,0,0,0,24,11,8,9,6,3,59,59,32,11,15,6,3,119,35,14,3,5,0,0,65,9546,15114,9716,11412,4030,1811,51629
LGA14100,0,0,3,6,0,5,0,0,0,5,4,0,6,4,3,0,23,1107,1365,691,851,418,136,4574,364,863,467,710,364,128,2891,26,34,12,11,4,0,96,167,272,98,75,18,4,639,197,306,109,87,20,4,731,223,122,25,18,5,0,393,105,73,36,14,0,0,224,220,140,34,15,5,0,412,0,0,0,0,0,0,0,5,0,0,0,0,0,3,547,335,91,42,8,0,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,8,5,7,0,0,0,0,7,11,0,0,0,0,0,10,1126,1510,673,840,397,131,4670
LGA14170,40,19,1020,297,385,192,102,40,19,1033,331,140,55,43,13,10,590,18946,23477,12086,10018,3038,1237,68800,3533,6581,4265,4739,1541,696,21357,2537,4199,2227,1837,402,99,11304,1750,2982,1772,1731,442,92,8774,4283,7190,4000,3572,844,191,20072,4596,3267,1084,582,110,31,9668,5238,4086,1254,594,120,29,11325,3736,3551,1023,448,80,21,8864,425,569,167,61,15,8,1243,145,113,28,24,11,4,329,14144,11584,3559,1704,334,99,31418,3,4,0,0,0,0,5,0,0,0,0,0,0,0,416,385,158,75,22,12,1075,419,391,158,75,22,12,1084,73,42,17,13,3,0,152,22451,25787,11990,10109,2757,1003,74091
LGA14220,0,0,15,40,21,4,4,0,4,72,28,38,14,11,12,4,109,1801,2420,868,737,410,212,6453,1518,2322,893,711,350,212,6007,267,86,18,18,6,0,402,45,15,8,0,0,0,72,320,107,24,16,6,0,476,46,5,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,7,45,10,3,0,0,0,63,20,6,0,0,0,0,27,0,0,0,0,0,0,5,5,6,0,0,0,0,12,27,13,3,0,0,0,50,20,10,0,0,0,0,33,1934,2457,930,730,359,210,6626
LGA14300,0,0,6,3,0,0,0,0,0,3,8,8,0,0,0,0,13,529,671,274,233,143,75,1922,500,728,273,258,145,65,1977,19,9,0,0,0,0,33,3,3,0,0,0,0,6,20,12,0,0,0,0,35,50,5,4,0,0,0,62,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,8,4,0,0,0,68,0,4,0,5,0,0,8,0,0,0,0,0,0,5,0,3,0,0,0,0,6,0,10,3,5,0,0,14,3,0,0,0,0,0,5,585,759,283,268,145,69,2103
LGA14350,0,0,25,71,36,5,4,0,0,116,54,45,14,14,8,0,133,3116,4043,1472,1091,560,371,10648,2623,4067,1468,1113,548,402,10220,103,66,19,10,9,0,198,45,37,7,4,0,0,91,145,106,22,13,8,0,294,387,156,28,16,7,0,597,35,14,3,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,12,426,180,36,19,7,0,664,62,52,0,0,0,0,116,0,0,0,0,0,0,0,8,10,0,0,0,0,16,75,61,4,0,4,0,142,16,14,5,3,0,0,38,3282,4420,1539,1154,559,405,11352
LGA14400,4,0,21,18,19,6,10,5,0,55,20,36,4,6,3,0,63,1666,3067,1087,1152,539,206,7722,1072,2688,943,1119,545,190,6555,189,140,29,26,3,0,393,283,353,103,72,28,6,838,471,492,135,96,27,11,1230,122,80,19,13,3,0,247,77,84,13,8,0,0,181,175,122,8,0,0,0,310,0,0,0,0,0,0,0,4,16,0,3,0,0,29,382,303,44,26,5,0,756,9,7,0,0,0,0,24,0,0,0,0,0,0,0,6,16,9,0,0,0,31,22,23,7,5,0,0,52,8,3,3,0,0,0,20,1957,3501,1132,1248,580,195,8612
LGA14500,0,0,22,8,6,0,5,0,0,25,35,23,11,4,9,0,84,6157,11200,6710,9119,3899,1389,38473,2882,7784,5380,7999,3423,1248,28718,81,86,18,24,0,0,207,373,527,230,218,47,16,1414,451,616,247,238,52,15,1624,771,574,161,94,19,10,1624,724,532,245,170,21,7,1695,1929,2685,1457,865,147,39,7120,225,317,198,91,12,0,842,27,25,15,11,8,4,88,3674,4129,2066,1231,200,57,11365,5,5,0,0,0,0,5,0,0,0,0,0,0,0,33,41,18,14,0,0,112,35,49,18,14,0,0,121,12,10,3,4,4,0,37,7065,12583,7721,9492,3684,1320,41864
LGA14550,0,0,24,42,17,6,5,0,0,63,8,10,5,0,0,0,20,1138,1378,423,312,187,87,3528,1091,1451,418,310,171,109,3553,5,3,0,0,0,0,12,0,3,0,0,0,0,3,5,7,0,0,0,0,14,68,11,0,0,0,0,85,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,68,12,6,0,0,0,95,16,6,0,0,0,0,30,6,5,5,0,0,0,11,10,3,0,0,3,0,20,38,12,3,0,5,0,59,8,12,0,4,0,0,20,1208,1500,431,319,172,109,3736
LGA14600,0,0,11,9,0,6,0,0,0,17,21,25,10,5,4,4,70,653,777,296,266,153,82,2226,596,726,287,227,156,74,2067,32,15,0,0,0,0,39,0,0,0,0,0,0,0,29,15,0,0,0,0,42,40,9,7,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,9,7,0,0,0,58,4,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,9,0,3,5,4,0,0,19,674,756,295,231,161,72,2191
LGA14650,3,3,99,400,170,29,21,9,10,632,64,56,20,9,5,8,161,17610,25893,11516,11543,4581,1936,73079,13578,24663,11547,12075,4821,2068,68750,2924,1667,342,157,35,14,5140,1099,947,355,187,57,25,2675,4021,2616,700,348,92,37,7813,1417,548,118,39,10,6,2143,181,120,13,3,0,0,318,337,300,50,9,0,0,696,113,108,25,10,0,0,252,72,72,13,15,0,5,178,2118,1146,224,76,21,14,3589,200,102,3,5,0,0,309,0,3,0,0,0,0,9,36,26,10,6,9,0,91,236,138,13,14,8,0,406,64,36,6,6,4,4,116,20010,28593,12485,12521,4941,2118,80677
LGA14700,0,0,17,4,8,0,6,0,0,17,24,17,4,8,0,5,58,3411,4553,2266,2215,830,259,13533,665,1645,1006,1575,743,207,5832,50,51,45,44,8,0,201,208,143,127,94,24,3,600,258,198,164,137,32,7,801,365,287,111,64,13,0,837,1089,1030,423,239,35,5,2826,1435,1581,621,285,41,0,3968,324,478,170,88,8,4,1071,11,16,11,9,0,0,49,3221,3385,1337,688,100,14,8750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,0,11,0,5,3,4,0,0,19,6,0,4,3,0,0,19,4163,5229,2521,2411,879,221,15420
LGA14750,0,0,9,26,9,5,0,4,0,35,16,7,0,9,4,3,39,1090,1349,539,501,269,131,3868,803,1239,527,465,277,134,3451,63,26,6,8,5,0,105,4,0,0,0,0,0,12,66,32,6,8,5,0,113,217,67,24,16,4,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,67,24,16,4,0,324,17,6,5,0,0,0,28,0,0,0,0,0,0,0,5,5,3,4,0,0,18,21,14,6,8,0,0,50,4,12,4,4,0,3,22,1114,1356,569,495,289,137,3961
LGA14850,18,4,145,204,105,31,29,22,5,400,36,25,12,6,5,0,92,4751,5744,2367,1977,932,423,16190,3444,5361,2246,1903,867,492,14325,773,287,75,41,4,3,1189,270,155,57,26,8,3,516,1035,445,135,66,13,7,1703,410,160,56,25,11,4,663,51,21,3,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,20,15,6,0,0,74,497,201,67,35,10,3,816,183,38,8,0,0,0,235,4,0,0,0,0,0,9,14,9,3,0,0,0,24,199,51,10,3,3,0,268,28,13,3,5,0,0,49,5212,6072,2465,2015,898,506,17154
LGA14870,24,13,315,112,125,46,35,26,9,348,25,27,5,3,0,5,69,2560,2746,1048,930,396,187,7858,2277,2727,974,883,389,209,7455,350,156,28,9,3,0,542,66,21,10,3,0,0,99,411,174,35,7,6,3,643,88,16,3,6,0,0,107,9,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,7,98,20,9,5,0,0,133,18,0,0,0,0,0,25,0,0,0,0,0,0,0,12,14,4,3,0,5,40,36,13,4,3,0,5,64,9,10,0,0,3,0,28,2831,2951,1018,907,399,217,8319
