LGA_CODE_2021,C21_650_799_CF_1C,C21_650_799_CF_2C,C21_650_799_CF_3C,C21_650_799_CF_4mC,C21_650_799_Tot,C21_800_999_CF_1C,C21_800_999_CF_2C,C21_800_999_CF_3C,C21_800_999_CF_4mC,C21_800_999_Tot,C21_1000_1499_CF_1C,C21_1000_1499_CF_2C,C21_1000_1499_CF_3C,C21_1000_1499_CF_4mC,C21_1000_1499_Tot,C21_1500_1999_CF_1C,C21_1500_1999_CF_2C,C21_1500_1999_CF_3C,C21_1500_1999_CF_4mC,C21_1500_1999_Tot,C21_2000_2499_CF_1C,C21_2000_2499_CF_2C,C21_2000_2499_CF_3C,C21_2000_2499_CF_4mC,C21_2000_2499_Tot,C21_2500_2999_CF_1C,C21_2500_2999_CF_2C,C21_2500_2999_CF_3C,C21_2500_2999_CF_4mC,C21_2500_2999_Tot,C21_3000_3999_CF_1C,C21_3000_3999_CF_2C,C21_3000_3999_CF_3C,C21_3000_3999_CF_4mC,C21_3000_3999_Tot,C21_4000more_CF_1C,C21_4000more_CF_2C,C21_4000more_CF_3C,C21_4000more_Cou_fa_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_CF_1C,C21_Par_inc_st_CF_2C,C21_Par_inc_st_CF_3C,C21_Par_inc_st_CF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_CF_1Ch,C21_All_inc_ns_CF_2C,C21_All_inc_ns_CF_3C,C21_All_inc_ns_CF_4mC,C21_All_inc_ns_Tot,C21_Tot_CF_1C,C21_Tot_CF_2C,C21_Tot_CF_3C,C21_Tot_CF_4mC,C21_Tot_Tot
LGA17040,0,4,3,0,15,12,14,4,0,42,74,63,34,9,177,82,101,38,14,238,106,149,52,16,329,92,110,46,17,264,154,166,66,17,400,127,170,61,20,382,71,77,26,16,184,7,4,0,0,15,760,859,339,110,2068
LGA17080,10,6,0,3,22,15,8,5,4,27,76,56,23,9,168,56,53,41,22,172,85,102,33,14,236,72,79,45,17,207,44,106,52,11,218,58,68,25,9,159,61,76,38,14,190,12,0,4,5,15,508,569,270,100,1451
LGA17100,34,27,8,3,80,85,40,14,7,146,257,174,56,17,503,267,215,76,26,578,321,272,62,25,682,268,214,35,16,531,403,351,90,17,867,537,712,244,85,1581,116,121,58,24,319,22,22,7,9,64,2392,2216,679,241,5528
LGA17150,80,54,11,4,144,128,78,27,6,240,603,438,134,37,1213,865,737,273,77,1951,1291,1372,445,112,3219,1304,1521,506,100,3434,2353,3262,1146,190,6955,3367,6212,2432,498,12509,577,801,343,130,1851,69,79,34,7,196,10756,14657,5393,1170,31979
LGA17200,82,36,12,4,134,97,47,8,4,157,434,181,42,9,663,445,232,44,12,730,558,328,33,5,927,437,233,35,8,705,1000,580,70,15,1656,2717,1997,338,46,5099,242,192,38,13,478,44,24,5,0,67,6191,3921,636,116,10863
LGA17310,34,25,13,4,77,58,50,11,5,123,279,189,118,50,642,360,325,130,49,865,436,455,167,69,1135,292,375,152,45,867,353,477,207,73,1110,265,343,181,58,849,162,203,114,36,511,20,15,14,3,53,2313,2484,1114,397,6311
LGA17350,0,4,3,0,5,5,0,3,3,13,29,22,7,6,61,31,31,18,14,90,30,35,25,13,94,27,24,12,11,72,25,41,13,8,85,20,27,15,11,71,12,20,16,17,65,0,0,0,0,6,185,204,106,77,573
LGA17400,11,8,0,0,17,12,3,0,3,20,38,21,13,8,87,28,35,13,9,80,25,31,14,3,69,14,22,6,3,49,19,20,3,5,44,11,8,3,0,26,23,12,14,4,48,0,3,0,0,7,193,165,68,36,466
LGA17420,88,77,28,6,197,116,115,19,9,265,586,585,204,70,1448,760,834,275,75,1943,1207,1308,440,109,3070,1113,1452,389,114,3067,2112,3154,864,189,6316,3909,6868,2227,553,13550,497,747,307,108,1668,71,92,32,11,218,10666,15367,4847,1260,32140
LGA17550,64,38,22,3,130,106,83,20,16,215,487,367,129,50,1037,532,447,172,70,1219,592,668,227,65,1549,439,562,207,55,1258,505,797,271,62,1641,336,670,272,66,1341,272,343,149,64,834,40,33,14,6,90,3457,4064,1496,456,9471
LGA17620,9,7,3,0,17,8,11,5,0,27,66,44,43,10,163,64,60,25,6,160,81,80,37,12,208,61,76,35,14,183,83,121,62,11,280,71,109,64,7,250,50,69,34,20,175,8,4,0,0,13,515,597,316,85,1508
LGA17640,3,5,0,7,11,10,6,0,0,25,33,28,13,11,90,40,49,21,14,124,47,49,23,14,125,35,35,26,10,102,57,52,25,6,141,49,62,19,11,144,30,50,19,8,112,0,0,0,0,0,331,339,154,72,891
LGA17650,5,4,3,4,13,8,7,0,0,16,37,22,13,14,81,39,28,10,4,79,45,40,27,3,114,27,20,10,11,64,25,37,15,9,95,16,35,11,4,66,17,27,9,7,49,0,0,0,0,5,210,230,106,48,595
LGA17750,30,22,14,9,79,55,27,18,14,116,283,192,102,67,643,318,297,160,67,838,412,476,189,80,1159,353,404,176,72,1004,488,588,290,87,1448,366,515,283,94,1254,195,237,129,78,645,28,20,8,7,62,2555,2805,1389,590,7342
LGA17850,0,3,0,0,9,0,3,3,0,8,12,12,10,4,34,11,16,8,4,43,18,17,15,5,54,18,10,6,0,31,10,9,4,0,23,12,10,5,0,30,11,6,7,7,27,0,4,0,0,3,103,95,52,16,271
LGA17900,5,0,0,0,4,5,5,0,3,18,20,12,8,4,47,14,9,4,0,31,10,11,9,5,36,11,11,4,0,25,13,16,6,0,32,13,8,7,0,27,18,22,11,9,62,0,0,0,0,4,115,104,59,31,305
LGA17950,0,0,0,0,0,3,5,3,0,10,10,8,5,0,25,16,16,6,6,46,10,12,8,5,28,9,7,5,0,24,8,11,12,0,31,6,12,9,4,25,10,11,8,6,29,4,0,0,0,3,79,77,54,24,237
LGA18020,11,5,0,5,20,16,6,3,0,26,46,32,19,18,119,40,53,25,4,120,51,36,25,11,124,24,28,14,0,71,26,27,20,9,84,22,20,13,3,59,22,30,16,11,78,0,7,0,0,3,276,259,146,63,744
LGA18050,19,3,5,0,30,21,15,3,0,38,106,52,16,6,179,122,105,33,9,268,207,155,40,11,408,190,170,34,12,398,383,394,76,18,876,1388,2063,730,127,4309,148,187,91,34,459,28,22,11,4,64,2647,3200,1047,218,7114
LGA18100,3,0,0,0,4,4,4,0,0,10,14,23,11,3,45,27,21,9,5,60,16,13,9,5,36,12,12,5,7,32,11,13,6,6,31,10,8,3,4,28,16,20,11,3,45,0,0,0,0,0,116,108,52,33,310
LGA18200,4,3,3,0,11,8,3,0,0,18,31,20,12,9,68,30,50,22,11,110,37,45,28,5,111,30,32,19,3,85,29,61,23,3,122,34,36,22,7,94,38,45,27,11,112,5,0,0,0,8,261,301,162,45,767
LGA18250,46,37,8,0,84,61,44,6,5,109,232,172,35,3,449,270,233,42,9,552,391,332,60,12,796,322,279,56,3,659,623,632,99,21,1373,1720,2947,874,138,5676,232,262,91,18,603,29,28,7,0,65,4011,5050,1288,208,10550
LGA18350,22,14,4,0,42,37,25,8,7,80,213,137,65,20,446,235,254,78,37,604,293,317,133,31,780,271,304,105,36,712,335,459,184,44,1014,409,603,276,83,1370,171,168,103,44,488,10,10,6,0,25,2019,2328,968,307,5623
LGA18400,33,12,5,3,63,33,23,16,3,70,213,183,82,42,515,249,272,125,64,717,357,416,200,71,1049,300,424,201,64,988,481,722,327,88,1620,488,795,417,147,1849,135,226,118,40,516,31,33,12,3,84,2360,3140,1517,533,7557
LGA18450,139,80,48,40,302,181,119,59,26,384,876,605,221,118,1827,1003,922,354,116,2392,1329,1393,470,130,3320,1162,1468,512,128,3266,1710,2519,787,186,5209,1645,3039,1154,256,6096,501,604,278,131,1511,55,69,19,6,150,8723,10931,3950,1175,24785
LGA18500,6,6,0,0,16,8,14,3,0,24,47,43,8,0,103,85,52,17,4,152,120,104,20,3,256,110,85,33,5,236,243,213,47,9,517,1271,1596,640,110,3617,144,204,99,34,484,19,19,15,0,49,2080,2370,883,171,5501
LGA18710,9,0,0,0,17,10,5,8,4,27,38,43,18,3,106,73,63,32,10,186,85,73,49,16,221,89,95,35,16,231,176,212,80,20,497,231,354,156,40,776,66,64,44,19,195,3,6,0,0,11,792,918,424,133,2260
LGA19399,0,0,4,0,4,4,0,0,0,4,8,3,0,0,20,9,5,0,0,8,3,4,0,0,14,0,3,5,0,11,3,8,4,0,9,3,0,0,0,6,0,7,9,0,20,0,0,0,0,3,48,36,21,8,108
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
