LGA_CODE_2021,C16_F_a_4_8_FH_One_PFam,C16_F_a_4_8_FH_oth_fa,C16_F_a_4_8_FH_Tot,C16_F_a_4_8_LP_H,C16_F_a_4_8_GH,C16_F_a_4_8_OH,C16_F_a_4_8_Tot,C16_F_a_9m_FH_CF_no_ch,C16_F_a_9m_FH_CF_w_ch,C16_F_a_9m_FH_One_PFam,C16_F_a_9m_FH_oth_fa,C16_F_a_9m_FH_Tot,C16_F_a_9m_LP_H,C16_F_a_9m_GH,C16_F_a_9m_OH,C16_F_a_9m_Tot,C16_F_a_a_h_FH_CF_no_ch,C16_F_a_a_h_FH_CF_w_ch,C16_F_a_a_h_FH_One_PFam,C16_F_a_a_h_FH_oth_fa,C16_F_a_a_h_FH_Tot,C16_F_a_a_h_LP_H,C16_F_a_a_h_GH,C16_F_a_a_h_OH,C16_F_a_a_h_Tot,C16_F_a_Tot_FH_CF_no_ch,C16_F_a_Tot_FH_CF_w_ch,C16_F_a_Tot_FH_One_PFam,C16_F_a_Tot_FH_oth_fa,C16_F_a_Tot_FH_Tot,C16_F_a_Tot_LP_H,C16_F_a_Tot_GH,C16_F_a_Tot_OH,C16_F_a_Tot_Tot,C16_OD_C_c_hb_FH_CF_no_ch,C16_OD_C_c_hb_FH_CF_w_ch,C16_OD_C_c_hb_FH_One_PFam,C16_OD_C_c_hb_FH_oth_fa,C16_OD_C_c_hb_FH_Tot,C16_OD_C_c_hb_LP_H,C16_OD_C_c_hb_GH,C16_OD_C_c_hb_OH,C16_OD_C_c_hb_Tot,C16_OD_Ih_t_s_FH_CF_no_ch,C16_OD_Ih_t_s_FH_CF_w_ch,C16_OD_Ih_t_s_FH_One_PFam,C16_OD_Ih_t_s_FH_oth_fa,C16_OD_Ih_t_s_FH_Tot,C16_OD_Ih_t_s_LP_H,C16_OD_Ih_t_s_GH,C16_OD_Ih_t_s_OH,C16_OD_Ih_t_s_Tot,C16_OD_H_f_so_FH_CF_no_ch,C16_OD_H_f_so_FH_CF_w_ch,C16_OD_H_f_so_FH_One_PFam,C16_OD_H_f_so_FH_oth_fa,C16_OD_H_f_so_FH_Tot,C16_OD_H_f_so_LP_H,C16_OD_H_f_so_GH,C16_OD_H_f_so_OH,C16_OD_H_f_so_Tot,C16_OD_Tot_FH_CF_no_ch,C16_OD_Tot_FH_CF_w_ch,C16_OD_Tot_FH_One_PFam,C16_OD_Tot_FH_oth_fa,C16_OD_Tot_FH_Tot,C16_OD_Tot_LP_H,C16_OD_Tot_GH,C16_OD_Tot_OH,C16_OD_Tot_Tot,C16_DS_ns_FH_CF_no_ch,C16_DS_ns_FH_CF_w_ch,C16_DS_ns_FH_One_PFam,C16_DS_ns_FH_oth_fa,C16_DS_ns_FH_Tot,C16_DS_ns_LP_H,C16_DS_ns_GH,C16_DS_ns_OH,C16_DS_NS_Tot,C16_Tot_FH_CF_no_ch,C16_Tot_FH_CF_w_ch,C16_Tot_FH_One_PFam,C16_Tot_FH_oth_fa,C16_Tot_FH_Tot,C16_Tot_LP_H,C16_Tot_GH,C16_Tot_OH,C16_Tot_Tot,C21_S_h_FH_CF_no_ch,C21_S_h_FH_CF_w_ch,C21_S_h_FH_One_PFam,C21_S_h_FH_oth_fa,C21_S_h_FH_Tot,C21_S_h_LP_H,C21_S_h_GH,C21_S_h_OH,C21_S_h_Tot,C21_SDRTHT1S_FH_CF_no_ch,C21_SDRTHT1S_FH_CF_w_ch,C21_SDRTHT1S_FH_One_PFam,C21_SDRTHT1S_FH_oth_fa,C21_SDRTHT1S_FH_Tot,C21_SDRTHT1S_LP_H,C21_SDRTHT1S_GH,C21_SDRTHT1S_OH,C21_SDRTHT1S_Tot,C21_SDRTHT2S_FH_CF_no_ch,C21_SDRTHT2S_FH_CF_w_ch,C21_SDRTHT2S_FH_One_PFam,C21_SDRTHT2S_FH_oth_fa,C21_SDRTHT2S_FH_Tot,C21_SDRTHT2S_LP_H,C21_SDRTHT2S_GH,C21_SDRTHT2S_OH,C21_SDRTHT2S_Tot,C21_SDRTHT_Tot_FH_CF_no_ch,C21_SDRTHT_Tot_FH_CF_w_ch,C21_SDRTHT_Tot_FH_One_PFam,C21_SDRTHT_Tot_FH_oth_fa,C21_SDRTHT_Tot_FH_Tot,C21_SDRTHT_Tot_LP_H,C21_SDRTHT_Tot_GH,C21_SDRTHT_Tot_OH,C21_SDRTHT_Tot_Tot,C21_F_a_1_2_FH_CF_no_ch,C21_F_a_1_2_FH_CF_w_ch,C21_F_a_1_2_FH_One_PFam,C21_F_a_1_2_FH_oth_fa,C21_F_a_1_2_FH_Tot,C21_F_a_1_2_LP_H,C21_F_a_1_2_GH,C21_F_a_1_2_OH,C21_F_a_1_2_Tot,C21_F_a_3_FH_CF_no_ch,C21_F_a_3_FH_CF_w_ch,C21_F_a_3_FH_One_PFam,C21_F_a_3_FH_oth_fa,C21_F_a_3_FH_Tot,C21_F_a_3_LP_H,C21_F_a_3_GH,C21_F_a_3_OH,C21_F_a_3_Tot,C21_F_a_4_8_FH_CF_no_ch,C21_F_a_4_8_FH_CF_w_ch,C21_F_a_4_8_FH_One_PFam,C21_F_a_4_8_FH_oth_fa,C21_F_a_4_8_FH_Tot,C21_F_a_4_8_LP_H,C21_F_a_4_8_GH,C21_F_a_4_8_OH,C21_F_a_4_8_Tot,C21_F_a_9m_FH_CF_no_ch,C21_F_a_9m_FH_CF_w_ch,C21_F_a_9m_FH_One_PFam,C21_F_a_9m_FH_oth_fa,C21_F_a_9m_FH_Tot,C21_F_a_9m_LP_H,C21_F_a_9m_GH,C21_F_a_9m_OH,C21_F_a_9m_Tot,C21_F_a_a_h_FH_CF_no_ch,C21_F_a_a_h_FH_CF_w_ch,C21_F_a_a_h_FH_One_PFam,C21_F_a_a_h_FH_oth_fa,C21_F_a_a_h_FH_Tot,C21_F_a_a_h_LP_H,C21_F_a_a_h_GH,C21_F_a_a_h_OH,C21_F_a_a_h_Tot,C21_F_a_Tot_FH_CF_no_ch,C21_F_a_Tot_FH_CF_w_ch,C21_F_a_Tot_FH_One_PFam,C21_F_a_Tot_FH_oth_fa,C21_F_a_Tot_FH_Tot,C21_F_a_Tot_LP_H,C21_F_a_Tot_GH,C21_F_a_Tot_OH,C21_F_a_Tot_Tot,C21_OD_C_c_hb_FH_CF_no_ch,C21_OD_C_c_hb_FH_CF_w_ch,C21_OD_C_c_hb_FH_One_PFam,C21_OD_C_c_hb_FH_oth_fa,C21_OD_C_c_hb_FH_Tot,C21_OD_C_c_hb_LP_H,C21_OD_C_c_hb_GH,C21_OD_C_c_hb_OH,C21_OD_C_c_hb_Tot,C21_OD_Ih_t_s_FH_CF_no_ch,C21_OD_Ih_t_s_FH_CF_w_ch,C21_OD_Ih_t_s_FH_One_PFam,C21_OD_Ih_t_s_FH_oth_fa,C21_OD_Ih_t_s_FH_Tot,C21_OD_Ih_t_s_LP_H,C21_OD_Ih_t_s_GH,C21_OD_Ih_t_s_OH,C21_OD_Ih_t_s_Tot,C21_OD_H_f_so_FH_CF_no_ch,C21_OD_H_f_so_FH_CF_w_ch,C21_OD_H_f_so_FH_One_PFam,C21_OD_H_f_so_FH_oth_fa
LGA12350,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,22,10,12,5,45,174,6,39,267,0,0,0,0,6,16,0,37,57,0,0,0,0,0,0,0,4,6,4,4,0,0,5,4,0,0,11,3,3,4,0,10,19,0,42,72,15,11,5,0,33,20,0,0,55,1493,1151,526,70,3233,1486,104,437,5253,1511,1096,535,63,3210,1346,121,351,5028,33,15,14,0,65,176,6,23,271,3,0,0,0,9,24,0,0,29,41,16,14,0,72,203,5,23,308,6,5,6,0,11,63,0,18,97,0,0,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,5,6,0,20,73,0,18,109,4,0,0,0,4,7,0,22,40,0,0,0,0,0,0,0,0,5,0,0,0,0
LGA12380,596,155,3603,921,444,331,5298,..,..,..,..,..,..,..,..,..,26,40,19,3,85,40,8,9,151,3583,5855,1964,421,11818,4028,1421,1198,18472,0,4,0,0,5,0,0,4,14,3,10,6,0,13,3,0,30,52,50,146,45,10,249,58,30,39,376,55,158,50,10,272,65,34,74,440,54,110,22,12,191,120,32,28,363,12313,28072,7967,1319,49677,11612,3217,3314,67818,7197,17460,5018,639,30310,5503,1445,2356,39614,437,1005,314,37,1789,1045,112,232,3177,1380,3687,1043,104,6217,1282,353,480,8329,1816,4695,1360,136,8008,2327,461,708,11504,863,1259,414,144,2678,1672,438,378,5167,1333,2069,767,191,4357,1961,683,564,7565,1995,2767,777,197,5737,1841,697,686,8962,769,641,163,90,1666,387,342,167,2561,124,279,80,10,497,163,65,40,771,5092,7015,2196,631,14933,6030,2223,1835,25021,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,6,12,25,57,22,4
LGA12390,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,255,81,68,9,409,748,48,149,1359,14,5,0,0,18,31,0,229,284,0,3,0,0,6,0,0,4,8,80,83,28,5,200,75,9,31,308,97,86,34,5,220,102,14,269,603,24,17,8,0,49,31,3,12,98,4699,5046,2370,219,12332,4605,540,1471,18951,4623,5164,2267,207,12261,3643,534,1307,17750,325,148,121,13,609,777,47,168,1598,17,11,7,0,29,32,5,10,79,336,159,125,13,638,811,50,177,1681,201,122,56,0,377,696,49,176,1302,4,0,0,0,3,11,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,15,3,3,0,27,207,125,61,0,394,709,52,187,1344,7,0,5,0,14,26,0,65,104,6,0,0,0,6,5,0,0,6,12,14,8,0
LGA12700,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,3,0,5,4,13,27,0,0,35,5,6,0,0,12,9,0,15,45,8,5,0,0,10,0,0,0,11,0,0,0,0,0,4,0,0,5,13,12,3,0,27,17,0,15,62,6,10,0,0,18,5,0,0,19,1061,1005,336,24,2418,775,58,224,3481,1172,1094,322,25,2612,803,51,192,3654,7,5,7,0,16,38,0,5,54,0,0,0,0,0,0,0,0,0,7,5,7,0,16,38,0,5,54,3,0,0,0,3,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,8,0,0,8,7,6,0,0,11,11,0,9,32,0,0,0,0,4,0,0,0,4,3,0,0,0
LGA12730,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,35,6,21,0,59,160,10,48,282,4,0,0,0,0,14,0,36,55,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,6,19,3,0,0,0,8,21,5,45,77,11,9,6,0,22,15,0,0,39,1004,793,368,35,2199,1086,91,436,3811,988,744,280,33,2043,880,77,267,3269,36,13,14,7,70,196,11,55,323,3,0,0,0,3,6,0,0,8,43,13,14,7,68,204,11,51,335,8,4,0,0,9,5,0,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,9,5,0,4,22,3,0,0,0,3,7,0,19,27,0,0,0,0,0,0,0,0,3,0,0,0,0
LGA12750,0,0,14,15,0,7,28,..,..,..,..,..,..,..,..,..,0,5,0,0,5,3,0,0,7,169,59,98,10,331,594,38,142,1110,67,9,15,0,88,186,6,247,527,6,3,0,0,7,5,0,7,22,0,9,6,0,11,8,0,10,26,77,19,17,0,115,201,11,257,575,34,13,9,0,62,36,0,11,113,5524,2789,1587,106,10003,4657,371,1412,16447,5545,2880,1417,102,9952,3575,344,1231,15101,208,42,75,0,330,462,17,78,880,164,47,63,3,277,284,9,61,638,368,90,135,11,604,749,25,138,1513,159,52,92,10,310,524,32,105,966,13,3,7,0,23,31,0,3,58,10,0,0,0,11,27,0,0,37,0,0,0,0,0,0,0,0,0,5,7,0,0,8,14,0,7,29,188,56,99,11,349,594,33,116,1093,77,9,17,0,102,188,12,165,464,0,0,0,0,0,3,0,21,27,11,0,8,0
LGA12850,382,71,1494,497,75,104,2167,..,..,..,..,..,..,..,..,..,12,32,16,3,65,34,4,3,113,1333,2059,1478,225,5101,2415,341,530,8388,10,4,4,4,17,58,0,22,97,3,10,4,0,21,12,3,4,36,55,134,63,11,259,71,13,63,407,66,149,70,14,298,138,24,90,548,48,78,45,9,180,83,9,15,286,9805,25222,10634,1203,46863,9003,1321,2385,59574,8253,20328,7906,835,37317,5831,837,1955,45944,237,433,289,25,981,536,30,125,1676,830,2463,1448,130,4867,1036,149,272,6325,1066,2899,1739,154,5850,1569,180,401,8000,393,564,454,59,1462,1182,84,227,2967,517,622,486,78,1709,928,156,224,3016,370,519,377,64,1328,647,56,191,2213,109,152,97,13,373,165,16,48,604,142,323,138,19,626,197,40,66,933,1533,2181,1552,235,5491,3122,349,763,9725,3,3,0,3,12,48,4,35,96,0,0,0,0,0,5,0,5,7,22,18,13,0
LGA12870,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,54,20,16,0,88,170,18,50,322,23,0,0,0,22,40,6,31,104,0,0,0,0,0,0,0,0,0,5,8,0,0,9,3,0,0,17,28,5,0,0,39,44,6,33,117,15,3,0,0,15,5,0,7,30,1650,1107,447,38,3242,1493,109,433,5277,1669,1119,428,29,3230,1267,107,316,4929,117,14,38,6,172,348,18,48,582,0,0,0,0,0,0,0,0,0,117,14,41,6,173,348,18,48,586,6,0,0,0,9,14,0,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,11,0,7,30,10,0,0,0,11,23,0,21,51,0,0,0,0,0,0,0,3,4,3,4,0,0
LGA12900,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,11,5,6,0,25,114,3,16,149,5,0,0,0,7,16,0,50,75,0,4,5,0,11,4,0,4,18,11,5,3,3,16,9,0,0,27,17,4,5,3,35,25,0,58,115,0,5,0,0,8,7,0,3,20,1053,895,395,34,2376,1036,85,335,3833,1005,839,400,25,2269,848,74,260,3456,22,11,11,0,53,96,5,18,166,3,0,0,0,0,6,0,0,9,26,11,15,0,54,106,5,18,181,19,0,7,0,34,129,0,32,190,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,19,0,7,0,34,126,0,34,198,3,0,0,0,7,17,0,25,50,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA12930,939,237,6032,1938,942,413,9313,..,..,..,..,..,..,..,..,..,18,18,9,0,42,26,0,4,68,4280,4400,1854,389,10918,4020,1405,918,17260,4,0,0,0,5,0,0,0,13,0,0,0,0,0,0,0,3,9,53,73,30,4,158,81,23,37,303,54,80,32,4,171,83,23,44,314,29,41,17,4,94,62,12,12,177,11587,19286,5440,868,37172,9327,2196,1992,50695,6421,12926,2934,358,22639,3828,591,653,27702,472,551,270,28,1315,820,53,105,2294,857,1572,496,37,2961,759,85,113,3922,1326,2123,762,65,4277,1579,149,216,6211,375,365,183,30,957,857,109,159,2076,1432,1373,726,135,3668,1651,343,247,5899,2132,1977,901,213,5222,2237,536,459,8451,1028,726,267,89,2111,675,289,128,3211,72,84,33,6,199,77,17,7,307,5042,4525,2112,474,12155,5497,1295,999,19944,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,61,58,33,6
LGA12950,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,5,5,3,0,10,34,0,7,49,3,0,0,0,3,0,0,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,27,5,8,0,0,10,3,0,0,12,497,371,194,26,1088,464,29,121,1705,477,356,202,17,1048,405,33,151,1627,12,0,0,0,12,23,0,0,42,0,0,0,0,0,0,0,0,0,12,0,0,0,12,23,0,0,42,3,3,0,0,15,32,0,12,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,15,36,0,12,63,3,0,0,0,5,13,0,33,45,0,0,0,0,0,0,0,4,4,5,0,0,0
LGA13010,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,13,5,7,0,28,95,0,19,137,8,5,0,0,12,11,0,21,43,0,0,0,0,3,0,0,0,3,5,0,0,0,4,0,0,0,7,10,0,4,0,19,16,0,21,52,13,6,10,0,31,24,0,12,67,1074,709,367,32,2184,1143,95,317,3742,1110,643,379,34,2161,1088,88,315,3664,21,11,4,0,35,117,3,18,174,0,0,0,0,0,6,0,8,13,21,12,4,0,37,118,3,26,189,12,0,3,0,11,61,0,10,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,11,61,0,10,85,6,0,3,0,14,13,0,22,46,0,0,0,0,0,0,0,0,9,0,5,0,0
LGA13310,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,5,0,0,4,37,17,22,3,87,260,12,55,412,9,5,0,0,22,42,0,26,87,3,8,3,0,16,3,0,7,26,9,5,0,0,14,24,0,5,47,23,16,4,3,45,66,0,44,154,14,15,5,0,35,16,6,31,86,3063,2950,1335,110,7468,3208,270,687,11630,3175,3008,1275,90,7548,2719,266,650,11185,145,77,81,9,305,526,28,78,938,33,17,21,0,74,86,7,11,186,178,96,99,7,383,614,37,83,1120,31,16,25,0,73,195,5,34,309,4,0,3,0,9,49,4,7,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,7,10,0,0,18,37,26,29,0,88,254,8,40,401,6,4,9,0,17,31,3,31,80,0,0,0,0,0,0,0,0,0,11,0,3,6
LGA13340,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,6,0,0,0,7,29,0,6,37,5,0,0,0,11,5,0,9,18,0,0,0,0,4,0,0,0,4,4,4,0,0,4,6,0,0,13,8,7,0,0,16,9,0,17,36,9,10,0,0,20,13,0,3,34,1182,1145,345,17,2690,946,67,218,3918,1257,1169,381,23,2831,921,72,333,4160,7,8,4,0,13,59,0,13,85,0,0,0,0,0,0,0,0,3,10,8,4,0,16,58,0,13,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,9,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,0
LGA13450,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,6,0,0,0,6,0,0,0,5,166,151,77,12,409,377,53,184,1017,7,4,4,0,9,34,3,29,78,4,5,0,0,4,7,0,5,18,4,6,4,0,13,8,4,4,25,10,13,9,0,29,44,5,42,127,11,19,11,0,41,18,5,17,76,2266,2925,896,98,6186,2028,266,858,9343,2187,2828,873,85,5976,1623,189,550,8334,69,52,44,4,178,165,17,36,399,8,7,0,0,14,45,0,15,81,84,60,44,4,188,219,19,50,475,215,175,71,18,481,360,47,104,987,9,6,0,0,19,8,4,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,5,4,0,0,10,225,192,71,17,506,373,51,100,1030,3,0,0,0,6,29,0,52,87,0,0,0,0,0,0,0,8,11,10,10,5,0
LGA13550,0,0,3,31,0,5,43,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,24,8,23,0,55,176,11,28,273,7,3,0,0,7,14,0,37,57,0,0,0,0,0,0,0,0,0,3,5,0,0,10,4,0,0,19,7,8,0,0,13,20,0,42,77,8,7,3,0,20,12,0,12,38,1273,1303,511,52,3137,1276,108,368,4893,1211,1332,516,66,3126,978,122,342,4570,47,20,33,3,101,206,14,71,384,0,8,3,0,8,29,4,11,53,47,26,33,3,113,230,16,79,437,4,0,7,0,6,65,3,12,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4,4,7,0,10,73,3,12,100,4,0,0,0,4,9,0,45,64,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA13660,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23,0,0,30,13,0,3,0,17,13,0,49,82,4,0,0,0,4,3,0,0,5,0,4,0,0,4,0,0,0,3,16,3,3,0,16,14,0,56,87,0,0,0,0,9,0,0,0,7,678,471,184,19,1352,589,48,243,2228,621,430,192,14,1256,529,45,150,1973,0,0,4,0,6,18,0,0,28,0,0,0,0,0,0,0,0,0,0,0,4,0,6,18,0,0,28,0,0,0,0,0,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,11,8,0,0,0,8,12,0,29,44,0,0,0,0,0,5,0,0,4,0,0,0,0
LGA13800,3,0,3,0,0,0,3,..,..,..,..,..,..,..,..,..,0,0,0,0,3,4,0,0,10,70,41,55,3,173,287,28,50,536,10,7,0,0,19,76,5,67,172,3,5,3,0,12,9,0,16,32,9,9,3,0,18,18,0,3,42,22,20,8,0,54,100,7,88,242,41,40,14,0,98,64,10,26,198,5313,8254,2651,185,16408,4389,510,1236,22544,5539,8071,2346,151,16110,3524,374,714,20724,298,213,261,21,793,790,60,95,1732,97,109,113,6,324,212,19,34,586,395,320,374,25,1117,1002,79,124,2327,71,36,40,5,154,301,20,44,516,27,9,10,0,46,56,6,13,112,3,0,0,0,10,7,0,0,19,0,0,0,0,0,0,0,0,0,19,12,7,0,33,23,4,0,71,120,61,60,3,241,388,26,57,717,18,3,3,3,29,59,3,78,166,0,0,3,0,9,4,0,3,11,3,6,7,0
LGA13850,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,6,4,13,0,20,28,3,18,71,0,0,0,0,4,4,0,36,42,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,7,3,0,34,45,0,7,0,0,3,3,0,17,24,325,273,127,7,728,343,21,171,1266,333,237,116,8,698,325,14,121,1154,8,10,9,0,26,45,0,17,92,0,0,0,0,0,0,0,0,0,8,10,9,0,26,45,0,17,92,0,0,0,0,5,4,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,6,12,0,0,0,0,0,0,0,14,9,0,0,0,0,0,0,0,0,0,3,0,0,0
LGA13910,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,37,15,24,3,86,211,11,29,333,7,0,0,0,8,13,0,22,42,4,0,0,0,9,0,0,0,8,8,9,0,0,22,3,0,6,27,17,10,0,0,32,21,0,29,81,11,8,0,0,25,26,0,10,57,2106,1777,801,72,4761,2135,180,485,7559,2141,1778,738,74,4729,1855,155,507,7243,54,36,44,0,136,288,11,58,491,0,7,0,0,9,8,3,5,18,55,38,44,0,144,292,7,60,506,18,8,5,0,27,96,8,11,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,8,4,0,32,94,8,11,144,13,5,0,0,9,23,0,12,48,0,0,0,0,0,0,0,0,0,3,3,0,0
LGA14000,261,51,2329,838,123,151,3446,..,..,..,..,..,..,..,..,..,3,12,4,0,19,24,3,7,45,1926,2183,735,122,4963,2837,335,412,8547,12,10,4,3,31,28,3,31,99,0,0,0,0,0,0,0,19,23,14,22,5,0,42,20,4,3,74,28,36,12,3,75,50,5,60,191,40,36,19,0,85,69,3,12,172,11195,21990,4284,460,37928,8169,911,1431,48446,9111,18550,3159,234,31059,4303,509,605,36475,231,184,78,6,497,511,12,23,1045,667,1352,408,22,2454,781,38,86,3360,900,1532,488,29,2954,1293,44,110,4401,317,187,102,11,612,767,32,83,1495,734,638,351,60,1785,1274,142,109,3315,955,1314,347,45,2668,1106,93,185,4048,673,933,205,37,1855,641,103,86,2681,51,60,27,0,145,67,6,18,234,2724,3131,1036,159,7059,3854,374,481,11767,12,5,3,0,24,33,3,13,77,0,0,0,0,0,0,0,0,0,14,21,0,0
LGA14100,37,3,144,219,12,32,396,..,..,..,..,..,..,..,..,..,0,0,0,0,0,4,0,0,4,241,98,79,9,428,552,25,86,1098,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,5,0,0,0,0,6,6,0,0,6,3,11,0,0,17,4,0,0,23,1139,1824,369,37,3372,1107,94,235,4807,752,1491,222,20,2483,364,43,81,2972,30,26,9,0,64,26,0,5,99,227,165,65,5,467,167,7,23,658,255,193,67,5,532,197,7,25,756,87,35,28,7,157,223,13,14,403,49,33,25,5,108,105,8,17,242,112,39,27,5,187,220,8,23,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,249,106,88,13,452,547,30,53,1086,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA14170,371,101,3524,2662,610,773,7564,..,..,..,..,..,..,..,..,..,98,46,34,6,182,139,49,77,445,7380,3876,1929,454,13640,10894,2807,3106,30450,0,4,0,0,3,4,0,9,9,3,0,0,0,3,0,0,30,35,260,151,88,22,523,293,203,192,1216,262,155,88,22,526,297,208,229,1264,108,74,20,8,216,331,48,32,620,17677,18803,5900,1077,43454,18946,6401,5494,74286,5380,8625,2280,287,16568,3533,1251,483,21840,3275,3491,998,151,7911,2537,861,289,11591,2466,2895,787,86,6238,1750,785,315,9083,5740,6386,1781,232,14148,4283,1643,600,20674,2170,1190,732,124,4214,4596,856,588,10260,2864,1363,802,184,5214,5238,863,512,11834,2774,1148,485,107,4520,3736,609,456,9318,478,174,59,12,720,425,100,60,1299,74,45,25,8,151,145,35,42,367,8363,3921,2101,429,14811,14144,2466,1661,33076,0,0,0,0,0,3,0,7,15,0,0,0,0,0,0,0,3,3,245,122,85,26
LGA14220,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,37,23,31,3,86,259,10,46,400,6,4,7,0,14,30,0,56,106,4,0,0,0,0,0,0,0,8,8,3,0,0,10,7,4,3,21,18,5,7,0,28,40,3,62,135,32,36,7,0,76,28,0,13,123,1944,1632,834,68,4475,1801,178,532,6989,1947,1523,793,69,4329,1518,157,567,6576,51,26,33,10,125,267,12,44,451,10,3,12,0,25,45,4,9,85,59,34,46,10,148,320,15,56,534,7,0,5,0,10,46,0,3,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,3,0,4,8,14,0,5,0,12,45,0,4,68,0,0,0,0,6,20,3,47,72,4,0,0,0,7,0,0,9,9,5,3,0,0
