region_id,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_unit_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_unit_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_unit_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_unit_aprt,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_Ps_not_in_s_hh_DS_Flt_ut_at,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Fl_u_at,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flt_unt_apt,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flt_unit_apt,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_unit_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flt_unt_apt,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flt_unt_apt,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_unit_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
UCL115072,246,3,0,0,0,249,388,3,3,0,0,394,118,8,0,0,0,126,0,0,0,0,0,0,47,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,168,8,0,0,0,176,4,0,0,0,0,4,11,0,0,4,0,15,817,14,3,4,0,838
UCL115073,283,0,0,3,0,286,195,0,0,0,0,195,103,0,25,0,0,128,14,3,5,0,0,22,49,0,3,3,0,55,0,0,4,0,0,4,4,0,3,0,0,7,9,0,0,0,0,9,179,3,40,3,0,225,0,0,0,0,0,0,11,0,3,3,0,17,668,3,43,9,0,723
UCL115074,245,0,0,0,0,245,195,0,0,0,0,195,9,0,0,0,0,9,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,3,0,0,3,465,0,3,0,0,468
UCL115075,324,4,14,13,0,355,191,0,0,3,0,194,58,6,22,3,0,89,24,0,5,0,0,29,37,6,3,12,0,58,0,0,0,0,0,0,14,0,3,3,0,20,6,0,0,3,0,9,139,12,33,21,0,205,5,0,0,0,0,5,17,0,6,0,0,23,676,16,53,37,0,782
UCL115076,272,5,4,0,0,281,216,3,0,0,0,219,42,4,18,0,0,64,22,4,0,0,0,26,55,6,3,3,0,67,8,0,0,0,0,8,10,0,0,0,0,10,3,3,0,3,0,9,140,17,21,6,0,184,3,0,0,0,0,3,19,0,0,7,0,26,650,25,25,13,0,713
UCL115077,361,9,5,5,0,380,225,0,0,5,0,230,48,6,3,0,0,57,12,0,0,0,0,12,69,0,6,0,0,75,3,3,0,0,0,6,6,0,7,5,0,18,9,0,0,0,0,9,147,9,16,5,0,177,3,3,0,0,0,6,21,4,0,0,0,25,757,25,21,15,0,818
UCL115078,453,56,8,8,0,525,137,13,0,5,0,155,129,42,36,4,0,211,0,0,0,0,0,0,49,5,3,0,0,57,3,0,0,0,0,3,5,0,3,0,0,8,3,0,0,3,0,6,189,47,42,7,0,285,3,0,3,0,0,6,26,0,0,0,0,26,808,116,53,20,0,997
UCL115079,221,19,6,5,0,251,51,11,3,0,0,65,72,24,33,0,0,129,0,0,0,0,0,0,17,6,0,0,0,23,0,0,0,0,0,0,5,0,0,0,0,5,5,0,3,0,0,8,99,30,36,0,0,165,5,0,0,0,0,5,13,3,0,0,0,16,389,63,45,5,0,502
UCL115080,346,0,5,3,0,354,229,0,3,3,0,235,57,0,36,0,0,93,37,0,3,0,0,40,103,0,13,0,0,116,4,0,0,0,0,4,27,0,8,3,0,38,6,0,0,0,0,6,234,0,60,3,0,297,7,0,0,0,0,7,24,0,7,0,0,31,840,0,75,9,0,924
UCL115081,168,0,0,0,0,168,315,6,0,0,0,321,50,3,3,0,0,56,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,3,3,0,0,68,0,0,0,0,0,0,10,0,3,0,0,13,555,9,6,0,0,570
UCL115082,153,3,0,0,0,156,421,0,0,0,0,421,73,0,0,0,0,73,3,0,0,0,0,3,19,0,3,0,0,22,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,101,0,3,0,0,104,0,0,0,0,0,0,21,0,0,0,0,21,696,3,3,0,0,702
UCL115083,209,0,0,7,0,216,138,0,0,0,0,138,40,10,0,0,0,50,4,3,0,0,0,7,54,0,0,0,0,54,0,0,0,0,0,0,5,0,0,0,0,5,9,3,0,0,0,12,112,16,0,0,0,128,5,0,0,0,0,5,30,8,0,0,0,38,494,24,0,7,0,525
UCL115084,346,5,3,7,0,361,341,3,0,0,0,344,85,6,12,0,0,103,0,0,3,0,0,3,46,3,0,0,0,49,0,0,0,0,0,0,3,0,0,7,0,10,4,0,0,0,0,4,138,9,15,7,0,169,3,0,0,0,0,3,21,3,3,0,0,27,849,20,21,14,0,904
UCL115085,306,20,20,51,0,397,78,3,3,5,0,89,106,31,44,0,0,181,0,0,0,0,0,0,27,13,11,0,0,51,3,7,0,0,0,10,8,0,3,8,0,19,0,0,0,0,0,0,144,51,58,8,0,261,4,4,5,4,0,17,11,0,4,3,0,18,543,78,90,71,0,782
UCL115086,81,13,29,3,0,126,98,24,52,0,3,177,44,31,61,0,4,140,7,3,0,0,0,10,17,15,16,3,3,54,0,0,0,0,0,0,6,6,5,0,3,20,0,0,0,0,0,0,74,55,82,3,10,224,0,0,0,0,0,0,11,3,5,9,0,28,264,95,168,15,13,555
UCL115087,116,0,0,0,0,116,160,4,6,0,0,170,28,5,0,0,0,33,0,0,0,0,0,0,17,0,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,49,5,4,0,0,58,0,0,0,0,0,0,9,0,0,0,0,9,334,9,10,0,0,353
UCL115088,234,11,0,0,0,245,133,5,0,0,0,138,29,4,6,0,0,39,0,0,0,0,0,0,21,0,3,0,0,24,0,0,0,0,0,0,4,0,3,0,0,7,0,0,0,0,0,0,54,4,12,0,0,70,0,0,0,0,0,0,9,0,0,0,0,9,430,20,12,0,0,462
UCL115089,465,10,3,0,3,481,470,0,0,0,0,470,153,25,6,0,0,184,51,3,0,0,3,57,77,3,0,3,0,83,7,7,0,0,0,14,6,5,0,0,0,11,7,0,0,3,0,10,301,43,6,6,3,359,8,0,0,0,0,8,44,0,3,0,6,53,1288,53,12,6,12,1371
UCL115090,239,0,0,5,0,244,111,5,0,0,0,116,73,0,10,4,0,87,30,0,0,0,0,30,36,0,0,0,0,36,3,0,0,0,0,3,10,0,0,0,0,10,3,0,3,0,0,6,155,0,13,4,0,172,4,0,0,0,0,4,17,0,0,0,0,17,526,5,13,9,0,553
UCL115091,144,0,3,71,0,218,101,0,4,6,0,111,33,0,0,0,0,33,4,0,0,0,0,4,20,0,4,0,0,24,27,0,0,0,0,27,0,0,0,6,0,6,4,0,0,3,3,10,88,0,4,9,3,104,7,0,0,0,0,7,11,0,0,0,0,11,351,0,11,86,3,451
UCL115092,174,10,0,4,0,188,222,5,0,3,0,230,61,0,4,0,0,65,0,0,0,0,0,0,38,4,0,0,0,42,0,10,0,0,0,10,5,0,0,7,0,12,3,0,0,0,0,3,107,14,4,7,0,132,0,10,0,0,0,10,12,3,3,0,0,18,515,42,7,14,0,578
UCL115093,154,3,3,0,0,160,155,0,3,0,0,158,29,6,0,0,0,35,0,0,0,0,0,0,9,0,3,3,0,15,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,38,6,11,3,0,58,0,0,3,0,0,3,0,0,0,0,0,0,347,9,20,3,0,379
UCL115094,464,6,9,8,0,487,286,0,0,0,0,286,134,16,31,0,0,181,28,0,4,0,0,32,74,4,9,4,0,91,7,0,0,0,0,7,4,0,0,0,0,4,4,0,0,0,0,4,251,20,44,4,0,319,3,0,3,0,0,6,27,0,0,7,0,34,1031,26,56,19,0,1132
