CED_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
CED136,765,5682,4233,64991,612,76283,38,402,198,12262,127,13023,964,80,101,331,6,1479,288,83,23,197,14,606,855,356,228,905,5,2355,7924,5361,3801,58699,697,76487,1077,66,360,95,6,1608,258,55,42,384,6,744,1183,522,334,5306,50,7392,262,115,39,388,4,807,136,52,24,119,0,334,1112,65,18,93,10,1290,1596,932,657,15082,126,18389,771,385,122,1773,17,3069,167,11,15,5,0,196,72,51,8,93,0,235,96,35,3,98,0,230,294,119,74,394,6,892,411,179,87,188,6,864,396,276,194,213,11,1089,625,140,105,627,8,1511,186,29,28,146,3,396,159,77,25,38,5,308,2129,1365,964,14254,98,18815,98,28,9,36,3,182,387,83,45,48,0,572,244,52,22,163,0,490,49,20,20,28,0,127,196,11,23,5,3,236,394,177,110,813,6,1498,4982,1148,880,2448,65,9526,267,88,41,1383,6967,8757,22630,10398,7357,126722,8472,175578
CED137,2521,3944,3089,15137,149,24840,91,85,35,729,4,949,44155,647,1007,740,248,46790,1118,146,97,392,10,1762,476,145,93,275,6,996,8885,2785,2139,13868,214,27892,3671,100,334,74,7,4187,550,60,57,198,4,873,1102,238,212,1246,13,2812,2883,477,271,1531,19,5178,356,55,42,109,0,565,10151,165,141,82,33,10569,2512,1020,669,7150,49,11400,9797,1824,905,4814,84,17436,12242,81,211,63,38,12634,3415,776,454,1339,23,6008,254,36,37,79,3,409,521,180,110,468,4,1283,418,65,45,29,4,550,489,198,98,43,4,835,816,116,129,208,5,1275,886,65,71,144,6,1174,211,38,18,6,6,285,1585,689,547,4469,38,7329,538,67,59,78,0,741,411,66,52,25,0,556,1107,86,73,144,3,1410,1052,57,32,39,3,1182,4058,115,169,138,8,4492,207,57,52,251,7,571,34217,1736,1555,1869,239,39612,1692,44,56,244,9955,11995,136529,9705,7589,36971,11028,201820
CED138,991,6725,5217,46129,693,59751,49,302,196,5208,54,5809,727,99,134,381,12,1346,232,81,30,159,5,512,1240,382,290,711,19,2636,13636,6273,4576,47048,770,72303,819,41,259,69,15,1198,892,163,106,500,15,1679,2294,638,484,4568,65,8037,274,170,52,446,7,950,223,67,36,83,7,421,859,92,103,112,10,1182,3113,1627,1107,17947,204,23995,1929,607,254,2453,50,5288,100,0,13,11,0,123,102,43,14,159,4,326,45,20,0,17,0,82,274,98,63,291,6,730,556,201,111,122,8,1000,801,354,248,158,8,1561,587,153,104,294,7,1141,307,75,55,125,8,570,99,54,21,7,0,180,3450,1591,1181,13728,152,20097,105,30,9,32,0,173,413,127,65,71,4,686,628,56,43,176,10,908,63,30,20,24,0,141,155,18,36,3,0,216,521,137,83,520,11,1273,6885,1768,1445,2942,113,13157,393,104,88,1066,11467,13116,32383,12686,9385,99744,13229,167436
CED139,566,3436,2531,60660,753,67955,25,278,124,10527,147,11103,1101,36,82,305,11,1539,110,25,19,116,6,275,572,227,143,674,17,1633,4036,3206,2360,54890,794,65287,966,18,137,61,5,1190,132,37,41,364,0,572,672,363,294,6137,51,7525,167,63,26,307,3,569,71,20,10,66,3,164,1314,40,29,55,0,1444,859,716,480,18320,149,20522,456,275,71,1584,30,2408,77,5,14,4,0,111,194,87,33,177,7,497,29,11,0,25,0,65,148,57,57,241,3,501,207,70,38,96,11,423,218,167,128,139,8,662,217,49,26,228,3,527,68,11,10,48,0,142,99,29,4,10,4,146,1082,805,616,13671,106,16276,100,7,13,20,4,141,207,51,39,35,0,338,111,11,9,109,0,248,97,8,14,16,0,138,167,8,16,3,4,204,135,70,47,330,0,584,5830,731,461,1698,63,8783,271,48,28,1516,10215,12077,16982,6341,4575,121469,11984,161349
CED140,1030,7123,5361,43323,503,57344,37,305,177,4564,54,5139,2188,122,174,338,21,2841,334,93,43,247,4,728,1131,337,235,721,9,2428,13675,6281,4550,39963,683,65153,1238,80,276,72,11,1672,544,112,112,405,0,1173,1548,435,319,2852,30,5181,568,157,81,442,11,1256,319,66,38,124,0,549,1325,88,55,86,3,1562,3178,1414,955,13750,159,19459,1499,578,281,2048,22,4429,574,3,33,13,3,637,229,100,41,203,7,573,39,15,5,19,0,80,567,180,122,549,12,1424,478,197,84,127,9,888,651,433,246,228,4,1557,615,127,83,259,8,1093,553,54,76,122,4,809,95,52,22,13,0,181,3171,1512,1087,10923,97,16786,158,24,16,43,0,241,760,115,115,59,9,1050,595,45,65,169,0,875,136,40,15,16,0,204,231,12,33,5,0,291,557,159,107,513,9,1343,7617,1690,1353,2118,93,12875,337,82,63,768,6839,8092,36235,12478,9185,85868,8195,151973
CED141,638,5731,4193,53771,474,64802,16,292,141,7315,64,7829,1048,90,150,362,7,1660,226,69,20,159,6,475,764,324,186,823,6,2107,7026,5248,3590,50520,562,66948,616,33,231,74,4,958,237,71,52,417,5,775,1148,501,327,4216,37,6231,333,130,45,434,9,953,178,53,22,118,0,373,646,51,30,72,4,807,1591,1064,651,13915,96,17316,1017,430,170,2025,27,3673,151,3,21,16,0,195,125,34,20,152,0,336,435,69,39,199,5,744,385,127,66,485,8,1068,292,162,99,141,10,706,373,304,204,198,8,1089,557,140,116,449,9,1271,177,29,44,157,3,408,172,76,27,19,3,301,2099,1440,920,13547,83,18085,153,13,16,75,0,258,357,82,88,36,0,557,238,47,26,147,0,459,42,20,19,26,0,95,150,3,29,12,0,203,364,175,111,887,0,1552,4045,1161,956,2087,66,8323,261,67,53,969,5440,6796,20548,10321,7223,107214,6610,151922
CED142,1833,5859,4908,21458,254,34313,92,206,91,2423,62,2885,33178,495,899,619,172,35356,655,117,73,248,12,1101,1203,362,205,554,6,2327,17862,5208,3986,22916,344,50315,2873,79,364,36,15,3373,2094,181,143,362,18,2793,2935,546,447,2606,38,6567,1940,501,234,1130,23,3829,531,135,73,169,6,908,5041,136,119,77,14,5396,6774,1663,1234,11647,122,21442,4301,937,481,2231,33,7984,2703,42,94,33,16,2896,962,212,125,419,10,1741,343,62,38,55,0,503,340,167,115,341,3,972,711,107,51,46,10,926,1170,218,187,83,10,1674,1496,205,150,413,17,2284,1769,101,113,206,14,2197,200,29,10,4,3,253,4419,1348,1106,7917,65,14854,707,47,42,82,3,867,764,113,63,24,0,973,2257,98,55,131,8,2549,515,48,42,15,4,618,2962,67,147,58,23,3257,673,135,109,474,3,1401,35561,2295,2060,2333,240,42487,1455,58,52,286,13524,15370,116534,12256,9941,50744,14741,204215
CED143,1614,7469,6356,27213,262,42913,36,73,46,573,14,737,5779,281,463,448,29,7004,701,114,67,293,13,1184,1581,380,266,570,5,2801,22247,6659,5034,27146,282,61361,1094,52,186,35,3,1376,1901,268,190,445,12,2814,3061,558,470,2226,31,6346,991,259,170,714,4,2139,459,84,48,137,0,728,1610,107,100,63,8,1891,5619,1628,1275,11809,90,20417,4189,854,440,2191,52,7727,559,23,44,14,7,645,305,101,77,255,4,742,172,27,15,35,5,247,221,92,68,237,3,619,362,73,61,33,0,528,1122,348,267,165,6,1903,1069,144,116,249,3,1579,766,79,98,148,5,1095,107,47,11,10,0,181,5269,1518,1184,9010,60,17035,499,64,49,66,3,678,1592,257,134,46,4,2034,1242,65,93,120,4,1530,215,28,25,23,5,287,437,9,51,30,4,530,984,170,115,401,7,1677,15141,1892,2074,1979,106,21187,491,55,54,314,4529,5443,63090,13513,11025,57859,5336,150819
CED144,6352,3420,2268,9270,185,21497,65,99,36,755,13,976,23221,227,451,289,196,24386,604,59,35,158,8,871,194,75,39,130,0,434,6508,1760,1150,7485,287,17180,3463,91,282,51,21,3909,384,60,51,92,7,589,617,150,95,621,16,1490,6708,851,501,2363,56,10475,229,46,24,64,5,367,6465,124,89,35,15,6728,1201,568,311,3456,34,5569,5295,1003,502,2479,63,9341,4547,30,65,12,29,4685,17985,3371,1412,3406,105,26286,472,77,17,113,4,685,340,97,61,197,3,696,456,78,40,24,7,606,359,93,62,28,5,548,473,72,48,98,5,691,326,29,29,64,4,448,544,96,20,15,14,696,801,373,265,2117,38,3579,335,34,28,63,3,451,185,36,24,15,0,263,903,63,42,91,14,1110,308,20,15,21,0,358,6622,105,160,101,29,7010,94,21,22,114,4,262,45277,2294,1441,1832,328,51160,3202,200,168,332,11392,15289,129422,10284,6284,24483,12683,183154
CED145,1709,6456,5182,20140,199,33692,37,62,31,497,8,642,5304,295,455,464,54,6565,527,133,76,226,5,970,982,281,171,425,12,1868,17595,5205,3916,20809,267,47798,1061,27,149,40,12,1292,2070,241,165,404,11,2892,3063,583,433,2079,30,6186,1904,525,305,1558,31,4315,1480,269,145,396,9,2303,1362,155,139,77,4,1737,5664,1446,1119,10621,86,18936,4023,820,421,2057,46,7360,469,26,61,15,4,568,546,182,112,511,3,1362,152,36,27,25,0,240,274,86,72,247,3,686,345,72,33,23,0,482,940,236,217,93,4,1502,2255,381,299,585,12,3534,2219,200,181,257,16,2875,79,18,10,4,0,112,3827,1232,930,7284,48,13315,373,46,62,59,0,540,3594,377,262,65,14,4306,1670,69,86,101,3,1930,198,39,25,16,0,282,492,12,51,25,0,580,644,115,73,283,4,1115,20099,2627,2305,2589,138,27748,931,90,98,327,7767,9214,67240,12901,10119,47264,8575,146102
CED146,7057,3980,2512,14793,347,28684,70,292,139,2806,67,3381,10928,273,311,322,82,11919,1789,257,154,594,16,2802,264,78,40,179,6,564,7159,2022,1441,11345,343,22310,5528,155,369,126,26,6198,380,45,34,93,6,556,963,226,157,860,20,2221,1553,360,164,854,22,2954,280,32,21,64,0,408,12235,168,134,58,33,12621,851,380,258,3113,37,4641,5375,1434,617,3757,58,11239,285,9,16,6,0,322,6965,2093,767,1466,41,11331,1619,213,150,302,12,2293,1180,303,159,992,10,2648,1052,137,87,59,17,1354,499,128,89,65,8,792,899,90,92,164,0,1252,480,30,14,60,3,593,3598,333,161,125,38,4254,959,400,303,2255,32,3939,3713,315,206,314,20,4566,314,37,30,30,4,408,1884,125,98,126,17,2250,325,17,13,13,0,366,11915,284,323,289,99,12909,92,32,16,110,0,248,62181,2979,2010,2242,316,69728,3256,282,121,427,10574,14659,135982,11362,6938,32915,11971,199172
CED147,1676,7345,5186,48650,575,63428,27,372,194,6177,92,6858,1142,65,95,234,9,1544,791,157,93,399,3,1444,1097,455,248,949,20,2775,12588,6628,5116,42065,613,67010,1199,78,298,96,13,1684,366,87,69,368,3,893,2046,663,494,3517,59,6775,861,223,119,777,15,1997,382,97,43,206,5,728,1203,53,26,39,0,1319,2316,1154,826,12333,137,16766,2658,909,369,3254,43,7239,179,8,16,10,0,216,596,188,89,270,5,1150,3030,420,196,955,14,4616,1058,331,180,1049,21,2642,526,171,107,161,3,963,452,240,216,174,5,1089,713,174,109,410,10,1423,180,38,33,114,4,364,100,57,15,9,0,187,3267,1638,1162,10645,119,16827,762,109,50,179,4,1109,323,86,75,36,0,521,1194,190,134,504,25,2045,91,18,23,20,0,155,405,15,36,27,0,483,683,205,157,526,9,1577,8899,1764,1233,2603,120,14613,539,121,59,829,6926,8469,42246,13866,9795,94181,8455,168545
CED194,84,252,196,2300,52,2888,3,23,14,608,19,666,227,5,10,18,5,262,15,11,0,12,0,39,75,10,8,26,4,121,551,245,174,1690,53,2715,60,3,20,0,0,83,64,7,0,12,0,90,90,24,16,177,0,314,38,13,3,21,5,79,21,4,4,5,0,27,78,3,0,0,0,92,145,56,27,583,8,821,89,34,9,97,3,231,22,0,0,0,0,22,50,10,6,6,0,73,12,3,0,9,0,20,7,8,6,19,4,39,40,6,5,7,0,58,37,3,18,12,0,67,33,4,0,17,0,47,14,4,3,10,0,36,25,0,3,4,0,30,136,70,52,480,9,752,15,0,0,0,0,16,24,3,0,5,0,40,34,3,0,9,0,44,8,0,0,0,0,11,50,0,0,0,0,61,21,10,4,22,0,60,660,74,47,134,18,933,44,5,4,47,3748,3846,2238,520,360,4349,3900,11371
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
