CED_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
CED139,515,1261,1720,1376,1299,1543,1483,818,212,10221,346,1554,2424,1948,1878,1947,1241,506,178,12028,188,1191,2749,2292,2240,2234,1134,384,77,12483,86,592,1964,1617,1552,1476,636,183,31,8139,22,304,1628,1437,1426,1249,479,203,71,6813,14,141,1069,1213,1159,908,264,91,27,4888,7,90,1264,1860,1966,1308,384,86,32,7001,0,8,162,310,402,248,96,27,11,1271,15,19,186,460,586,466,243,91,27,2091,948,900,1625,1567,1547,1591,1544,1328,772,11823,10076,9694,19302,17955,18668,20494,18454,10999,4472,130124
CED140,292,1183,1265,1277,1314,1518,1602,916,297,9673,144,1091,1719,1456,1589,1824,1359,609,185,9984,68,795,2120,1839,2075,2064,1224,467,145,10795,26,447,1714,1664,1708,1507,767,229,63,8130,9,186,1407,1558,1623,1282,527,180,67,6830,0,63,1006,1417,1384,1132,359,102,21,5477,10,55,1305,2700,2766,1840,455,130,25,9281,0,4,212,650,677,394,126,43,19,2126,0,9,211,1018,1237,839,275,127,36,3755,415,418,975,957,989,1008,1121,1193,1143,8224,8514,7741,15546,18415,19900,20601,18589,11769,4904,125967
CED141,350,1144,1368,1225,1287,1445,1569,892,248,9523,165,1280,1840,1581,1791,1782,1157,544,140,10279,81,885,2399,2060,2233,2127,1223,398,80,11485,17,461,1933,1822,1730,1480,622,182,38,8291,11,198,1549,1643,1625,1279,437,159,45,6951,3,78,1063,1317,1417,1013,243,75,16,5229,5,68,1367,2694,2667,1642,380,66,21,8913,0,9,198,542,546,343,68,23,9,1728,3,5,194,699,876,558,179,77,34,2638,407,386,858,815,829,819,970,1043,743,6869,8720,8066,16592,18037,19352,19836,18216,11649,4300,124765
CED142,189,1941,4134,1512,848,753,641,288,76,10389,122,1933,5196,2045,1055,934,698,301,62,12345,57,2079,7075,2737,1394,1123,793,276,49,15585,23,1386,6807,2561,1323,965,522,164,24,13773,15,844,6257,2817,1479,1034,468,156,23,13090,3,451,5036,2709,1340,897,418,115,32,11008,10,488,10120,7614,3608,2050,653,198,34,24772,9,110,2223,2541,1314,674,219,56,12,7166,10,124,3033,5526,3812,2164,729,179,31,15619,397,1780,5046,2748,1674,1341,1013,673,335,15008,5221,21303,66085,38113,21905,17105,11536,5460,1726,188461
CED143,230,906,973,677,797,890,913,663,230,6288,101,873,1403,987,1066,1093,975,616,225,7334,40,919,2296,1416,1419,1375,1126,636,182,9411,12,588,2324,1421,1355,1183,876,382,106,8254,16,314,2256,1642,1457,1274,737,379,93,8158,9,106,1860,1396,1284,1129,596,289,76,6753,8,109,3585,4057,3409,2265,1015,435,118,15001,4,18,850,1679,1442,861,306,137,38,5340,5,21,1244,5134,6580,3459,1112,446,123,18124,283,307,916,897,832,680,603,613,705,5837,8534,7500,19905,22047,22937,17994,12869,8447,3588,123828
CED144,213,1447,2517,1994,1808,1582,752,408,132,10852,110,1376,3202,2370,2195,1680,679,276,127,12009,59,1222,3642,2605,2368,1765,606,153,49,12456,15,673,2624,2013,1509,1162,375,80,22,8475,13,305,2034,1750,1304,941,257,66,18,6675,3,107,1352,1268,1053,693,165,28,16,4680,4,88,1719,2304,1795,1044,234,38,12,7237,0,10,256,513,429,223,61,7,3,1505,4,8,260,774,692,355,84,19,16,2218,807,1161,2769,2175,1690,1419,1020,911,762,12719,10532,12922,29658,25802,22568,20243,14172,8469,4030,148398
CED145,146,751,1271,705,634,662,759,502,163,5595,68,737,1896,921,804,833,832,505,179,6763,46,921,2862,1348,1097,1030,958,488,131,8888,8,676,3019,1259,1023,920,709,381,90,8089,11,365,3201,1506,1207,944,725,327,98,8388,6,185,2698,1537,1123,872,640,333,82,7477,14,208,5851,4093,2670,1791,1057,488,145,16305,6,59,1413,1710,1199,777,404,206,69,5840,7,71,2568,5936,5692,3292,1601,689,218,20071,380,471,2076,1396,1046,793,760,993,1348,9257,6356,7399,29509,22889,19184,14854,12206,7953,3903,124257
CED146,387,1482,2013,2034,1910,1590,777,309,72,10577,235,1629,2764,2689,2576,1982,643,200,53,12763,118,1527,3581,3237,2852,2199,591,94,10,14212,37,868,2868,2484,2152,1555,360,41,13,10384,11,381,2316,2254,1825,1181,306,38,8,8316,9,145,1422,1670,1404,838,166,18,5,5674,3,109,1739,2819,2050,1147,188,24,4,8088,0,12,217,618,374,197,41,9,0,1470,7,15,188,577,478,254,72,24,7,1626,1001,880,1941,1915,1491,1343,991,842,623,11024,14596,13950,27054,28678,25218,22144,13772,6466,2331,154210
CED147,411,1299,1746,1557,1482,1474,1532,962,219,10683,187,1462,2371,1839,2000,1833,1170,530,134,11528,93,1108,2743,2373,2426,2177,1193,399,88,12592,31,529,2177,1904,1831,1518,664,207,40,8900,7,241,1766,1721,1709,1302,509,191,37,7492,5,104,1156,1411,1366,1016,278,98,22,5457,9,72,1565,2589,2584,1659,403,132,25,9030,4,5,198,529,494,347,112,42,10,1742,8,18,195,659,853,603,292,140,29,2787,557,501,1008,1010,1031,973,1071,1136,1019,8295,10265,9290,19618,19998,21099,21244,19079,12146,4497,137237
CED194,26,78,140,69,64,102,57,22,0,559,10,72,171,79,71,80,29,9,0,528,0,45,169,73,76,67,43,6,3,482,0,15,101,68,50,33,24,0,0,291,0,8,80,63,43,36,14,0,0,235,0,4,54,41,22,24,19,0,0,165,0,9,84,70,53,39,5,3,0,262,0,0,12,21,12,6,0,0,0,57,0,0,16,39,36,22,5,8,0,131,179,269,720,748,604,451,188,56,16,3230,532,829,2187,1859,1678,1648,1055,277,49,10112
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
