CED_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
CED135,56,376,2669,10622,8025,2975,779,394,25890,46,361,764,778,113,25,5,52,2143,39,495,1695,4071,1544,240,29,131,8242,85,861,2458,4850,1654,259,41,182,10380,57,702,3445,583,49,4,7,80,4924,37,556,7552,1227,30,3,6,172,9583,52,1409,7561,1644,34,5,4,178,10883,201,1511,4747,705,18,4,0,124,7312,0,34,124,61,33,15,11,13,288,353,4204,23425,4231,160,27,31,563,32991,6,19,134,54,7,3,0,4,234,8,50,97,31,10,0,0,25,219,503,5501,28786,19782,9865,3267,841,1169,69717
CED136,72,551,5072,22626,22510,3481,683,601,55592,8,342,2683,1716,192,10,4,99,5048,0,231,615,1259,322,21,11,39,2504,5,572,3298,2967,514,30,15,141,7550,11,387,510,107,21,3,7,45,1088,3,22,121,66,4,0,0,8,234,0,28,270,144,13,0,0,3,459,0,0,0,0,0,0,0,0,0,0,25,70,37,19,7,0,0,161,18,457,972,357,52,11,4,59,1940,38,197,254,80,15,3,0,25,612,10,32,29,40,21,8,0,11,150,147,1814,9624,26082,23115,3535,699,829,65852
CED137,48,209,1960,8994,7506,3216,973,237,23144,10,174,824,649,157,28,11,23,1876,11,109,908,2352,684,107,51,52,4272,23,280,1735,2995,842,134,63,72,6146,138,797,3085,1030,112,24,9,86,5282,46,664,5300,1513,78,5,9,96,7713,124,3715,10552,3343,155,46,3,230,18166,53,3668,8348,1711,54,6,0,179,14028,0,29,72,32,31,8,9,3,183,370,8861,27351,7630,437,93,29,601,45370,30,116,245,148,23,5,0,5,565,16,70,108,36,4,0,0,26,268,482,9539,31401,19809,8813,3449,1065,938,75494
CED138,264,1450,5203,18167,14667,3127,746,673,44288,10,318,2577,3206,209,25,6,127,6475,10,320,1670,2742,254,32,10,81,5122,20,639,4254,5949,467,54,14,204,11595,64,569,1699,601,55,10,7,86,3087,0,159,1225,389,8,3,0,35,1818,0,76,389,208,9,0,0,14,693,0,54,347,127,5,0,0,14,550,16,102,56,28,25,8,0,5,239,85,964,3715,1356,96,21,6,142,6386,123,550,535,107,25,7,3,73,1414,28,77,51,36,22,3,6,16,244,516,3678,13763,25616,15265,3212,780,1110,63929
CED139,119,679,5546,24075,18503,3551,746,943,54160,19,304,1491,455,83,16,3,72,2443,4,32,167,116,14,3,0,5,335,21,333,1659,571,91,23,7,76,2776,34,465,2074,266,35,7,14,97,2995,0,51,79,16,0,0,0,5,150,0,10,21,16,0,0,0,0,41,0,0,0,0,0,0,0,0,3,0,8,17,10,14,0,0,0,44,34,535,2187,303,49,15,14,98,3233,39,99,82,70,29,15,18,21,368,7,29,33,54,36,13,7,31,208,222,1675,9494,25074,18704,3607,789,1174,60743
CED140,128,867,5509,16492,14607,4219,849,492,43165,17,225,2161,2203,66,8,3,135,4822,15,217,859,1846,170,22,3,51,3183,29,446,3021,4049,242,28,7,186,8003,66,563,1633,1340,143,18,14,90,3857,21,69,606,316,19,0,0,12,1044,21,199,1155,310,19,0,0,23,1729,0,61,247,140,0,0,0,3,450,12,37,85,45,25,13,4,9,226,125,925,3718,2157,196,29,15,135,7303,21,152,271,80,17,9,0,19,567,12,40,38,20,9,0,5,28,165,312,2425,12563,22805,15075,4286,877,861,59198
CED141,67,650,6446,22323,15668,3479,578,525,49724,5,377,1995,1116,67,10,9,72,3647,3,137,706,997,111,6,5,31,1994,9,511,2705,2112,176,18,11,97,5643,25,477,889,255,17,4,0,53,1739,3,53,112,52,0,0,0,7,227,0,159,308,129,5,0,0,18,614,0,57,136,57,0,0,0,0,248,4,31,57,36,14,6,0,3,144,27,782,1508,530,34,8,3,85,2982,16,79,117,57,10,5,0,12,294,3,13,14,8,4,0,0,15,67,127,2033,10794,25027,15894,3507,589,731,58712
CED142,25,113,372,937,547,138,37,23,2195,17,507,1999,1305,330,48,19,41,4273,209,1350,4253,5319,2177,397,162,130,14001,229,1854,6255,6621,2506,454,176,174,18270,245,874,776,277,44,15,14,61,2314,657,2772,3664,712,82,4,4,124,8025,1421,10270,12033,2801,125,15,16,424,27100,1738,12384,16294,3317,162,16,22,520,34456,9,25,23,20,16,0,4,0,91,4066,26330,32784,7127,426,53,56,1134,71984,42,170,156,116,23,9,3,10,532,64,162,91,33,10,3,8,42,416,4427,28630,39661,14837,3511,657,290,1388,93398
CED143,78,274,1445,7102,9389,4360,924,133,23717,74,187,428,923,311,35,0,17,1979,8,238,727,1850,519,82,25,27,3466,83,423,1161,2769,833,121,28,41,5442,116,1279,3029,1500,174,37,11,54,6201,106,2625,8012,1725,96,8,7,122,12720,142,1879,3286,1103,40,5,3,60,6517,51,671,1165,555,14,0,0,27,2481,10,61,125,56,27,10,3,0,298,425,6515,15620,4939,358,62,30,256,28212,0,48,122,63,11,3,0,6,258,8,23,42,16,3,4,4,14,111,590,7289,18382,14888,10591,4546,988,459,57730
CED144,72,327,2936,12079,7610,2681,781,449,26940,33,184,1009,893,225,37,9,50,2448,18,385,1443,2927,1733,271,70,114,6970,51,570,2456,3821,1961,310,77,169,9416,108,1182,7734,746,78,18,19,206,10092,43,421,4751,629,33,0,3,110,6000,18,655,2750,459,32,3,0,66,3990,9,287,694,92,0,0,0,16,1095,4,30,152,85,49,24,10,17,373,186,2574,16078,2008,196,54,29,417,21541,5,46,122,64,17,8,0,15,275,11,24,41,26,15,3,0,15,129,327,3535,21633,18000,9799,3057,899,1056,58304
CED145,24,86,558,2802,4190,2111,551,98,10427,8,108,1011,1568,651,118,18,29,3502,19,225,1621,3646,2159,394,52,74,8186,32,331,2629,5215,2807,507,67,102,11684,119,1285,3242,1323,194,53,26,90,6317,513,2866,8639,2375,199,26,15,177,14814,912,2873,4966,1693,96,8,4,128,10689,330,1566,2184,959,39,3,5,69,5162,3,9,40,32,24,8,0,5,121,1878,8607,19073,6384,559,94,56,464,37109,30,222,283,184,16,5,3,11,765,19,43,32,21,5,0,0,10,136,1978,9292,22581,14602,7575,2721,678,689,60119
CED146,55,358,1625,15367,22828,5310,1027,749,47322,12,79,764,1019,124,9,7,49,2067,15,283,1085,2531,836,56,7,89,4908,25,362,1856,3546,965,64,16,140,6979,69,188,202,106,3,0,4,28,604,35,79,276,98,0,0,0,27,520,0,24,190,53,25,0,0,3,296,0,83,124,11,3,0,0,0,225,3,62,213,108,81,29,11,8,511,112,433,1004,375,117,28,14,68,2155,0,3,4,4,4,0,0,0,19,5,17,33,30,66,17,4,11,179,195,1173,4526,19331,23975,5423,1064,970,56648
CED147,64,532,3159,22863,20058,4124,890,591,52275,20,287,1822,1439,126,10,8,86,3794,0,174,824,1726,289,22,4,47,3080,20,464,2638,3167,413,32,6,134,6876,22,483,1028,272,35,5,9,52,1905,0,17,86,56,4,0,0,0,165,0,25,66,9,0,0,0,0,98,0,0,0,0,0,0,0,0,0,5,32,63,44,39,16,4,8,210,27,556,1247,382,77,19,12,57,2378,16,144,279,40,9,5,0,24,519,0,16,25,26,9,3,0,10,87,126,1708,7353,26476,20568,4180,915,812,62141
CED194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
