UCL_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
UCL113012,112,0,0,0,0,114,52,0,0,0,0,54,41,0,0,0,0,39,69,0,0,0,0,74,115,0,0,0,0,117,328,4,0,0,0,332,430,3,0,0,0,433,526,0,3,0,0,530,186,0,0,0,0,186,124,0,0,0,0,125,56,0,0,0,0,56,89,0,0,0,0,93,2136,15,7,0,3,2159
UCL113013,35,3,0,0,0,37,25,0,0,0,0,26,26,0,0,0,0,22,51,4,0,0,0,53,54,0,0,0,0,59,165,3,3,0,0,173,258,7,4,0,0,265,309,6,0,0,4,319,143,0,0,0,0,142,69,0,0,0,0,68,38,0,0,0,3,41,44,0,0,0,0,46,1213,24,13,3,11,1262
UCL113014,30,0,0,0,0,29,21,0,0,0,0,27,19,0,0,0,0,18,52,0,0,0,0,52,67,3,3,0,0,68,253,3,3,0,0,258,297,9,0,0,0,302,272,7,0,0,0,279,90,4,0,0,0,93,43,0,0,0,0,45,16,0,0,0,0,20,56,0,0,0,0,55,1216,23,6,0,0,1247
UCL113015,64,11,5,0,3,81,22,3,3,0,0,27,25,12,0,0,0,39,37,6,0,0,0,44,48,14,7,0,0,67,110,42,8,0,0,172,161,48,5,0,0,220,283,41,7,0,0,337,126,17,3,0,0,143,94,7,0,0,0,101,42,7,3,0,0,47,44,7,0,0,0,52,1051,221,49,3,4,1327
UCL113016,52,9,0,0,0,55,33,4,0,0,0,34,34,3,0,0,0,36,58,6,0,0,0,65,91,14,0,0,0,105,333,39,0,0,0,376,370,14,3,0,0,388,267,4,0,0,0,277,52,0,0,0,0,55,40,0,0,0,0,42,17,0,0,0,0,18,47,5,0,0,0,57,1386,99,3,3,3,1496
UCL113017,66,0,0,0,0,66,12,0,0,0,0,18,17,0,0,0,0,22,42,0,0,0,0,45,54,3,0,0,0,64,239,27,8,0,0,270,323,16,11,0,0,350,435,15,4,0,0,450,183,0,0,0,0,183,93,0,0,0,0,97,43,0,0,0,0,43,59,3,0,0,0,65,1577,66,21,0,3,1669
UCL113018,79,0,0,0,0,78,40,0,0,0,0,40,27,0,0,0,0,33,50,0,0,0,0,50,89,0,0,0,0,94,232,0,0,0,0,235,223,7,0,0,0,231,162,0,0,0,0,164,45,3,0,0,0,48,23,0,0,0,0,20,11,0,0,0,0,11,50,0,0,0,0,50,1022,11,3,0,3,1041
UCL113019,82,3,0,0,0,84,67,0,3,0,0,76,53,3,0,0,0,52,127,0,4,0,0,132,162,9,3,0,0,174,457,15,3,0,4,479,315,6,6,0,0,321,186,3,0,0,0,187,57,0,0,0,0,57,43,0,0,0,0,43,19,0,0,0,0,19,74,0,0,0,0,72,1630,45,20,6,4,1701
UCL113020,82,0,0,0,0,88,34,0,0,0,0,34,32,3,0,0,0,38,66,4,0,0,0,72,99,5,0,0,0,102,181,7,4,0,3,198,237,4,4,0,0,246,209,0,0,0,0,212,69,0,0,0,0,71,44,0,0,0,0,42,31,0,0,3,0,35,64,3,0,0,0,64,1149,34,9,7,3,1197
UCL114001,22,11,0,0,0,38,9,3,0,0,0,13,12,0,0,0,0,11,17,4,0,0,0,23,26,6,0,0,0,32,71,22,0,0,0,93,98,10,0,0,0,113,110,3,0,0,0,113,37,0,0,0,0,37,25,0,0,0,0,25,9,0,0,0,0,11,16,3,0,0,0,14,448,60,3,0,3,518
UCL114002,28,3,0,0,0,32,15,0,0,0,0,13,7,0,0,0,0,7,11,0,0,0,0,11,21,3,0,0,0,29,59,4,0,0,3,70,71,16,0,0,0,88,139,12,0,3,0,150,73,3,0,0,0,73,32,0,0,0,0,33,16,3,0,0,0,21,24,3,0,0,0,31,497,46,0,4,3,551
UCL114003,55,3,3,0,0,64,19,3,0,0,0,20,4,0,0,0,0,6,14,3,0,5,0,22,25,12,3,0,0,39,58,9,5,0,3,76,58,18,12,0,0,92,129,25,9,0,0,165,79,21,9,0,5,104,90,16,3,0,0,108,50,3,3,0,0,59,53,10,3,0,0,57,635,119,54,6,8,820
UCL114004,35,10,0,0,3,47,11,4,0,0,0,19,21,0,0,0,0,25,22,0,3,0,0,26,39,3,0,3,0,49,79,0,4,3,0,90,83,9,0,0,0,86,92,0,3,0,0,93,35,0,0,0,0,37,13,0,0,0,0,13,13,0,0,0,0,13,27,0,0,0,0,25,468,25,8,13,4,517
