UCL_CODE_2016,F_ID_NS_0,F_ID_NS_1_15,F_ID_NS_16_24,F_ID_NS_25_34,F_ID_NS_35_39,F_ID_NS_40,F_ID_NS_41_48,F_ID_NS_49over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_15,F_Tot_16_24,F_Tot_25_34,F_Tot_35_39,F_Tot_40,F_Tot_41_48,F_Tot_49over,F_Tot_hours_NS,F_Tot_Tot,P_AgriForestFish_0,P_AgriForestFish_1_15,P_AgriForestFish_16_24,P_AgriForestFish_25_34,P_AgriForestFish_35_39,P_AgriForestFish_40,P_AgriForestFish_41_48,P_AgriForestFish_49over,P_AgriForestFish_hours_NS,P_AgriForestFish_Tot,P_Min_0,P_Min_1_15,P_Min_16_24,P_Min_25_34,P_Min_35_39,P_Min_40,P_Min_41_48,P_Min_49over,P_Min_hours_NS,P_Min_Tot,P_Mnfg_0,P_Mnfg_1_15,P_Mnfg_16_24,P_Mnfg_25_34,P_Mnfg_35_39,P_Mnfg_40,P_Mnfg_41_48,P_Mnfg_49over,P_Mnfg_hours_NS,P_Mnfg_Tot,P_EGW_WS_0,P_EGW_WS_1_15,P_EGW_WS_16_24,P_EGW_WS_25_34,P_EGW_WS_35_39,P_EGW_WS_40,P_EGW_WS_41_48,P_EGW_WS_49over,P_EGW_WS_hours_NS,P_EGW_WS_Tot,P_Cnstn_0,P_Cnstn_1_15,P_Cnstn_16_24,P_Cnstn_25_34,P_Cnstn_35_39,P_Cnstn_40,P_Cnstn_41_48,P_Cnstn_49over,P_Cnstn_hours_NS,P_Cnstn_Tot,P_WTrade_0,P_WTrade_1_15,P_WTrade_16_24,P_WTrade_25_34,P_WTrade_35_39,P_WTrade_40,P_WTrade_41_48,P_WTrade_49over,P_WTrade_hours_NS,P_WTrade_Tot,P_RTrade_0,P_RTrade_1_15,P_RTrade_16_24,P_RTrade_25_34,P_RTrade_35_39,P_RTrade_40,P_RTrade_41_48,P_RTrade_49over,P_RTrade_hours_NS,P_RTrade_Tot,P_AccomFoodS_0,P_AccomFoodS_1_15,P_AccomFoodS_16_24,P_AccomFoodS_25_34,P_AccomFoodS_35_39,P_AccomFoodS_40,P_AccomFoodS_41_48,P_AccomFoodS_49over,P_AccomFoodS_hours_NS,P_AccomFoodS_Tot,P_TransPostWhse_0,P_TransPostWhse_1_15,P_TransPostWhse_16_24,P_TransPostWhse_25_34,P_TransPostWhse_35_39,P_TransPostWhse_40,P_TransPostWhse_41_48,P_TransPostWhse_49over,P_TransPostWhse_hours_NS,P_TransPostWhse_Tot,P_InfoMedTelecom_0,P_InfoMedTelecom_1_15,P_InfoMedTelecom_16_24,P_InfoMedTelecom_25_34,P_InfoMedTelecom_35_39,P_InfoMedTelecom_40,P_InfoMedTelecom_41_48,P_InfoMedTelecom_49over,P_InfoMedTelecom_hours_NS,P_InfoMedTelecom_Tot,P_FinInsurS_0,P_FinInsurS_1_15,P_FinInsurS_16_24,P_FinInsurS_25_34,P_FinInsurS_35_39,P_FinInsurS_40,P_FinInsurS_41_48,P_FinInsurS_49over,P_FinInsurS_hours_NS,P_FinInsurS_Tot,P_RentHirREserv_0,P_RentHirREserv_1_15,P_RentHirREserv_16_24,P_RentHirREserv_25_34,P_RentHirREserv_35_39,P_RentHirREserv_40,P_RentHirREserv_41_48,P_RentHirREserv_49over,P_RentHirREserv_hours_NS,P_RentHirREserv_Tot,P_ProScieTechServ_0,P_ProScieTechServ_1_15,P_ProScieTechServ_16_24,P_ProScieTechServ_25_34,P_ProScieTechServ_35_39,P_ProScieTechServ_40,P_ProScieTechServ_41_48,P_ProScieTechServ_49over,P_ProScieTechServ_hours_NS,P_ProScieTechServ_Tot,P_AdminSupServ_0,P_AdminSupServ_1_15,P_AdminSupServ_16_24,P_AdminSupServ_25_34,P_AdminSupServ_35_39,P_AdminSupServ_40,P_AdminSupServ_41_48,P_AdminSupServ_49over,P_AdminSupServ_hours_NS,P_AdminSupServ_Tot,P_PubAdmiSafety_0,P_PubAdmiSafety_1_15,P_PubAdmiSafety_16_24,P_PubAdmiSafety_25_34,P_PubAdmiSafety_35_39,P_PubAdmiSafety_40,P_PubAdmiSafety_41_48,P_PubAdmiSafety_49over,P_PubAdmiSafety_hours_NS,P_PubAdmiSafety_Tot,P_EducTrain_0,P_EducTrain_1_15,P_EducTrain_16_24,P_EducTrain_25_34,P_EducTrain_35_39,P_EducTrain_40,P_EducTrain_41_48,P_EducTrain_49over,P_EducTrain_hours_NS,P_EducTrain_Tot,P_HealthCareSocA_0,P_HealthCareSocA_1_15,P_HealthCareSocA_16_24,P_HealthCareSocA_25_34,P_HealthCareSocA_35_39,P_HealthCareSocA_40,P_HealthCareSocA_41_48,P_HealthCareSocA_49over,P_HealthCareSocA_hours_NS,P_HealthCareSocA_Tot,P_ArtRecServ_0,P_ArtRecServ_1_15,P_ArtRecServ_16_24,P_ArtRecServ_25_34,P_ArtRecServ_35_39,P_ArtRecServ_40,P_ArtRecServ_41_48,P_ArtRecServ_49over,P_ArtRecServ_hours_NS,P_ArtRecServ_Tot
UCL115001,0,0,0,0,3,0,0,0,3,5,13,54,52,66,69,41,19,35,3,354,3,5,4,3,13,15,7,10,0,48,6,4,8,9,20,19,39,44,3,166,0,6,0,3,24,10,3,4,0,53,0,0,0,0,22,3,4,0,0,31,0,3,4,8,6,7,6,16,3,54,0,0,0,0,4,0,5,5,0,17,3,23,14,18,6,3,3,11,0,78,3,25,10,10,3,3,0,7,0,56,0,3,4,3,4,5,0,3,0,20,0,0,0,0,4,0,0,0,0,9,0,0,0,4,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,8,0,0,5,3,3,3,0,24,0,7,3,0,3,3,7,3,0,24,3,0,0,4,10,4,0,0,0,28,3,4,10,9,5,4,4,6,0,50,4,3,10,13,7,5,0,4,0,54,0,0,0,3,0,0,0,0,0,8
UCL115002,0,0,0,0,3,3,0,0,3,8,16,47,44,53,70,57,23,20,3,340,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,3,3,0,17,3,6,3,4,17,15,8,13,0,72,0,0,0,0,5,3,0,3,0,11,0,8,4,10,19,28,27,32,0,115,0,0,0,0,3,5,0,3,0,20,0,19,10,12,15,7,5,9,0,81,4,6,7,10,6,0,0,5,0,37,0,3,0,0,10,17,10,9,4,48,0,0,0,0,0,0,0,0,0,3,4,0,0,3,4,3,0,0,0,14,0,0,0,0,3,3,0,0,0,7,3,3,3,4,3,4,3,3,0,24,0,4,3,0,6,0,0,3,0,14,0,3,5,3,20,15,9,0,0,44,0,9,8,17,10,18,13,15,0,82,6,0,6,14,11,10,0,3,3,53,0,3,0,0,0,0,0,0,0,8
UCL115003,0,0,0,3,0,0,0,0,3,4,15,46,47,61,48,31,16,14,4,286,0,0,3,10,8,3,4,9,3,46,0,0,0,0,0,0,0,0,0,4,0,3,3,3,4,3,0,4,0,19,0,0,3,0,4,0,0,0,0,6,0,0,3,15,13,15,8,14,0,65,0,0,0,3,0,0,0,0,0,4,0,9,6,9,5,3,4,7,0,48,0,8,4,5,11,0,7,3,0,41,0,3,0,3,0,4,0,4,0,21,0,0,0,3,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,3,3,8,3,4,0,3,0,3,0,25,0,4,7,0,3,0,0,0,0,17,5,3,5,0,13,10,3,5,0,49,3,9,8,15,20,6,7,10,0,76,4,13,17,26,12,13,3,3,0,87,0,5,0,3,0,0,0,0,0,14
UCL115004,0,0,0,0,3,0,0,0,3,7,12,36,41,40,34,33,8,10,7,214,0,8,4,12,6,19,4,22,3,68,0,0,0,0,0,0,0,0,0,7,0,0,0,3,7,3,0,5,0,14,0,0,0,0,10,3,0,0,0,19,0,3,0,3,3,9,0,7,0,22,0,0,0,0,4,0,0,0,0,9,4,14,8,4,7,9,6,4,0,53,0,4,7,5,4,0,4,8,0,34,0,0,3,0,3,3,3,11,3,32,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,5,3,0,0,0,0,0,0,13,3,0,0,3,19,7,3,3,0,45,0,9,4,9,6,12,4,3,0,45,4,3,9,11,7,16,0,5,0,58,0,0,0,0,0,0,0,0,0,3
UCL115005,3,7,3,0,7,0,0,0,3,17,20,81,62,75,48,54,20,37,8,405,0,5,0,0,3,0,0,0,0,14,0,0,0,0,0,0,0,3,0,3,0,3,3,0,3,12,4,7,0,30,0,0,0,0,3,0,0,0,0,11,3,13,3,9,3,18,9,10,0,63,0,0,0,0,0,4,0,3,0,10,0,25,11,15,5,12,8,8,3,83,3,23,8,16,8,8,3,6,0,78,6,0,0,0,0,0,3,3,0,17,0,0,0,4,4,4,0,3,0,22,3,3,0,0,3,3,0,0,0,15,0,3,0,6,0,3,0,3,0,22,0,10,11,10,3,17,3,13,0,64,3,5,0,3,8,8,0,3,0,33,0,0,0,3,12,11,0,0,0,28,5,9,10,8,9,11,3,15,0,77,8,14,24,23,25,17,8,9,3,133,0,4,4,3,3,5,3,3,0,20
UCL115006,0,3,0,7,0,3,0,0,8,29,32,105,116,111,150,101,40,36,10,710,0,0,0,4,3,0,0,0,0,10,3,0,0,0,9,7,3,13,0,26,0,9,9,6,24,33,25,22,0,137,0,0,0,0,5,7,3,8,0,20,4,5,7,14,37,52,27,53,3,201,0,5,3,4,3,3,5,13,0,40,10,39,29,14,47,22,13,18,3,194,5,26,15,11,3,3,3,3,0,73,9,3,4,7,19,20,13,42,0,122,0,0,0,0,6,4,0,0,0,12,0,0,0,3,14,12,3,4,0,33,0,0,0,0,6,3,5,3,0,24,4,10,5,14,4,11,7,3,0,57,0,5,3,4,5,9,0,6,3,37,4,5,9,12,27,20,13,4,3,93,4,11,14,11,26,18,12,14,0,114,10,19,30,33,34,21,12,7,0,159,0,3,0,4,0,0,3,0,0,14
UCL115007,0,3,0,3,0,3,0,0,3,10,11,32,38,37,29,25,9,20,5,203,3,3,3,3,0,10,0,7,0,29,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,0,4,4,0,20,0,0,0,0,0,0,3,0,0,7,0,3,3,5,0,8,0,6,0,25,0,0,0,0,4,3,0,0,0,6,0,12,3,6,0,5,3,10,0,45,7,12,6,3,9,3,4,16,0,66,0,0,4,0,0,0,0,7,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,10,0,3,4,8,0,0,0,3,0,18,0,0,0,0,6,3,4,0,0,18,0,4,3,11,8,6,0,5,0,39,0,0,16,12,10,9,3,3,0,47,0,0,0,0,3,0,0,0,0,7
UCL115008,0,4,5,0,0,0,0,0,3,18,26,54,53,68,42,38,24,23,8,336,8,0,0,7,5,8,3,13,0,50,0,0,0,0,0,0,0,0,0,0,7,6,0,8,15,18,20,21,0,95,0,0,0,0,0,0,0,0,0,3,6,0,3,8,9,20,3,18,0,64,3,0,0,0,0,3,0,4,0,12,3,17,12,7,10,7,4,6,0,59,8,21,7,23,21,5,5,16,0,107,3,0,0,4,3,3,3,8,3,28,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,4,0,3,0,11,0,0,3,0,0,0,0,0,0,4,0,5,3,3,5,5,3,0,0,25,0,7,0,0,0,0,0,0,0,14,4,0,3,4,3,3,0,3,0,18,0,7,5,7,7,8,10,6,0,53,7,8,12,26,10,6,0,8,0,73,0,3,0,3,3,0,0,0,0,7
UCL115009,0,0,0,0,0,0,0,0,0,4,8,25,27,25,15,26,7,17,4,147,0,0,7,6,6,9,0,3,0,30,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,0,0,10,0,0,0,0,3,5,0,0,0,9,0,0,0,0,0,4,0,4,0,16,0,0,0,0,0,0,0,0,0,0,0,10,3,9,0,3,0,8,0,27,0,6,3,6,3,0,0,7,0,23,0,0,3,0,5,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,4,0,0,3,0,0,0,14,0,3,3,4,10,3,0,0,3,28,0,3,10,0,4,3,0,7,0,32,3,4,7,15,4,13,0,14,0,58,0,0,0,0,0,0,0,0,0,0
UCL115010,0,0,0,0,0,0,0,0,4,7,17,35,53,50,57,31,17,17,8,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,3,12,5,3,3,0,30,0,0,0,0,6,0,3,0,0,6,3,10,9,12,9,18,13,14,0,84,0,0,0,0,3,0,0,0,0,4,3,12,15,14,18,8,10,10,0,78,4,10,3,6,4,7,0,6,3,44,0,4,0,3,4,3,0,9,0,23,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,6,0,0,0,11,0,0,0,4,3,3,6,3,0,14,0,7,3,4,3,3,3,0,0,22,3,3,3,3,16,13,13,3,0,58,3,3,8,10,4,10,0,4,0,43,9,14,26,22,12,11,9,3,3,99,0,3,0,0,0,0,0,0,0,4
UCL115011,3,0,0,3,4,0,0,0,0,10,9,23,25,47,34,23,5,14,10,187,8,7,3,26,17,17,6,11,0,89,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,8,9,8,3,35,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,3,0,21,0,0,0,3,3,0,0,0,3,11,0,0,6,9,4,3,0,0,0,25,3,7,4,0,3,3,0,3,4,28,0,3,0,0,3,4,0,6,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,16,6,7,10,0,46,0,3,0,0,4,0,0,0,0,8,0,4,0,8,5,6,0,3,0,32,4,4,9,3,11,3,0,3,0,42,0,0,0,0,0,0,0,0,0,3
UCL115012,0,0,0,0,5,4,0,0,10,19,43,136,117,146,142,102,41,43,19,786,3,8,0,6,3,7,4,13,0,46,0,0,0,0,0,0,0,0,0,0,16,11,14,22,67,77,30,18,0,254,0,0,0,0,9,3,3,0,0,19,4,8,10,8,25,40,16,14,3,126,0,3,0,0,6,3,6,0,0,18,11,49,40,40,32,17,23,14,3,219,11,48,18,25,15,16,10,17,4,147,0,5,3,6,3,9,4,10,0,42,0,3,3,0,5,3,0,3,0,15,0,0,7,0,7,0,0,0,0,14,0,3,0,0,0,0,3,0,0,17,5,6,3,5,10,9,3,8,0,47,3,12,6,7,9,6,3,0,3,54,3,5,7,15,34,12,15,3,0,88,0,20,8,21,14,13,8,7,0,100,18,22,43,55,66,42,15,21,0,281,0,3,4,0,0,4,0,3,0,12
UCL115013,0,4,4,3,3,0,0,0,3,23,23,115,114,126,95,60,26,40,13,616,0,5,3,0,0,0,0,5,0,20,3,0,0,0,0,0,0,0,0,3,0,7,3,11,19,11,7,3,0,55,0,0,0,0,0,0,0,0,0,8,5,8,15,10,20,13,7,11,3,91,0,0,0,4,4,9,0,0,3,22,3,36,17,25,29,11,4,7,0,135,0,26,14,13,0,5,4,11,0,81,0,3,4,5,4,5,0,0,0,26,0,6,3,0,4,4,0,3,0,23,0,0,0,0,0,0,0,0,0,12,0,3,0,3,3,0,0,4,0,14,3,3,11,11,4,17,3,12,0,60,0,15,9,10,8,8,0,5,0,47,3,5,12,10,18,5,7,6,0,57,0,20,19,30,20,16,11,24,3,141,14,25,47,62,43,29,14,17,6,252,6,3,3,9,4,0,0,0,0,23
UCL115014,0,3,0,0,0,0,0,0,4,12,11,61,47,44,42,19,13,13,11,256,0,0,0,0,0,3,3,10,0,17,0,0,0,0,0,0,0,3,0,3,0,0,3,0,7,8,0,0,0,24,0,0,0,0,0,0,0,0,0,3,3,9,7,6,7,19,7,8,0,64,0,0,0,0,5,0,0,0,0,8,0,18,11,14,13,3,4,3,0,67,0,26,14,7,13,3,0,13,0,80,0,4,0,0,0,0,0,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,5,3,3,7,3,0,3,0,28,0,7,0,3,0,3,0,0,3,14,0,0,0,0,5,3,3,0,0,14,4,6,5,6,7,8,3,3,0,43,3,3,8,10,7,0,0,3,4,39,0,3,0,0,0,0,0,0,0,9
UCL115015,0,0,0,0,0,0,0,0,0,6,18,77,74,54,43,47,29,33,3,362,0,3,0,6,3,0,3,4,0,18,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,5,9,7,0,30,0,0,0,0,0,0,0,0,0,9,0,4,8,10,7,21,11,18,3,79,0,0,0,0,0,5,0,3,0,8,3,20,16,4,7,14,8,11,0,81,5,11,10,3,6,8,3,11,0,47,0,3,4,5,0,4,0,7,0,20,0,3,0,0,3,0,0,4,0,8,0,0,7,5,0,0,0,5,0,10,0,3,0,0,3,0,3,5,0,12,3,13,4,6,8,15,4,5,0,57,4,3,9,8,3,0,0,0,0,30,3,3,4,0,14,11,12,0,0,56,3,16,16,7,7,10,5,5,0,64,3,18,24,18,13,20,8,18,3,118,0,3,3,0,4,3,0,3,0,19
UCL115016,0,0,0,0,0,0,0,0,0,3,5,20,18,28,25,16,8,13,0,143,0,0,0,8,5,10,3,5,0,30,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,4,5,0,0,5,0,19,0,0,0,0,3,0,0,0,0,6,0,5,3,6,5,4,0,3,0,28,0,10,3,9,0,4,0,5,0,32,0,3,0,6,0,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,0,0,0,0,0,10,3,4,3,6,19,3,8,3,0,44,5,4,0,4,3,0,3,9,0,28,3,7,4,17,11,7,3,3,0,51,0,0,0,0,3,0,0,0,0,3
UCL115017,3,6,3,4,3,4,0,0,3,29,33,179,166,149,134,99,43,85,11,896,0,3,3,0,0,3,0,3,0,10,0,0,0,0,10,9,9,11,0,35,0,11,4,10,9,13,4,12,0,60,0,3,0,0,9,0,4,0,3,17,5,13,5,17,16,28,18,26,0,133,0,0,0,3,3,5,4,8,0,21,0,34,18,28,16,15,9,22,3,147,6,47,28,23,33,17,15,29,3,215,3,3,3,6,5,11,5,7,0,43,0,3,6,7,4,9,5,3,0,38,0,3,5,3,7,9,0,4,0,35,3,4,9,5,3,5,11,7,0,40,5,25,15,14,16,24,11,22,0,126,0,18,17,8,10,4,0,3,0,65,8,4,17,17,39,22,7,12,0,126,5,41,25,20,38,35,21,36,0,225,12,39,65,50,50,21,5,20,3,269,0,5,7,11,5,12,3,11,0,51
UCL115018,3,0,0,3,3,3,0,0,5,16,23,98,91,93,105,67,38,31,8,554,0,3,8,3,0,4,4,6,0,24,4,0,3,0,0,0,18,48,0,77,5,5,4,4,25,16,10,33,3,100,0,0,0,3,6,7,3,3,0,19,0,0,0,7,19,22,12,22,0,88,0,0,3,3,14,13,3,3,0,36,4,42,15,18,29,13,11,12,3,143,0,31,9,14,4,13,3,8,0,82,0,11,5,8,9,7,6,11,0,60,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,7,0,0,4,0,3,0,0,4,0,9,0,3,3,6,7,4,0,3,0,29,0,4,7,6,5,11,8,0,0,37,3,3,4,3,33,16,11,9,0,80,0,11,13,16,13,5,0,8,0,74,11,13,30,35,16,33,18,8,0,159,0,0,3,3,4,3,0,0,0,9
UCL115019,0,0,0,0,0,0,0,0,0,3,3,36,40,46,32,17,19,22,0,232,0,8,6,7,7,8,8,32,0,84,0,0,0,0,0,0,0,0,0,0,3,6,0,0,12,5,24,13,0,67,0,0,0,0,0,3,0,0,0,4,3,0,3,3,4,8,6,12,0,41,0,0,0,0,0,3,0,3,0,6,0,10,14,8,4,0,3,7,0,41,0,13,7,7,3,5,3,10,3,49,0,4,0,0,0,3,0,11,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,3,3,0,22,0,4,4,3,3,5,0,0,0,18,3,3,3,4,20,4,3,3,0,41,0,3,3,7,6,3,4,3,0,43,0,4,4,15,3,10,3,6,0,45,0,0,0,0,0,0,0,0,0,0
UCL115020,0,0,3,0,0,0,0,0,9,15,31,92,94,116,96,72,33,46,16,588,0,0,3,4,9,5,0,4,0,27,0,0,0,0,0,0,0,3,0,6,0,0,0,4,6,9,8,6,0,37,0,0,3,0,5,5,0,5,0,30,3,13,15,22,13,42,12,32,0,145,0,0,0,0,5,3,6,8,0,24,13,33,20,21,15,12,8,11,0,129,4,31,19,20,18,9,3,13,3,114,3,3,4,4,3,0,4,6,0,31,0,0,0,0,3,0,0,0,0,6,0,0,3,0,3,0,0,5,0,15,0,6,3,0,5,6,3,4,0,31,0,7,11,9,5,11,4,4,0,52,0,12,8,0,9,6,4,0,0,38,3,0,0,3,12,14,14,8,0,59,7,13,19,19,40,22,18,23,4,170,3,18,31,45,26,30,8,11,3,173,0,0,0,0,5,3,0,0,0,5
UCL115021,0,3,0,0,0,0,0,0,0,3,3,32,34,41,36,27,12,28,3,214,3,5,11,12,3,15,3,14,0,57,0,0,0,0,0,0,0,3,0,3,0,3,9,0,4,3,0,3,0,23,0,0,0,0,0,0,0,0,0,3,5,3,5,3,5,12,0,7,3,45,0,0,0,0,0,0,3,0,0,11,0,4,5,4,9,3,6,9,0,42,0,6,7,3,7,3,0,11,0,33,0,3,3,4,0,0,4,4,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,9,0,3,3,0,0,0,0,3,0,10,0,4,0,3,0,0,0,4,0,11,0,3,0,3,0,0,0,0,0,5,3,0,0,0,22,14,6,6,0,53,0,0,8,8,3,8,3,7,0,41,4,3,12,11,12,10,3,10,0,53,0,0,0,0,0,0,0,0,0,6
UCL115022,0,0,0,0,3,0,0,0,3,10,11,23,31,54,99,65,28,43,9,359,0,0,0,0,9,10,3,5,0,34,0,0,0,0,0,5,0,0,0,4,0,0,0,0,3,0,3,0,0,7,0,0,0,0,5,7,0,0,0,8,0,0,3,3,4,9,5,8,0,29,0,0,0,0,0,3,0,0,0,9,4,10,4,10,12,8,7,8,0,68,0,3,5,3,6,8,6,13,0,41,0,0,3,0,0,4,0,0,0,9,0,0,0,0,4,3,0,3,0,15,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,0,0,0,17,3,0,3,5,3,5,3,0,0,26,3,0,5,5,52,16,26,16,0,126,3,7,8,28,27,25,7,21,0,115,4,4,7,15,45,27,6,10,0,120,0,4,0,0,0,3,0,0,0,9
UCL115023,0,0,0,3,0,0,0,0,0,14,12,61,55,49,66,52,16,33,3,346,0,0,3,0,3,0,0,0,0,5,0,0,0,0,0,0,0,3,0,9,3,0,0,0,13,4,10,10,0,45,0,0,0,0,3,0,0,0,0,3,3,8,4,3,11,30,19,12,0,89,0,8,0,0,14,3,3,3,0,26,0,8,13,8,9,12,5,9,0,65,0,21,10,8,3,0,3,5,0,48,0,0,0,3,5,11,11,9,0,39,0,3,0,0,3,3,6,5,0,21,0,3,0,3,4,4,0,0,0,15,0,3,0,0,3,0,5,3,0,12,0,3,0,4,3,9,0,6,0,27,0,7,3,6,0,0,3,0,0,18,0,0,8,0,23,18,9,8,0,61,6,10,6,8,18,17,5,9,0,84,3,14,23,13,14,14,7,10,0,97,0,3,0,3,3,3,0,3,0,16
UCL115024,0,0,0,0,0,0,0,0,5,13,7,36,33,49,38,36,16,31,5,266,0,3,4,0,0,5,3,9,0,26,0,0,0,0,0,0,0,3,0,3,0,3,4,11,8,4,0,0,0,35,0,0,0,0,0,7,0,0,0,10,7,7,3,7,4,18,7,3,0,49,0,0,0,0,0,0,3,3,0,10,0,11,3,3,6,8,3,9,0,43,4,12,7,7,3,0,3,12,0,45,0,0,3,3,0,3,0,9,0,24,0,0,0,0,0,0,0,0,0,3,0,0,3,0,4,4,0,0,0,16,0,0,0,0,0,0,0,3,0,3,0,3,3,5,3,4,3,3,0,25,0,0,0,0,0,0,0,7,0,12,0,3,4,7,16,11,10,14,0,60,5,7,8,8,5,7,8,14,0,53,3,9,5,15,5,5,3,5,0,42,0,0,5,4,3,4,0,3,0,20
UCL115025,0,3,10,3,3,0,0,0,0,19,23,86,105,92,97,74,40,47,3,565,0,0,0,0,7,5,0,3,0,14,15,4,4,12,43,37,50,90,3,247,13,7,3,3,19,26,9,10,0,93,0,0,0,0,9,3,3,4,0,22,0,4,7,4,10,23,13,24,0,95,0,4,7,0,5,5,6,9,0,34,3,17,21,17,13,7,7,5,0,103,4,32,22,17,18,10,16,15,0,128,0,4,3,3,4,7,5,17,0,43,0,0,0,0,0,0,0,0,0,6,0,0,4,0,4,3,0,0,0,10,0,0,3,0,6,3,4,8,0,19,3,3,6,4,11,3,3,6,0,35,4,5,6,5,10,9,3,6,0,48,9,8,8,4,12,13,3,3,0,62,0,3,9,10,12,14,8,13,4,68,7,5,18,18,13,21,0,10,0,93,0,3,0,3,5,0,0,0,0,15
UCL115026,0,0,0,0,0,0,0,0,7,13,20,74,67,84,93,51,23,25,7,441,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,3,0,19,0,0,0,3,4,0,3,0,0,15,3,8,4,16,20,30,8,12,0,114,0,0,0,0,0,0,0,0,0,3,0,18,11,13,23,12,9,11,3,105,0,27,10,5,6,3,4,15,3,76,0,0,4,3,3,6,0,0,0,16,0,0,0,0,8,0,0,3,0,11,0,0,0,3,0,3,0,0,0,11,0,0,3,0,3,4,0,0,0,14,0,6,6,3,4,3,3,5,0,29,3,8,7,7,8,7,0,0,0,37,3,3,3,6,26,10,10,4,0,73,3,19,14,8,21,19,17,16,0,106,7,16,32,31,34,24,10,7,0,155,0,8,3,0,4,3,3,0,0,16
UCL115027,0,5,0,0,0,0,0,0,3,17,13,74,60,57,42,25,9,25,4,311,0,5,4,0,0,0,0,3,0,14,0,0,0,0,0,0,0,3,0,3,3,3,0,0,11,5,0,0,3,27,0,0,0,0,0,0,0,0,0,3,4,3,5,17,6,12,4,4,4,63,0,0,0,0,0,4,0,0,0,5,0,15,12,16,11,6,3,3,0,71,0,18,12,17,6,9,0,19,0,78,0,3,4,3,0,0,3,3,0,23,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,6,0,3,0,0,3,3,0,12,0,8,3,7,0,3,0,0,0,26,0,8,6,5,0,0,0,3,0,26,0,0,4,5,15,9,0,0,0,32,7,11,11,6,14,4,4,5,0,60,3,17,13,22,16,8,4,10,0,95,0,3,4,3,0,3,0,3,0,19
UCL115028,0,0,0,0,0,0,0,0,3,3,11,37,31,38,27,17,8,13,5,187,0,3,0,0,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,3,12,3,9,8,0,34,0,0,0,0,0,0,0,4,0,10,0,3,0,4,3,11,0,3,0,31,0,0,0,0,0,0,0,0,0,0,0,6,10,6,10,3,4,5,0,41,3,13,6,12,3,6,0,4,0,53,3,0,3,8,0,3,0,6,0,27,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,3,0,0,9,0,0,0,0,0,0,0,3,0,4,0,3,3,0,0,4,0,0,0,13,0,0,0,0,4,7,0,0,0,18,0,3,7,5,0,4,0,4,0,25,0,6,14,10,15,10,0,0,0,62,0,0,0,0,6,0,0,0,0,6
