UCL_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
UCL115038,0,0,0,8,3,0,0,5,0,3,0,0,0,0,8,26,0,0,0,0,0,0,0,0,0,0,0,3,27,7,0,61,5,39,0,13,6,11,8,180
UCL115039,0,0,0,11,5,3,0,6,0,3,0,0,0,7,14,37,0,0,0,0,0,0,0,0,0,0,0,0,33,5,10,72,8,52,3,14,9,31,20,249
UCL115040,0,0,0,14,4,0,0,0,0,0,0,0,0,0,8,18,0,0,0,0,0,0,0,0,0,0,0,3,46,4,0,43,8,28,0,0,0,17,13,157
UCL115041,0,0,0,0,0,4,0,0,0,4,0,3,0,3,15,34,0,0,0,0,0,0,0,0,0,0,0,4,24,12,0,53,10,23,5,9,3,33,12,189
UCL115042,0,0,0,3,3,0,0,6,0,0,0,0,0,7,3,25,0,0,0,0,0,0,0,0,0,0,0,5,36,7,5,31,10,19,3,11,0,23,8,153
UCL115043,0,0,0,9,0,0,0,6,0,4,3,3,0,4,9,22,0,0,0,0,0,0,0,0,0,0,0,0,31,4,4,68,11,45,3,8,0,16,7,194
UCL115044,0,0,0,3,0,0,0,10,0,0,0,0,0,4,12,22,0,0,0,0,0,0,0,0,0,0,0,0,29,9,3,62,9,25,3,11,3,22,13,192
UCL115045,0,0,0,13,7,0,0,3,0,3,0,0,0,0,20,43,0,0,0,0,0,0,0,0,0,0,0,3,48,19,0,78,12,36,3,17,7,38,26,282
UCL115046,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7,12,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,28,0,22,4,9,0,14,7,100
UCL115047,0,0,0,3,0,0,0,0,0,0,0,0,0,4,6,11,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,32,4,20,0,12,3,23,12,134
UCL115048,0,0,0,15,0,0,0,9,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,18,6,3,48,3,25,3,11,0,6,3,126
UCL115049,0,0,0,3,0,0,0,4,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,27,5,13,0,11,0,11,5,82
UCL115050,0,0,0,19,0,0,0,7,0,3,0,0,0,0,11,17,0,0,0,0,0,0,0,0,0,0,0,0,44,3,0,42,5,27,4,5,4,12,9,158
UCL115051,0,0,0,5,0,0,3,5,0,0,0,0,0,0,11,25,0,0,0,0,0,0,0,0,0,4,0,6,24,9,3,49,11,30,0,11,7,25,11,188
UCL115052,0,0,0,3,3,0,3,8,0,7,0,5,0,3,18,47,0,0,0,0,0,0,0,0,0,0,0,0,40,14,3,79,6,42,0,12,3,29,18,239
UCL115053,0,0,0,30,3,3,0,5,0,3,0,0,0,0,27,46,0,0,0,0,0,0,0,0,0,0,0,0,117,8,6,118,19,60,3,8,0,4,26,376
UCL115054,0,0,0,17,0,0,0,0,0,0,0,0,0,0,11,24,0,0,0,0,0,0,0,0,0,0,0,5,54,17,4,54,4,21,3,19,3,21,11,215
UCL115055,0,0,0,3,0,3,0,0,0,0,0,0,0,0,7,20,0,0,3,0,0,0,0,0,0,0,0,3,19,6,3,24,0,13,0,8,0,12,11,105
