UCL_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
UCL115096,146,15,3,0,0,0,0,173
UCL115097,122,15,13,3,0,0,0,153
UCL115098,92,9,0,0,0,0,0,105
UCL115099,146,20,18,0,0,0,4,189
UCL115100,158,17,18,0,0,0,4,204
UCL115101,277,20,12,3,0,0,0,318
UCL115102,242,19,14,3,0,0,0,280
UCL115103,167,23,6,3,0,0,4,200
UCL115104,258,14,23,4,0,0,4,304
UCL115105,252,20,19,0,0,0,11,306
UCL115106,151,13,21,0,0,0,0,185
UCL115107,185,16,15,4,0,0,0,221
UCL115108,336,34,19,0,0,0,3,394
UCL115109,270,23,28,0,0,0,4,326
UCL115110,100,12,8,0,0,0,0,115
UCL115111,105,12,4,3,0,0,0,128
UCL115112,391,24,20,7,0,0,0,443
UCL115113,367,36,18,0,0,0,3,425
UCL115114,136,11,10,4,0,0,0,166
UCL115115,181,18,14,0,0,0,0,215
UCL115116,358,59,41,10,0,0,3,471
UCL115117,135,10,9,0,0,0,3,158
UCL115118,354,29,17,4,0,0,0,411
UCL115119,450,32,23,9,0,0,3,518
UCL115120,214,22,7,4,0,0,3,249
UCL115121,595,51,37,8,6,0,7,695
UCL115122,123,6,4,0,0,0,0,142
UCL115123,95,15,4,3,0,0,0,123
UCL115124,187,18,13,0,0,0,3,220
UCL115125,204,9,8,0,0,0,0,217
UCL115126,161,17,14,3,0,0,3,198
UCL115127,455,51,45,13,0,0,7,563
UCL115128,321,30,24,7,0,0,4,395
UCL115129,123,7,3,0,0,0,0,135
UCL115130,115,10,7,3,0,0,0,134
UCL115131,322,26,18,3,0,0,6,372
UCL115132,145,7,8,0,3,0,5,176
UCL115133,222,19,11,7,0,0,0,249
UCL115134,318,22,33,9,0,0,3,388
UCL115135,140,11,7,4,0,0,3,165
UCL115136,66,9,3,0,0,0,0,77
UCL115137,109,14,5,3,0,0,0,139
UCL115138,101,16,9,0,0,0,0,137
UCL115139,186,14,15,3,0,0,3,222
UCL115140,134,20,11,0,0,0,0,169
UCL115141,114,9,3,0,0,0,0,123
UCL115142,218,11,5,0,0,0,0,240
UCL115143,99,4,4,3,0,0,0,115
UCL115144,73,4,4,0,6,0,3,98
UCL115145,118,5,8,0,0,0,0,133
UCL115146,163,22,20,5,0,0,3,214
UCL115147,68,12,6,0,0,0,0,93
UCL115148,83,13,8,3,0,0,0,104
UCL115149,130,4,13,0,0,0,0,147
UCL115150,279,25,20,7,3,0,9,342
UCL115151,50,10,0,3,0,0,0,68
UCL115152,87,6,10,4,0,0,4,106
UCL115153,196,5,14,0,0,0,4,224
UCL115154,247,23,11,5,0,0,0,290
UCL115155,213,19,13,0,0,0,0,243
UCL115156,339,30,25,7,0,0,5,402
UCL115157,215,19,5,7,0,0,3,256
UCL115158,386,32,17,11,0,0,3,455
UCL115159,162,17,15,8,0,0,0,209
UCL115160,103,15,7,0,0,0,0,129
UCL115161,101,6,8,0,0,0,0,115
UCL121001,81,6,4,0,0,0,0,94
UCL121002,43,4,0,0,0,0,0,51
UCL121003,50,0,8,3,0,0,0,63
UCL121004,58,7,3,3,0,0,0,71
UCL121005,65,5,4,0,0,0,0,76
UCL121006,48,4,0,0,0,0,0,56
UCL121007,89,5,9,0,0,0,0,108
UCL121008,52,4,0,0,0,0,0,65
UCL121009,19,7,4,3,0,0,4,37
UCL121010,52,3,3,0,0,0,0,63
UCL121011,44,8,8,3,0,0,0,61
UCL121012,119,6,3,0,0,0,4,134
UCL121013,31,0,3,3,0,0,7,40
UCL121014,65,8,6,3,0,0,0,79
UCL121015,52,0,4,0,0,0,0,60
UCL121016,97,4,11,5,0,0,0,110
UCL121017,80,7,9,0,0,0,0,90
UCL121018,62,10,0,0,0,0,0,68
UCL121019,44,0,3,0,0,0,0,51
UCL121020,49,0,3,0,0,0,3,55
UCL121021,19,5,0,0,0,0,3,23
UCL121022,76,14,3,0,0,0,3,92
UCL121023,44,4,8,0,0,0,0,57
UCL121024,85,5,4,0,0,0,0,95
UCL121025,55,0,0,0,0,0,0,64
UCL121026,61,3,4,0,0,0,0,70
UCL121027,117,14,4,0,0,0,0,142
UCL121028,35,5,0,0,0,0,0,41
UCL121029,51,5,3,0,0,0,0,58
UCL121030,25,0,0,3,0,0,0,33
UCL121031,64,8,14,3,0,0,3,92
UCL121032,70,7,3,3,0,0,0,79
UCL121033,44,3,7,0,0,0,0,55
UCL121034,71,7,0,0,0,0,0,74
UCL121035,78,16,9,3,0,0,0,103
UCL121036,108,7,3,0,0,0,0,117
UCL121037,58,4,0,0,0,0,0,61
UCL121038,34,3,3,0,0,0,0,37
UCL121039,37,6,3,0,0,0,0,45
UCL121040,49,0,0,0,0,0,0,55
UCL121041,79,4,3,0,0,0,0,80
UCL121042,40,3,3,0,0,0,4,54
UCL121043,42,7,0,0,0,0,0,47
UCL121044,100,3,3,0,0,0,0,110
UCL121045,42,3,0,0,0,0,0,44
UCL121046,53,8,0,0,0,0,0,64
UCL121047,55,10,3,0,0,0,0,66
UCL121048,71,9,3,0,0,0,0,82
UCL121049,24,0,0,0,0,0,0,28
UCL121050,64,10,4,0,0,0,0,75
UCL121051,54,3,11,6,0,0,4,80
UCL121052,38,8,0,0,0,0,0,46
UCL121053,103,12,6,0,0,0,0,120
UCL121054,60,3,5,0,0,0,0,72
UCL121055,113,5,3,3,0,0,0,122
UCL121056,74,4,3,0,0,0,0,87
UCL121057,82,7,3,0,0,0,0,100
UCL121058,97,11,0,3,0,0,0,108
UCL121059,191,10,11,0,0,0,0,213
UCL121060,45,0,3,0,0,0,3,59
UCL121061,103,17,6,0,0,0,0,123
UCL121062,118,8,10,0,0,0,0,137
UCL121063,49,8,0,4,0,0,0,60
UCL121064,54,6,4,0,0,0,0,65
UCL121065,62,4,3,0,0,0,0,67
UCL121066,125,9,5,0,0,0,3,138
UCL121067,88,4,3,0,0,0,0,97
UCL121068,53,3,5,0,0,0,0,63
UCL121069,48,3,7,0,0,0,0,60
UCL121070,43,8,8,0,0,0,3,56
UCL121071,41,7,6,0,0,0,0,54
UCL121072,60,3,0,0,0,0,0,60
UCL121073,62,6,7,0,0,0,0,79
UCL121074,82,7,5,3,0,0,0,94
UCL121075,68,8,10,0,0,0,0,83
UCL121076,92,8,8,0,0,0,0,103
UCL121077,66,3,0,0,0,0,3,73
UCL121078,99,3,0,0,0,0,0,100
UCL121079,70,6,6,0,0,0,0,77
UCL121080,69,10,0,3,0,0,0,84
UCL121081,71,11,3,0,0,0,0,84
UCL121082,106,5,3,0,0,0,0,114
UCL121083,118,4,9,0,0,0,0,132
UCL121084,58,7,3,0,0,0,3,68
UCL121085,46,7,7,3,0,0,0,64
UCL121086,53,4,7,0,0,0,0,66
UCL121087,96,5,5,0,0,0,0,111
UCL121088,75,5,5,0,0,0,0,92
UCL121089,103,11,4,0,0,0,3,125
UCL121090,81,5,0,4,0,0,0,90
UCL121091,143,9,7,3,0,0,3,165
UCL121092,93,11,10,3,0,0,3,118
UCL121093,37,7,3,0,0,0,0,53
UCL121094,67,3,3,0,0,0,0,74
