UCL_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
UCL114028,955,76,64,16,0,1110,389,12,20,3,3,431,248,67,75,0,0,394,3,8,3,0,0,17,81,10,11,0,3,106,7,4,0,0,0,5,3,0,3,0,0,10,4,0,0,0,0,10,357,90,90,0,8,541,8,4,0,0,0,13,30,3,11,0,0,46,1739,181,186,27,13,2150
UCL114029,813,9,9,8,0,834,823,0,5,3,0,840,279,8,8,0,0,294,0,0,0,0,0,0,116,3,0,0,0,117,0,0,0,0,0,0,6,0,0,0,0,6,6,0,0,0,0,6,404,8,14,0,0,427,13,0,0,0,0,13,52,3,0,0,0,55,2104,26,24,16,0,2167
UCL114030,830,21,10,0,3,860,667,0,10,0,3,680,282,38,60,0,6,388,111,3,15,0,0,124,114,9,8,0,0,134,3,15,0,0,0,18,23,3,6,0,0,28,11,4,3,0,0,13,543,71,84,0,4,708,7,5,0,0,0,15,48,7,3,0,0,64,2095,106,113,3,15,2323
UCL114031,847,43,32,0,0,926,710,15,4,3,3,730,277,123,23,7,0,434,108,24,20,0,0,146,136,18,5,3,0,161,9,4,6,0,0,18,5,0,0,3,0,9,8,0,0,0,0,9,543,172,54,17,0,788,7,0,26,0,0,30,71,6,6,0,0,84,2176,238,119,22,3,2558
UCL114032,1056,85,73,74,3,1290,408,32,27,0,3,465,281,114,107,10,0,505,5,11,10,0,0,22,92,13,40,4,0,150,9,10,3,0,0,28,12,0,4,9,3,24,13,0,0,0,3,14,412,151,162,21,3,745,6,3,0,0,0,4,69,11,11,9,0,102,1956,274,273,107,12,2618
UCL114033,307,20,29,7,4,367,205,0,10,0,0,221,59,5,36,0,0,101,0,0,0,0,0,0,42,3,13,0,0,62,0,0,0,0,0,0,5,0,3,0,0,15,0,0,0,0,0,0,113,11,53,3,0,173,3,10,0,0,0,8,28,0,4,0,0,39,653,43,100,9,4,815
UCL114034,600,43,4,3,0,658,714,22,3,0,0,744,199,61,3,0,0,266,65,4,0,0,0,70,111,15,6,0,0,132,17,14,0,0,0,31,13,8,0,3,0,17,11,4,0,0,0,13,407,101,9,3,5,526,11,20,0,0,0,31,35,10,0,0,0,48,1766,203,20,9,7,2007
UCL114035,860,28,49,4,0,942,661,10,8,0,0,679,443,109,140,0,4,693,93,21,6,0,0,116,150,11,7,0,0,169,13,3,12,0,0,29,23,7,3,0,0,27,12,5,3,0,0,22,729,147,180,0,3,1061,17,0,3,0,0,19,65,10,18,0,0,95,2325,202,257,7,8,2792
UCL115001,219,0,0,30,0,248,238,0,4,5,0,245,63,4,30,0,0,96,11,0,0,0,0,11,44,0,8,3,0,51,5,0,0,0,0,5,9,0,0,5,0,17,0,0,0,0,0,0,133,4,39,10,0,187,0,0,0,0,0,0,15,0,3,0,0,19,605,8,44,40,3,706
UCL115002,137,4,0,0,0,141,233,5,0,0,0,239,27,0,6,4,0,39,14,0,0,0,0,14,4,0,3,0,0,7,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,50,0,9,3,0,63,3,0,0,0,0,3,4,0,0,0,0,4,429,5,9,3,0,449
UCL115003,292,4,0,55,0,350,147,3,0,3,0,155,50,5,0,0,0,58,0,0,0,0,0,0,30,0,3,0,0,32,0,0,0,0,0,0,13,0,0,13,0,30,0,0,0,0,0,0,91,4,7,19,0,118,4,0,0,0,0,5,22,0,0,4,0,29,553,12,5,78,0,655
UCL115004,181,0,0,0,0,182,101,0,0,0,0,105,16,0,8,0,0,28,12,3,8,0,0,25,44,5,0,3,0,54,11,0,3,0,0,11,17,0,10,0,0,30,0,0,0,0,0,0,105,10,29,7,0,151,0,0,0,0,0,0,16,0,0,0,0,13,402,13,25,10,0,450
UCL115005,159,5,5,0,3,171,233,3,3,0,0,237,89,3,0,0,0,96,8,0,0,0,0,8,36,3,3,0,0,42,0,0,0,0,0,0,5,0,0,0,0,4,3,0,0,0,0,3,144,5,3,3,3,156,3,0,0,0,0,4,15,0,0,0,0,15,558,18,11,3,4,589
UCL115006,288,77,0,10,0,370,518,9,0,0,0,528,85,12,0,0,0,96,3,0,0,0,0,3,23,0,0,3,0,29,3,0,0,0,0,3,3,0,0,25,0,25,0,0,0,0,0,0,115,9,0,23,0,157,4,37,0,0,0,39,26,8,0,0,0,36,946,137,0,35,0,1122
UCL115007,214,20,6,8,0,250,89,3,0,0,0,92,29,4,16,0,0,52,0,0,0,0,0,0,32,12,14,3,3,63,0,0,0,0,0,0,8,3,0,0,0,14,3,0,0,0,0,3,76,19,29,4,3,135,3,0,0,0,0,3,15,0,3,0,0,22,397,44,37,15,3,501
UCL115008,213,7,3,8,0,227,190,5,0,0,0,195,62,7,21,3,0,99,0,0,0,0,0,0,38,0,3,3,0,47,0,3,0,0,0,3,3,3,0,6,0,17,0,0,0,0,0,0,113,17,28,12,0,170,0,0,0,3,0,3,17,0,3,0,0,25,534,31,33,25,0,614
UCL115009,258,0,0,4,0,264,83,0,0,0,0,80,47,0,9,0,0,59,0,0,0,0,0,7,53,4,3,0,0,55,4,0,0,0,0,3,3,0,3,0,0,7,4,0,0,0,0,7,111,9,16,0,0,132,0,0,0,0,0,4,21,0,3,0,0,21,469,9,18,7,6,506
UCL115010,203,4,0,0,0,212,214,0,0,0,0,209,58,5,0,0,0,60,0,0,0,0,0,0,28,0,0,0,0,26,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,87,5,0,0,0,94,0,3,0,0,0,7,7,0,31,0,0,39,509,18,34,0,0,564
UCL115011,169,0,0,4,0,177,117,0,0,0,0,118,26,0,4,0,0,25,15,0,0,0,0,15,35,0,0,0,0,38,0,4,0,0,0,3,8,0,0,0,0,10,3,0,0,0,0,3,80,4,4,0,0,95,3,0,0,0,0,4,11,5,0,3,0,19,382,7,4,8,3,407
UCL115012,540,30,0,3,7,579,379,10,0,0,8,392,232,42,15,0,0,292,90,42,4,0,0,139,93,3,7,0,0,97,11,14,0,0,0,20,4,0,0,0,0,7,6,3,0,0,0,14,441,108,24,0,0,576,10,9,0,0,0,24,55,13,0,0,0,71,1416,171,32,3,16,1632
UCL115013,396,8,0,0,0,407,357,3,3,0,0,365,141,18,7,0,0,167,18,6,0,0,0,27,110,13,7,0,0,125,21,0,0,0,0,21,5,0,0,0,0,6,5,0,0,0,0,5,302,36,11,0,0,354,12,0,0,0,0,12,30,0,0,0,0,29,1098,50,15,3,5,1170
UCL115014,260,41,5,4,0,310,112,10,4,0,0,126,51,20,8,4,3,85,5,0,11,0,0,13,48,6,0,6,0,60,0,0,0,0,0,3,0,0,3,0,0,9,7,0,0,0,0,9,105,32,18,5,3,170,3,0,0,0,0,3,24,0,0,0,0,23,501,87,29,13,7,633
UCL115015,324,54,28,0,9,417,165,9,3,0,3,184,56,12,4,0,0,77,3,0,0,0,0,3,23,6,4,3,0,36,3,7,0,0,0,9,4,0,0,0,0,9,0,0,0,4,0,7,91,28,7,3,0,132,43,11,15,0,0,65,20,3,0,0,0,24,646,100,54,9,19,826
UCL115016,252,0,0,10,0,261,70,0,0,0,0,75,36,4,3,0,0,47,0,3,0,0,0,3,33,7,0,0,0,44,3,0,3,0,0,9,5,0,0,0,0,6,8,0,0,0,0,8,89,10,7,0,0,113,3,0,0,0,0,3,15,0,3,0,0,18,432,15,10,11,0,466
UCL115017,789,0,3,0,3,799,562,4,0,0,0,574,266,20,10,0,0,298,15,9,4,0,0,23,93,0,0,0,0,97,4,3,0,0,0,9,3,0,0,0,4,10,3,0,0,0,0,5,385,35,16,7,6,440,12,0,0,0,0,17,40,0,0,0,0,41,1790,40,17,7,13,1862
UCL115018,338,3,0,0,0,337,338,4,0,0,0,344,176,11,39,0,0,231,38,0,4,0,0,40,65,0,0,0,0,65,0,0,0,0,0,0,4,0,0,3,0,11,8,0,0,0,0,8,287,17,45,5,0,351,4,0,0,0,0,3,34,0,3,3,28,69,994,24,52,11,27,1106
UCL115019,199,0,0,0,0,203,121,0,0,0,0,130,21,0,3,0,0,26,3,0,0,0,0,5,56,6,7,3,0,65,6,0,0,0,0,9,9,3,0,0,0,17,3,0,0,0,0,4,98,10,14,3,0,127,0,0,0,0,0,0,13,0,0,0,0,18,435,10,13,5,4,473
UCL115020,434,8,0,55,0,495,333,4,0,0,0,339,115,8,5,0,0,129,0,0,0,0,0,0,40,0,0,0,0,39,0,0,0,0,0,0,3,0,0,3,0,6,0,0,0,0,0,0,161,8,5,4,0,178,0,0,0,0,0,3,18,0,0,0,0,21,946,19,4,62,0,1036
UCL115021,207,0,7,0,3,218,133,0,3,0,0,134,46,0,5,0,0,50,4,0,6,0,0,6,34,0,3,0,0,45,0,0,13,0,0,13,10,0,0,0,0,12,4,0,0,0,0,4,97,0,27,0,0,125,0,0,3,0,0,4,17,0,4,0,0,21,457,0,46,6,3,508
UCL115022,137,0,0,4,3,139,139,0,0,3,5,147,30,3,4,0,0,41,53,9,7,0,0,73,53,0,0,0,0,58,14,0,0,0,0,18,49,7,11,3,0,67,4,0,0,0,0,8,210,14,28,4,7,256,3,0,0,0,0,6,27,0,0,0,0,32,518,16,30,8,10,582
UCL115023,111,0,0,0,0,111,302,0,0,0,3,305,35,0,0,0,0,35,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,47,0,0,0,0,0,0,4,0,0,0,0,4,469,0,0,0,3,475
UCL115024,176,0,0,0,4,183,119,9,0,0,0,131,72,10,7,0,0,89,9,3,0,0,0,7,37,3,0,0,3,42,0,0,0,0,0,0,3,0,0,0,0,4,8,0,0,0,0,8,130,18,7,0,5,156,3,0,0,0,0,3,24,0,3,0,0,29,448,26,4,0,7,494
UCL115025,230,9,0,0,0,242,387,5,3,0,0,400,170,62,13,0,0,249,0,0,0,0,0,0,47,3,7,0,0,56,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,3,226,66,22,0,0,314,3,0,0,0,0,4,29,3,0,0,0,30,871,92,22,0,3,989
UCL115026,307,72,4,0,0,383,213,10,7,0,0,230,63,22,18,0,0,99,0,0,0,0,0,0,55,9,4,0,0,70,0,7,0,0,0,6,3,0,0,3,0,3,8,0,0,0,0,12,125,33,19,3,3,184,0,43,0,0,0,50,15,5,0,0,3,28,657,173,29,3,11,872
UCL115027,168,12,15,53,0,249,93,4,7,0,0,107,58,25,70,10,0,162,4,0,18,0,0,27,39,13,34,0,3,85,4,0,3,0,0,8,3,0,0,9,0,12,0,0,0,0,0,0,99,43,130,14,5,293,8,0,0,0,0,8,11,3,6,4,3,31,379,60,154,74,11,679
UCL115028,204,0,4,6,0,215,100,0,3,0,0,105,36,5,4,5,0,51,0,0,0,0,0,0,30,0,4,0,0,34,0,0,0,0,0,0,4,0,0,10,0,13,4,0,0,0,0,4,82,7,3,12,0,104,0,0,0,0,0,0,17,0,0,3,0,20,400,10,9,23,0,445
UCL115029,556,5,0,3,0,566,294,4,0,0,0,296,81,3,5,3,0,88,0,0,0,0,0,0,27,0,0,0,0,26,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,112,9,8,3,0,128,5,0,5,0,0,16,22,0,0,3,0,27,992,15,11,3,4,1033
UCL115030,295,0,0,0,0,294,269,0,0,0,0,273,68,3,4,6,0,73,0,0,0,0,0,0,35,0,0,0,0,40,0,0,0,0,0,3,3,0,0,0,0,3,4,0,0,0,0,4,106,3,4,3,0,122,0,0,0,0,0,0,18,0,0,0,0,21,685,3,3,8,5,710
UCL115031,223,3,0,0,0,223,610,3,0,3,0,621,130,4,3,4,0,136,0,0,0,0,0,0,34,4,0,0,0,38,0,0,0,0,0,0,8,0,0,0,0,6,0,0,0,0,0,3,171,5,4,3,0,190,4,0,0,0,0,3,16,0,0,0,0,16,1027,15,4,4,0,1055
UCL115032,118,0,0,0,0,118,328,0,0,0,0,330,47,0,0,0,0,47,0,0,0,0,0,0,14,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,59,5,0,0,0,0,5,13,0,0,0,0,13,521,3,0,0,0,529
UCL115033,329,4,0,0,0,328,391,4,0,0,0,402,196,24,3,0,0,226,6,0,0,0,0,6,55,0,0,0,0,57,4,0,0,0,0,4,3,0,0,0,0,3,4,0,0,0,0,4,267,28,3,0,0,300,0,0,0,0,0,3,12,0,0,0,0,16,1001,35,3,0,3,1043
UCL115034,560,4,0,12,3,575,260,4,0,0,0,263,191,25,0,0,0,220,4,0,0,0,0,4,46,3,0,0,0,48,3,0,0,0,0,3,10,0,0,0,0,13,3,0,0,0,0,4,252,31,0,3,0,284,7,0,0,0,0,7,27,0,0,0,0,29,1109,39,0,14,3,1166
UCL115035,160,0,0,0,0,160,168,0,0,0,0,168,35,0,0,0,0,35,0,0,0,0,0,0,12,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,46,0,0,0,0,0,0,4,0,0,0,0,4,378,0,0,0,0,379
UCL115036,268,4,0,3,0,274,142,0,0,0,0,149,52,0,13,3,0,70,20,0,0,0,0,20,41,0,5,3,0,57,0,0,0,0,0,0,7,0,0,0,0,14,9,0,3,3,0,9,134,0,22,8,0,166,0,0,0,0,0,0,16,0,3,0,0,22,560,9,28,13,0,611
UCL115037,389,0,3,13,0,403,311,0,0,4,0,319,148,7,41,0,0,199,62,3,4,0,0,68,60,0,6,3,0,73,13,0,14,0,0,27,145,8,29,0,0,180,7,0,4,0,0,17,427,25,90,7,3,554,8,0,0,0,0,8,53,0,3,0,0,56,1191,22,99,21,3,1344
UCL115038,153,0,0,0,0,155,207,0,0,0,3,206,63,0,0,0,0,67,0,0,0,0,0,0,18,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,80,0,0,0,0,86,0,0,0,0,0,0,9,0,0,0,0,9,449,0,0,0,3,457
UCL115039,359,0,0,0,0,364,241,0,0,0,0,239,72,0,8,0,0,86,64,0,4,0,0,69,110,0,7,4,0,124,44,3,0,0,0,43,27,0,12,0,0,38,9,0,0,0,0,10,326,6,31,8,0,367,7,0,0,0,0,7,43,0,5,3,0,55,976,8,40,12,0,1036
UCL115040,218,0,4,0,0,221,204,0,0,0,3,204,53,3,4,0,0,55,3,0,4,0,0,5,44,0,0,0,0,45,0,0,0,0,0,0,5,0,0,0,0,5,4,0,3,0,0,8,109,3,12,0,3,130,15,0,0,0,0,16,17,0,4,0,0,24,555,5,21,0,4,591
UCL115041,365,10,0,3,3,382,193,9,3,0,4,209,103,6,26,3,0,146,63,0,3,0,0,62,80,0,3,0,0,88,12,13,0,0,0,18,11,0,4,3,0,19,5,0,0,0,0,13,278,24,41,4,3,350,3,0,0,0,0,6,24,4,0,3,3,29,869,45,44,16,16,981
UCL115042,309,0,8,4,0,316,180,0,0,3,0,187,42,0,5,0,0,50,57,0,3,0,0,60,76,0,16,0,0,94,21,0,3,0,0,21,24,0,13,0,0,43,6,0,3,0,0,13,223,3,39,4,0,273,6,0,0,0,0,8,40,0,3,0,3,44,764,3,57,6,5,830
UCL115043,144,0,0,3,0,147,209,0,0,0,0,212,93,8,4,0,0,107,0,0,0,0,0,0,40,0,0,0,0,41,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,141,5,4,0,0,156,0,0,0,0,0,0,5,0,0,3,3,14,505,7,4,5,3,524
UCL115044,393,23,0,6,0,423,213,3,0,0,0,219,91,8,3,0,0,101,14,0,0,0,0,18,59,11,0,0,0,66,0,8,0,0,0,8,8,0,0,0,0,8,3,0,0,0,0,3,179,21,3,0,0,201,3,3,0,0,0,3,23,9,0,0,0,28,807,59,3,7,0,880
UCL115045,609,20,12,0,3,653,336,8,0,0,0,346,168,21,12,6,0,210,3,0,0,0,0,3,87,4,0,3,0,95,7,6,0,0,0,13,0,0,0,0,0,7,7,0,0,0,0,9,280,29,13,11,4,333,11,14,0,0,0,24,34,3,0,0,0,32,1272,71,30,12,6,1385
UCL115046,166,0,0,0,0,168,138,0,0,0,0,143,35,0,3,3,0,41,6,0,0,0,0,4,30,0,3,0,0,32,5,0,0,0,0,5,3,0,3,0,0,5,8,0,0,0,0,4,82,6,4,7,0,99,0,0,0,0,0,5,10,0,0,0,0,16,401,6,4,12,0,423
UCL115047,354,7,0,0,0,373,176,3,3,0,0,186,63,8,9,0,3,76,12,0,0,0,0,12,46,3,3,0,0,56,4,6,0,0,0,7,4,0,0,0,0,3,3,0,0,0,0,4,124,25,11,0,4,159,17,0,0,0,0,13,15,6,0,0,0,21,686,41,12,0,8,753
UCL115048,158,27,0,0,0,187,162,0,0,0,0,167,64,15,10,0,0,90,3,0,0,0,0,3,27,0,0,0,0,31,0,0,0,0,0,0,6,0,0,0,0,6,3,0,0,0,0,3,104,14,15,0,0,133,0,9,0,0,0,11,16,0,16,0,0,31,447,49,30,0,4,529
UCL115049,235,4,0,3,0,238,108,0,0,0,0,111,36,0,0,0,3,39,7,0,3,0,0,6,39,0,5,0,0,52,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,84,3,13,0,3,110,0,0,0,0,0,0,9,0,0,0,0,14,433,7,13,5,9,464
UCL115050,116,0,3,0,0,118,174,0,3,0,0,182,6,0,3,0,0,8,0,0,0,0,0,0,10,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0,0,0,30,3,0,0,0,0,3,5,0,0,0,0,9,326,3,12,5,0,341
UCL115051,374,4,3,0,0,384,228,0,0,0,0,234,78,4,23,0,0,101,24,0,0,0,0,31,69,0,3,0,0,76,3,0,0,0,0,3,8,0,0,0,0,8,6,0,0,0,0,6,187,8,24,3,0,223,7,5,0,0,0,13,27,0,0,0,0,29,825,19,32,3,3,880
UCL115052,422,15,14,29,6,484,232,12,8,3,0,255,120,47,41,0,0,209,86,5,12,0,0,105,52,9,15,0,0,76,6,4,3,0,0,10,10,0,0,13,0,22,5,0,0,0,0,4,274,61,72,12,0,421,4,0,0,0,0,8,39,8,3,5,0,51,967,96,94,47,8,1215
UCL115053,169,38,0,0,0,207,447,3,0,0,3,451,213,7,6,0,0,221,0,0,0,0,0,0,50,3,0,0,0,49,0,4,0,0,0,4,14,0,0,0,0,16,0,0,0,0,0,0,277,15,6,0,0,294,3,45,0,0,0,56,13,12,0,0,0,25,906,114,10,0,9,1028
UCL115054,299,111,18,48,0,476,151,55,11,0,0,214,105,121,65,0,0,294,12,12,5,0,0,27,38,54,21,3,0,120,8,10,0,0,0,18,5,3,0,3,0,18,3,7,0,0,0,8,179,204,91,7,0,480,4,3,0,0,0,6,22,15,10,0,0,40,646,387,128,57,4,1224
UCL115055,194,90,0,12,3,302,70,25,0,7,0,106,43,49,4,0,0,94,0,9,0,0,0,9,19,12,3,0,0,41,0,17,0,0,0,18,0,3,0,0,0,3,0,3,0,0,0,3,65,99,4,0,0,170,0,44,0,0,3,42,9,10,0,0,0,15,339,264,12,17,3,637
UCL115056,309,7,7,5,0,329,173,0,3,0,0,183,70,14,13,0,0,94,13,0,0,0,0,13,62,20,5,0,0,80,0,0,3,0,0,3,9,7,0,0,0,20,6,0,0,0,0,3,161,38,20,3,0,217,5,0,0,0,0,9,29,3,6,3,0,35,677,52,30,14,0,767
UCL115057,109,0,3,9,0,119,286,0,6,0,3,295,107,0,60,0,0,162,6,0,0,0,0,5,42,0,0,0,0,40,0,0,0,0,0,0,34,0,0,4,3,43,0,0,0,0,0,0,188,0,61,4,3,255,3,0,0,0,0,3,10,0,0,4,0,18,597,0,70,20,3,686
UCL115058,137,0,0,0,0,140,109,0,0,0,0,108,43,0,16,0,0,63,4,0,3,0,0,6,31,0,3,0,0,35,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,82,0,26,0,0,112,0,0,0,0,0,0,9,0,0,0,0,8,336,0,28,0,0,363
UCL115059,140,0,0,0,0,143,227,0,0,0,0,231,42,0,0,0,0,42,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,54,3,0,0,0,0,3,9,0,0,0,0,11,433,0,0,0,3,436
UCL115060,123,9,5,0,0,142,163,11,12,0,0,189,27,4,11,0,0,42,0,0,0,0,0,0,10,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,3,11,0,0,55,3,0,0,0,0,7,3,0,0,0,0,9,337,26,29,0,0,393
UCL115061,572,30,29,0,3,627,474,13,6,0,0,497,131,28,25,0,0,180,0,0,6,0,0,10,65,7,3,0,0,71,6,0,26,0,0,28,0,0,0,0,3,8,3,0,0,0,0,3,208,28,61,0,6,301,4,0,29,0,0,30,27,0,5,0,0,33,1283,73,131,0,3,1494
UCL115062,366,0,0,0,3,377,215,0,0,0,0,212,112,0,37,0,0,151,54,0,0,0,0,54,73,0,4,0,0,76,16,0,0,0,0,16,19,0,0,0,0,21,13,0,0,0,0,11,287,0,39,0,3,337,15,0,0,0,0,15,40,0,0,0,0,40,924,4,43,4,9,981
UCL115063,199,0,0,0,0,199,439,0,0,0,0,439,95,0,0,0,0,98,0,0,0,0,0,0,29,0,0,0,0,29,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,9,129,0,0,0,0,131,3,0,0,0,0,3,17,0,0,0,0,16,783,3,0,0,0,788
UCL115064,424,5,6,10,0,448,200,0,0,3,0,201,137,11,27,9,0,187,37,0,5,0,0,42,67,4,7,3,0,75,0,0,6,0,0,3,11,3,3,0,0,14,5,0,0,0,0,5,248,19,52,11,0,332,3,0,0,0,0,3,34,3,3,6,0,42,916,25,59,35,3,1032
UCL115065,25,0,0,0,0,25,381,0,0,0,0,381,22,0,0,0,0,22,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,38,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,447,0,0,0,0,451
UCL115066,245,0,4,23,0,272,129,0,0,0,3,133,44,3,8,0,0,58,0,0,0,0,0,0,35,0,4,7,0,39,0,0,0,0,0,0,3,0,0,4,0,9,3,0,0,0,0,4,85,3,12,11,0,109,5,0,0,0,0,5,17,0,0,0,0,19,474,3,17,35,3,535
UCL115067,412,4,0,6,0,422,207,0,0,0,0,211,49,20,5,0,0,73,14,0,0,0,0,14,49,3,0,3,0,59,32,3,0,0,0,32,10,0,0,0,0,12,8,0,0,0,0,12,159,29,5,3,0,199,7,0,0,0,0,9,35,3,0,0,0,39,816,41,8,10,3,875
UCL115068,258,0,0,3,0,260,433,0,0,0,0,432,150,12,3,0,0,167,0,0,0,0,0,0,47,0,0,0,0,47,0,0,0,0,0,0,4,0,0,0,0,4,7,0,0,0,0,7,208,12,3,0,0,222,3,0,0,0,0,3,22,0,0,0,0,20,924,9,3,3,3,945
UCL115069,254,0,0,8,7,264,204,0,0,3,0,207,102,23,3,3,0,129,11,12,0,0,0,20,54,0,0,0,0,54,3,0,0,0,0,4,3,3,0,0,0,7,3,0,0,0,0,3,179,36,3,9,0,224,0,0,0,0,0,3,19,3,0,3,4,30,655,39,3,19,13,733
UCL115070,294,0,0,0,0,296,207,0,0,0,0,207,28,0,0,0,0,28,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,39,3,0,0,0,0,4,12,0,0,0,0,12,549,0,0,3,0,554
UCL115071,322,9,5,4,0,340,177,0,0,3,3,188,54,13,9,3,5,83,22,0,6,0,0,24,49,3,3,3,0,62,0,0,0,0,0,0,12,0,0,0,0,15,11,0,0,0,0,10,153,20,13,12,5,203,9,0,0,0,0,9,36,0,3,0,0,40,698,33,22,25,6,773
UCL115072,272,0,0,0,4,283,199,0,0,0,0,204,103,8,16,0,0,130,10,0,0,0,0,16,44,3,4,0,0,51,6,0,0,0,0,5,13,0,0,0,0,13,8,0,0,0,0,7,179,13,26,0,0,223,4,0,0,0,0,4,21,0,0,0,0,17,679,21,26,3,3,732
UCL115073,345,4,0,7,0,358,241,3,0,3,0,251,42,6,0,0,0,48,14,3,0,0,0,15,75,4,0,3,3,80,3,0,0,0,0,3,3,0,0,3,0,9,9,0,0,0,0,9,136,16,0,7,4,161,6,0,0,0,0,9,37,7,0,0,7,47,762,27,0,23,9,820
UCL115074,627,66,0,32,0,732,192,18,3,0,0,212,140,66,10,0,0,222,0,0,0,0,0,0,37,8,0,0,0,41,0,0,0,0,0,0,4,0,0,7,0,13,6,0,0,0,0,8,188,72,10,16,0,286,5,0,0,0,0,5,32,9,0,4,0,40,1043,166,16,52,0,1279
UCL115075,355,0,0,3,0,359,176,3,0,0,3,184,73,5,32,0,3,116,31,4,3,0,0,30,95,3,8,0,0,101,0,0,0,0,0,0,14,0,10,0,0,23,12,0,3,0,0,16,220,17,52,0,0,292,3,0,0,0,0,5,40,0,3,3,0,49,801,27,51,3,6,891
