LGA_CODE_2016,Ot_ty_Ed_Ins_Pt_st_C06_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,Ot_ty_Ed_Ins_Pt_st_C16_M,Ot_ty_Ed_Ins_Pt_st_C16_F,Ot_ty_Ed_Ins_Pt_st_C16_P,O_t_E_I_F_P_s_s_ns_C06_M,O_t_E_I_F_P_s_s_ns_C06_F,O_t_E_I_F_P_s_s_ns_C06_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,O_t_E_I_F_P_s_s_ns_C16_M,O_t_E_I_F_P_s_s_ns_C16_F,O_t_E_I_F_P_s_s_ns_C16_P,Oth_ty_Edu_Ins_Tot_C06_M,Oth_ty_Edu_Ins_Tot_C06_F,Oth_ty_Edu_Ins_Tot_C06_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Oth_ty_Edu_Ins_Tot_C16_M,Oth_ty_Edu_Ins_Tot_C16_F,Oth_ty_Edu_Ins_Tot_C16_P,Type_Educ_Insti_ns_C06_M,Type_Educ_Insti_ns_C06_F,Type_Educ_Insti_ns_C06_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,Type_Educ_Insti_ns_C16_M,Type_Educ_Insti_ns_C16_F,Type_Educ_Insti_ns_C16_P,Tot_C06_M,Tot_C06_F,Tot_C06_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P
LGA17900,19,3,9,10,0,9,13,3,0,3,0,0,0,0,0,0,9,24,34,5,9,22,4,15,21,435,310,750,430,317,753,458,404,862,1055,932,1988,979,914,1890,978,958,1943
LGA17950,4,3,8,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,10,7,0,0,3,83,71,155,105,98,197,154,174,325,336,365,699,331,412,738,391,464,852
LGA18020,32,9,21,29,8,14,19,0,0,0,0,0,3,0,0,4,13,30,41,16,24,40,9,26,31,370,336,709,437,382,821,574,576,1153,1447,1483,2933,1471,1447,2915,1409,1519,2927
LGA18050,443,175,289,462,320,441,759,0,4,5,0,8,8,7,7,10,250,406,655,273,436,709,436,586,1028,5828,4986,10816,3889,3586,7478,3539,3687,7229,11071,10560,21634,9864,10016,19879,10355,10981,21334
LGA18100,4,0,6,4,0,6,6,0,0,0,0,0,0,0,0,0,0,11,7,0,6,4,3,8,13,111,95,201,125,95,218,182,206,393,477,500,973,469,499,971,489,534,1027
LGA18200,15,7,10,17,3,19,24,0,0,0,0,0,0,0,0,0,12,6,21,8,13,21,10,22,35,279,256,537,260,229,492,429,367,789,993,965,1953,949,905,1849,1042,1035,2075
LGA18230,116,50,123,168,52,106,164,0,5,10,4,5,11,0,3,3,56,105,161,73,147,224,84,148,239,2065,2075,4136,2059,1646,3699,2710,2280,4987,7369,7676,15041,7312,7304,14620,8001,7975,15972
LGA18250,480,162,280,443,168,300,473,3,3,13,5,11,11,0,4,9,249,432,679,253,400,648,298,488,790,2425,2496,4919,1797,1797,3600,1819,2020,3839,10080,10571,20657,10176,10636,20810,11644,12345,23984
LGA18350,193,56,141,196,56,147,204,0,5,5,0,0,3,0,3,3,72,162,237,85,171,256,83,209,288,1505,1678,3188,1262,1334,2594,1724,1846,3568,6297,6875,13171,6106,6684,12791,6535,7217,13749
LGA18400,169,52,128,178,49,132,177,0,0,0,0,0,0,0,0,4,50,151,202,90,158,249,67,167,234,1386,1342,2731,1229,1197,2423,1464,1431,2897,6675,6500,13178,6754,6808,13568,7433,7619,15054
LGA18450,742,251,531,784,269,580,846,9,13,22,8,15,20,3,10,16,340,620,956,397,678,1076,442,786,1233,7005,6954,13958,5918,5774,11691,5908,6047,11959,29467,29300,58769,30431,30284,60718,31980,32140,64118
LGA18500,348,93,188,278,113,205,317,4,3,5,0,3,4,0,4,4,161,280,439,142,239,378,156,277,431,3394,3620,7019,2957,2983,5939,2291,2762,5052,7980,8901,16878,8009,8559,16570,7852,9034,16884
LGA18710,49,23,38,60,20,43,62,0,3,3,0,0,0,0,0,0,24,42,61,26,53,77,33,57,84,374,334,704,453,476,930,608,663,1274,1916,1986,3903,2235,2370,4601,2502,2757,5260
LGA19399,4,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,3,3,8,0,5,5,3,0,5,27,24,49,28,10,33,73,49,122,93,120,213,91,97,191,142,131,269
LGA19499,65,23,33,56,37,33,65,3,0,8,5,0,4,0,0,4,68,48,117,55,69,123,60,69,129,806,497,1303,1956,862,2820,2231,1127,3360,1443,1160,2608,2739,1745,4483,2819,1779,4593
LGA19799,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,10,7,18,4,3,11,21,33,46,17,9,21,16,3,17,29,62,93
