CED_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
CED140,73,712,5146,16614,12999,3248,604,795,40193,10,175,2055,2137,59,15,10,191,4647,18,241,903,1625,143,10,3,90,3021,26,417,2954,3764,204,23,10,275,7672,70,568,1573,1070,121,16,8,166,3582,4,55,621,267,10,3,0,38,1005,0,61,573,272,9,0,0,15,937,6,10,9,3,3,0,0,0,35,79,696,2782,1612,148,18,9,217,5559,24,189,241,81,11,7,0,21,575,9,57,74,42,35,4,3,56,275,212,2075,11189,22108,13394,3287,631,1369,54272
CED141,64,579,6257,22028,13653,2714,420,878,46586,7,374,1958,968,63,14,3,111,3496,10,133,577,814,105,9,6,55,1701,16,503,2535,1777,168,23,7,162,5192,26,487,862,239,14,6,4,80,1725,7,52,78,23,0,0,0,3,167,0,96,178,118,5,0,0,3,407,0,13,6,9,0,0,0,0,28,32,653,1125,388,24,5,3,92,2319,17,114,164,51,23,3,3,24,410,0,17,23,24,13,3,6,22,107,129,1867,10107,24266,13879,2743,442,1177,54618
CED142,7,100,325,728,409,107,29,89,1786,11,524,1959,1161,248,39,18,98,4049,126,1101,3960,5000,1977,369,149,424,13111,145,1617,5921,6153,2223,408,165,518,17155,204,962,759,247,36,13,26,147,2388,592,3043,3746,719,84,10,17,209,8421,2357,19110,22127,4910,316,55,91,1415,50384,4,12,11,3,0,0,0,0,29,3159,23125,26644,5883,429,79,142,1771,61223,31,131,109,75,18,5,7,42,419,23,119,135,56,21,10,10,141,516,3365,25090,33125,12893,3103,609,357,2556,81100
CED143,22,195,1533,7584,8573,3575,741,331,22563,46,102,465,904,256,24,3,43,1843,9,177,755,1778,477,69,18,60,3333,60,273,1220,2681,735,92,21,97,5176,100,1347,3042,1405,160,26,17,160,6256,94,2598,7588,1520,72,9,10,234,12123,162,2282,3875,1378,53,4,3,141,7897,0,25,43,30,11,0,0,3,105,360,6251,14541,4331,285,45,27,542,26380,10,43,85,40,10,3,3,29,220,3,29,52,40,16,11,6,28,188,450,6788,17437,14676,9619,3721,794,1036,54524
CED144,56,240,3154,12417,6633,2095,572,719,25889,38,209,1069,941,175,24,9,68,2533,21,347,1348,2642,1653,242,54,178,6493,63,557,2421,3577,1829,266,66,249,9029,97,1219,8006,759,87,14,17,387,10590,35,386,4658,569,28,6,3,170,5850,6,152,1422,305,29,0,0,68,1982,0,16,19,17,4,0,0,4,57,140,1778,14113,1645,138,22,17,623,18477,3,48,128,100,36,9,0,20,339,5,36,72,46,36,8,7,190,388,264,2654,19887,17783,8676,2396,661,1804,54119
CED145,11,81,607,2815,3734,1847,470,180,9747,9,84,1127,1668,454,80,9,74,3512,17,160,1671,3602,2028,349,39,170,8031,24,241,2802,5270,2477,431,48,248,11540,111,1298,3084,1155,185,39,19,222,6107,407,2824,8053,2099,186,25,12,369,13975,1010,4105,6399,2345,129,14,18,395,14413,0,14,36,30,12,3,3,4,96,1528,8242,17576,5624,506,79,52,990,34594,11,181,236,140,27,5,0,19,618,7,41,80,67,31,18,8,60,319,1582,8788,21297,13912,6778,2377,581,1500,56820
CED146,63,290,1091,14622,18774,3708,716,997,40259,19,72,763,956,47,4,0,59,1923,9,210,931,2232,615,36,8,135,4176,29,287,1698,3185,666,41,9,192,6104,91,187,173,113,5,3,3,43,616,37,65,279,69,3,0,0,41,499,0,7,0,0,0,0,0,0,12,0,14,16,6,3,0,0,3,44,127,269,474,192,11,3,9,87,1168,0,21,19,14,12,0,0,7,81,25,88,38,29,43,7,0,71,299,242,948,3323,18052,19498,3763,731,1356,47915
CED147,53,438,3070,21632,15926,3142,631,913,45809,13,271,1734,1250,64,11,4,124,3465,3,160,759,1081,177,18,3,78,2277,24,424,2495,2329,247,28,4,198,5745,41,448,918,237,43,5,7,91,1794,0,3,17,14,0,0,0,0,38,0,0,0,0,0,0,0,0,3,0,10,11,6,3,0,0,3,26,42,462,950,257,42,9,7,95,1857,28,141,233,46,15,8,5,49,532,0,22,93,78,44,7,7,34,285,142,1484,6848,24346,16276,3188,650,1288,54222
CED194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
