SAL_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SAL11137,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,6,7,0,0,29,..,0,0,0,3,3,14,4,0,26,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,7,..,..,..,..,..,..,..,..,7,..,4,..,..,..,..,..,..,..,4,..,0,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7,5,4,0,4,5,20,4,0,52
SAL11138,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,..,0,0,0,5,0,0,0,0,14,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,3,..,..,..,..,..,..,..,..,3,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,3,0,0,0,15
SAL11139,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,28,9,8,8,18,21,15,4,0,121,..,0,5,9,17,27,16,13,4,89,..,0,6,3,5,6,3,0,0,26,..,0,3,0,5,0,6,0,0,10,55,..,..,..,..,..,..,..,..,55,..,11,..,..,..,..,..,..,..,11,..,4,5,3,0,0,0,0,0,18,..,0,0,0,0,0,3,0,0,6,..,0,0,0,0,0,5,0,0,3,..,0,0,0,0,0,0,0,0,4,..,0,4,0,0,6,3,3,0,18,0,0,0,0,0,0,0,0,0,0,55,21,17,20,29,43,33,17,4,239
SAL11140,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,..,0,4,0,0,5,5,0,0,12,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,3,..,..,..,..,..,..,..,..,3,..,0,..,..,..,..,..,..,..,0,..,0,4,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,4,5,0,0,24
SAL11141,..,3,0,0,0,0,0,0,0,4,..,0,0,0,0,0,3,10,3,25,3,0,0,0,0,0,0,0,0,8,38,25,27,30,32,38,38,25,3,254,..,3,24,41,38,54,57,27,0,249,..,3,12,10,3,6,4,0,0,36,..,0,3,4,0,0,0,0,0,21,110,..,..,..,..,..,..,..,..,110,..,25,..,..,..,..,..,..,..,25,..,11,0,4,3,0,0,0,0,16,..,0,4,0,0,3,6,5,0,14,..,0,0,0,0,0,0,0,0,0,..,4,0,0,0,3,3,0,0,13,..,4,0,4,8,11,11,11,9,57,3,3,0,0,0,0,0,0,0,8,111,54,43,68,62,81,80,45,9,553
SAL11142,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,5,6,0,0,31,..,0,0,11,5,6,7,0,0,29,..,0,0,0,0,4,0,0,0,10,..,0,0,0,0,0,0,0,0,0,16,..,..,..,..,..,..,..,..,16,..,0,..,..,..,..,..,..,..,0,..,6,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,16,6,7,11,3,15,12,0,0,61
SAL11143,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,3,0,0,0,14,..,0,0,5,0,5,0,0,0,14,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,11,..,..,..,..,..,..,..,..,11,..,5,..,..,..,..,..,..,..,5,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,5,0,5,0,5,0,0,0,35
SAL11144,..,6,0,6,6,4,0,0,0,20,..,0,0,0,0,11,10,7,4,31,0,0,0,0,0,0,0,0,0,8,95,51,48,58,60,69,46,19,11,469,..,0,34,60,74,66,57,18,0,314,..,0,18,20,10,16,21,4,0,87,..,0,5,8,13,13,8,4,3,51,200,..,..,..,..,..,..,..,..,200,..,44,..,..,..,..,..,..,..,44,..,33,20,14,5,7,0,0,0,74,..,3,6,0,0,5,3,6,3,26,..,11,0,0,0,0,0,0,0,17,..,6,0,6,7,9,4,0,0,30,..,0,0,0,3,13,12,7,4,49,0,0,6,0,0,0,0,0,0,6,200,100,94,104,116,136,98,40,13,898
SAL11145,..,0,0,0,0,0,0,0,0,0,..,0,0,0,6,3,0,0,0,5,6,0,0,0,0,0,0,0,0,4,27,10,9,19,24,25,20,4,0,136,..,0,3,21,27,29,29,3,0,115,..,7,10,13,3,6,3,0,0,43,..,0,0,0,4,3,4,0,0,11,52,..,..,..,..,..,..,..,..,52,..,13,..,..,..,..,..,..,..,13,..,4,3,3,0,0,0,0,0,12,..,0,0,0,0,0,0,3,0,3,..,0,0,0,3,0,3,0,0,9,..,0,0,0,3,0,5,0,0,10,..,0,0,6,4,4,0,6,0,18,6,0,0,4,0,0,0,0,0,7,58,25,19,39,51,41,48,10,6,295
SAL11146,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,7,9,8,3,28,0,0,0,0,0,0,0,0,0,3,9,6,11,11,11,25,22,15,3,114,..,0,6,11,18,19,25,17,0,95,..,0,3,5,0,9,0,0,0,22,..,0,0,0,6,5,0,0,0,10,24,..,..,..,..,..,..,..,..,24,..,8,..,..,..,..,..,..,..,8,..,3,3,0,3,0,0,0,0,12,..,0,0,0,0,0,0,0,0,0,..,3,0,0,0,0,0,0,0,4,..,0,5,0,0,0,0,0,0,10,..,0,0,4,8,14,10,8,5,51,0,0,3,0,0,0,4,0,0,9,24,19,24,18,33,49,45,30,5,245
SAL11147,..,4,5,0,3,7,12,10,18,54,..,0,8,9,13,38,46,53,34,193,0,8,7,5,6,9,11,0,0,35,177,100,144,131,150,252,210,161,76,1396,..,3,91,135,135,289,255,179,39,1126,..,28,72,45,48,39,23,7,0,265,..,4,20,23,40,20,12,8,6,124,363,..,..,..,..,..,..,..,..,363,..,76,..,..,..,..,..,..,..,76,..,76,36,8,15,16,0,0,0,155,..,14,10,0,0,11,17,10,7,59,..,8,5,0,0,0,4,5,11,35,..,9,7,3,5,17,21,17,22,110,..,7,21,28,32,82,94,93,51,401,9,8,13,8,12,11,12,10,5,82,376,229,273,254,295,481,438,327,129,2807
SAL11148,..,0,0,0,0,9,0,0,0,10,..,0,5,6,4,11,26,14,8,73,4,0,0,0,4,0,0,0,0,14,143,63,62,92,73,83,103,45,7,666,..,4,47,93,88,85,114,66,5,507,..,16,13,20,22,18,11,0,0,104,..,0,8,21,20,16,10,0,0,73,293,..,..,..,..,..,..,..,..,293,..,55,..,..,..,..,..,..,..,55,..,56,20,14,4,0,0,0,0,91,..,9,0,0,0,3,0,3,0,18,..,0,0,0,0,0,0,0,0,6,..,5,0,0,0,7,4,3,0,22,..,0,7,16,11,30,58,39,9,167,3,0,0,0,3,5,0,3,0,24,300,154,99,164,148,167,197,117,18,1362
SAL11149,..,0,0,0,0,0,4,0,0,4,..,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,12,11,6,4,13,14,11,4,0,78,..,0,3,9,10,16,18,6,0,53,..,0,0,0,6,5,3,0,0,18,..,0,3,0,0,0,6,0,0,8,22,..,..,..,..,..,..,..,..,22,..,4,..,..,..,..,..,..,..,4,..,8,0,0,3,0,0,0,0,14,..,0,0,0,0,7,0,0,0,8,..,7,0,0,0,0,0,0,0,7,..,0,0,0,0,0,6,0,0,6,..,0,6,0,5,4,4,3,0,19,0,0,0,0,0,0,0,0,0,9,22,19,13,13,24,26,25,13,3,160
SAL11150,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,5,9,0,0,0,21,..,0,0,9,3,4,5,0,0,20,..,0,3,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,19,..,..,..,..,..,..,..,..,19,..,4,..,..,..,..,..,..,..,4,..,4,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,8,9,3,9,5,0,0,51
SAL11151,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,..,0,0,0,3,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10
SAL11152,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,3,0,0,19,..,0,0,0,9,5,3,0,0,23,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,7,..,..,..,..,..,..,..,..,7,..,3,..,..,..,..,..,..,..,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,3,3,0,6,8,5,0,0,35
SAL11153,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,..,0,0,0,7,4,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,10
SAL11154,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,13,..,0,0,3,5,0,6,0,0,13,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,8,..,..,..,..,..,..,..,..,8,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,3,5,4,6,0,0,21
SAL11155,..,10,11,3,4,8,4,0,0,36,..,0,0,0,7,13,12,10,0,49,3,5,0,4,0,0,4,0,0,13,247,118,138,174,161,132,93,42,8,1104,..,5,102,227,188,158,131,53,5,870,..,18,56,57,33,36,18,0,0,219,..,0,9,27,34,5,5,0,0,81,491,..,..,..,..,..,..,..,..,491,..,101,..,..,..,..,..,..,..,101,..,81,33,5,6,0,0,0,0,127,..,10,11,0,6,6,7,6,6,45,..,13,7,5,0,0,0,5,0,22,..,14,21,4,0,10,6,0,0,55,..,0,6,9,10,23,17,10,0,79,3,0,0,4,7,0,9,0,0,25,491,243,235,335,289,237,185,77,13,2116
SAL11156,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,7,..,0,0,0,3,0,0,0,0,4,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,10,..,..,..,..,..,..,..,..,10,..,0,..,..,..,..,..,..,..,0,..,7,0,0,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,3,0,0,0,0,20
SAL11157,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,10,3,17,12,9,4,4,0,86,..,0,8,15,9,29,3,0,4,64,..,7,0,3,10,6,0,0,0,26,..,0,0,0,0,0,0,5,0,9,39,..,..,..,..,..,..,..,..,39,..,8,..,..,..,..,..,..,..,8,..,9,3,4,0,0,0,0,0,14,..,0,0,0,0,0,0,0,0,3,..,0,4,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,41,25,14,30,24,36,9,10,3,175
SAL11158,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
SAL11159,..,0,0,0,0,4,4,0,0,5,..,0,3,0,3,4,4,3,0,29,0,0,0,0,0,0,0,0,0,0,0,5,3,10,19,14,18,10,0,67,..,0,3,0,13,13,19,3,0,53,..,0,3,4,4,5,5,0,0,17,..,0,0,0,3,0,0,0,0,0,8,..,..,..,..,..,..,..,..,8,..,3,..,..,..,..,..,..,..,3,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,4,6,0,0,8,..,0,0,3,12,11,27,7,0,68,0,0,0,0,0,0,0,0,0,8,8,9,7,13,34,36,50,12,0,169
SAL11160,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,6,4,5,4,22,0,0,0,0,0,3,0,0,0,3,46,15,25,20,19,41,28,20,4,211,..,4,25,36,18,41,39,24,0,187,..,7,4,9,9,10,0,0,0,34,..,0,3,0,5,0,0,0,0,18,95,..,..,..,..,..,..,..,..,95,..,8,..,..,..,..,..,..,..,8,..,15,6,0,0,5,0,0,0,26,..,0,0,0,0,0,4,3,0,12,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,6,..,0,0,3,11,8,9,10,9,46,0,0,0,0,0,3,0,0,0,5,95,33,36,53,35,77,55,40,9,439
SAL11161,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,..,0,0,0,0,7,0,0,0,7,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,7,0,0,0,12
SAL11162,..,0,7,0,0,4,4,0,0,23,..,0,5,0,8,23,27,27,15,106,0,10,3,3,5,5,4,0,0,32,169,106,111,104,110,137,128,66,23,954,..,5,67,97,127,152,146,62,15,675,..,25,57,33,15,24,7,0,0,159,..,4,22,28,17,10,9,6,3,108,360,..,..,..,..,..,..,..,..,360,..,68,..,..,..,..,..,..,..,68,..,71,19,11,11,10,0,0,0,124,..,7,6,0,10,11,5,3,0,39,..,7,0,3,0,5,0,0,0,18,..,3,10,3,5,16,12,0,0,52,..,0,14,8,21,35,56,45,12,186,0,13,3,10,5,5,12,3,0,52,361,204,202,190,213,265,243,129,40,1845
SAL11163,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,7,3,3,4,0,0,4,0,0,25,..,0,0,6,5,5,6,0,0,22,..,0,0,3,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,7,..,..,..,..,..,..,..,..,7,..,5,..,..,..,..,..,..,..,5,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,10,0,3,10,5,5,4,0,0,42
SAL11164,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,5,5,17,12,6,0,47,..,0,0,0,4,21,16,5,0,42,..,0,0,3,5,5,3,0,0,21,..,0,0,0,0,0,0,0,0,5,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,5,0,0,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,3,..,0,0,6,0,5,11,0,0,22,0,0,0,0,0,0,0,0,0,3,0,10,3,7,11,32,37,11,5,106
SAL11165,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,15,10,6,7,8,21,8,6,3,80,..,0,8,0,12,25,14,7,0,69,..,3,0,0,0,0,0,0,0,5,..,0,0,0,0,4,0,0,0,6,16,..,..,..,..,..,..,..,..,16,..,0,..,..,..,..,..,..,..,0,..,11,4,3,0,0,0,0,0,12,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,3,5,3,17,0,0,0,0,0,0,0,0,0,0,16,17,10,11,18,32,22,8,6,141
SAL11166,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,12,..,0,0,5,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,8,..,..,..,..,..,..,..,..,8,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,0,0,4,0,0,22
SAL11167,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,6,16,5,12,0,7,10,8,4,0,60,..,0,10,11,15,13,18,0,0,69,..,0,7,0,0,0,0,0,0,11,..,0,0,0,0,0,0,0,0,0,33,..,..,..,..,..,..,..,..,33,..,3,..,..,..,..,..,..,..,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,3,0,0,0,0,0,0,0,3,..,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,6,33,9,16,11,20,18,18,4,0,123
SAL11168,..,4,14,0,3,0,4,0,0,28,..,0,4,4,9,11,10,4,9,53,0,6,3,0,3,4,0,0,0,13,214,147,97,144,219,137,79,48,18,1099,..,0,47,194,325,207,115,56,15,952,..,8,64,39,39,17,9,0,0,180,..,0,0,4,21,16,7,3,3,59,458,..,..,..,..,..,..,..,..,458,..,217,..,..,..,..,..,..,..,217,..,69,35,4,9,0,3,0,0,124,..,6,5,0,0,4,4,13,3,31,..,11,11,3,0,0,0,0,0,30,..,12,27,3,3,5,3,0,0,55,..,0,6,9,16,27,25,14,12,108,6,9,8,0,3,6,4,4,0,32,465,326,215,256,418,279,167,87,35,2238
SAL11169,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,3,0,0,4,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,4,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,6,0,0,11
SAL11170,..,0,0,0,0,0,0,0,0,3,..,3,0,0,4,8,4,11,0,30,4,4,0,0,0,0,0,0,0,11,72,35,49,35,40,60,30,24,11,354,..,0,39,32,38,71,56,21,11,263,..,21,28,12,10,15,3,0,0,91,..,7,9,5,5,3,9,5,5,44,150,..,..,..,..,..,..,..,..,150,..,21,..,..,..,..,..,..,..,21,..,22,13,13,6,8,0,0,0,54,..,0,0,0,5,8,3,0,0,18,..,4,5,0,0,0,0,0,0,9,..,0,0,4,0,6,3,0,0,11,..,3,9,5,9,13,9,8,4,59,6,5,5,3,4,4,0,0,0,22,156,85,96,71,80,114,77,38,15,746
SAL11171,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,0,3,0,11,0,0,0,0,0,0,0,0,0,3,33,14,25,22,27,36,18,11,0,185,..,0,15,28,28,43,41,4,0,165,..,4,14,9,11,6,0,0,0,47,..,0,0,0,0,4,0,0,5,10,83,..,..,..,..,..,..,..,..,83,..,10,..,..,..,..,..,..,..,10,..,8,11,0,4,0,0,0,0,27,..,3,0,0,0,0,0,0,0,9,..,3,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0,..,0,0,0,4,4,5,12,0,37,0,0,3,0,0,0,0,0,0,5,83,24,43,46,49,72,54,15,7,392
SAL11172,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,3,3,0,15,..,0,3,0,4,0,8,3,0,20,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,3,..,..,..,..,..,..,..,..,3,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,4,0,0,0,0,0,4,..,0,0,0,0,5,4,0,0,8,0,0,0,0,0,0,0,0,0,0,3,5,0,5,3,4,11,3,0,38
