SAL_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SAL10512,0,0,0,11,0,0,13,61,7,83
SAL10513,346,34,380,1893,373,20,2278,9789,688,12762
SAL10514,6,0,6,21,5,0,25,75,13,115
SAL10515,111,41,161,2642,398,35,3075,6757,644,10479
SAL10516,0,0,0,38,4,0,44,40,18,89
SAL10517,0,0,0,8,0,0,9,28,0,33
SAL10518,0,0,0,0,0,0,0,5,0,5
SAL10519,3,0,5,4,3,0,5,22,6,33
SAL10520,23,3,24,210,60,9,278,790,245,1314
SAL10521,40,9,50,629,218,20,869,1424,98,2381
SAL10522,0,0,0,23,3,0,34,52,14,103
SAL10523,0,0,0,15,0,0,15,23,0,39
SAL10524,9,0,9,290,47,6,343,887,64,1290
SAL10525,0,0,0,13,10,0,21,64,0,89
SAL10526,18,0,18,323,52,4,382,833,45,1257
SAL10527,70,3,71,265,83,17,364,1076,182,1620
SAL10528,0,0,0,3,0,0,3,10,5,17
SAL10529,0,0,0,13,5,0,15,82,13,116
SAL10530,0,0,0,8,5,0,10,21,3,34
SAL10531,0,0,0,4,0,0,7,12,0,12
SAL10532,0,0,0,20,11,5,30,57,4,86
SAL10533,8,0,6,82,46,0,134,352,24,510
SAL10534,551,95,662,1396,510,56,1967,6838,428,9233
SAL10535,23,0,23,149,58,8,206,611,120,938
SAL10536,0,0,0,0,0,0,0,0,0,0
SAL10537,13,0,15,1808,173,24,2009,2455,138,4599
SAL10538,6,0,7,43,13,0,59,127,24,214
SAL10539,0,0,0,11,0,0,12,48,6,65
SAL10540,84,8,91,1705,370,31,2098,4698,479,7274
SAL10541,0,0,0,5,8,0,9,41,6,54
SAL10542,11,0,12,200,30,10,241,456,31,731
SAL10543,0,0,0,0,0,0,0,8,0,17
SAL10544,51,9,56,235,88,16,332,972,135,1441
SAL10545,7,0,7,109,59,3,167,419,18,606
SAL10546,19,5,27,411,143,20,575,1134,79,1780
SAL10547,0,0,9,38,24,0,65,157,8,232
SAL10548,0,0,0,7,6,0,11,10,0,14
SAL10549,16,7,17,115,43,10,164,447,46,663
SAL10550,0,0,0,20,0,0,23,60,11,100
SAL10551,4,0,4,35,11,0,49,105,17,171
SAL10552,0,0,0,19,7,0,29,60,0,91
SAL10553,0,0,0,0,0,0,4,36,3,39
SAL10554,88,9,93,685,179,4,871,3040,175,4090
SAL10555,0,0,0,4,0,0,4,0,0,4
SAL10556,7,0,5,59,24,3,82,201,27,309
SAL10557,0,0,0,15,8,0,24,38,8,68
SAL10558,0,0,0,29,0,0,29,55,15,101
SAL10559,0,0,0,0,0,0,0,16,0,24
SAL10560,13,4,14,90,39,7,138,475,112,728
SAL10561,3,0,3,35,7,0,36,78,5,123
SAL10562,0,0,0,0,3,0,5,9,3,11
SAL10563,0,0,0,22,13,0,35,78,6,120
SAL10564,3,0,3,60,19,0,77,99,6,188
SAL10565,0,0,0,53,27,10,81,162,13,262
SAL10566,215,16,235,1184,202,6,1391,5222,546,7163
SAL10567,16,0,18,120,55,6,183,532,35,746
SAL10568,0,0,0,0,0,0,0,0,0,0
SAL10569,4,0,4,7,8,0,13,52,0,58
SAL10570,0,0,0,0,3,0,3,16,0,24
SAL10571,0,0,0,0,0,0,0,0,0,0
SAL10572,32,10,42,309,103,0,417,1428,193,2042
SAL10573,0,0,0,6,4,0,9,22,8,38
SAL10574,0,0,0,18,7,0,25,87,16,127
SAL10575,25,3,27,242,87,13,338,1009,97,1446
SAL10576,0,0,0,24,5,0,32,83,14,122
SAL10577,6,0,8,87,42,5,129,373,55,565
SAL10578,0,0,0,3,0,0,5,35,18,56
SAL10579,0,0,0,0,3,0,3,6,5,12
SAL10580,0,0,0,39,17,4,64,161,25,246
SAL10581,0,0,0,29,7,0,33,107,41,180
SAL10582,0,0,0,14,0,0,18,19,3,40
SAL10583,5,0,3,10,3,0,9,37,4,53
SAL10584,0,0,0,0,0,0,0,4,0,4
SAL10585,0,0,0,4,0,0,5,34,0,39
SAL10586,6,0,6,64,38,4,103,351,43,501
SAL10587,0,0,0,97,26,4,126,291,36,449
SAL10588,0,0,0,64,34,0,101,187,32,319
SAL10589,467,125,592,2221,971,119,3308,10008,1380,14694
SAL10590,0,0,3,19,19,4,38,56,3,100
SAL10591,98,86,185,1409,248,18,1677,3786,371,5834
SAL10592,0,0,0,6,4,0,14,13,8,32
SAL10593,0,0,4,25,7,0,30,133,26,192
SAL10594,0,0,3,3,0,0,3,26,11,43
SAL10595,0,0,0,35,17,0,54,149,8,216
SAL10596,9,5,13,121,25,5,148,468,22,637
SAL10597,0,0,0,3,0,0,3,13,0,16
SAL10598,74,11,90,572,72,9,656,2086,162,2896
SAL10599,0,0,0,3,7,0,7,10,5,23
SAL10600,16,3,22,24,16,0,42,181,19,238
SAL10601,0,0,0,6,0,0,8,17,0,27
SAL10602,0,0,0,10,3,3,19,46,3,70
SAL10603,0,0,0,14,15,0,32,122,0,157
SAL10604,0,0,0,5,11,0,19,63,9,91
SAL10605,112,7,122,263,111,18,391,1139,101,1631
SAL10606,0,0,0,80,17,0,89,190,21,301
SAL10607,0,0,0,25,0,0,27,50,8,94
SAL10608,0,0,0,0,0,0,0,21,0,21
SAL10609,10,0,10,63,33,0,104,332,9,450
SAL10610,0,0,3,37,8,0,41,96,6,147
SAL10611,0,0,0,5,0,4,12,16,6,23
SAL10612,0,0,0,4,6,0,10,16,0,32
SAL10613,0,0,0,0,0,0,0,0,0,0
SAL10614,0,0,0,6,6,0,10,28,0,40
SAL10615,0,0,0,22,13,3,40,46,22,105
SAL10616,0,0,0,5,0,0,5,10,3,19
SAL10617,0,0,0,32,36,0,61,118,10,193
SAL10618,42,0,46,269,83,13,365,1158,135,1658
SAL10619,0,0,0,16,12,0,23,134,9,168
SAL10620,0,0,0,8,3,0,10,13,4,32
SAL10621,0,0,0,0,0,0,0,0,0,0
SAL10622,0,0,5,86,38,5,130,323,55,507
SAL10623,0,0,0,9,4,0,14,59,3,72
SAL10624,0,0,0,0,0,0,4,13,13,26
SAL10625,4,0,4,33,15,0,46,111,8,169
SAL10626,4,0,4,35,18,8,60,200,23,284
SAL10627,0,0,0,23,11,0,36,75,0,115
SAL10628,0,0,0,3,0,0,3,8,0,7
SAL10629,4,0,4,0,0,0,0,14,3,20
SAL10630,0,0,0,8,0,0,13,25,0,38
SAL10631,3,0,3,24,6,0,31,100,11,150
SAL10632,3,0,3,10,0,0,15,77,9,99
SAL10633,0,0,0,3,0,0,6,21,3,30
SAL10634,0,0,0,8,6,0,13,23,4,33
SAL10635,0,0,0,3,0,0,3,14,0,18
SAL10636,0,0,0,0,0,0,0,0,0,0
SAL10637,0,0,0,0,0,0,0,0,0,0
SAL10638,0,0,4,39,16,0,55,125,18,199
SAL10639,83,12,96,475,159,14,647,2027,258,2928
SAL10640,0,0,0,0,0,0,0,0,0,0
SAL10641,3,0,3,13,4,0,23,56,0,78
SAL10642,76,10,83,586,163,24,775,1975,151,2897
SAL10643,0,3,5,16,4,0,21,67,40,123
SAL10644,0,0,0,0,0,0,0,8,0,9
SAL10645,0,0,0,21,5,3,29,69,16,118
SAL10646,58,8,60,148,87,6,246,983,92,1318
SAL10647,0,0,0,0,0,0,0,0,0,0
SAL10648,0,0,0,78,21,6,110,181,34,319
SAL10649,0,0,0,0,0,0,0,5,0,5
SAL10650,0,0,0,3,0,0,3,9,0,11
SAL10651,0,0,0,0,0,0,0,0,0,0
SAL10652,0,0,0,11,0,0,15,26,7,43
SAL10653,9,0,9,238,61,10,308,732,40,1079
SAL10654,0,0,0,18,3,0,18,12,7,31
SAL10655,0,0,0,19,9,0,24,47,13,81
SAL10656,0,0,0,4,0,0,7,23,10,34
SAL10657,0,0,0,19,6,0,30,59,13,104
SAL10658,0,0,0,0,0,0,0,8,4,10
SAL10659,99,5,107,1487,324,23,1832,3295,174,5304
SAL10660,0,0,0,5,0,0,5,38,5,38
SAL10661,0,0,0,8,0,0,9,52,10,67
SAL10662,0,0,0,3,0,0,3,7,8,18
SAL10663,3,0,3,12,4,0,14,75,8,94
SAL10664,0,0,0,0,0,0,0,0,0,3
SAL10665,0,0,0,14,8,0,16,100,13,130
SAL10666,0,0,0,21,10,0,34,40,8,82
SAL10667,104,22,138,328,133,13,478,1945,121,2540
SAL10668,12,4,13,89,27,0,119,353,82,550
SAL10669,35,8,41,355,99,4,466,1195,79,1738
SAL10670,0,0,0,8,3,0,16,29,8,49
SAL10671,0,0,0,13,0,0,13,13,0,28
SAL10672,0,0,0,0,3,0,5,29,0,34
SAL10673,0,0,0,10,3,4,11,75,15,97
SAL10674,0,0,0,0,0,0,3,8,3,14
SAL10675,0,0,0,10,6,0,17,44,17,77
SAL10676,0,0,0,0,0,0,0,0,0,3
SAL10677,0,0,0,3,5,0,9,42,16,66
SAL10678,4,0,5,3,0,0,5,59,8,73
SAL10679,0,0,0,805,85,12,896,1259,76,2230
SAL10680,0,0,0,16,8,0,21,67,24,112
SAL10681,37,0,38,968,247,37,1258,2232,164,3648
SAL10682,3,0,4,65,27,0,91,274,47,404
SAL10683,0,0,0,25,8,0,30,96,13,138
SAL10684,5,0,4,37,16,3,55,125,36,213
SAL10685,0,0,0,17,8,0,23,60,12,88
SAL10686,0,0,0,15,4,0,15,65,3,80
SAL10687,0,0,0,9,5,0,8,105,9,121
SAL10688,0,0,0,32,12,3,51,106,13,163
SAL10689,0,0,0,12,6,0,21,34,14,66
SAL10690,0,0,0,9,0,0,12,39,0,53
SAL10691,0,0,0,11,11,4,28,60,14,97
SAL10692,0,0,0,7,0,0,7,19,0,29
SAL10693,11,0,11,175,76,7,254,645,98,1001
SAL10694,0,0,0,122,49,0,173,446,41,661
SAL10695,0,0,0,4,3,0,9,26,6,42
SAL10696,0,0,0,6,7,0,12,40,12,62
SAL10697,0,0,0,10,0,0,16,40,30,92
SAL10698,117,78,194,363,107,12,491,1768,211,2472
SAL10699,0,0,0,5,0,0,5,40,20,67
SAL10700,5,0,5,11,3,0,10,63,5,83
SAL10701,0,0,0,4,0,0,4,12,3,22
SAL10702,92,0,92,697,190,6,892,2057,63,3015
SAL10703,0,0,4,48,13,0,62,133,11,207
SAL10704,0,0,0,9,0,0,9,28,10,43
SAL10705,5,0,5,60,15,0,73,270,34,375
SAL10706,4,0,4,25,4,0,34,168,11,209
SAL10707,0,0,0,23,12,0,32,116,39,191
SAL10708,0,0,0,16,3,0,15,32,7,55
SAL10709,39,8,48,276,82,12,364,1018,90,1477
SAL10710,15,0,19,130,49,7,187,482,71,732
SAL10711,0,0,0,3,6,0,9,20,11,42
SAL10712,0,0,0,36,3,0,41,74,9,124
SAL10713,3,0,3,69,30,3,102,169,45,322
SAL10714,0,0,0,16,9,0,22,82,14,119
SAL10715,0,0,0,5,0,0,5,20,4,30
SAL10716,340,86,428,2074,332,19,2418,12845,1241,16497
SAL10717,22,32,53,163,38,0,198,650,117,965
SAL10718,50,6,60,612,93,12,724,2248,352,3326
SAL10719,0,0,0,3,4,0,11,27,16,49
SAL10720,0,0,0,0,4,0,4,9,0,8
SAL10721,5,0,5,185,88,6,276,683,31,995
SAL10722,0,0,0,7,6,0,15,25,9,40
SAL10723,0,0,0,36,18,0,56,91,7,152
SAL10724,6,0,6,398,54,13,465,1065,93,1629
SAL10725,0,6,5,44,22,0,67,187,16,270
SAL10726,0,0,0,0,0,0,0,0,0,0
SAL10727,0,0,0,13,10,0,25,70,29,128
SAL10728,0,0,0,4,0,0,4,9,0,17
SAL10729,0,0,0,4,8,0,7,39,4,49
SAL10730,0,0,0,3,0,0,5,5,9,21
SAL10731,69,25,93,751,260,24,1039,3990,598,5624
SAL10732,0,0,0,8,13,0,21,64,21,111
SAL10733,10,0,9,219,94,3,317,762,38,1118
SAL10734,47,0,43,316,107,8,425,1170,44,1638
SAL10735,4,0,4,10,18,0,28,46,10,90
SAL10736,0,0,0,10,9,0,18,26,10,52
SAL10737,0,0,0,0,0,0,0,5,4,9
SAL10738,392,184,575,2605,398,23,3025,13366,1553,17946
SAL10739,157,16,172,1082,195,10,1284,4617,481,6381
SAL10740,0,0,0,0,0,0,4,6,4,8
SAL10741,85,13,101,882,75,18,967,1427,141,2533
SAL10742,0,0,0,4,3,0,6,14,5,23
SAL10743,0,0,0,0,0,0,0,0,3,3
SAL10744,7,0,9,29,8,0,33,82,8,127
SAL10745,4,0,4,5,3,0,6,41,0,50
SAL10746,0,0,0,0,0,0,0,0,0,0
SAL10747,48,0,48,777,248,33,1055,2282,163,3501
SAL10748,0,0,0,0,5,0,5,10,7,18
SAL10749,6,0,6,831,117,23,972,1114,48,2130
SAL10750,0,0,0,7,0,0,7,25,4,36
SAL10751,0,0,3,22,5,6,35,64,11,109
SAL10752,0,0,0,0,0,0,0,7,0,13
SAL10753,0,0,0,11,3,0,16,39,8,59
SAL10754,0,0,0,0,18,0,18,939,402,1358
SAL10755,0,0,0,4,4,0,3,9,0,15
SAL10756,43,3,52,284,137,13,439,1390,75,1906
SAL10757,26,0,33,74,30,6,114,554,29,698
SAL10758,0,0,0,14,4,0,14,47,6,71
SAL10759,0,0,0,8,5,0,9,37,4,50
SAL10760,0,0,0,0,5,0,4,6,0,16
SAL10761,0,0,0,13,11,0,27,42,23,85
SAL10762,6,0,6,27,25,0,50,162,6,216
SAL10763,18,3,20,205,79,13,295,639,41,972
SAL10764,0,0,0,4,6,0,10,34,7,46
SAL10765,0,0,0,0,0,0,0,18,0,16
SAL10766,11,0,11,366,98,7,477,1070,67,1621
SAL10767,69,16,80,1179,266,28,1473,3599,433,5512
SAL10768,0,0,0,0,0,0,0,0,0,0
SAL10769,70,91,159,564,125,15,701,1742,314,2758
SAL10770,6,0,8,21,11,0,40,91,6,135
SAL10771,6,0,12,459,112,11,584,1122,16,1721
SAL10772,64,8,71,934,211,20,1165,2286,128,3575
SAL10773,0,0,0,0,0,0,0,0,0,0
SAL10774,52,54,100,2365,553,56,2972,4167,301,7449
SAL10775,0,0,0,6,0,0,5,13,0,16
SAL10776,0,0,0,7,5,0,6,18,4,32
SAL10777,83,8,91,1494,193,11,1696,3890,178,5763
SAL10778,0,0,0,0,3,0,4,26,8,42
SAL10779,322,32,353,2727,451,46,3226,9082,1065,13374
SAL10780,43,5,51,897,191,12,1097,7005,552,8660
SAL10781,433,54,493,3520,445,33,3999,16536,2207,22740
SAL10782,0,0,0,0,0,0,0,0,0,0
SAL10783,0,0,0,33,10,0,44,105,6,156
SAL10784,25,0,25,276,35,6,312,724,25,1063
SAL10785,0,0,0,3,0,0,5,10,0,15
SAL10786,0,0,0,10,0,0,9,22,6,38
SAL10787,6,0,10,115,41,15,163,409,75,645
SAL10788,0,0,0,3,0,0,3,12,0,17
SAL10789,11,0,11,148,52,10,212,365,52,633
SAL10790,188,7,200,1636,282,19,1936,7418,765,10122
SAL10791,183,90,267,1383,225,19,1624,6256,702,8578
SAL10792,4,0,4,78,45,3,126,250,26,397
SAL10793,4,0,4,31,11,0,43,100,10,147
SAL10794,0,0,0,6,0,0,7,14,3,24
SAL10795,62,8,74,299,145,20,459,1337,212,2012
SAL10796,124,8,136,1493,185,20,1695,5830,518,8051
SAL10797,73,12,83,108,37,8,156,806,103,1066
SAL10798,4,0,3,73,15,0,94,256,26,377
SAL10799,0,0,0,3,0,0,10,40,4,51
SAL10800,0,0,0,0,0,0,0,10,0,10
SAL10801,3,0,4,20,3,0,19,75,17,117
SAL10802,0,0,0,0,0,0,0,0,0,4
SAL10803,6,3,7,85,29,0,119,338,27,489
SAL10804,0,0,0,6,4,0,14,39,4,56
SAL10805,0,0,0,34,8,0,43,66,19,124
SAL10806,0,0,0,0,0,0,0,40,5,43
SAL10807,10,0,12,32,13,4,48,163,18,233
SAL10808,108,30,137,1092,374,45,1514,3418,268,5207
SAL10809,76,8,82,230,73,4,302,786,59,1147
SAL10810,46,4,47,534,178,20,726,1564,101,2395
SAL10811,41,5,46,119,62,4,183,505,46,735
SAL10812,14,0,14,116,24,6,145,240,34,419
SAL10813,0,0,0,24,6,0,32,74,26,129
SAL10814,254,23,276,2380,422,35,2837,6910,514,10266
SAL10815,370,40,412,2582,667,35,3286,6870,332,10488
SAL10816,0,0,0,3,3,0,9,18,0,26
SAL10817,527,34,561,5993,806,36,6834,14554,787,22184
SAL10818,186,11,199,1732,298,17,2043,6440,508,8987
SAL10819,15,0,18,754,52,7,811,1426,109,2346
SAL10820,0,0,0,0,0,0,0,4,0,4
SAL10821,0,0,6,20,6,0,33,111,47,185
SAL10822,4,0,4,22,28,10,56,83,4,152
SAL10823,0,0,0,0,0,0,0,5,0,10
SAL10824,0,0,0,0,0,0,0,0,0,0
SAL10825,46,87,130,421,68,7,498,1967,414,2875
SAL10826,0,0,0,32,8,5,44,105,16,166
SAL10827,0,0,4,20,10,0,24,78,44,145
SAL10828,0,0,0,4,0,0,4,19,0,26
SAL10829,31,4,30,319,115,17,447,1207,94,1745
SAL10830,0,0,0,4,5,0,8,20,0,26
SAL10831,0,0,0,48,19,5,68,143,25,232
SAL10832,0,0,0,5,8,0,12,13,4,32
SAL10833,4,0,9,27,15,0,39,79,25,146
SAL10834,0,0,0,0,0,0,0,6,0,10
SAL10835,0,0,0,5,3,0,3,10,0,13
SAL10836,31,3,27,214,43,4,261,759,26,1052
SAL10837,36,0,46,331,57,0,391,1400,225,2019
SAL10838,3,0,3,17,15,0,36,86,19,139
SAL10839,6,0,6,6,0,0,4,16,5,25
SAL10840,6,0,9,239,137,8,382,846,89,1318
SAL10841,0,0,0,0,0,0,0,8,0,8
SAL10842,364,77,440,1320,536,71,1930,6021,845,8801
SAL10843,3,0,4,48,25,0,64,134,18,218
SAL10844,99,9,102,512,85,8,609,1465,49,2119
SAL10845,0,0,0,31,10,0,39,75,9,119
SAL10846,1137,221,1371,7932,1481,75,9489,22492,1221,33204
SAL10847,0,0,0,21,6,0,24,65,18,106
SAL10848,58,5,63,596,106,7,709,1656,56,2432
SAL10849,14,0,23,228,68,3,300,631,45,978
SAL10850,28,5,29,742,138,33,915,1443,99,2455
SAL10851,209,71,288,2661,468,47,3175,9096,812,13087
SAL10852,153,10,162,263,121,14,392,1552,173,2116
SAL10853,0,0,0,0,0,0,0,4,0,4
SAL10854,0,0,0,19,5,6,30,43,7,82
SAL10855,21,0,26,494,77,10,584,1382,92,2058
SAL10856,5,0,4,218,57,7,284,401,26,709
SAL10857,0,0,0,12,9,0,16,9,0,28
SAL10858,11,0,11,212,48,5,265,551,38,854
SAL10859,0,0,0,6,0,0,7,0,15,27
SAL10860,0,0,0,3,0,0,3,30,11,37
SAL10861,123,7,136,577,306,20,900,2340,127,3369
SAL10862,11,5,16,64,39,0,101,252,21,370
SAL10863,6,0,6,17,7,3,29,127,21,177
SAL10864,65,0,67,1005,204,8,1215,4268,200,5686
SAL10865,16,3,18,118,24,3,144,492,55,692
SAL10866,0,0,0,23,3,0,26,65,10,103
SAL10867,0,0,0,4,3,0,4,19,0,24
SAL10868,0,0,0,4,0,0,3,4,4,11
SAL10869,12,0,11,34,32,0,67,228,16,314
SAL10870,0,0,0,30,17,0,44,94,12,151
SAL10871,0,0,0,0,0,0,0,0,0,0
SAL10872,31,3,33,319,46,4,375,1474,96,1951
SAL10873,0,0,0,10,0,0,10,17,0,27
SAL10874,0,0,0,9,0,0,9,32,5,44
SAL10875,0,0,0,32,4,0,34,164,20,216
SAL10876,4,0,4,34,14,9,54,206,31,293
SAL10877,485,83,567,2180,980,99,3253,7934,2320,13509
SAL10878,0,0,0,0,0,0,0,0,0,0
SAL10879,112,28,140,274,95,8,375,1884,221,2480
SAL10880,0,0,0,15,4,0,17,38,8,70
SAL10881,4,0,4,10,0,0,9,32,0,38
SAL10882,0,0,0,4,4,0,10,64,5,76
SAL10883,0,0,0,0,10,0,10,416,7,433
SAL10884,394,29,427,2509,795,74,3374,7317,371,11065
SAL10885,0,0,0,5,4,0,10,44,3,60
SAL10886,0,0,0,26,19,0,44,89,10,138
SAL10887,0,0,0,4,0,0,0,8,5,14
SAL10888,61,4,68,407,107,11,521,1447,85,2055
SAL10889,0,0,0,9,6,0,18,34,6,57
SAL10890,0,0,0,10,10,0,15,53,7,76
SAL10891,587,37,626,4842,573,40,5454,14825,994,21279
SAL10892,40,0,41,327,51,6,384,811,34,1225
SAL10893,4,0,5,8,9,0,25,128,5,151
SAL10894,0,0,0,14,0,0,16,70,4,93
SAL10895,48,4,53,411,90,0,499,1261,44,1805
SAL10896,3,0,3,0,9,0,10,34,0,49
SAL10897,336,177,511,3749,707,35,4495,10531,540,15571
SAL10898,242,104,347,1973,275,16,2269,7445,1147,10862
SAL10899,0,0,0,0,4,0,4,11,3,18
SAL10900,62,3,71,676,106,8,783,1845,149,2777
SAL10901,0,0,0,0,0,0,0,7,0,12
SAL10902,0,0,0,35,20,3,64,141,0,207
SAL10903,7,0,7,26,14,0,43,132,22,193
SAL10904,58,10,62,114,66,6,185,1191,130,1511
SAL10905,0,0,0,5,0,0,5,16,0,18
SAL10906,12,6,13,380,77,3,455,6368,709,7527
SAL10907,200,5,206,1620,281,20,1918,5221,379,7523
SAL10908,9,0,13,1198,216,46,1461,1716,65,3244
SAL10909,47,79,131,545,66,3,618,1620,194,2432
SAL10910,31,0,30,315,84,7,406,1149,70,1627
SAL10911,12,0,17,143,50,0,199,556,35,788
SAL10912,0,0,0,3,0,0,7,21,25,50
SAL10913,0,0,0,0,0,0,0,0,10,10
SAL10914,27,0,23,153,54,0,208,680,54,944
SAL10915,4,0,4,22,6,0,30,98,20,146
SAL10916,0,0,0,0,4,0,7,6,10,24
SAL10917,12,0,16,1121,164,22,1308,2453,165,3927
SAL10918,0,0,5,23,13,0,38,119,21,175
SAL10919,10,0,17,425,157,20,598,1115,77,1785
SAL10920,0,0,0,30,11,0,40,72,6,119
SAL10921,5,0,5,78,46,0,131,364,13,508
SAL10922,28,6,27,106,54,0,155,509,50,715
SAL10923,6,0,8,468,61,6,537,979,250,1767
SAL10924,0,0,0,11,16,0,28,77,3,106
SAL10925,0,0,0,3,0,0,5,18,0,26
SAL10926,0,0,0,0,0,0,0,0,0,0
SAL10927,48,78,129,278,33,0,310,897,189,1404
SAL10928,3,0,3,28,25,5,59,112,0,171
SAL10929,0,0,0,3,0,0,3,7,5,12
SAL10930,0,0,0,4,0,0,4,9,0,21
SAL10931,10,0,10,536,101,22,663,932,69,1664
SAL10932,0,0,0,5,0,0,5,23,5,34
SAL10933,4,0,8,177,64,9,254,466,18,732
SAL10934,38,0,43,323,52,10,386,1027,27,1435
SAL10935,0,0,0,50,10,3,55,172,10,243
SAL10936,0,0,0,0,0,0,0,0,0,0
SAL10937,40,4,43,1038,142,10,1200,2584,125,3907
SAL10938,3,0,4,151,47,11,200,474,54,732
SAL10939,0,0,0,26,10,0,39,140,11,188
SAL10940,0,0,0,0,0,0,0,9,0,9
SAL10941,0,0,0,21,12,0,36,52,3,89
SAL10942,48,6,47,256,176,14,448,1005,37,1498
SAL10943,0,0,0,34,30,0,68,109,7,180
SAL10944,0,0,0,13,8,0,17,29,11,57
SAL10945,0,0,0,9,0,0,9,24,3,28
SAL10946,3,0,3,33,16,5,51,101,10,165
SAL10947,0,0,0,5,0,0,5,39,0,41
SAL10948,64,7,68,525,162,12,694,1689,458,2844
SAL10949,0,0,0,8,0,0,8,19,0,31
SAL10950,12,0,9,97,32,0,124,498,41,663
SAL10951,0,0,0,6,0,0,6,31,4,43
SAL10952,0,0,0,22,3,0,26,42,0,70
SAL10953,41,0,41,877,134,21,1038,2091,151,3275
SAL10954,0,0,0,4,6,0,10,8,5,20
SAL10955,0,0,0,3,5,0,7,23,4,29
SAL10956,0,0,0,5,0,0,9,0,0,18
SAL10957,0,0,0,12,5,0,15,46,3,68
SAL10958,3,0,0,14,16,0,35,129,24,183
SAL10959,767,169,947,3629,1360,186,5170,15561,1806,22539
SAL10960,0,0,0,0,0,0,0,0,0,3
SAL10961,0,0,0,0,0,0,0,10,0,13
SAL10962,0,0,0,3,0,0,4,29,9,44
SAL10963,0,0,0,6,10,0,12,29,10,53
SAL10964,33,9,40,176,79,11,260,595,82,942
SAL10965,7,0,7,1175,142,23,1336,2116,154,3603
SAL10966,14,0,14,272,43,0,323,730,47,1092
SAL10967,0,0,0,10,0,5,19,19,0,37
SAL10968,4,0,4,12,0,0,11,85,9,111
SAL10969,6,0,12,55,17,4,73,314,126,512
SAL10970,251,16,263,1322,308,19,1653,4810,284,6744
SAL10971,65,4,72,1052,171,13,1240,2383,114,3740
SAL10972,6,0,6,79,12,0,94,177,17,286
SAL10973,0,0,0,21,11,0,28,53,15,93
SAL10974,0,0,0,4,0,0,4,4,5,8
SAL10975,5,0,4,29,12,0,45,68,21,136
SAL10976,4,0,6,45,17,0,55,116,34,205
SAL10977,0,0,0,8,0,0,8,32,3,41
SAL10978,0,0,0,29,4,0,27,99,10,137
SAL10979,12,0,9,80,39,4,120,372,69,561
SAL10980,0,0,0,0,0,0,0,0,0,0
SAL10981,0,0,0,0,0,0,4,12,0,17
SAL10982,0,0,0,4,0,0,4,0,0,8
SAL10983,0,0,0,11,0,0,13,38,0,59
SAL10984,6,0,6,58,9,3,67,195,16,274
SAL10985,12,0,15,310,91,12,418,926,67,1412
SAL10986,0,0,0,0,0,0,0,0,0,0
SAL10987,78,14,96,1424,292,31,1747,4659,522,6928
SAL10988,0,0,0,0,0,0,0,17,5,27
SAL10989,0,0,0,19,9,0,31,43,5,74
SAL10990,0,0,0,8,0,0,5,15,0,26
SAL10991,0,0,0,9,0,0,9,19,4,24
SAL10992,8,0,7,45,35,0,77,250,31,356
SAL10993,0,0,0,14,0,0,15,22,21,54
SAL10994,0,0,0,0,0,0,0,12,4,19
SAL10995,0,0,0,6,0,0,10,16,6,35
SAL10996,66,7,72,954,138,11,1108,1951,73,3135
SAL10997,0,0,0,17,0,0,17,27,8,47
SAL10998,0,0,0,20,0,0,23,62,10,89
SAL10999,469,38,511,2614,479,35,3137,8476,420,12029
SAL11000,119,12,129,1060,188,7,1257,3547,301,5103
SAL11001,202,28,227,2041,334,32,2406,6801,801,10014
SAL11002,89,17,109,441,189,7,639,1568,302,2510
SAL11003,3,0,6,47,28,0,75,156,16,247
SAL11004,0,0,0,0,0,0,0,3,0,7
SAL11005,11,0,11,44,21,7,71,231,11,304
SAL11006,13,0,10,54,22,0,74,230,19,320
SAL11007,0,0,3,23,12,0,30,148,5,185
SAL11008,0,0,4,33,18,6,56,136,21,208
SAL11009,0,0,0,6,3,0,12,8,0,16
SAL11010,53,31,85,295,71,11,377,1401,171,1945
SAL11011,0,0,0,18,12,0,29,84,7,122
SAL11012,12,5,9,40,19,0,60,177,16,251
SAL11013,70,4,82,512,75,0,591,1715,61,2370
SAL11014,65,6,63,658,115,8,773,2332,165,3262
SAL11015,151,13,162,2233,374,13,2620,9380,679,12683
SAL11016,0,0,0,33,12,0,44,78,10,126
SAL11017,0,0,0,12,4,0,18,40,3,65
SAL11018,5,0,5,79,33,9,116,293,44,456
SAL11019,35,4,45,440,200,11,653,2523,175,3353
SAL11020,0,0,0,10,3,0,12,27,0,38
SAL11021,0,0,0,3,8,0,9,9,0,20
SAL11022,0,0,0,43,14,0,56,116,22,192
SAL11023,6,0,6,41,15,0,60,185,14,261
SAL11024,39,3,44,148,49,0,195,683,165,1038
SAL11025,76,16,87,358,158,19,539,1156,110,1805
SAL11026,0,0,0,50,21,0,70,212,5,285
SAL11027,0,0,0,0,0,0,0,0,0,0
SAL11028,0,0,0,16,3,0,21,48,16,82
SAL11029,0,0,0,0,0,0,0,0,0,0
SAL11030,0,0,0,3,0,0,3,5,0,9
