SSC_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
SSC10849,846,10,7,6,4,879,25,0,0,0,0,28,12,0,0,0,0,12,887,10,11,3,4,917
SSC10850,257,0,0,0,6,262,48,0,0,0,3,56,8,0,0,0,0,9,315,0,0,0,8,325
SSC10851,533,137,124,0,7,798,11,12,16,0,0,40,7,3,6,0,0,18,547,147,150,0,7,852
SSC10852,2856,830,34,0,10,3735,400,242,30,0,0,677,104,54,3,0,0,166,3355,1125,71,0,16,4575
SSC10853,612,52,15,0,0,678,133,45,12,0,0,189,25,4,3,0,0,29,771,107,28,0,0,900
SSC10854,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SSC10855,30,0,0,0,0,30,12,0,0,3,0,14,0,0,0,0,0,0,40,0,0,3,0,38
SSC10856,329,0,0,0,3,339,66,0,0,0,0,65,12,0,0,0,0,12,405,4,0,0,3,418
SSC10857,46,0,0,0,0,46,18,0,0,0,0,18,0,0,0,0,0,0,64,0,0,0,0,64
SSC10858,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11
SSC10859,201,0,6,0,4,210,20,0,0,0,0,20,0,0,0,0,3,3,227,0,6,0,5,234
SSC10860,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
SSC10861,10,0,0,0,0,10,3,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,12
SSC10862,1102,80,24,0,0,1211,152,36,28,0,0,216,13,3,0,0,0,20,1270,117,50,0,3,1445
SSC10863,105,0,0,0,0,105,24,0,0,0,0,24,3,0,0,0,0,3,133,0,0,0,0,133
SSC10864,62,0,0,4,0,64,12,0,0,0,0,12,0,0,0,0,0,0,73,0,0,4,0,81
SSC10865,1590,72,0,0,0,1663,111,9,0,0,0,122,30,3,0,0,0,31,1720,85,0,0,3,1813
SSC10866,179,0,3,0,0,177,25,0,0,0,0,26,5,0,0,0,0,5,202,0,3,0,3,208
SSC10867,33,0,0,0,0,33,13,0,0,0,0,13,0,0,0,0,0,0,41,0,0,0,0,41
SSC10868,7,0,0,0,0,7,4,0,0,0,0,4,0,0,0,0,0,0,11,0,0,0,0,11
SSC10869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC10870,102,0,0,0,0,99,34,0,0,0,0,34,0,0,0,0,0,0,137,0,0,0,0,136
SSC10871,54,0,0,0,0,54,13,0,0,0,0,13,0,0,0,0,0,0,61,0,0,0,0,62
SSC10872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10873,101,98,780,0,3,982,4,4,83,0,0,83,3,3,17,0,3,23,102,104,875,0,8,1092
SSC10874,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,4,3,8
SSC10875,8,0,0,0,0,11,4,0,0,0,0,9,0,0,0,0,0,0,10,0,3,0,0,16
SSC10876,66,0,0,0,0,69,19,0,0,0,0,19,7,0,0,0,0,7,91,0,0,0,0,89
SSC10877,89,0,3,8,0,98,19,0,0,0,0,19,4,0,0,0,0,4,102,0,3,8,0,115
SSC10878,3351,338,47,7,9,3756,1046,242,69,7,4,1368,116,60,3,3,5,188,4512,643,125,17,19,5317
SSC10879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10880,769,0,4,4,0,777,211,0,0,5,0,220,33,0,0,0,0,33,1018,0,4,11,0,1032
SSC10881,16,0,0,0,0,16,3,0,0,0,0,3,3,0,0,0,0,3,16,0,0,0,0,23
SSC10882,21,0,0,0,0,21,3,0,0,0,0,3,0,0,0,0,0,0,19,0,0,0,0,19
SSC10883,32,0,0,0,0,32,22,0,0,0,0,22,0,0,0,0,0,0,57,0,0,0,0,57
SSC10884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10885,3335,577,246,4,6,4165,493,159,81,0,0,735,58,22,8,0,0,88,3884,754,333,3,9,4986
SSC10886,21,0,0,0,0,21,3,0,0,0,0,3,4,0,0,0,0,4,29,0,0,0,0,29
SSC10887,43,0,0,0,0,48,4,0,0,0,0,4,3,0,0,0,0,3,53,0,0,0,0,54
SSC10888,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC10889,652,40,0,0,0,697,128,12,0,0,0,139,24,0,0,0,0,25,802,54,0,3,0,861
SSC10890,11,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,15
SSC10891,21,0,0,7,0,25,0,0,0,0,0,5,0,0,0,0,0,4,25,0,0,9,0,28
SSC10892,2401,359,5232,5,8,8004,177,31,451,0,6,660,62,11,149,0,5,223,2633,400,5827,6,14,8891
SSC10893,428,22,0,0,0,450,19,0,0,0,0,24,14,0,0,0,0,15,460,25,0,0,0,487
SSC10894,42,0,0,0,0,41,20,0,0,0,0,20,0,0,0,0,0,0,62,0,0,0,0,66
SSC10895,33,0,0,0,0,33,8,0,0,0,0,8,0,0,0,0,0,0,36,0,0,0,0,36
SSC10896,631,11,3,0,0,648,13,3,0,0,0,20,8,0,0,0,0,8,660,14,3,0,0,672
SSC10897,14,0,0,0,0,14,4,0,0,0,0,4,0,0,0,0,0,0,23,0,0,0,0,23
SSC10898,4478,831,97,0,8,5418,148,86,72,3,0,315,52,7,14,0,0,68,4677,921,185,6,9,5797
SSC10899,2252,414,235,12,11,2929,517,129,147,3,3,793,79,21,16,0,0,119,2847,564,394,15,18,3840
SSC10900,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,6
SSC10901,528,220,111,4,3,863,75,31,76,0,0,179,12,4,9,0,0,21,611,249,195,4,5,1065
SSC10902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10903,66,0,0,0,0,66,3,0,0,0,0,3,0,0,0,0,0,0,77,0,0,0,0,77
SSC10904,68,0,0,0,0,69,14,0,0,0,0,14,3,0,0,0,0,3,89,0,0,0,0,89
SSC10905,208,5,0,258,8,480,77,3,0,182,9,272,11,0,0,19,3,36,298,9,0,459,18,785
SSC10906,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC10907,14,329,2577,18,22,2950,0,17,241,3,4,273,0,18,107,0,4,131,11,366,2922,24,27,3354
SSC10908,2050,275,144,0,3,2469,224,28,26,0,0,276,44,14,5,0,0,68,2315,316,166,3,3,2808
SSC10909,441,0,0,0,5,446,12,0,0,0,0,12,3,0,0,0,0,3,454,0,0,0,5,460
SSC10910,153,56,867,0,3,1084,38,4,67,0,0,114,6,0,13,0,0,16,195,63,945,0,3,1211
SSC10911,557,8,8,0,0,577,86,4,3,0,0,98,10,0,0,0,0,15,661,12,12,0,0,683
SSC10912,280,0,8,0,0,289,32,0,0,0,0,29,3,0,0,0,0,4,316,3,5,0,0,325
SSC10913,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
SSC10914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10915,308,6,9,3,0,335,8,0,0,0,0,15,6,0,0,0,0,8,329,6,16,3,3,358
SSC10916,46,0,0,0,0,46,15,0,0,0,0,15,0,0,0,0,0,0,61,0,0,0,0,64
SSC10917,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
SSC10918,1220,80,3,0,3,1302,90,9,0,0,0,107,26,0,0,0,0,26,1340,89,3,3,3,1433
SSC10919,48,0,0,0,5,54,17,0,0,0,3,17,0,0,0,0,0,0,69,0,0,0,5,71
SSC10920,546,0,3,7,0,565,99,3,3,3,0,107,3,0,0,3,0,11,658,4,7,10,0,675
SSC10921,28,0,0,0,3,28,5,0,0,0,0,5,0,0,0,0,0,0,32,0,0,0,3,32
SSC10922,148,0,0,0,0,149,19,0,0,0,0,22,7,0,0,0,0,5,173,0,0,5,0,183
SSC10923,260,0,0,0,4,263,16,0,0,0,0,16,0,0,0,0,0,0,276,0,0,0,3,280
SSC10924,67,311,0,0,0,382,57,147,0,0,0,208,6,14,0,0,0,22,131,474,0,0,0,609
SSC10925,37,0,0,0,0,37,3,0,0,0,0,3,0,0,0,0,0,0,40,0,0,0,0,40
SSC10926,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9
SSC10927,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3
SSC10928,320,68,3,0,0,396,79,27,0,0,0,110,7,5,0,0,0,11,412,99,3,0,0,521
SSC10929,59,0,0,0,0,59,8,0,0,0,0,8,0,0,0,0,0,0,68,0,0,0,0,68
SSC10930,6,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4
SSC10931,7,0,0,0,0,7,4,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,6
SSC10932,192,0,0,0,0,192,33,0,0,0,0,33,5,0,0,0,0,5,228,0,0,0,0,228
SSC10933,10,0,0,0,0,10,3,0,0,0,0,3,0,0,0,0,0,0,17,0,0,0,0,17
SSC10934,250,0,0,0,0,250,25,0,0,0,0,25,0,0,0,0,0,0,269,0,0,0,0,269
SSC10935,463,28,0,0,0,495,21,0,0,0,0,21,13,0,0,0,0,13,498,28,0,0,0,530
SSC10936,66,0,0,0,0,66,10,0,0,0,0,10,3,0,0,0,0,3,84,0,0,0,0,84
SSC10937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10938,403,424,750,37,8,1611,29,37,75,0,0,140,6,8,15,3,3,33,433,464,837,36,8,1786
SSC10939,265,0,0,14,3,281,21,0,0,0,0,21,10,0,0,0,0,8,293,0,0,13,7,316
SSC10940,39,0,0,0,0,39,7,0,0,0,0,7,5,0,0,0,0,4,53,0,0,0,0,55
SSC10941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10942,19,0,0,0,0,22,3,0,0,0,0,3,3,0,0,0,0,3,23,0,0,0,0,25
SSC10943,557,6,4,0,0,572,54,0,0,0,0,54,14,3,0,0,0,18,630,10,4,0,3,645
SSC10944,59,0,0,0,0,61,4,0,0,0,0,4,0,0,0,0,0,0,64,0,0,0,0,66
SSC10945,15,0,0,0,0,15,9,0,0,0,0,5,3,0,0,0,0,3,22,0,0,0,0,23
SSC10946,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC10947,52,0,0,0,0,52,7,0,0,0,0,7,0,0,0,0,0,0,60,0,0,0,0,60
SSC10948,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14
SSC10949,928,17,54,20,3,1019,283,5,38,6,0,329,55,0,8,0,0,63,1262,22,99,22,0,1416
SSC10950,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16
SSC10951,212,4,3,3,8,232,71,0,5,0,0,75,14,0,0,0,0,10,291,4,11,3,11,319
SSC10952,10,0,0,0,0,10,6,0,0,0,0,6,0,0,0,0,0,0,15,0,0,0,0,15
SSC10953,31,0,0,0,0,31,10,0,0,0,0,10,0,0,0,0,0,0,34,0,0,0,0,34
SSC10954,569,0,0,0,5,574,59,0,0,0,0,59,17,0,0,0,0,15,639,0,0,0,5,649
SSC10955,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8
SSC10956,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC10957,18,0,0,0,0,18,4,0,0,0,0,4,0,0,0,0,0,0,24,0,0,0,0,24
SSC10958,52,3,0,0,0,54,28,0,0,0,0,28,3,0,0,0,0,3,80,3,0,3,0,81
SSC10959,4977,1279,1363,97,109,7818,752,407,516,65,23,1767,120,72,82,10,21,311,5849,1753,1957,177,153,9891
SSC10960,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10961,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10
SSC10962,13,0,0,0,0,15,0,0,0,4,0,3,0,0,0,0,0,0,18,0,0,4,0,25
SSC10963,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17
SSC10964,328,0,8,5,0,346,76,0,17,5,0,100,12,0,3,0,0,19,418,0,28,9,0,460
SSC10965,514,0,0,0,5,515,7,0,0,0,0,7,7,0,0,0,3,10,526,0,0,0,3,534
SSC10966,341,15,3,0,4,364,31,3,3,0,0,34,9,0,3,0,0,14,375,23,10,0,4,409
SSC10967,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15
SSC10968,32,0,0,3,0,34,4,0,0,0,0,6,0,0,0,0,0,0,34,0,0,3,0,42
SSC10969,122,0,5,0,0,133,79,0,3,0,0,87,6,0,0,0,0,8,210,0,13,0,0,223
SSC10970,1095,118,1290,21,4,2525,66,8,165,3,0,245,22,0,42,0,3,72,1182,127,1498,21,12,2838
SSC10971,1198,34,31,0,3,1267,84,3,0,0,0,92,16,4,0,0,0,23,1297,42,37,0,3,1378
SSC10972,85,0,0,4,0,87,14,0,0,0,0,14,3,0,0,0,0,3,99,0,0,4,0,99
SSC10973,34,0,0,0,0,31,10,0,0,0,0,10,0,0,0,0,0,0,45,0,0,0,0,43
SSC10974,14,0,0,0,0,14,3,0,0,0,0,3,0,0,0,0,0,0,20,0,0,0,0,20
SSC10975,56,0,0,0,0,56,16,0,0,0,0,13,0,0,0,0,0,0,68,0,0,0,0,75
SSC10976,50,0,0,0,0,50,12,0,0,0,0,12,0,0,0,0,0,0,71,0,0,0,0,66
SSC10977,10,0,0,0,0,10,5,0,0,0,0,5,0,0,0,0,0,0,21,0,0,0,0,21
SSC10978,38,0,0,0,0,38,3,0,0,0,0,3,3,0,0,0,0,3,49,0,0,0,0,49
SSC10979,147,0,0,0,3,154,50,0,0,0,0,50,3,0,0,0,0,3,207,0,0,0,3,207
SSC10980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10981,8,0,0,0,0,8,4,0,0,0,0,4,0,0,0,0,0,0,11,0,0,0,0,11
SSC10982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC10983,11,0,0,0,0,13,4,0,0,0,0,4,0,0,0,0,0,0,15,0,0,0,0,18
SSC10984,68,0,0,0,3,68,14,0,0,0,0,16,3,0,0,0,0,3,89,0,0,0,4,87
SSC10985,459,0,0,0,3,460,49,0,0,0,0,55,6,0,0,0,0,6,516,0,0,0,7,521
SSC10986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC10987,2059,68,12,0,3,2145,454,31,10,0,3,496,68,8,3,0,0,79,2588,102,27,0,9,2726
SSC10988,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,11,0,0,0,0,11
SSC10989,25,0,0,0,0,25,8,0,0,0,0,8,0,0,0,0,0,0,29,0,0,0,0,29
SSC10990,14,0,0,0,0,14,3,0,0,0,0,3,0,0,0,0,0,0,23,0,0,0,0,23
SSC10991,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
SSC10992,132,0,0,4,0,140,34,0,0,0,0,35,3,0,0,0,0,3,175,0,0,4,4,179
SSC10993,36,0,0,0,4,34,11,0,0,0,0,11,0,0,0,0,0,0,45,0,0,0,7,47
SSC10994,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC10995,10,0,0,0,0,15,4,0,0,0,0,8,0,0,0,0,0,0,19,0,0,0,0,21
SSC10996,1054,73,3,4,3,1138,67,12,0,0,0,76,20,9,0,0,3,29,1142,85,3,10,3,1247
SSC10997,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19
SSC10998,33,0,0,0,0,34,13,0,0,0,0,13,0,0,0,0,0,0,46,0,0,0,0,46
SSC10999,2914,403,672,93,16,4102,422,71,99,13,4,600,68,14,14,5,0,90,3400,485,783,107,23,4796
SSC11000,1316,118,147,12,6,1600,198,20,39,0,0,249,31,4,5,0,0,49,1547,143,189,12,7,1896
SSC11001,1754,814,28,7,16,2619,380,119,9,4,0,512,69,28,3,0,0,97,2204,957,39,11,19,3221
SSC11002,748,5,22,6,3,778,401,3,9,3,0,421,45,0,5,3,0,52,1194,8,40,13,3,1253
SSC11003,84,0,0,0,0,82,20,0,0,0,0,18,0,0,0,0,0,0,98,0,0,0,0,99
SSC11004,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
SSC11005,89,0,0,0,0,89,16,0,0,0,0,16,0,0,0,0,0,0,113,0,0,0,0,113
SSC11006,98,0,0,0,0,98,18,0,0,0,0,18,6,0,0,0,0,6,119,0,0,0,0,119
SSC11007,57,0,0,0,0,57,10,0,0,0,0,10,0,0,0,0,0,0,72,0,0,0,0,71
SSC11008,73,0,0,0,0,75,14,0,0,3,0,12,0,0,0,0,0,0,84,0,0,3,0,93
SSC11009,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
SSC11010,348,128,170,6,0,658,79,17,58,0,3,152,11,4,8,0,0,28,440,150,235,9,7,834
SSC11011,37,0,0,0,3,43,4,0,0,0,0,4,0,0,0,0,0,0,46,0,0,0,3,45
SSC11012,100,0,0,0,4,106,28,0,0,0,0,28,8,0,0,0,0,8,131,0,0,0,3,133
SSC11013,730,76,0,0,0,814,73,18,0,0,0,89,6,3,0,0,0,11,809,99,0,0,0,909
SSC11014,706,411,8,3,3,1134,87,67,0,0,0,147,24,17,0,0,0,34,811,489,8,3,3,1318
SSC11015,582,509,4293,28,23,5439,36,30,363,3,0,434,16,18,122,3,3,165,637,557,4783,36,23,6033
SSC11016,42,0,0,0,0,42,14,0,0,0,0,14,4,0,0,0,0,4,58,0,0,0,0,58
SSC11017,16,0,0,0,0,16,7,0,0,0,0,6,0,0,0,0,0,0,23,0,0,0,0,30
SSC11018,132,0,0,0,0,136,42,0,0,0,0,42,5,0,0,0,0,5,183,0,0,0,0,186
SSC11019,239,685,376,0,4,1308,23,105,128,0,0,254,7,16,22,0,0,50,270,807,529,0,4,1610
SSC11020,10,0,0,0,0,10,4,0,0,0,0,4,0,0,0,0,0,0,17,0,0,0,0,17
SSC11021,14,0,0,0,0,14,6,0,0,0,0,4,0,0,0,0,0,0,17,0,0,0,0,20
SSC11022,46,0,0,0,3,47,19,0,0,0,0,19,4,0,0,0,0,4,75,0,0,0,3,73
SSC11023,89,0,0,0,0,91,18,0,0,0,0,21,3,0,0,0,0,3,113,0,0,0,0,117
SSC11024,311,0,6,4,8,328,102,0,5,0,3,110,9,0,0,0,0,13,422,0,10,9,14,449
SSC11025,531,0,8,0,9,546,152,0,8,0,0,165,15,0,5,0,0,21,704,5,21,0,6,736
SSC11026,91,0,0,0,0,89,7,0,0,0,0,8,0,0,0,0,0,0,96,0,0,0,3,100
SSC11027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC11028,30,0,0,0,0,30,11,0,0,0,0,11,0,0,0,0,0,0,47,0,0,0,0,47
SSC11029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC11030,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC11031,36,0,0,0,0,36,3,0,0,0,0,3,0,0,0,0,0,0,38,0,0,0,0,38
SSC11032,106,0,0,0,0,106,34,0,0,0,0,34,5,0,0,0,0,5,141,0,0,0,0,141
SSC11033,18,0,0,0,0,18,3,0,0,0,0,4,0,0,0,0,0,0,22,0,0,0,0,22
SSC11034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC11035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC11036,1819,54,77,17,10,1973,447,50,75,11,7,584,84,6,7,3,22,132,2349,105,163,30,41,2686
SSC11037,44,0,0,5,0,48,8,0,0,0,0,8,0,0,0,0,0,0,47,0,0,5,0,56
SSC11038,197,0,0,0,0,199,58,0,0,0,0,57,4,0,0,0,0,4,257,0,0,0,3,261
SSC11039,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
SSC11040,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,6
SSC11041,181,0,0,0,3,180,60,0,0,3,0,67,10,0,0,0,0,14,253,0,0,4,3,256
SSC11042,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7
SSC11043,776,18,25,9,18,849,314,21,12,8,3,354,26,3,0,4,6,40,1119,45,44,17,22,1240
SSC11044,523,3,24,6,3,560,309,0,28,3,0,333,46,0,3,0,3,57,876,3,57,6,5,949
SSC11045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC11046,81,0,0,0,0,81,8,0,0,0,0,8,0,0,0,0,0,0,88,0,0,0,0,90
SSC11047,147,3,0,0,0,147,54,0,0,0,0,59,5,0,0,0,0,5,206,3,0,0,0,209
SSC11048,47,0,0,0,0,50,7,0,0,0,0,7,3,0,0,0,0,3,57,0,0,3,0,66
SSC11049,76,3,0,0,0,82,11,0,0,0,0,11,3,0,0,0,0,4,87,3,0,0,0,99
SSC11050,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3
SSC11051,132,0,0,3,0,138,7,0,0,4,0,14,4,0,0,0,0,4,142,0,0,7,0,154
SSC11052,1342,169,42,3,6,1562,149,95,10,0,3,251,34,8,4,0,3,56,1528,272,55,4,11,1868
SSC11053,1795,57,29,10,3,1898,643,61,37,5,8,748,83,3,3,0,0,87,2518,119,67,17,8,2735
SSC11054,22,0,0,0,0,23,10,0,0,0,0,10,0,0,0,0,0,0,32,0,0,0,0,30
SSC11055,29,0,0,0,0,29,11,0,0,0,0,11,0,0,0,0,0,0,40,0,0,0,0,40
SSC11056,807,29,17,3,4,860,51,3,3,0,0,57,11,0,0,0,3,21,873,27,24,7,8,937
SSC11057,24,0,0,0,0,24,5,0,0,0,0,5,3,0,0,0,0,3,36,0,0,0,0,36
SSC11058,17,0,0,0,0,17,7,0,0,0,0,7,3,0,0,0,0,3,27,0,0,0,0,27
SSC11059,3,0,0,5,0,7,3,0,0,0,0,3,0,0,0,0,0,0,10,0,0,3,0,14
SSC11060,84,0,0,0,0,83,38,0,0,0,0,38,3,0,0,0,0,3,126,0,0,0,0,125
SSC11061,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC11062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5
SSC11063,288,0,5,0,3,300,109,4,0,0,4,118,14,0,0,0,0,14,412,10,5,0,6,432
SSC11064,34,0,0,0,0,34,4,0,0,0,0,4,3,0,0,0,0,5,40,0,0,0,0,42
SSC11065,242,0,0,0,0,243,32,0,0,0,0,32,9,0,0,0,0,9,275,0,0,0,0,282
SSC11066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC11067,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
SSC11068,53,0,0,3,0,60,18,0,0,0,0,18,0,0,0,0,0,3,73,0,0,3,3,76
SSC11069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC11070,1260,28,0,5,0,1290,81,8,0,0,0,92,21,3,0,0,0,24,1363,37,0,5,0,1401
SSC11071,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12
SSC11072,29,0,0,0,0,29,9,0,0,0,0,9,3,0,0,0,0,3,42,0,0,0,0,42
SSC11073,465,5,3,10,0,482,70,0,0,3,0,75,14,0,0,5,3,20,543,7,5,16,3,575
SSC11074,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18
SSC11075,1282,417,37,0,5,1747,127,68,19,0,0,217,31,9,3,0,0,40,1431,503,59,0,6,2000
SSC11076,110,0,0,0,0,110,13,0,0,0,0,13,0,0,0,0,0,0,120,0,0,0,0,120
SSC11077,24,0,0,0,0,23,9,0,0,0,0,9,0,0,0,0,0,0,34,0,0,0,0,30
SSC11078,13,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,11
SSC11079,21,0,0,0,0,21,3,0,0,0,0,3,0,0,0,0,0,0,24,0,0,0,0,24
SSC11080,1459,61,61,18,13,1610,418,40,56,19,0,529,59,11,9,0,3,89,1939,118,130,35,11,2232
SSC11081,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5
SSC11082,1306,358,307,13,5,1992,269,138,110,7,3,523,39,13,15,0,0,70,1606,510,435,20,6,2584
SSC11083,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC11084,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC11085,15,0,0,0,0,15,8,0,0,0,0,8,0,0,0,0,0,0,29,0,0,0,0,29
SSC11086,33,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,35
SSC11087,11,0,0,0,0,11,3,0,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,14
SSC11088,9,0,0,0,0,9,6,0,0,0,0,6,0,0,0,0,0,0,15,0,0,0,0,15
SSC11089,9,0,0,0,0,16,4,0,0,0,0,4,0,0,0,0,0,0,14,0,0,0,0,15
SSC11090,20,0,0,0,0,20,11,0,0,0,0,11,0,0,0,0,0,0,31,0,0,0,0,31
SSC11091,13,0,0,0,0,13,4,0,0,0,0,4,0,0,0,0,0,0,13,0,0,0,0,13
SSC11092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC11093,74,0,0,0,0,74,13,0,0,0,0,13,3,0,0,0,0,3,86,0,0,0,0,89
SSC11094,278,0,0,4,0,286,64,0,0,3,0,70,9,0,0,0,0,9,360,0,0,4,0,364
SSC11095,13,0,0,0,0,11,5,0,0,0,0,5,0,0,0,0,0,0,18,0,0,0,0,18
SSC11096,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
SSC11097,186,3,0,0,0,192,15,0,0,0,0,15,3,0,0,0,0,3,207,3,0,0,0,205
