SA3_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
11301,19071,19131,38201,9178,4687,13866,1757,4445,6198,666,647,1316,619,472,1097,12220,10258,22479,4923,6931,11854,5.1,4.6,4.9,64.1,53.6,58.8,60.8,51.1,56,227,233,463,113,252,365,1085,1865,2952,804,1431,2231,4582,2119,6696,159,358,520,244,541,786,4982,3013,8003,18160,18073,36233,2975,3016,5993,12980,12733,25712,7027,7256,14284
11302,5976,5848,11823,2532,1170,3701,525,1369,1893,237,179,412,190,153,343,3483,2866,6351,1936,2414,4350,5.5,5.3,5.4,58.3,49,53.7,55.1,46.5,50.8,54,72,129,35,85,122,343,548,892,282,551,835,1543,697,2235,46,126,172,95,151,248,1685,973,2650,5501,5493,10998,830,854,1681,4091,3948,8039,1953,2077,4027
11303,36761,38059,74820,16975,9667,26648,3840,9241,13081,1068,1261,2332,1233,1153,2390,23121,21323,44441,11079,14254,25339,5.3,5.4,5.4,62.9,56,59.4,59.5,53,56.2,821,884,1703,348,695,1047,2859,5026,7888,2059,3380,5444,9767,5004,14769,437,764,1197,596,1116,1714,10798,6891,17682,34236,35368,69602,6817,7321,14139,22918,23478,46399,16103,17434,33533
11401,40827,42374,83202,12866,6875,19741,4846,9417,14262,1053,1209,2266,1452,1133,2581,20221,18630,38851,17480,20549,38033,7.2,6.1,6.6,49.5,44,46.7,46,41.3,43.6,865,928,1789,424,882,1303,2780,4170,6953,2796,4251,7045,12541,5395,17935,405,847,1251,786,1466,2253,13725,7712,21441,37193,38517,75708,6576,7080,13663,24933,25451,50384,17142,18503,35649
11402,18610,20867,39475,7738,4285,12021,2482,5145,7621,465,518,987,390,420,810,11073,10366,21441,6251,9117,15367,3.5,4.1,3.8,59.5,49.7,54.3,57.4,47.7,52.3,916,849,1770,309,541,857,2289,3101,5394,1521,2537,4061,4888,2176,7066,133,351,485,399,825,1222,5414,3355,8769,17536,19211,36745,3172,3514,6680,11401,12374,23767,8631,9730,18362
11501,55394,59352,114744,29396,17590,46990,7249,15158,22405,1173,1642,2814,1974,1746,3723,39796,36138,75935,13935,21198,35134,5,4.8,4.9,71.8,60.9,66.2,68.3,57.9,62.9,6248,4973,11224,1109,1606,2721,12975,14621,27598,5466,7211,12677,8357,3616,11978,277,624,897,1045,1810,2850,9673,6053,15727,58418,61249,119673,8097,8443,16539,40282,42136,82417,23883,25053,48934
11502,10478,10787,21273,5179,2854,8032,1485,3002,4483,291,322,611,235,214,443,7184,6386,13566,2781,3869,6650,3.3,3.4,3.3,68.6,59.2,63.8,66.4,57.3,61.7,543,536,1076,122,270,392,1598,2013,3614,877,1427,2296,2697,889,3588,45,156,200,216,374,592,2958,1424,4383,10953,10964,21920,1170,1235,2409,7815,7865,15675,3957,4042,7998
11503,9893,9823,19711,5288,2869,8152,1118,2721,3836,331,310,643,238,246,481,6970,6143,13113,2220,2988,5200,3.4,4,3.7,70.5,62.5,66.5,68.1,60.1,64.1,247,315,561,108,233,333,755,1317,2068,785,1239,2018,3380,1321,4700,71,193,267,194,293,493,3641,1810,5454,10039,9863,19907,1182,1194,2378,7367,7141,14509,3423,3519,6941
11504,12395,12658,25058,7493,4060,11551,1445,3678,5119,295,383,680,323,356,676,9554,8479,18033,2366,3711,6077,3.4,4.2,3.7,77.1,67,72,74.5,64.2,69.2,698,628,1324,162,254,413,1790,2500,4292,1148,1550,2699,3214,1261,4472,65,186,253,217,357,579,3499,1804,5297,13095,13043,26140,2419,2460,4880,8280,8225,16506,6497,6614,13108
11601,53287,53991,107280,25819,15471,41285,6514,10477,16996,1578,1627,3205,2452,2362,4816,36366,29942,66306,14261,21370,35633,6.7,7.9,7.3,68.2,55.5,61.8,63.6,51.1,57.3,3113,2986,6098,546,725,1267,7322,9303,16623,4593,5120,9718,9907,4886,14791,408,768,1176,878,1248,2123,11193,6901,18094,53338,53740,107078,8680,8229,16912,35863,36645,72504,23016,22253,45273
11602,34840,35157,70004,20110,12277,32382,3798,8596,12387,922,1154,2078,1281,1399,2682,26111,23424,49540,7414,10455,17867,4.9,6,5.4,74.9,66.6,70.8,71.3,62.7,66.9,2943,2646,5589,505,667,1170,6260,8097,14355,3222,3830,7056,6164,3129,9288,234,465,700,571,816,1387,6960,4413,11372,35708,36453,72160,6713,6733,13448,21713,21913,43632,18119,18736,36849
11603,41045,43988,85030,18567,11009,29575,4576,7655,12231,1273,1265,2535,2217,2284,4499,26626,22213,48838,11845,19007,30855,8.3,10.3,9.2,64.9,50.5,57.4,59.5,45.3,52.1,1337,1264,2600,231,351,579,4195,5582,9775,2811,3563,6368,7308,4369,11680,388,792,1177,721,1048,1766,8410,6204,14620,43166,44949,88117,6518,6876,13394,29354,30501,59854,17334,18318,35653
11701,19174,19597,38768,9191,6140,15328,2442,4038,6483,552,613,1167,714,643,1351,12891,11437,24333,4872,6803,11675,5.5,5.6,5.6,67.2,58.4,62.8,63.5,55.1,59.3,1448,1393,2836,185,328,513,3207,3913,7116,1571,1953,3525,3138,1375,4510,121,192,313,284,431,712,3542,1995,5536,17173,17653,34827,3837,3644,7480,10612,11271,21880,9567,9209,18776
11702,22971,23988,46956,11398,9287,20682,3186,5087,8265,557,765,1323,839,728,1571,15974,15866,31840,5043,6285,11327,5.3,4.6,4.9,69.5,66.1,67.8,65.9,63.1,64.5,2120,2651,4765,500,868,1367,5337,6597,11943,1874,2206,4075,2756,1315,4071,125,189,317,315,410,732,3204,1919,5122,19411,19942,39353,4536,4818,9354,12184,12404,24588,11047,11670,22713
