SA3_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
12104,3599,2090,5696,12,32,11423,2518,1722,4894,11,16,9157,595,1165,12688,59,37,14547,0,32,456,0,3,493,258,363,2341,20,6,2993,8,16,96,0,3,126,16,10,88,9,7,133,32,23,131,0,5,192,916,1609,15811,91,52,18480,39,20,201,0,0,256,129,116,558,3,17,827,7198,5552,27156,122,120,40152
12201,2572,825,1702,12,6,5113,2388,691,1374,9,9,4474,451,396,3147,32,14,4048,27,17,178,0,0,229,169,160,747,19,13,1099,8,0,47,0,0,56,6,18,28,0,0,59,17,11,39,0,0,65,678,605,4186,52,26,5553,20,11,49,0,0,80,100,39,190,6,12,345,5760,2164,7509,76,50,15559
12202,6305,818,1114,96,29,8359,6292,597,817,19,15,7739,1016,237,958,41,40,2291,3,0,8,0,0,9,554,117,279,18,19,990,10,28,23,0,0,62,29,16,14,8,5,69,41,7,10,3,3,71,1649,410,1282,79,76,3496,75,185,158,0,0,416,307,67,149,15,10,551,14622,2075,3516,216,135,20562
12203,12419,1184,3191,28,28,16842,13496,757,4709,22,32,19009,2316,483,6633,35,40,9508,155,360,308,0,0,831,1030,182,1319,34,43,2599,30,124,201,0,0,359,74,70,81,19,3,238,83,27,84,0,6,204,3685,1237,8625,90,103,13732,148,298,451,5,4,902,584,167,500,25,41,1318,30329,3650,17472,164,197,51814
12301,4424,291,44,33,7,4790,10057,335,20,0,4,10422,2277,381,60,0,8,2732,225,80,31,0,0,334,496,64,5,0,3,576,24,16,0,0,3,44,58,4,0,6,0,67,33,5,0,0,0,46,3108,559,103,14,16,3800,46,99,12,0,0,160,261,52,7,0,3,329,17903,1338,180,42,30,19497
12302,10781,1115,308,26,20,12255,17244,2053,330,22,24,19672,5758,2143,1036,32,31,9003,2692,2028,170,0,6,4893,1476,343,80,3,8,1919,106,117,39,0,10,273,159,34,26,8,6,223,150,32,8,3,14,201,10338,4693,1358,55,77,16518,230,137,139,4,60,561,941,279,79,8,20,1320,39535,8272,2212,110,199,50325
12303,3752,243,16,16,15,4039,6136,75,16,13,17,6262,1088,93,56,9,8,1255,98,35,13,0,0,141,405,17,11,14,4,448,30,23,0,0,0,48,70,3,0,40,4,119,55,0,0,3,0,60,1744,172,72,72,16,2077,66,105,0,0,0,169,301,40,0,3,4,350,11999,632,107,110,49,12900
12401,10676,423,43,10,27,11185,11073,130,44,10,20,11281,2633,327,261,10,17,3252,161,143,87,0,0,397,1072,87,46,3,17,1223,57,85,49,0,4,197,63,8,7,5,10,95,73,6,3,0,4,95,4065,663,457,21,44,5254,112,136,4,0,0,251,486,50,31,5,20,587,26418,1404,582,53,109,28560
12402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
12403,10612,956,229,109,18,11917,17595,1303,405,14,31,19344,5604,1944,1548,27,62,9188,715,771,412,0,0,1897,1433,283,148,9,19,1890,72,101,98,0,3,279,170,31,12,8,3,227,118,21,17,0,3,164,8114,3154,2232,46,97,13643,150,56,18,0,0,226,770,249,105,20,16,1167,37241,5716,2989,197,162,46294
12404,2919,376,77,6,11,3396,3708,387,39,3,21,4158,1439,814,210,16,30,2510,459,229,8,0,3,698,420,97,27,0,16,569,51,32,7,0,0,92,123,35,3,0,4,162,44,9,0,0,3,60,2534,1221,254,23,52,4093,74,13,22,0,3,112,207,58,21,0,9,300,9455,2059,413,31,103,12063
12405,4182,174,50,0,5,4414,6218,512,80,3,4,6816,2426,745,468,17,24,3678,434,142,121,0,0,704,677,87,44,3,6,819,29,25,16,0,0,72,61,11,11,0,5,87,54,6,3,0,0,62,3691,1021,658,26,32,5426,74,8,7,0,0,83,397,68,37,0,10,510,14564,1774,831,29,51,17247
12501,4113,590,1068,26,8,5807,3415,1115,2843,29,23,7425,1717,828,6021,69,28,8664,203,245,379,7,0,827,797,204,758,23,11,1799,39,30,76,0,0,148,152,56,106,3,4,325,68,10,45,0,0,123,2977,1370,7381,105,50,11886,57,16,55,0,0,133,411,107,431,12,41,998,10967,3192,11786,175,126,26251
12502,5432,896,294,5,12,6635,4851,1960,628,6,18,7466,1572,1169,938,28,25,3730,726,469,597,3,0,1795,486,238,154,6,7,887,32,56,106,0,3,201,139,168,8,0,4,319,45,19,12,0,0,76,3003,2124,1810,38,45,7014,79,31,91,0,0,197,269,107,94,0,12,484,13629,5115,2924,47,83,21804
12503,10712,1091,691,37,15,12551,10129,2175,1668,55,24,14044,3742,1459,3970,88,65,9320,1261,1112,1428,3,4,3803,1635,368,476,28,31,2537,84,237,167,0,0,484,343,71,78,9,6,500,146,45,54,3,3,246,7210,3281,6172,132,110,16897,179,96,64,0,3,344,922,248,337,11,32,1545,29146,6891,8925,233,185,45380
12504,7374,902,1723,10,19,10028,7175,2342,3904,39,40,13502,2493,1860,11456,99,81,15980,417,782,1187,3,7,2384,854,344,1360,26,21,2608,44,133,275,0,3,453,109,129,116,3,13,368,65,31,80,3,4,189,3983,3271,14474,133,125,21985,81,46,449,0,3,579,434,186,654,3,62,1341,19047,6750,21195,193,251,47432
12601,5074,433,472,0,4,5984,4266,414,634,4,6,5323,994,374,1429,11,10,2816,28,48,35,0,0,110,353,61,218,4,4,644,21,4,69,0,0,93,39,11,14,0,0,71,30,3,15,0,0,52,1470,510,1781,14,15,3792,47,30,56,0,0,138,180,47,66,0,8,308,11037,1433,3014,16,34,15539
12602,10302,1990,1928,15,37,14276,8533,2196,3224,13,33,14005,2161,1900,8068,67,52,12243,224,598,850,0,0,1674,1009,425,1203,16,15,2673,34,155,137,0,14,333,90,118,92,7,11,313,90,38,52,0,0,193,3610,3233,10402,85,96,17432,134,125,190,4,19,472,479,166,363,3,45,1054,23057,7710,16110,122,236,47236
12701,6579,220,5,12,28,6840,11998,645,13,9,34,12702,3455,468,50,6,15,4001,1118,296,542,0,10,1962,1012,86,18,7,7,1136,72,17,34,0,0,122,249,17,10,4,13,295,119,5,4,0,3,134,6023,900,659,22,52,7654,147,26,8,0,0,183,720,76,55,3,66,919,25466,1865,742,52,174,28295
12702,15527,996,882,101,19,17521,12746,1727,983,83,33,15573,5214,1621,3236,114,98,10276,1357,1672,658,9,9,3707,1939,381,432,30,28,2806,123,149,132,7,3,414,456,92,118,51,9,729,165,36,59,3,0,269,9246,3941,4644,216,153,18197,232,70,41,3,0,349,1170,240,271,26,59,1770,38916,6979,6822,429,261,53414
12703,7113,518,637,9,5,8279,10626,1367,1187,18,32,13236,2936,1273,3573,27,24,7833,721,667,783,0,15,2182,764,155,299,0,9,1229,43,87,106,0,3,235,525,79,70,4,5,676,87,19,48,0,7,161,5071,2274,4882,29,57,12317,155,56,53,0,0,256,610,172,287,10,8,1087,23572,4394,7043,68,103,35183
12801,9921,2422,2431,63,13,14851,9311,1731,2627,19,25,13704,1490,963,4632,61,24,7170,100,359,460,0,3,925,524,216,703,22,13,1491,22,61,109,0,0,196,52,142,28,20,0,241,68,19,51,5,0,140,2258,1761,5980,113,41,10156,87,65,225,0,0,379,426,168,317,12,16,938,22002,6145,11573,208,106,40030
12802,11251,1313,967,30,15,13575,12719,1577,1415,13,20,15739,1313,680,1858,41,15,3902,173,298,301,0,0,768,462,169,256,3,10,899,41,44,71,0,0,159,35,15,14,64,5,129,61,9,11,0,0,79,2071,1211,2517,113,31,5939,74,21,114,0,3,207,405,97,136,9,24,671,26514,4226,5142,161,96,36132
19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
