SA3_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
10503,41,107,108,113,294,226,122,219,18,1241,57,88,73,68,144,191,70,127,277,1093,1031,2947,2544,3211,5995,5219,2644,5434,640,29666
10601,61,207,166,176,350,327,185,296,10,1778,62,140,106,137,223,246,95,170,322,1501,1430,4267,4001,4054,6284,5869,3745,5998,753,36407
10602,37,186,138,156,326,276,148,280,16,1555,25,127,85,90,211,239,85,159,228,1262,1194,3911,3495,3671,6423,5897,3429,5034,520,33572
10603,31,150,123,120,221,222,128,208,17,1214,43,132,80,101,175,184,68,120,235,1147,1144,3634,3115,3525,5148,4750,2464,3621,544,27956
10604,19,51,37,52,100,94,44,79,11,476,15,53,31,37,69,75,31,56,110,478,507,1339,1194,1389,2226,1957,1547,2586,279,13027
10701,43,160,124,126,323,294,131,180,15,1392,46,118,96,91,241,257,103,126,260,1343,1189,3571,3348,3520,6561,5665,2648,3569,548,30624
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7
10703,51,190,152,184,330,335,144,217,15,1616,67,146,124,108,237,260,96,182,261,1485,1551,4691,4464,4719,7575,6868,3526,5048,619,39059
10704,71,301,251,256,381,398,179,279,16,2128,50,194,170,151,269,321,96,236,433,1913,2097,7634,6589,6406,10764,10378,5254,7599,921,57644
10801,12,66,44,48,55,74,32,64,7,407,18,49,43,29,53,53,20,27,116,403,448,1506,1296,1471,1650,1465,701,1299,248,10095
10802,18,87,70,51,120,85,54,72,6,570,32,68,42,58,77,49,29,64,202,620,735,2131,2044,2315,2862,2018,1092,2037,475,15699
10803,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,7,11,17,35,25,23,26,40,21,30,9,225
10804,31,186,130,142,237,210,107,178,11,1236,43,144,59,92,120,122,57,108,230,975,1125,3912,3190,4222,5536,4782,2310,4024,553,29660
10805,17,75,84,70,148,155,71,87,11,716,39,73,54,59,103,81,42,51,213,718,895,2533,2228,2657,3307,2712,1297,2401,449,18484
10901,23,128,132,119,219,204,121,170,15,1120,36,113,80,73,163,153,59,126,206,1012,1035,3326,2801,3505,4998,4586,2657,4030,491,27430
10902,6,10,14,12,24,30,15,36,4,159,9,32,22,21,45,39,6,31,79,283,200,566,472,604,852,846,396,1175,183,5298
10903,25,81,55,64,101,103,63,112,11,620,41,69,45,49,96,113,39,77,178,710,823,2018,1680,2026,2682,2936,1442,3354,413,17372
11001,17,70,45,43,103,71,61,71,9,502,17,53,33,36,59,55,29,64,110,462,616,2135,1599,1916,3107,2279,1249,2680,306,15891
11002,15,69,45,37,113,97,44,78,7,518,38,60,52,47,79,82,24,64,181,617,553,1696,1420,1830,2523,2023,1048,2834,403,14341
11003,19,46,36,41,84,114,54,84,0,487,20,46,39,36,69,98,34,77,112,532,445,981,861,1125,1908,1886,927,2592,283,11012
11004,39,167,117,139,315,282,136,241,15,1435,51,140,84,102,237,232,87,168,337,1442,1254,3587,3088,3968,6620,6031,3240,6189,755,34742
11101,67,283,230,219,447,369,232,283,10,2138,65,169,132,137,292,329,89,212,325,1756,2028,6631,6147,6422,9892,9638,4833,6655,725,52963
