SA2_MAINCODE_2016,C16_85o_SOL_SE_To,C16_85o_LPE_NS,C16_85o_Tot,C16_Tot_SEO,C16_To_SOL_SE_Vw_w,C16_To_SOL_SE_Nw_Na,C16_To_SOL_SE_P_E_n,C16_Tot_SOL_SE_Tot,C16_Tot_LPE_NS,C16_T_T
125031479,192,22,477,5704,8623,2706,87,11409,1348,18467
125031480,218,42,473,3671,7672,3062,108,10847,994,15515
125031481,91,10,180,4945,11193,3210,146,14551,1326,20826
125031482,178,22,378,15005,9002,1199,103,10312,1000,26312
125031483,136,27,318,5093,11174,3003,154,14326,1531,20950
125031484,142,34,443,8089,9137,2319,133,11588,1044,20720
125031485,169,26,440,9371,14011,3528,206,17739,1341,28450
125031486,0,0,0,3,7,3,0,12,0,8
125031487,0,0,0,3,6,0,0,10,0,11
125041489,121,43,458,8748,9579,2013,83,11673,1812,22234
125041490,27,0,152,4915,2270,502,12,2783,174,7872
125041491,72,49,430,8454,9117,1343,102,10556,1363,20382
125041492,135,15,231,5522,17535,3509,228,21269,2459,29249
125041493,124,29,554,11760,7869,1319,96,9281,894,21935
125041494,48,8,187,7789,2418,369,26,2805,172,10773
125041588,106,58,336,4083,6908,1102,80,8092,669,12847
125041589,103,15,255,4161,9109,1509,116,10736,703,15604
126011495,102,49,583,11774,11773,2767,90,14626,692,27095
126011496,87,116,565,13702,5214,875,49,6141,652,20493
126021497,166,19,508,9627,11028,3502,93,14625,797,25047
126021498,111,16,398,9960,3135,591,29,3753,695,14414
126021499,173,22,645,7916,1642,278,19,1940,488,10345
126021500,147,101,746,8457,10330,1827,91,12247,1020,21724
126021501,102,18,390,7436,3831,667,37,4531,345,12310
126021503,96,8,259,8075,8623,1927,91,10637,664,19375
126021590,25,3,99,2761,1101,138,14,1248,127,4141
126021591,236,81,732,12976,10629,2166,109,12906,1288,27175
127011504,71,20,192,7151,6442,2024,122,8591,1601,17341
127011505,145,26,220,4992,2506,640,36,3184,744,8911
127011506,46,11,122,11891,4070,621,56,4747,1256,17891
127011592,0,0,3,38,13,3,0,16,10,60
127011593,19,0,31,2746,3376,570,36,3983,286,7017
127011594,79,10,104,3510,6548,1890,80,8519,490,12516
127011595,51,0,61,4198,6371,1267,63,7703,392,12298
127011596,36,3,42,4628,5577,887,75,6542,422,11591
127011597,36,0,49,6863,6646,949,76,7679,651,15186
127021509,192,3,212,3856,8281,3250,117,11645,473,15979
127021510,238,14,295,6964,8940,2317,77,11340,538,18834
127021511,465,37,573,3640,11389,8413,183,19982,1082,24708
127021512,149,11,251,5027,7763,3402,121,11283,872,17193
127021513,295,15,418,3807,10269,5805,134,16202,807,20821
127021514,91,3,101,2931,5043,1475,74,6592,251,9772
127021515,205,21,293,3061,8890,4866,148,13903,741,17700
127021516,186,9,279,4510,9684,4054,140,13880,701,19091
127021517,88,3,109,2011,4599,1426,60,6083,236,8332
127021518,42,33,103,2357,1450,226,17,1693,374,4422
127021519,204,26,322,6373,8161,2588,142,10885,783,18044
127021520,213,11,233,2354,5810,2281,70,8157,352,10864
127021521,0,0,0,9,19,10,0,27,0,35
127031522,109,32,237,6266,7140,1227,101,8463,930,15662
127031523,151,15,253,10432,6453,1102,66,7623,697,18746
127031524,68,20,283,13541,5724,601,50,6379,789,20706
127031598,207,39,377,6054,13049,4580,173,17801,3317,27172
127031599,65,11,147,4374,4883,1388,110,6386,918,11681
127031600,54,10,179,6929,8785,1081,112,9974,678,17585
127031601,33,9,69,1616,2522,817,36,3372,805,5799
128011529,38,14,367,15311,1425,214,19,1653,517,17473
128011530,104,36,813,13887,3010,491,40,3540,803,18234
128011531,104,76,883,10790,3912,522,39,4479,672,15939
128011602,33,41,382,9410,1497,245,14,1757,596,11766
128011603,23,14,337,10731,850,98,11,963,363,12061
128011604,36,45,538,19792,1906,186,32,2127,1569,23491
128011605,7,0,60,2800,251,12,0,258,94,3148
128011606,15,7,194,6748,651,61,16,722,261,7730
128021533,19,15,279,6062,281,29,9,321,127,6505
128021534,50,3,162,7548,2332,265,16,2620,197,10363
128021535,46,19,328,17599,2627,311,25,2957,571,21129
128021536,29,19,454,18122,2178,303,27,2506,623,21254
128021537,0,0,0,15,3,0,0,3,6,27
128021538,52,31,764,16648,2846,456,31,3332,892,20868
128021607,26,14,281,15572,922,118,9,1047,372,16993
128021608,3,3,99,6704,349,35,6,386,150,7246
128021609,3,0,17,3398,167,17,0,183,72,3652
197979799,3,0,10,279,54,46,0,95,41,412
199999499,15,22,78,7212,1529,320,19,1863,3211,12288
