LGA_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
LGA14170,136,214,186,145,194,100,52,1030,33,30,27,26,40,22,13,199,10,13,7,3,6,5,3,47,333,715,652,489,683,386,220,3469,4,25,14,13,24,20,7,103,14,14,12,5,9,8,9,73,21,39,25,24,35,23,14,176,351,752,675,510,718,407,228,3646,187,257,173,127,163,114,66,1086,3,5,5,3,4,3,0,23,544,1016,858,637,880,525,294,4754
LGA14220,56,85,54,50,41,4,0,287,8,3,7,7,0,0,0,25,7,4,3,0,3,0,0,16,81,148,95,89,83,16,4,521,7,16,8,7,9,0,0,54,5,8,4,0,4,0,0,28,10,28,15,9,9,0,0,81,90,181,114,102,94,16,4,602,150,127,71,41,41,0,0,432,0,3,4,0,5,0,0,21,251,314,195,137,139,15,4,1057
LGA14300,10,18,11,13,0,3,0,60,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,11,20,40,29,27,17,4,0,137,0,4,0,0,3,0,0,10,4,6,0,0,0,0,0,11,8,7,0,4,3,0,0,20,24,40,35,29,21,4,0,158,42,34,18,12,5,4,0,110,3,5,3,0,0,0,0,6,69,81,46,39,31,6,0,273
LGA14350,71,143,111,64,70,8,7,461,15,12,14,9,10,3,0,62,0,7,10,0,8,0,0,28,135,250,203,136,179,28,9,932,7,22,16,10,17,0,0,72,14,13,3,8,0,0,0,42,22,40,15,14,17,0,0,114,157,281,223,152,197,25,9,1046,261,232,125,78,76,8,6,777,9,11,16,3,8,0,0,44,424,529,358,241,277,39,13,1870
LGA14400,23,79,42,17,37,9,5,220,7,15,4,9,6,0,0,42,3,0,0,0,0,0,0,8,53,134,90,56,96,30,12,468,0,0,5,0,6,0,0,8,0,4,0,0,0,0,0,13,0,8,4,0,6,3,0,18,52,142,92,60,99,32,12,484,27,25,16,19,15,0,3,116,0,0,0,0,0,0,0,0,89,163,114,76,113,32,13,601
LGA14500,82,166,135,137,175,118,72,879,16,25,22,19,25,24,6,138,3,15,6,3,7,9,3,44,182,486,427,364,517,362,205,2536,4,14,5,5,26,18,13,87,4,8,11,16,12,11,5,69,12,22,14,22,36,30,20,153,189,511,440,386,553,384,230,2685,84,182,167,142,241,143,86,1048,0,6,5,0,0,0,0,15,274,701,609,529,798,527,315,3755
LGA14550,17,36,26,23,20,0,0,123,5,3,5,5,0,0,0,23,0,0,0,0,0,0,0,0,31,52,57,34,46,6,0,224,0,0,4,0,0,0,0,15,4,4,8,6,0,0,0,15,4,8,12,9,0,0,0,27,35,58,65,38,46,4,0,254,65,50,37,20,23,0,4,208,6,9,7,0,0,0,0,18,107,117,116,64,70,5,4,482
LGA14600,12,27,14,18,11,0,0,80,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,17,44,27,20,24,0,0,133,3,3,0,0,4,0,0,13,0,0,6,3,0,0,0,12,6,9,4,3,4,0,0,20,20,45,33,19,25,0,0,150,30,40,22,12,9,0,0,117,3,3,0,0,0,0,0,15,58,96,59,43,32,0,0,278
LGA14650,457,879,573,406,438,127,42,2931,97,94,67,57,58,14,5,396,22,40,21,14,13,9,0,118,768,1643,1253,927,1093,398,176,6257,32,44,29,25,29,14,0,175,48,89,56,32,37,6,0,272,79,137,78,60,67,18,0,445,847,1782,1329,991,1162,412,179,6699,887,859,532,388,328,54,39,3081,17,17,14,5,9,0,0,61,1744,2660,1876,1379,1499,471,221,9838
LGA14700,30,60,45,12,33,24,12,211,16,15,4,3,5,7,9,53,0,3,0,0,0,0,0,5,80,202,128,88,128,93,47,765,0,0,3,0,0,6,0,15,0,13,6,5,0,3,0,33,5,18,12,5,5,6,0,49,86,213,137,98,127,102,47,809,29,38,27,26,32,24,16,187,0,8,0,0,0,0,0,7,117,258,160,121,163,131,66,1013
LGA14750,28,50,34,11,24,0,0,151,8,5,0,0,0,0,0,9,3,9,0,0,0,0,0,14,45,98,67,37,56,4,0,308,0,5,4,0,0,0,0,15,10,11,6,0,0,0,0,24,13,14,12,5,4,0,0,44,53,113,77,44,58,7,0,354,68,57,43,27,13,4,0,208,4,0,0,0,0,0,0,7,125,170,117,71,77,7,0,568
LGA14850,106,187,160,101,152,17,7,729,23,15,9,14,5,4,0,72,3,5,3,8,7,0,0,28,174,325,283,235,317,59,18,1411,0,4,0,8,9,3,0,25,11,29,22,12,5,0,0,83,15,30,26,14,17,0,0,108,190,358,307,248,331,62,16,1517,207,220,130,96,88,14,7,767,6,7,9,4,0,0,0,24,402,589,442,354,418,78,25,2310
LGA14870,35,88,45,45,58,10,3,291,7,13,4,8,0,0,0,34,3,5,6,0,0,5,0,14,53,148,92,97,94,15,10,511,5,6,6,0,3,0,0,20,11,10,7,0,6,0,0,36,13,17,16,0,11,5,0,58,72,164,107,98,104,20,10,565,116,137,78,58,42,3,0,434,4,3,0,0,0,0,0,14,187,309,189,153,144,23,5,1015
LGA14900,237,447,296,248,286,141,75,1732,106,128,106,66,109,71,45,636,23,38,25,30,27,7,11,164,615,1103,844,703,925,464,305,4947,40,73,37,32,37,24,16,251,40,79,56,48,46,23,9,308,78,156,91,83,82,48,22,557,689,1253,931,793,1006,508,325,5506,1438,1645,983,609,747,370,205,5990,31,59,29,13,11,6,7,157,2161,2959,1940,1420,1761,885,532,11650
LGA14920,13,26,28,15,8,0,0,93,0,5,0,5,0,0,0,12,0,0,0,0,0,0,0,0,22,54,46,32,25,0,0,185,0,3,0,6,0,0,0,15,6,3,7,0,0,0,0,18,3,11,8,6,0,0,0,35,24,61,55,39,31,5,0,214,58,52,32,15,4,4,0,168,0,0,0,0,0,0,0,0,82,114,91,55,36,8,0,387
LGA14950,10,11,3,10,3,0,0,32,0,7,0,0,0,3,0,11,0,0,0,0,0,0,0,0,10,19,10,11,9,5,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6,14,17,12,11,9,5,0,70,18,20,8,4,8,3,0,59,0,0,0,0,0,0,0,0,31,39,15,14,21,3,0,128
LGA15050,242,426,254,175,214,33,22,1348,51,52,36,15,27,4,3,187,26,26,18,4,0,0,0,72,465,848,577,396,536,136,65,3014,17,29,11,17,13,5,0,84,38,47,33,14,23,0,0,161,50,75,50,33,32,5,0,244,515,923,623,431,574,143,63,3266,501,544,285,197,145,29,13,1725,5,8,4,4,0,0,0,25,1018,1474,914,629,718,173,77,5010
LGA15240,229,426,298,203,191,39,10,1389,44,34,32,16,18,3,0,154,17,20,15,8,7,0,0,74,364,712,546,399,428,100,20,2561,22,41,26,20,13,0,0,127,30,42,17,10,17,0,0,118,49,82,44,32,33,0,0,237,416,795,590,432,461,99,20,2802,514,484,294,223,167,21,10,1723,12,26,23,19,8,0,0,82,941,1308,909,671,634,120,27,4605
LGA15270,57,120,57,42,46,5,0,325,10,7,4,9,5,3,0,39,3,9,0,0,0,0,0,15,92,200,127,95,94,19,3,635,3,5,3,3,0,0,0,19,10,12,3,0,0,0,0,28,17,22,10,10,0,0,0,54,107,220,137,100,96,19,3,680,117,131,72,36,24,4,0,392,4,0,3,3,0,0,0,12,225,353,214,143,121,23,8,1083
LGA15300,29,31,18,15,13,0,0,112,8,4,4,4,6,0,0,29,3,3,5,0,0,0,0,16,55,79,72,41,39,7,0,289,0,12,10,0,0,0,0,23,0,0,0,4,0,0,0,10,6,12,11,0,3,0,0,32,62,89,80,46,39,7,0,321,105,75,48,35,15,0,0,284,7,9,6,3,0,0,0,28,172,177,134,90,52,5,0,631
LGA15350,8,25,26,34,37,17,10,164,4,7,0,0,4,0,3,19,0,0,0,0,0,0,0,8,40,113,107,81,110,69,39,552,0,5,7,5,0,3,0,15,0,0,5,8,6,3,4,22,0,4,10,9,6,7,4,35,40,118,114,89,114,74,42,582,15,41,21,22,33,19,15,165,3,0,0,0,0,0,0,6,54,164,135,108,145,96,54,756
LGA15520,20,25,35,26,19,0,0,129,7,3,0,3,5,0,0,20,0,0,0,0,0,0,0,0,38,54,60,46,50,3,0,252,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,11,36,54,66,54,46,3,0,268,36,44,27,9,15,0,0,129,0,0,0,0,0,0,0,4,78,94,91,63,67,3,0,399
LGA15560,5,12,8,8,6,0,0,44,0,5,3,0,0,0,0,7,0,0,0,0,0,0,0,0,14,19,15,16,9,6,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,24,14,16,9,6,0,80,12,12,4,7,4,0,0,39,0,0,0,0,0,0,0,0,25,38,21,20,16,6,0,123
LGA15650,44,75,46,23,39,0,0,224,12,9,5,5,9,6,0,43,4,9,6,0,0,0,0,13,80,160,108,84,96,10,3,531,4,9,0,5,3,0,0,18,11,13,5,0,0,0,0,27,9,16,4,10,3,0,0,44,89,172,114,93,101,10,3,574,114,133,66,44,39,0,0,387,3,7,0,0,0,0,0,10,202,308,175,137,133,12,3,975
LGA15700,51,89,57,43,49,3,0,295,9,11,8,4,0,0,0,24,6,8,3,0,3,0,0,27,76,150,103,87,101,18,0,537,9,10,6,4,6,0,0,31,9,4,6,5,6,0,0,34,13,17,16,7,5,0,0,66,89,165,114,93,108,19,0,594,134,132,64,53,52,10,0,457,13,5,7,10,3,0,0,34,231,304,186,161,168,31,4,1082
LGA15750,20,52,25,25,22,0,0,142,0,11,3,0,0,0,0,19,0,0,4,4,0,0,0,13,38,110,59,47,56,5,0,315,3,7,0,0,0,0,0,13,9,10,5,0,0,0,0,20,9,12,4,5,0,0,0,29,45,123,64,54,56,5,0,354,76,57,44,27,24,0,0,224,0,4,0,0,0,0,0,4,124,178,109,77,78,6,0,576
LGA15800,18,33,15,14,16,4,0,89,0,0,0,0,4,0,0,4,3,0,0,0,0,0,0,4,23,50,31,25,35,5,0,174,0,11,3,7,0,0,0,21,0,6,5,0,0,0,0,11,8,13,8,7,0,0,0,38,28,64,42,35,35,5,0,208,50,39,20,10,10,0,0,130,3,0,0,0,0,0,0,5,85,103,58,47,42,7,0,342
LGA15850,19,42,22,15,11,0,0,104,0,7,3,4,0,0,0,18,0,4,0,0,0,0,0,5,32,65,44,31,38,3,0,216,0,0,5,0,3,0,0,7,0,7,3,0,0,0,0,14,0,3,4,0,4,0,0,18,35,74,56,32,40,3,0,241,39,30,26,12,7,0,0,119,0,0,0,0,0,0,0,0,75,99,81,51,49,4,0,360
LGA15900,297,524,362,286,319,97,56,1940,50,58,21,16,23,13,10,190,13,20,10,8,9,6,6,64,536,1086,810,654,861,307,175,4434,21,28,34,14,20,3,3,127,27,52,35,19,22,10,0,158,47,83,70,31,44,11,4,286,584,1172,881,686,906,316,180,4723,470,492,309,208,200,56,35,1775,15,13,5,10,5,0,0,41,1069,1670,1196,901,1107,376,219,6536
LGA15950,46,85,62,42,58,46,24,372,15,21,8,3,12,11,5,76,4,0,0,0,0,3,0,8,145,326,228,165,228,177,105,1377,0,6,11,6,6,3,5,36,3,4,5,6,6,0,0,24,4,16,10,7,13,3,5,60,149,340,241,171,241,181,108,1435,30,67,49,30,49,36,26,298,3,6,0,0,0,0,0,7,182,413,288,198,294,225,141,1739
LGA15990,214,441,345,288,407,196,123,2022,60,67,74,56,70,48,20,398,7,9,5,9,9,6,4,58,497,1051,979,878,1188,612,341,5546,9,28,15,16,22,11,7,110,10,16,12,17,21,10,4,93,20,46,30,32,50,17,11,204,519,1092,1001,912,1232,630,359,5748,221,300,247,165,221,99,84,1327,12,8,7,4,4,4,0,33,748,1402,1252,1075,1459,733,441,7111
LGA16100,10,14,10,0,7,0,0,48,3,0,4,0,0,0,0,9,0,0,3,0,0,0,0,7,18,32,36,22,22,7,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,4,16,34,36,22,22,7,0,138,23,19,9,7,8,0,0,70,0,0,0,0,0,0,0,3,45,48,50,32,31,7,0,211
LGA16150,122,206,131,80,84,16,0,639,22,17,13,3,7,0,0,64,0,14,0,3,3,0,0,22,243,424,303,206,252,48,11,1484,10,12,12,6,3,0,0,38,11,21,15,7,8,4,0,59,24,29,24,14,11,4,0,100,264,457,326,215,262,48,11,1586,212,203,133,83,66,6,0,697,7,11,3,3,7,0,0,31,480,663,461,302,335,55,11,2315
LGA16200,31,80,49,54,35,4,0,252,4,3,3,0,5,0,0,24,0,10,3,0,4,0,0,15,79,148,101,86,88,7,4,510,3,6,11,10,0,0,0,22,9,14,4,6,5,0,0,37,9,20,14,13,4,0,0,59,91,173,111,95,92,7,4,575,102,80,55,35,26,4,0,298,6,0,0,6,0,0,0,12,187,255,170,133,119,10,4,878
LGA16260,197,405,268,215,259,168,94,1605,66,94,55,51,73,47,48,429,12,27,12,5,4,6,4,77,513,1041,731,596,795,557,372,4601,23,43,28,17,30,20,0,162,22,29,27,20,27,17,8,155,49,69,56,40,49,35,16,317,561,1114,790,639,852,593,384,4926,479,688,358,290,370,242,163,2588,15,30,11,7,6,3,6,64,1053,1824,1160,933,1224,832,552,7574
LGA16350,420,638,437,296,328,103,59,2278,163,205,147,90,96,35,19,747,22,43,34,12,8,6,6,130,990,1636,1200,828,1073,406,201,6328,38,64,50,34,33,6,4,235,41,92,54,30,19,4,5,239,83,156,107,67,47,3,3,472,1078,1792,1309,895,1120,414,205,6803,1434,1339,724,437,435,131,56,4552,31,31,20,17,15,4,0,116,2540,3158,2053,1348,1565,549,263,11476
LGA16380,176,362,266,197,196,44,4,1234,36,30,18,14,20,4,0,119,7,13,10,6,4,0,0,40,306,587,496,398,461,91,24,2358,4,12,18,6,8,0,0,56,27,33,14,11,11,3,0,105,31,47,34,25,21,9,0,160,332,635,524,419,483,95,29,2523,385,356,227,147,159,28,14,1317,12,12,8,9,5,0,0,47,739,1000,756,579,645,125,40,3889
LGA16400,130,277,201,176,171,39,12,1015,42,34,28,17,16,0,0,143,14,17,15,9,6,0,0,64,242,538,418,358,398,90,32,2081,15,22,19,14,9,3,0,83,16,21,13,17,6,0,0,77,31,44,38,31,16,0,0,161,276,586,456,381,419,95,33,2239,360,382,218,171,130,19,12,1283,11,17,12,6,8,0,0,53,637,985,687,565,549,115,47,3580
LGA16490,80,142,87,57,49,17,5,439,23,26,14,18,3,4,3,97,8,0,6,5,3,0,0,29,219,425,324,212,267,79,43,1565,7,12,10,9,5,0,3,39,6,10,8,7,5,0,0,39,11,21,16,11,14,0,3,77,234,442,342,223,275,79,46,1648,177,153,74,50,45,8,0,511,4,0,4,5,0,0,0,14,413,598,412,280,323,94,45,2167
LGA16550,111,174,154,129,154,71,46,853,38,36,30,18,34,11,16,190,0,12,4,3,7,5,6,39,264,565,455,348,498,273,139,2540,9,15,11,6,18,10,4,81,14,9,12,11,6,6,4,65,17,26,27,17,28,21,9,144,286,589,477,362,525,292,152,2691,188,228,139,107,129,93,72,945,0,7,4,4,0,0,0,16,476,822,622,475,651,383,224,3645
LGA16610,38,80,56,54,46,11,0,281,21,21,11,4,4,0,0,57,0,3,0,0,4,4,0,13,95,165,159,91,110,21,4,647,5,9,5,7,3,0,0,24,13,11,6,3,0,0,0,35,15,14,10,8,3,0,4,57,113,178,163,101,112,21,8,708,156,154,96,55,46,3,0,515,6,3,8,0,5,0,0,18,273,337,270,155,166,25,7,1241
LGA16700,100,197,110,94,118,76,43,738,32,31,23,10,34,21,15,166,6,5,4,0,0,5,0,29,265,491,347,269,386,243,167,2173,10,12,5,5,10,8,0,52,4,17,13,0,12,13,10,71,14,31,22,10,19,15,11,121,278,522,369,278,404,257,177,2296,158,229,141,98,161,85,74,945,8,0,0,0,8,0,0,24,443,759,518,380,568,347,251,3258
LGA16900,173,294,232,143,187,43,22,1095,67,73,57,19,23,14,4,260,6,10,9,4,4,3,0,32,329,585,478,316,415,130,57,2303,7,15,16,12,12,4,0,72,23,18,12,11,8,0,0,82,35,36,23,28,20,4,3,151,362,624,508,339,430,133,63,2461,399,375,221,168,143,34,17,1351,7,11,17,7,0,0,0,40,768,1012,739,517,574,167,77,3854
LGA16950,214,470,328,233,226,51,10,1529,57,56,28,28,16,4,0,189,18,19,6,9,11,3,0,62,395,807,599,455,500,117,34,2903,15,25,21,11,17,3,0,98,30,28,11,8,13,0,0,100,46,54,33,24,31,3,0,200,439,866,643,476,533,115,34,3104,509,450,269,188,164,29,11,1613,10,4,7,3,0,0,0,36,955,1322,914,672,700,145,44,4753
LGA17000,41,88,56,33,37,4,0,266,12,19,6,4,0,0,0,44,3,8,6,5,4,0,0,20,90,187,121,78,80,20,9,582,5,10,3,0,0,0,0,18,11,16,11,5,0,0,0,47,13,24,17,11,0,0,0,68,102,211,135,88,84,24,9,648,112,126,66,35,38,4,0,392,0,4,3,0,0,0,0,11,212,340,210,126,125,29,9,1050
LGA17040,23,60,46,42,39,4,5,215,0,4,0,3,0,0,0,14,0,0,7,0,8,0,0,13,39,116,100,86,109,9,13,476,0,0,0,0,0,0,0,8,0,8,0,4,3,0,0,14,0,8,0,5,8,0,0,23,41,122,106,94,110,9,12,497,64,52,34,19,19,0,0,186,0,0,3,0,0,0,0,8,105,178,143,106,134,11,12,689
LGA17080,29,45,43,24,27,0,0,166,4,7,0,5,4,0,0,26,0,0,0,0,0,0,0,8,51,87,93,53,68,9,0,372,0,0,4,5,0,0,0,13,0,12,5,0,5,0,0,27,4,14,10,5,5,0,0,44,54,108,103,61,79,11,0,411,82,71,39,25,10,5,6,222,3,7,0,4,0,0,0,12,139,178,145,82,89,16,6,649
LGA17100,29,45,45,23,46,43,22,250,6,14,10,9,9,14,15,61,6,3,0,0,0,0,0,10,63,116,112,64,112,94,71,633,0,8,0,5,12,0,6,29,4,8,15,12,7,3,0,47,7,19,14,12,15,8,7,75,63,130,130,76,129,104,75,712,57,94,57,47,69,53,37,417,3,0,0,0,0,0,0,10,123,225,189,128,198,153,113,1133
LGA17150,189,480,360,286,350,185,100,1944,102,125,81,52,69,35,21,487,12,16,10,10,10,5,0,63,466,1153,919,765,1029,522,286,5142,10,16,14,15,21,9,3,94,18,28,22,9,18,8,7,106,36,47,31,25,34,18,9,201,501,1202,955,791,1067,536,297,5347,301,382,253,159,221,96,48,1458,3,11,5,6,3,0,0,34,802,1594,1205,956,1296,637,348,6836
LGA17200,122,171,125,68,122,71,57,742,38,41,28,11,19,8,7,162,9,14,8,3,0,5,4,39,352,549,348,230,350,231,164,2227,8,10,14,6,16,17,10,75,12,18,6,9,13,3,9,70,21,22,24,17,32,13,17,141,370,573,373,242,374,249,183,2368,262,236,166,138,172,141,94,1210,6,0,6,0,6,6,6,26,644,808,545,379,554,397,277,3609
LGA17310,188,317,200,119,125,21,5,978,29,40,25,14,12,3,0,116,13,11,14,3,4,0,0,46,347,639,420,277,359,51,9,2097,19,33,24,15,13,0,0,107,30,43,25,18,25,4,0,144,44,72,50,38,38,6,0,253,393,714,473,315,399,51,11,2348,449,382,193,134,114,15,0,1292,16,17,13,11,4,0,0,56,856,1108,680,451,516,65,15,3700
LGA17350,13,33,29,14,10,3,0,99,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,23,42,51,23,26,9,0,168,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,3,23,44,51,23,26,9,0,171,25,11,8,8,13,0,0,73,0,0,0,0,0,0,0,5,54,60,57,33,39,8,0,249
LGA17400,9,14,21,10,9,0,0,56,0,0,0,0,0,0,0,3,4,7,4,0,0,0,0,6,11,31,40,25,20,3,0,123,0,0,4,4,0,0,0,9,0,4,0,0,0,0,0,12,4,4,4,4,3,0,0,20,15,40,45,26,21,3,0,145,50,44,27,14,17,0,0,157,0,0,0,0,0,0,0,4,64,86,71,42,39,9,0,309
LGA17420,138,259,208,162,213,130,66,1166,45,66,42,22,46,28,14,258,4,13,10,8,10,3,3,49,330,703,620,505,704,448,248,3561,14,12,13,15,20,14,7,88,17,22,13,17,13,5,7,88,28,34,27,27,31,15,12,172,356,739,645,532,730,463,260,3733,215,280,167,127,170,100,70,1131,8,4,0,6,0,0,0,21,579,1030,812,662,902,566,330,4880
LGA17550,200,386,294,220,262,57,33,1443,34,58,14,29,26,11,3,182,21,20,8,12,14,0,0,77,332,689,547,430,560,136,65,2757,13,18,13,8,15,0,0,73,15,37,23,15,6,0,0,108,31,55,41,30,23,3,0,176,361,740,582,458,578,138,69,2933,313,335,200,170,142,29,15,1194,11,19,12,5,6,0,0,55,685,1097,796,637,725,168,86,4186
LGA17620,20,41,25,30,21,3,4,143,6,0,0,0,0,0,0,8,0,6,0,4,0,0,0,8,42,90,62,55,68,9,5,325,0,0,0,4,5,0,0,11,4,0,0,0,0,0,0,6,4,0,3,4,5,0,0,19,47,92,69,59,67,9,5,343,63,43,28,16,10,0,0,176,0,4,0,0,0,0,0,5,110,140,92,77,82,13,5,520
LGA17640,10,27,11,13,10,0,0,76,3,0,0,0,0,0,0,3,0,0,0,0,4,0,0,4,23,48,25,18,33,6,4,155,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,50,25,18,33,6,4,159,27,13,7,7,4,0,0,57,0,0,0,0,0,0,0,4,46,59,35,25,35,9,4,213
LGA17650,14,14,16,12,12,0,0,67,0,0,0,0,3,0,0,8,0,0,0,3,0,0,0,4,18,24,23,18,30,10,0,125,3,3,4,5,0,0,0,8,0,0,0,7,0,0,0,11,3,5,5,9,0,0,0,22,22,32,31,29,32,10,0,146,34,32,11,12,14,0,0,109,0,4,0,0,0,0,0,3,51,66,41,39,50,8,0,255
LGA17750,178,308,197,133,109,18,11,954,32,23,10,7,5,0,0,81,14,22,7,4,0,4,0,46,329,553,423,303,334,79,30,2052,23,36,17,9,11,6,0,93,15,41,9,5,5,4,0,80,40,69,31,12,16,5,0,176,371,621,450,314,349,86,34,2229,395,326,158,121,92,15,8,1109,8,10,4,3,5,0,0,40,776,962,616,439,444,98,41,3380
LGA17850,0,6,6,4,5,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,12,8,12,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,4,7,11,13,12,0,0,51,7,16,4,0,0,3,0,38,0,3,0,0,0,0,0,3,17,32,18,13,17,6,0,89
LGA17900,9,22,10,6,3,0,0,47,3,5,0,0,0,0,0,4,0,0,0,0,0,0,0,5,16,40,22,15,13,4,0,108,0,0,0,4,0,0,0,4,0,5,0,4,4,0,0,10,0,5,0,8,4,0,0,11,16,42,23,17,14,4,0,118,45,45,20,16,13,0,0,131,0,0,0,0,0,0,0,8,59,91,45,32,28,4,0,262
LGA17950,13,6,3,3,4,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,9,8,7,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,16,8,9,10,7,0,0,54,19,10,0,0,4,0,0,41,3,6,4,0,0,0,0,4,38,26,12,17,6,0,0,104
LGA18020,21,30,31,18,26,3,0,128,7,0,0,4,0,0,0,13,0,0,5,0,0,0,0,7,31,47,50,40,44,6,0,223,0,3,3,5,3,0,0,15,0,5,0,0,5,0,0,17,0,7,9,0,5,0,0,30,32,59,60,42,52,10,0,260,44,37,30,11,26,5,0,142,4,0,0,0,0,0,0,0,75,91,90,54,78,13,0,408
LGA18050,36,105,82,65,65,51,25,433,10,18,18,12,13,6,4,74,0,5,0,0,0,0,0,12,120,264,238,180,246,129,67,1248,3,11,13,3,5,5,4,45,0,4,7,0,7,0,0,23,7,10,18,11,13,9,3,68,125,281,260,189,255,138,74,1318,41,82,68,61,70,33,21,366,0,0,0,0,8,5,0,17,162,364,332,253,330,173,93,1700
LGA18100,8,12,0,10,7,0,0,38,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,12,18,4,13,14,0,0,60,0,3,4,0,0,0,0,11,3,0,0,0,0,0,0,3,3,3,4,0,0,0,0,11,14,19,10,17,14,3,0,74,13,16,9,7,7,0,0,52,0,0,0,0,0,0,0,0,26,34,23,22,19,3,0,119
LGA18200,6,10,9,9,14,0,0,46,0,3,0,0,4,0,0,13,0,0,0,0,0,0,0,8,13,31,24,21,37,9,4,129,0,3,0,0,0,0,0,3,3,4,0,0,0,0,0,12,5,9,3,0,4,0,0,18,18,38,23,16,37,9,4,146,34,24,21,8,7,0,0,96,3,5,3,0,0,0,0,15,59,67,44,26,45,11,4,258
