LGA_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
LGA14700,186,253,64,79,136,66,7,26,8,830,214,287,102,131,203,85,21,35,10,1091,194,134,428,175,185,121,37,62,17,1348,19,20,10,15,25,16,4,7,0,111,54,53,22,30,80,33,6,14,0,291,36,56,24,8,33,16,6,4,6,182,38,49,17,9,21,14,7,15,56,225,4163,9018,1072,919,2053,856,163,296,301,18853
LGA14750,35,30,15,31,18,5,7,10,0,139,40,37,17,73,34,10,10,24,10,249,210,83,451,162,166,55,133,135,34,1432,14,6,14,17,20,7,4,17,4,93,18,5,8,13,23,7,9,21,0,92,4,0,0,0,4,0,8,9,0,29,12,5,9,12,11,6,15,21,11,103,452,609,547,375,338,106,184,279,58,2951
LGA14850,113,172,61,134,95,36,12,35,9,663,199,240,118,376,238,84,34,83,20,1396,561,225,1470,801,617,313,315,575,61,4945,29,10,31,58,76,52,22,65,4,340,53,37,28,92,94,52,15,56,7,441,14,18,8,15,22,12,3,12,3,107,36,43,28,45,36,38,22,37,42,324,1733,3918,1958,2053,1622,722,469,1040,188,13703
LGA14870,60,69,43,61,35,13,9,13,3,299,71,70,61,115,108,23,21,26,6,508,264,112,868,395,289,117,379,227,26,2679,18,3,19,29,54,20,16,26,0,183,18,14,14,30,43,16,12,22,0,168,11,0,5,4,11,0,5,4,0,41,23,11,15,30,20,16,29,28,20,181,689,1028,1083,800,682,235,491,376,77,5455
LGA14900,545,713,480,485,808,226,294,222,63,3829,1065,1009,740,1557,1496,547,452,313,119,7297,1483,773,4890,1921,2016,847,1564,1162,255,14915,102,41,95,147,291,115,109,117,14,1026,186,142,173,299,496,167,224,213,28,1932,88,144,77,67,125,46,67,56,17,684,154,248,139,180,264,108,173,165,262,1698,7454,17101,7909,6857,9195,3261,3761,2935,1184,59658
LGA14920,41,36,0,21,8,4,4,11,0,118,30,23,9,42,24,3,5,6,0,139,120,39,207,110,78,41,139,95,10,846,7,0,4,6,19,11,0,12,4,59,23,9,3,14,5,3,10,14,0,80,6,0,0,3,4,0,0,4,0,16,14,5,9,7,11,3,11,13,12,86,340,355,251,225,186,78,188,168,22,1806
LGA14950,22,5,0,17,4,0,0,0,0,52,34,7,11,25,17,3,0,5,0,103,108,21,111,45,40,25,30,39,3,425,7,4,0,4,3,4,4,5,0,34,20,3,0,3,4,4,0,3,0,40,6,3,0,0,0,0,0,0,0,13,3,4,4,3,3,0,0,3,9,29,245,162,141,118,88,52,41,60,19,920
LGA15050,272,399,210,244,215,63,46,55,17,1513,498,512,368,852,594,195,127,130,51,3338,1171,623,4504,1983,1710,753,1441,888,191,13269,57,22,59,125,140,114,79,104,3,704,96,55,78,162,182,75,54,78,9,789,19,46,24,24,37,17,13,19,4,195,48,71,50,97,88,39,67,90,74,627,3428,6904,5613,4205,3651,1474,1952,1520,409,29152
LGA15240,229,354,113,260,215,74,31,52,15,1341,302,377,197,706,334,178,32,119,27,2261,1192,535,3024,1847,932,677,665,1121,157,10147,70,22,65,116,126,113,44,97,7,654,108,59,71,151,189,77,49,88,13,804,29,37,17,29,34,15,4,30,0,189,92,101,86,180,79,86,67,129,105,913,2913,5321,3747,3785,2319,1361,939,1755,401,22544
LGA15270,92,92,50,76,59,21,24,20,7,442,117,76,82,159,115,50,39,39,9,682,435,139,1298,395,327,166,630,327,56,3772,28,8,23,14,39,40,30,34,3,214,48,4,13,40,49,21,29,31,4,248,13,10,7,4,10,4,15,10,0,65,24,23,23,24,29,18,30,28,28,232,1151,1530,1581,883,759,376,822,534,123,7760
LGA15300,65,43,10,40,27,3,5,10,0,197,72,52,26,77,59,23,9,17,5,342,184,51,349,156,133,62,131,134,24,1224,12,3,5,10,24,9,8,22,0,89,24,3,5,12,23,11,4,6,0,91,4,6,0,0,4,0,4,9,0,25,33,14,17,14,19,12,12,16,10,141,615,684,433,389,373,130,199,239,53,3118
LGA15350,160,187,36,35,115,69,6,14,14,640,158,175,65,75,106,82,11,17,13,699,134,73,185,74,94,71,21,50,10,710,6,14,3,5,11,12,0,0,0,51,39,39,11,10,42,21,8,5,3,185,35,42,8,0,12,8,0,0,11,118,31,47,8,10,25,15,0,3,34,175,3146,5477,473,492,1198,648,85,159,281,11950
LGA15520,64,40,17,42,28,7,3,14,9,219,79,54,23,85,53,18,3,30,3,345,304,41,489,170,144,67,110,147,21,1496,16,0,6,0,18,9,0,18,0,65,23,3,3,19,18,9,3,15,0,96,7,3,0,3,0,5,0,0,0,27,33,11,15,8,18,6,10,40,6,154,759,740,582,406,359,148,146,294,51,3487
LGA15560,27,15,3,3,11,0,0,0,0,62,22,15,9,11,18,6,0,7,0,87,107,9,97,34,40,16,57,35,6,398,7,0,4,7,3,4,5,6,0,34,14,0,3,6,8,4,0,3,0,37,3,0,0,0,0,0,0,0,0,4,12,0,3,3,9,0,9,0,5,43,272,141,121,83,113,33,72,71,16,931
LGA15650,48,43,37,39,17,9,24,14,3,238,52,43,49,96,56,27,45,24,5,413,174,78,974,252,244,104,479,208,47,2547,17,0,12,12,20,13,22,28,4,137,5,4,16,16,35,15,24,21,3,143,5,0,3,0,5,3,5,6,0,33,15,19,18,25,16,13,33,34,20,182,444,690,1166,510,463,205,661,378,79,4596
LGA15700,52,55,15,57,41,18,5,5,0,253,69,59,35,148,82,30,8,28,3,461,233,81,602,403,207,110,133,248,31,2049,20,5,14,28,25,24,3,27,0,155,23,15,16,41,30,16,10,20,0,164,7,5,6,7,0,4,3,7,0,40,31,9,24,36,22,17,17,39,27,205,648,1082,734,835,497,241,183,419,77,4715
LGA15750,47,32,13,30,20,3,16,4,0,165,60,43,24,84,45,14,22,15,4,311,215,74,450,174,183,80,254,115,25,1578,12,3,9,8,20,10,7,18,0,94,18,4,9,18,26,17,18,26,0,134,0,3,4,0,5,0,3,3,0,24,28,7,11,10,11,13,26,26,18,141,579,715,547,396,386,157,364,230,51,3421
LGA15800,30,16,9,9,15,3,5,3,0,89,24,10,9,42,20,6,4,9,0,119,107,25,178,67,52,23,46,66,16,582,14,0,4,5,9,9,8,11,0,50,13,0,9,8,11,8,6,7,0,52,0,0,0,3,0,0,0,0,0,9,11,0,10,6,9,6,7,11,4,68,262,269,234,190,135,56,68,119,26,1360
LGA15850,21,13,4,16,12,8,0,3,4,80,39,21,6,39,25,7,0,3,5,145,110,26,208,95,64,32,86,76,13,727,15,4,7,9,7,4,3,4,0,49,11,3,3,6,10,5,8,4,0,58,4,0,0,0,5,0,0,0,0,12,13,4,5,8,3,4,5,11,5,61,328,316,246,196,170,69,115,115,29,1593
LGA15900,526,818,306,443,490,169,65,100,30,2955,895,1074,658,1339,1005,361,175,253,67,5827,1654,1069,5854,2819,2193,1028,1271,1238,220,17351,103,63,83,203,235,151,85,135,15,1067,122,139,111,235,329,137,93,124,13,1315,41,124,34,79,63,36,22,41,15,458,112,180,121,128,149,72,56,114,160,1099,7913,23528,8225,7345,6972,2791,2104,2531,778,62183
LGA15950,398,524,110,158,281,132,18,47,19,1687,508,471,198,243,326,191,21,55,31,2050,400,277,633,246,320,174,50,71,33,2194,49,17,14,15,54,15,6,12,0,178,101,117,32,40,148,57,18,14,6,530,66,128,17,24,54,23,3,4,12,342,82,98,17,27,68,28,11,9,71,417,8499,17624,1679,1617,3851,1650,232,454,542,36152
LGA15990,1773,2083,594,817,1270,570,174,230,89,7607,1955,1946,929,1360,1662,752,222,290,115,9223,2905,1294,7301,1877,1899,1042,749,1083,239,18391,168,142,111,149,324,147,42,94,21,1194,555,427,222,351,773,327,111,156,39,2942,242,277,112,99,193,88,33,38,13,1111,319,388,161,170,303,151,83,110,267,1954,24598,38321,11350,8085,11774,5793,2036,2857,1538,106351
LGA16100,19,14,5,15,11,4,3,5,4,79,11,16,10,28,16,12,0,10,4,106,114,29,250,76,52,28,84,80,13,724,5,0,4,4,5,0,7,10,0,46,11,4,7,8,10,5,5,3,0,56,0,0,0,0,0,0,0,3,0,12,17,7,4,10,8,9,18,9,6,89,277,291,295,180,141,66,127,131,38,1538
LGA16150,125,173,63,129,125,35,23,29,9,710,206,231,165,376,267,68,41,60,23,1443,494,270,1773,783,663,311,458,420,59,5235,33,12,37,36,70,37,24,47,5,310,27,26,29,72,114,39,32,41,6,401,18,23,7,11,16,5,3,7,3,99,16,40,22,39,46,29,27,45,38,302,1759,4398,2315,1901,1738,638,673,755,177,14360
LGA16200,34,53,15,45,26,8,9,9,0,197,69,53,26,90,65,14,17,16,3,351,265,80,507,225,224,91,265,148,25,1819,16,5,7,16,25,11,6,20,0,110,28,13,10,27,19,9,17,16,0,142,9,0,3,4,7,0,0,0,3,28,26,10,7,21,19,6,13,21,4,134,653,887,624,501,451,156,340,246,54,3903
LGA16260,844,941,526,557,856,338,291,287,65,4716,1210,1209,1000,1371,1360,669,437,516,111,7885,1328,773,3539,1440,1477,740,733,759,178,10960,116,71,91,123,245,109,50,84,6,884,234,181,179,232,488,183,115,111,33,1766,173,374,81,107,156,90,76,68,38,1170,170,309,141,129,230,96,100,144,373,1709,14591,40887,8921,7812,13394,5560,3607,3974,1870,100609
LGA16350,579,713,294,557,645,186,191,152,48,3368,1181,1149,682,1715,1668,520,437,291,116,7763,2526,1273,8242,3109,3555,1398,2598,2010,449,25153,133,89,117,179,442,164,163,160,17,1465,260,133,180,319,596,176,231,217,17,2136,85,115,61,59,136,52,56,54,7,621,149,182,133,194,238,120,195,156,221,1594,8223,15714,10739,8281,10059,3504,4709,3628,1147,65995
LGA16380,246,401,135,226,258,78,25,51,23,1429,363,421,245,677,504,191,41,137,29,2609,1067,501,3163,1837,1191,729,544,833,156,10033,58,34,49,114,125,96,35,91,3,614,100,66,55,189,190,85,41,100,9,833,31,41,26,34,48,18,0,15,3,208,79,73,50,100,77,52,45,74,78,637,3096,6900,3979,3872,3026,1423,780,1446,357,24885
LGA16400,193,334,118,202,209,55,26,38,15,1195,353,377,294,606,429,143,73,99,34,2408,944,469,3362,1422,1039,549,774,747,176,9484,47,21,64,94,134,81,39,67,5,545,82,38,63,130,157,72,53,87,9,689,13,29,19,19,28,15,15,15,0,151,59,54,46,82,66,52,54,73,67,562,2612,4450,4173,3061,2541,1095,1082,1242,381,20626
LGA16490,349,315,128,172,283,52,24,47,29,1393,605,553,258,452,592,124,58,78,48,2773,965,527,2473,730,1044,275,415,457,129,7028,49,25,40,60,129,48,15,50,0,423,87,68,41,68,153,45,26,44,10,548,33,41,23,25,27,11,9,12,6,182,52,74,34,42,101,41,46,29,73,491,5048,6983,3381,2383,3637,961,764,953,520,24624
LGA16550,616,767,274,324,508,232,69,110,45,2954,709,748,426,598,711,287,113,168,56,3805,936,434,2888,750,740,369,309,524,114,7061,61,49,42,83,107,68,21,35,5,468,169,139,101,159,288,124,46,79,6,1112,105,205,61,57,98,42,17,29,13,634,108,191,79,96,132,63,38,67,173,943,10656,24002,5079,3918,6108,2756,1052,1665,903,56136
LGA16610,39,51,22,57,30,8,7,11,5,230,88,61,31,152,92,26,17,30,0,495,294,101,801,493,305,171,216,393,35,2809,21,8,12,24,35,24,17,41,0,178,20,11,11,55,30,25,8,32,0,196,3,7,0,7,10,4,0,10,3,53,31,17,6,29,23,24,21,50,19,221,707,1001,921,933,628,309,297,629,82,5505
LGA16700,541,600,296,277,482,184,85,131,36,2631,647,702,492,598,707,360,121,191,54,3868,754,429,1974,612,784,364,276,352,82,5623,57,53,41,34,124,59,21,40,7,443,149,138,105,123,303,99,41,63,13,1032,82,152,63,56,87,36,27,33,15,560,83,178,75,71,135,66,31,39,161,835,9049,23025,4745,3579,7106,2993,1078,1554,864,53991
LGA16900,205,258,138,282,201,53,38,40,9,1227,397,461,325,827,501,187,94,122,44,2954,900,502,3630,1572,1283,568,1033,876,162,10530,34,30,55,90,137,76,41,77,8,545,92,65,64,176,191,81,59,81,15,832,14,38,23,21,31,9,14,13,3,173,46,55,54,79,79,42,52,63,64,544,2574,5309,4498,3652,3013,1212,1394,1402,362,23412
LGA16950,320,427,155,328,247,87,30,64,21,1682,493,454,330,861,464,173,55,133,33,2990,1420,618,4437,2033,1274,781,735,1228,177,12704,81,33,60,104,165,119,33,110,4,717,109,66,72,218,176,106,41,129,12,938,32,42,24,24,49,27,3,16,4,231,104,86,88,133,108,89,48,116,72,837,4011,7183,5496,4497,3148,1699,1002,2060,418,29506
LGA17000,79,67,44,61,65,13,15,11,3,369,103,102,91,164,113,42,65,27,6,714,355,175,1481,484,404,173,821,272,57,4222,14,7,14,35,45,17,42,38,0,216,26,5,18,36,70,12,35,16,7,230,9,9,7,3,10,8,0,10,5,55,20,15,28,26,27,18,31,24,32,219,946,1355,1782,953,872,333,1049,434,127,7854
LGA17040,114,85,35,78,56,24,13,20,7,429,148,96,70,163,109,59,16,41,14,721,506,98,904,370,323,188,254,306,46,2980,29,13,13,24,36,17,16,29,4,176,49,14,17,42,43,22,18,21,12,242,11,10,7,7,10,4,4,7,5,60,45,21,18,25,22,18,21,32,28,220,1479,1592,1159,950,796,418,366,584,146,7486
LGA17080,74,38,16,42,27,5,7,16,3,224,60,51,27,97,50,14,3,31,6,340,275,85,599,242,173,81,201,205,41,1901,23,0,9,14,21,9,13,30,0,118,25,14,8,26,28,13,9,19,0,133,3,0,0,0,4,4,0,0,0,23,24,8,4,14,13,7,24,26,21,136,723,766,685,523,404,147,279,390,81,4002
LGA17100,135,112,138,111,165,103,44,129,21,952,180,154,190,265,219,141,70,202,20,1445,166,82,521,262,192,117,102,120,25,1583,9,0,15,19,20,7,4,13,0,92,33,22,29,40,81,33,20,25,8,287,22,96,25,17,32,11,15,31,5,254,28,69,27,30,38,18,14,46,92,358,2341,7298,1571,1529,2275,1181,643,1162,399,18412
LGA17150,1246,1549,466,931,1222,395,113,176,90,6186,1977,1766,879,1751,2123,730,192,237,127,9772,3472,1441,9122,2299,2916,1332,1101,1385,328,23399,163,117,102,145,393,196,53,87,6,1253,498,322,218,341,927,290,104,184,30,2924,148,223,76,75,194,72,17,45,13,862,225,272,106,193,356,136,59,91,178,1628,16584,28698,12144,8183,12283,4606,1972,2678,1214,88354
LGA17200,966,1236,639,578,568,414,115,365,75,4951,1457,1523,941,1160,952,668,189,514,104,7510,1233,869,2522,1015,934,556,244,576,132,8083,107,93,71,112,127,85,31,77,9,705,270,259,150,186,263,160,51,92,19,1451,142,336,95,99,121,69,30,74,27,1000,225,325,118,140,143,122,76,142,333,1623,20687,49506,7406,7039,10596,5532,1596,3556,1806,107731
LGA17310,183,239,67,193,145,39,34,50,7,946,315,299,146,522,332,104,59,102,30,1904,943,401,2458,1113,953,533,651,754,97,7899,59,16,40,78,116,68,29,101,5,512,82,50,49,100,155,72,46,75,4,629,24,25,19,21,14,18,7,33,5,155,67,51,54,75,64,45,42,112,54,563,2479,4753,2996,2592,2172,989,921,1505,248,18651
LGA17350,21,24,6,21,14,0,0,3,9,90,14,25,12,44,22,3,6,3,0,127,164,39,219,86,71,42,57,87,8,777,9,8,5,17,15,6,9,10,0,72,11,4,0,5,15,4,5,9,0,51,0,4,3,0,3,0,0,4,0,14,19,5,0,11,11,5,0,12,4,67,337,362,264,218,167,78,74,134,22,1646
LGA17400,28,25,3,14,13,6,0,0,4,86,34,23,8,31,29,8,0,7,3,151,134,29,163,88,67,31,54,64,17,639,7,0,0,8,12,8,3,13,0,51,9,0,3,9,8,8,3,8,0,48,5,0,0,0,0,0,0,0,0,12,22,7,5,12,11,8,6,15,11,92,347,303,195,195,171,73,77,124,38,1516
LGA17420,1048,1153,394,498,932,321,124,151,42,4663,1302,1298,615,920,1307,530,132,180,78,6352,2023,842,4007,1095,1509,804,559,678,148,11663,103,69,56,95,256,118,31,63,3,790,350,246,161,194,532,219,73,109,22,1907,130,268,58,54,150,59,22,17,18,778,202,253,79,102,197,85,42,44,208,1209,15538,29292,7077,5069,10504,3989,1534,1905,1104,76002
LGA17550,258,442,156,317,221,111,27,78,21,1632,468,425,328,863,474,224,78,194,35,3090,1157,464,3761,1539,1062,650,619,1075,165,10491,58,31,52,112,106,87,27,100,9,588,117,74,70,177,198,110,53,108,16,911,27,49,21,36,34,16,9,18,8,226,83,108,88,119,91,62,51,119,104,835,3650,7417,4845,4054,2998,1540,980,1983,487,27960
LGA17620,65,44,22,35,27,11,12,17,5,237,71,49,35,70,66,23,15,44,4,383,244,58,704,183,154,86,355,233,27,2047,20,6,19,17,23,6,13,23,0,125,29,8,9,24,29,11,13,25,3,150,3,5,4,0,0,0,10,6,4,31,42,9,15,15,8,3,26,32,21,168,681,775,865,414,389,167,450,448,66,4252
LGA17640,65,43,15,39,13,5,0,5,3,193,68,29,21,55,56,12,3,11,9,265,245,43,281,140,90,52,76,105,15,1052,19,5,6,12,11,3,4,9,0,79,31,3,8,8,20,11,4,8,3,87,10,0,0,0,0,0,0,0,0,16,32,6,13,0,15,9,7,7,5,100,696,520,359,315,277,108,107,166,50,2601
LGA17650,35,14,9,26,22,8,3,6,3,121,28,29,17,36,39,3,3,13,4,173,117,21,207,91,81,32,48,93,7,703,8,0,7,6,15,7,3,8,0,56,24,5,4,10,15,8,3,4,0,76,3,6,0,0,3,7,0,0,0,19,10,3,4,7,4,6,4,8,7,45,354,435,293,238,242,81,78,156,22,1908
LGA17750,193,252,76,216,143,39,19,47,17,1008,311,365,226,662,362,128,40,76,32,2195,1082,497,2758,1366,1046,530,557,683,117,8626,52,36,51,91,91,69,40,97,8,536,67,33,51,111,165,63,32,80,11,612,19,52,18,25,25,22,6,24,8,191,82,56,52,66,63,48,40,79,70,552,2930,6452,3631,3253,2509,1137,822,1277,319,22327
LGA17850,42,5,0,12,6,0,0,4,0,74,28,6,0,11,12,5,3,5,0,68,107,7,77,38,36,12,30,58,3,375,11,0,0,0,11,5,0,10,4,42,9,0,0,0,10,0,3,0,0,20,0,0,0,3,0,0,4,0,0,10,14,0,0,0,5,6,0,0,0,37,297,135,93,87,89,42,39,85,12,873
LGA17900,26,10,0,36,6,0,4,0,0,85,37,18,5,28,20,5,3,11,5,127,63,11,85,65,40,5,31,44,0,351,12,3,4,6,0,3,4,6,0,40,12,0,0,16,4,0,4,0,0,43,4,0,0,0,0,0,0,0,0,6,12,6,0,6,0,6,9,0,9,47,228,209,104,190,101,32,57,72,18,1014
LGA17950,22,9,0,9,4,0,0,0,0,46,25,6,8,10,8,9,0,3,0,74,58,0,68,16,20,11,23,27,4,223,4,0,0,7,4,0,3,5,0,19,12,0,0,0,3,0,6,0,0,21,0,0,3,0,4,0,3,0,0,9,9,3,0,4,7,0,3,6,0,34,199,103,87,56,62,25,43,54,9,641
LGA18020,53,33,6,22,9,9,4,4,5,139,59,21,9,49,38,7,0,8,4,192,201,26,193,109,85,42,79,140,12,883,17,0,6,11,16,9,7,16,0,79,26,0,0,11,12,7,0,4,0,72,9,0,0,0,4,0,5,0,3,15,33,10,6,11,3,4,9,26,10,110,534,436,232,255,201,85,110,214,41,2107
LGA18050,371,456,108,157,225,119,23,42,32,1530,387,468,226,265,305,170,42,69,33,1959,403,220,1034,291,225,173,74,151,48,2619,37,23,10,26,45,25,4,14,4,188,113,93,54,55,98,58,23,34,7,530,71,142,25,30,42,17,11,16,9,356,98,182,34,58,55,41,12,39,120,633,7436,14916,2111,1786,2861,1805,370,666,652,32604
LGA18100,29,15,0,8,7,0,5,5,0,66,25,9,3,32,13,0,4,11,0,91,104,17,90,45,28,17,36,45,5,380,10,3,0,0,0,4,3,6,0,27,17,4,0,0,3,0,6,9,0,36,4,0,0,0,0,0,0,0,0,5,9,0,7,3,5,0,0,11,4,35,278,176,110,100,84,30,48,85,10,921
LGA18200,32,31,6,21,18,5,0,5,0,117,51,31,26,56,32,13,0,11,7,228,147,24,261,88,75,39,73,96,17,819,19,4,3,7,14,0,4,10,0,66,20,9,4,6,7,4,0,7,0,58,3,3,0,4,0,0,0,0,0,10,12,7,7,7,3,5,7,11,0,67,377,396,322,248,207,80,94,160,39,1917
LGA18250,379,379,142,164,250,122,43,62,24,1567,360,369,176,239,329,170,40,89,22,1789,314,200,615,269,245,161,65,102,27,1995,26,21,19,17,38,31,6,10,4,174,89,76,46,56,118,49,17,25,9,488,69,117,24,19,36,22,9,19,6,314,83,106,28,40,69,28,14,10,87,467,6923,14554,1724,1686,3500,1659,391,604,537,31578
LGA18350,262,312,102,176,174,92,30,59,9,1227,282,260,190,355,225,112,32,90,25,1561,736,266,2140,574,497,341,450,518,78,5597,29,20,41,45,82,56,22,47,4,346,94,63,67,68,121,58,29,60,7,578,23,32,22,11,18,13,11,16,5,152,56,54,51,43,60,60,33,49,32,440,2965,4827,2944,1822,1816,983,675,1022,248,17304
LGA18400,215,221,78,185,168,39,33,28,4,980,374,263,196,456,377,139,57,83,24,1971,1023,369,3197,740,969,397,848,631,144,8326,50,12,36,47,124,60,39,53,0,412,80,44,52,93,155,66,43,62,9,603,17,28,13,14,27,4,8,15,0,133,49,55,47,48,78,31,52,32,64,457,2713,3685,3782,1980,2326,856,1129,978,304,17755
LGA18450,665,896,399,718,590,171,112,146,42,3737,1060,1196,926,1789,1329,411,204,305,101,7319,2131,1190,8053,3131,2689,1228,1952,1775,342,22485,103,70,91,236,318,147,85,205,12,1273,212,178,135,325,568,180,133,170,26,1925,63,134,47,49,98,26,25,40,15,487,123,192,107,208,166,97,95,135,171,1304,9267,23137,10934,9045,8529,3284,3090,3392,1012,71697
LGA18500,307,359,49,100,164,102,5,29,31,1146,308,269,93,126,163,117,13,15,22,1122,296,125,342,134,148,121,27,62,23,1278,23,18,4,12,18,18,4,3,3,102,92,79,23,36,69,59,3,13,3,370,58,86,15,15,32,18,8,6,10,242,87,115,14,26,49,38,5,9,71,414,6025,11682,853,915,2166,1360,121,229,612,23965
LGA18710,119,83,37,37,54,13,8,13,12,375,151,119,71,138,141,26,13,29,7,674,293,131,695,236,230,77,119,130,34,1940,17,6,16,20,32,11,6,8,5,114,40,10,22,28,49,17,7,11,3,187,17,9,0,3,4,0,0,4,0,33,23,13,15,17,19,6,8,13,16,133,1468,1776,941,666,827,202,157,260,118,6416
LGA19399,15,3,5,0,0,0,0,0,0,24,5,3,3,0,9,0,0,0,0,22,48,3,21,3,11,12,7,24,4,134,5,0,0,5,0,0,0,3,0,13,6,3,0,0,3,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,13,119,42,35,18,29,17,8,41,5,324
LGA19499,12,21,7,15,10,3,3,3,0,87,14,23,18,31,23,11,7,23,3,145,40,19,139,75,38,34,58,76,5,502,0,3,5,8,9,9,0,9,0,37,4,9,5,4,3,0,8,12,0,47,5,7,0,3,3,0,0,0,0,16,6,12,4,13,9,9,8,14,16,94,186,453,205,217,159,95,124,224,44,1714
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
