LGA_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
LGA17950,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,3,0,3,..,78,3,75,0,75,..,3,0,3,270,268,2202,77,3,85,270,2550
LGA18020,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,9,0,9,..,46,4,53,0,53,..,200,12,212,0,213,..,26,3,23,1231,1258,7757,225,14,235,1229,9225
LGA18050,0,17,0,16,..,111,26,140,0,140,..,75,6,82,0,82,..,102,11,111,0,111,..,2240,111,2349,31,2388,..,13153,1091,14247,121,14372,..,266,19,283,3791,4077,50164,13422,1110,14527,3916,68605
LGA18100,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,11,0,13,..,49,0,51,0,55,..,9,0,9,244,255,3302,58,0,64,245,3608
LGA18200,0,4,0,4,..,11,0,19,0,19,..,11,0,11,0,11,..,0,0,0,0,0,..,65,12,77,4,76,..,249,32,279,0,288,..,31,9,42,868,913,6255,283,41,323,875,7453
LGA18250,4,241,0,244,..,434,124,554,0,560,..,59,0,60,0,60,..,314,36,345,3,350,..,1627,210,1836,61,1893,..,25676,5111,30789,245,31032,..,261,55,320,2276,2599,41979,25940,5168,31107,2528,75613
LGA18350,3,18,0,18,..,86,18,110,0,110,..,26,4,30,0,30,..,39,9,47,0,51,..,430,50,483,10,494,..,3320,323,3637,46,3685,..,122,12,138,2531,2668,46361,3439,332,3775,2574,52709
LGA18400,0,3,0,3,..,34,11,45,0,45,..,45,0,45,0,49,..,49,8,63,0,63,..,583,80,661,8,662,..,2742,314,3059,23,3078,..,150,10,160,2364,2525,48361,2887,330,3213,2389,53961
LGA18450,7,210,0,215,..,463,125,581,8,588,..,747,198,941,5,948,..,843,264,1101,7,1115,..,3370,664,4032,73,4104,..,28292,5284,33575,288,33864,..,732,120,848,8673,9520,171184,29024,5404,34426,8957,214564
LGA18500,0,28,0,28,..,97,18,107,0,112,..,76,9,77,0,80,..,122,12,133,0,133,..,1050,62,1117,16,1128,..,7574,632,8210,85,8295,..,153,5,162,2511,2678,42520,7735,645,8379,2598,53496
LGA18710,0,5,0,5,..,16,4,20,0,20,..,7,0,7,0,7,..,14,6,22,0,22,..,105,13,115,6,118,..,623,75,698,12,707,..,32,0,34,792,824,15750,660,71,730,800,17281
LGA19399,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,16,0,19,0,19,..,39,6,40,0,39,..,0,0,0,81,81,893,39,6,40,79,1016
LGA19499,0,13,0,14,..,10,3,14,0,16,..,12,4,11,0,11,..,25,16,39,0,39,..,171,32,203,4,205,..,966,159,1125,25,1150,..,35,6,40,3764,3803,6417,1003,162,1166,3781,11371
LGA19799,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0
