SED_CODE_2016,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_incl_lt_rail_M,One_met_Tram_incl_lt_rail_F,One_met_Tram_incl_lt_rail_P,One_method_Taxi_M,One_method_Taxi_F,One_method_Taxi_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_incl_lt_rl_M,Two_mt_trn_Trm_incl_lt_rl_F,Two_mt_trn_Trm_incl_lt_rl_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_inc_lt_rl_M,Two_mth_Bu_Trm_inc_lt_rl_F,Two_mth_Bu_Trm_inc_lt_rl_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Trn_two_othr_met_M,Three_meth_Trn_two_othr_met_F,Three_meth_Trn_two_othr_met_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SED10045,13,8,16,96,63,156,0,4,3,0,0,3,17,25,40,10022,9526,19552,594,820,1417,417,22,439,172,13,184,106,37,144,153,72,225,623,554,1177,12208,11143,23352,3,0,4,0,0,0,0,0,0,0,4,4,3,0,3,0,0,0,10,3,15,0,0,0,0,0,0,3,4,4,9,14,18,3,4,8,16,18,33,117,58,172,136,81,220,8,0,8,4,0,5,12,0,15,23,3,23,1207,1194,2403,1097,1891,2983,237,181,417,14898,14501,29400
SED10046,1115,1060,2179,310,431,739,0,3,3,0,0,0,33,18,53,13088,8756,21845,803,1100,1902,404,5,408,74,6,84,40,6,42,90,38,137,363,547,914,16324,11967,28291,307,330,639,4,0,3,5,3,10,377,255,634,41,128,169,9,3,16,744,728,1471,4,0,4,0,0,0,20,26,44,21,40,58,4,7,13,44,73,118,140,79,223,931,881,1814,101,125,229,4,9,13,6,0,6,108,133,241,237,501,736,883,1288,2177,281,224,509,18769,14996,33762
SED10047,1231,1277,2513,166,236,400,4,0,4,3,0,3,33,11,49,14087,10625,24707,1172,1047,2221,787,11,797,175,22,195,65,10,75,95,63,161,255,222,481,18065,13537,31606,385,433,819,0,0,0,8,3,11,371,343,709,73,148,217,26,7,37,862,932,1792,0,0,0,0,0,0,13,14,21,13,27,40,3,0,5,29,42,75,160,56,216,1057,1032,2083,138,149,289,0,4,4,11,0,11,149,160,306,378,742,1122,1086,1903,2980,261,202,458,20986,17573,38557
SED10048,2718,2530,5247,139,180,322,3,0,3,0,0,4,57,10,66,13531,9781,23310,807,1007,1814,420,3,417,126,4,130,48,14,59,93,41,130,203,218,422,18136,13795,31929,415,456,867,7,0,9,10,7,17,484,416,891,105,210,316,48,18,64,1060,1104,2170,0,0,0,0,0,0,3,6,10,19,33,52,4,5,7,24,42,71,122,50,178,1210,1204,2414,162,176,337,3,3,3,4,0,4,169,181,346,312,607,916,1197,1727,2927,232,175,403,21251,17681,38933
SED10049,108,94,202,88,77,172,3,3,3,0,0,0,17,14,30,13657,11843,25501,875,779,1654,296,9,310,140,11,149,82,21,100,79,55,133,247,258,509,15601,13165,28766,30,54,87,0,0,0,0,0,0,30,18,49,3,9,10,9,0,13,77,86,164,0,0,0,0,0,0,10,8,15,5,8,15,3,0,3,14,13,34,178,75,250,276,169,444,29,47,76,0,3,3,3,5,8,38,53,86,405,756,1160,1599,2312,3907,134,125,256,18051,16580,34627
SED10050,43,42,89,2757,3015,5776,1523,1125,2649,4,3,9,66,40,102,10491,8777,19269,496,801,1296,213,0,213,585,100,686,594,174,770,138,91,227,843,1036,1882,17765,15203,32968,241,266,510,324,339,660,0,0,0,14,13,27,4,11,16,9,0,10,587,632,1220,309,239,549,0,0,0,93,92,182,50,88,136,31,21,56,483,442,924,411,197,612,1489,1268,2754,281,213,494,55,36,92,24,4,22,358,253,616,1268,1702,2974,1255,2253,3504,163,153,314,22292,20832,43123
SED10051,109,106,212,2686,3336,6017,0,0,0,0,0,0,48,34,86,11255,8962,20220,550,1092,1647,263,3,271,456,69,528,368,85,450,133,76,210,556,641,1194,16429,14410,30843,493,408,906,0,0,0,0,0,0,59,44,107,19,35,47,11,0,15,578,491,1077,3,0,5,14,18,26,149,179,325,44,79,123,34,23,50,244,291,533,137,80,221,967,861,1824,69,75,145,20,23,41,9,0,7,96,102,201,594,902,1494,1132,1814,2946,174,163,340,19397,18249,37645
SED10052,2290,2207,4497,98,132,235,0,0,0,3,0,3,20,21,42,11969,9810,21772,495,764,1258,317,4,323,148,7,157,91,22,112,97,55,154,314,480,799,15839,13509,29355,288,275,561,0,0,0,0,11,14,530,427,960,52,159,212,27,13,40,902,880,1785,0,0,0,0,0,0,8,15,21,3,12,15,3,0,3,11,31,40,110,64,174,1025,974,1997,92,96,186,0,0,0,4,0,6,90,101,190,647,993,1635,1139,2100,3237,150,100,253,18892,17778,36672
SED10053,19,16,37,152,170,319,11,4,13,3,4,9,23,29,57,14600,12566,27166,928,1341,2273,425,15,444,263,34,298,167,40,213,194,98,288,744,721,1474,17544,15045,32587,3,5,4,0,0,0,0,0,0,34,19,52,5,10,20,0,0,0,44,34,76,0,0,0,0,0,0,28,36,69,17,28,42,6,3,12,48,71,127,180,115,297,272,228,503,20,9,30,6,0,8,10,3,12,40,10,53,826,1044,1875,1480,2224,3711,232,201,427,20393,18757,39150
SED10054,1726,1776,3503,205,291,503,3,0,4,9,3,9,46,19,71,13750,9236,22983,1023,1321,2349,389,3,389,120,3,125,42,6,49,92,59,148,171,257,428,17573,12976,30557,478,619,1096,0,0,4,8,15,15,373,332,704,100,212,312,18,12,30,978,1186,2166,0,0,0,0,0,0,33,14,49,14,42,51,3,0,5,48,55,104,123,80,200,1144,1323,2467,168,212,377,0,4,4,4,4,5,170,217,390,213,459,671,993,1500,2499,258,202,462,20367,16680,37045
SED10055,692,763,1455,142,216,356,3,0,5,3,0,3,23,13,30,16311,13092,29401,910,1076,1987,825,6,830,116,15,131,47,7,53,118,57,173,159,161,319,19334,15408,34739,202,209,409,0,0,0,0,0,0,560,501,1056,53,116,173,11,6,14,820,831,1655,0,0,0,0,0,0,24,20,45,15,34,43,3,4,3,34,55,95,169,71,243,1031,955,1986,128,123,250,3,0,3,4,0,8,130,125,262,530,1012,1539,1185,2078,3260,192,161,348,22396,19733,42138
SED10056,14,11,18,72,38,107,3,0,7,0,7,7,19,16,32,13368,11148,24515,1025,1031,2061,378,14,393,123,12,133,157,48,206,226,92,317,986,780,1768,16360,13200,29565,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,8,0,6,3,0,3,0,0,0,7,3,9,143,49,194,149,57,204,0,4,3,0,0,0,4,3,11,10,6,17,1395,1197,2589,1159,1890,3050,305,280,584,19381,16630,36007
SED10057,12,8,18,69,45,119,3,0,3,0,0,3,15,18,32,8144,7776,15921,567,687,1252,348,5,350,120,13,131,108,24,131,99,52,149,407,443,853,9886,9060,18951,3,3,3,0,0,0,3,0,3,0,3,4,0,0,0,0,3,3,6,10,16,0,0,0,0,0,0,3,5,5,5,0,4,3,0,3,15,8,14,101,40,135,122,53,166,0,3,3,3,0,0,0,4,3,3,10,14,631,748,1379,1125,1740,2872,185,192,378,11957,11810,23764
SED10058,143,103,243,399,518,913,35,40,73,3,3,5,31,34,64,11849,10785,22629,657,899,1551,147,7,151,254,50,308,703,282,979,103,57,160,935,1064,1994,15256,13829,29078,37,23,52,0,0,0,3,0,3,30,22,58,6,3,4,27,3,33,96,57,153,15,15,24,0,0,0,11,28,37,20,25,44,8,17,25,53,79,134,209,140,348,353,281,635,27,11,33,7,18,28,12,6,14,49,32,79,595,816,1412,1378,2295,3675,129,132,259,17766,17378,35141
SED10059,6204,5819,12019,2052,2647,4694,5,3,8,60,57,115,155,139,290,5984,4453,10430,332,539,872,67,3,72,463,104,568,1361,656,2016,194,114,304,3495,3522,7018,20365,18054,38415,864,890,1749,10,9,25,31,35,70,99,57,158,18,40,56,138,87,226,1162,1120,2280,0,3,3,18,24,43,18,36,50,12,32,43,48,57,108,97,148,246,111,76,188,1371,1336,2713,168,109,282,13,15,30,10,10,18,196,132,331,983,989,1971,1410,2175,3587,218,187,406,24543,22878,47423
SED10060,3267,3267,6532,3008,3483,6492,627,421,1054,8,3,9,128,105,234,7478,6377,13858,332,736,1069,47,0,52,336,48,385,355,84,437,179,124,296,1963,2125,4087,17732,16774,34506,553,619,1174,157,152,304,4,9,15,53,42,94,29,48,78,47,28,82,845,898,1746,167,128,296,0,0,0,56,37,96,19,31,51,34,37,78,279,236,513,161,95,256,1285,1239,2517,194,166,356,37,26,54,18,5,21,246,190,435,1404,1550,2952,995,1876,2866,140,142,283,21797,21765,43564
SED10061,11,6,18,59,46,100,0,3,5,0,3,3,34,36,66,10843,9725,20566,847,968,1813,507,43,549,203,23,228,146,44,186,178,98,275,925,807,1733,13754,11792,25544,3,0,3,0,0,0,0,0,0,4,5,7,0,0,0,0,0,0,7,3,14,0,0,0,0,0,0,3,7,4,3,9,5,4,0,4,6,7,17,123,69,189,140,82,225,3,3,3,0,3,4,9,3,12,9,13,19,1492,1457,2948,1111,1851,2966,250,244,492,16757,15432,32192
SED10062,3486,3637,7123,160,256,419,3,3,5,3,3,3,21,19,40,10938,8124,19058,443,823,1270,269,3,274,123,9,132,77,11,89,111,45,155,295,357,648,15930,13289,29224,496,519,1020,10,3,9,31,16,41,429,333,761,103,161,261,30,16,51,1095,1053,2142,0,0,0,0,0,0,12,12,22,6,20,29,0,3,4,16,35,51,88,59,145,1199,1142,2345,134,142,269,3,4,8,3,3,7,137,145,283,605,814,1419,1117,1899,3012,155,124,283,19144,17419,36557
SED10063,13,12,25,71,50,126,9,0,9,3,0,3,41,50,93,12160,10982,23144,955,948,1899,404,10,409,129,11,143,108,28,131,146,57,204,760,593,1356,14791,12745,27537,0,3,3,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,15,3,20,3,3,7,0,0,0,16,3,20,116,51,171,139,59,200,0,6,6,6,0,4,12,4,13,15,10,26,1064,1096,2159,1300,1987,3289,209,181,395,17519,16084,33596
SED10064,5,5,15,53,32,91,3,3,3,0,3,3,7,13,20,8638,7991,16620,536,652,1189,411,16,432,120,16,134,63,27,87,114,56,167,509,473,981,10470,9278,19752,3,3,5,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,4,4,13,0,0,0,0,0,0,0,0,4,0,12,8,0,0,3,3,11,18,95,33,130,107,47,159,3,0,6,0,0,0,9,0,8,12,3,15,914,996,1910,1054,1780,2833,244,231,479,12802,12340,25145
SED10065,4004,2793,6798,1136,1431,2561,20,13,26,6,7,10,65,20,85,14516,9496,24016,618,1220,1843,271,6,276,234,28,264,163,45,207,166,61,230,1164,1112,2277,22365,16232,38596,1152,1106,2257,5,3,9,29,21,53,391,251,642,85,162,248,52,25,74,1719,1567,3283,0,0,0,0,0,0,104,66,176,46,70,113,13,12,24,167,150,314,136,73,213,2021,1787,3810,230,204,434,10,0,11,6,0,6,243,206,451,609,852,1464,1295,1934,3227,240,164,404,26779,21183,47959
SED10066,1404,1263,2670,106,191,295,3,0,3,5,0,5,23,18,47,13195,10933,24121,815,945,1762,501,11,511,173,6,187,90,12,106,85,40,124,340,388,731,16739,13812,30550,276,270,549,0,0,0,14,0,12,376,351,728,67,98,161,43,16,58,772,738,1515,0,0,0,0,0,0,11,3,13,13,26,36,7,6,13,25,35,59,150,59,208,956,833,1782,108,91,201,0,0,0,6,3,8,120,91,212,416,684,1105,1198,2216,3419,143,123,266,19570,17771,37336
SED10067,51,32,77,1254,1238,2485,12,16,29,0,3,3,26,11,39,11913,10238,22158,497,703,1195,329,4,332,284,30,310,164,38,204,151,80,235,506,541,1046,15183,12928,28111,112,76,183,0,0,0,0,0,0,102,51,151,9,19,27,0,0,3,228,144,371,11,9,21,0,0,0,98,100,197,37,50,89,24,14,42,175,173,348,214,109,325,614,426,1042,42,40,86,18,15,30,9,8,14,69,65,129,1424,1914,3333,1080,1886,2972,150,165,311,18522,17380,35899
SED10068,7,8,14,52,57,113,4,0,4,0,3,3,20,18,45,9659,9359,19014,604,806,1401,287,9,294,192,23,206,156,49,204,107,58,161,424,484,904,11504,10869,22369,0,0,0,0,0,0,0,0,0,4,0,5,3,0,0,0,0,3,8,3,13,0,0,0,0,0,0,3,3,4,3,10,14,0,0,0,11,8,22,123,75,200,141,92,230,5,0,9,4,0,3,6,3,7,14,7,19,629,805,1433,1123,1748,2872,139,132,275,13550,13648,27203
SED10069,17,15,27,108,107,214,3,7,10,0,0,3,6,11,19,10705,8938,19643,622,661,1280,325,3,334,159,6,166,99,15,111,93,44,142,375,357,731,12521,10155,22679,0,0,4,0,0,0,0,0,0,11,7,22,3,3,6,0,0,0,19,9,27,3,3,3,0,0,0,4,8,14,3,9,14,3,3,4,16,23,39,122,96,220,156,127,281,5,5,8,6,7,18,5,3,7,14,23,35,529,837,1367,1330,1940,3269,173,142,318,14718,13231,27956
SED10070,1581,1382,2966,272,436,714,0,0,0,4,3,9,40,18,52,13152,9137,22294,710,1009,1717,425,7,432,101,9,114,58,4,66,116,41,158,217,223,432,16678,12278,28954,342,395,742,0,0,3,10,0,6,439,311,747,75,138,213,16,6,21,887,850,1738,0,0,0,0,0,0,39,45,81,18,32,51,4,7,6,56,76,141,109,59,169,1055,989,2045,121,148,274,3,3,3,3,3,3,128,154,278,349,607,959,887,1450,2329,225,140,365,19313,15620,34935
SED10071,1672,1396,3065,1621,1495,3118,3,0,3,0,0,0,73,11,80,15465,12427,27894,692,1069,1760,361,3,359,155,15,162,73,20,88,137,63,200,208,200,412,20459,16690,37148,466,459,923,0,0,0,0,3,8,485,293,781,71,131,201,28,0,27,1058,886,1940,0,0,0,0,0,0,135,101,238,26,72,103,7,4,13,171,177,349,147,84,232,1379,1146,2522,158,158,317,6,11,15,6,3,11,178,170,345,619,1029,1648,1210,2143,3348,177,166,335,24012,21342,45353
SED10072,4619,4594,9218,403,604,1007,0,0,0,3,4,15,62,25,86,11956,8040,19995,551,1040,1591,308,3,315,217,24,237,145,19,165,143,68,211,541,613,1156,18952,15050,34001,866,1059,1926,4,7,10,36,24,58,328,295,623,69,137,208,47,28,77,1348,1553,2904,3,0,3,0,0,0,30,33,58,12,31,45,4,3,9,42,70,113,104,57,163,1500,1681,3181,148,167,311,5,7,7,6,3,11,151,180,327,511,740,1249,1144,1896,3039,259,196,461,22520,19740,42264
SED10073,3504,3429,6936,1795,2166,3961,43,20,63,0,3,7,43,33,76,12296,8935,21232,482,1123,1600,221,3,226,259,24,287,205,28,234,123,79,194,1091,1028,2121,20060,16871,36926,712,807,1524,17,7,22,13,10,27,255,163,423,57,130,191,41,21,64,1096,1147,2249,6,3,8,3,0,3,75,79,159,22,79,98,14,12,30,112,174,291,123,88,209,1330,1414,2743,155,125,281,14,8,22,5,0,5,169,137,304,772,939,1713,1295,2206,3502,183,162,342,23815,21713,45527
SED10074,2550,2050,4597,1010,1100,2109,4,0,4,3,0,8,43,20,70,12807,9707,22516,612,903,1518,319,0,318,187,12,198,103,25,127,108,48,160,363,469,832,18113,14338,32450,625,585,1212,0,0,0,10,13,22,356,243,603,60,104,158,35,18,46,1080,963,2043,0,0,0,0,0,0,91,93,181,23,42,71,3,7,11,119,145,264,121,57,180,1326,1158,2485,120,140,261,3,4,11,6,0,9,138,142,278,498,737,1239,1130,1902,3028,206,141,343,21402,18421,39827
SED10075,330,197,523,153,185,340,7,0,7,6,0,3,14,10,25,13502,11613,25112,822,892,1718,321,8,329,120,13,134,82,13,95,93,65,160,177,243,417,15620,13243,28858,24,29,57,0,0,0,0,0,0,127,58,189,17,17,29,19,0,20,193,106,301,0,0,0,0,0,0,6,6,10,6,13,21,8,7,9,15,29,46,128,63,193,338,197,531,34,20,54,3,0,6,4,0,4,42,24,60,313,583,900,1478,2391,3870,159,136,292,17948,16571,34520
SED10076,24,27,52,57,23,75,0,0,3,0,3,4,15,19,32,8866,7745,16615,546,628,1177,330,3,338,125,8,141,120,31,154,122,49,166,362,374,736,10579,8910,19489,5,4,10,0,0,0,0,0,0,21,12,38,3,5,3,0,0,0,30,26,52,0,0,0,0,0,0,3,4,10,3,0,3,6,3,3,8,7,16,90,36,122,126,66,197,8,3,15,0,0,0,3,0,3,10,4,16,541,824,1370,1064,1757,2817,190,183,371,12512,11753,24262
SED10077,6435,5723,12158,539,703,1244,6,3,8,24,12,35,54,22,75,11298,7382,18683,542,1036,1581,267,6,269,199,15,221,180,39,219,176,94,272,776,962,1743,20485,16013,36495,1258,1352,2611,16,12,24,37,26,67,288,180,464,80,160,239,55,32,92,1734,1759,3502,0,0,0,3,9,12,23,33,60,11,27,37,7,8,19,48,80,126,114,86,200,1905,1928,3825,196,207,402,4,6,6,5,4,8,204,215,420,603,895,1500,1221,1943,3166,278,225,500,24692,21216,45910
SED10078,5461,5513,10972,808,1423,2223,4,0,5,349,359,709,65,39,103,8769,6744,15518,409,745,1161,155,3,152,339,66,404,586,209,795,140,79,219,714,907,1621,17785,16084,33868,758,909,1664,20,11,33,89,64,149,177,190,366,68,121,188,109,63,173,1216,1349,2571,0,0,0,19,32,51,28,41,64,8,41,48,18,9,22,68,118,189,135,90,227,1421,1566,2984,139,126,268,8,11,22,5,5,10,155,144,296,678,848,1532,1295,2094,3392,174,132,309,21512,20875,42384
SED10079,66,53,115,138,152,286,0,0,0,0,0,3,3,3,7,11366,9820,21181,722,604,1329,334,4,342,108,8,110,65,9,69,82,45,128,195,198,391,13071,10888,23965,17,9,28,0,0,0,0,0,0,67,44,113,8,7,22,3,3,5,101,68,166,0,0,0,0,0,0,5,5,14,17,13,28,6,0,3,26,19,49,118,31,144,245,112,359,19,13,27,3,0,3,3,3,7,20,9,35,406,713,1114,1194,2090,3282,115,139,256,15052,13956,29008
SED10080,4828,3946,8775,3122,3256,6380,34,29,61,168,186,351,381,287,661,5610,3671,9281,467,690,1159,41,0,41,484,90,575,708,238,943,564,231,795,10233,8602,18839,26644,21224,47872,758,740,1498,17,9,30,51,69,123,62,35,93,22,29,55,105,73,175,1027,947,1974,10,10,20,20,21,36,14,19,27,13,20,39,51,56,108,107,127,235,124,67,186,1257,1142,2395,152,130,282,9,22,32,17,5,26,178,159,336,1406,1350,2761,1487,1920,3407,290,263,550,31262,26055,57319
SED10081,14,3,15,116,74,189,6,3,11,0,0,0,38,21,58,12073,10970,23042,975,923,1896,574,23,595,199,23,222,83,18,102,141,65,210,697,527,1225,14917,12651,27568,3,0,3,0,0,0,0,0,0,3,4,4,0,0,0,0,0,0,10,4,14,0,0,0,0,0,0,32,0,31,10,7,14,4,0,3,38,11,50,144,53,198,194,69,262,3,0,4,0,0,3,14,3,14,15,3,23,1048,1167,2221,1146,1868,3013,215,200,413,17535,15954,33492
SED10082,541,396,937,127,139,262,16,3,17,0,0,0,9,11,18,11294,10406,21696,588,713,1305,329,6,332,112,3,118,71,19,90,102,47,152,225,213,439,13424,11957,25381,120,61,182,10,5,19,0,0,0,541,292,828,25,64,87,25,4,33,718,425,1147,0,0,0,0,0,0,4,3,6,8,16,26,0,0,0,14,26,38,142,50,192,874,505,1375,135,57,192,8,3,14,7,0,10,149,65,208,967,1394,2360,1354,2218,3573,139,152,289,16901,16287,33188
SED10083,608,375,986,164,253,416,0,0,0,0,0,3,6,15,22,11413,10300,21710,727,700,1425,334,4,346,135,13,144,71,19,94,77,44,117,249,231,480,13781,11950,25736,138,74,211,0,0,0,5,3,9,246,164,412,31,47,79,23,9,31,445,295,741,0,0,0,0,0,0,10,7,14,12,16,28,0,4,7,22,22,44,126,54,183,589,370,963,69,47,115,3,4,4,6,0,9,73,50,132,555,838,1396,1252,2130,3384,150,169,321,16408,15511,31924
SED10084,15,12,30,165,120,291,6,0,9,4,0,4,16,15,31,10785,10070,20853,628,746,1374,313,8,316,154,19,179,193,68,261,141,79,220,380,384,763,12811,11530,24337,4,7,6,0,0,0,0,0,0,37,22,54,0,0,0,0,3,5,39,29,66,0,0,0,3,3,6,4,14,18,9,11,27,3,3,11,19,32,57,127,51,177,189,108,300,15,8,15,13,6,16,3,0,3,28,10,40,749,1136,1890,1196,1995,3188,182,191,376,15156,14979,30132
SED10085,27,10,33,60,27,87,8,0,8,0,0,0,10,12,21,12498,9839,22336,781,678,1455,438,19,461,179,22,201,61,16,75,217,75,298,824,543,1369,15110,11239,26351,4,0,4,0,0,0,0,0,0,10,7,21,0,0,0,3,0,6,19,11,30,0,0,0,0,0,0,4,3,9,0,0,3,0,3,3,5,9,12,163,48,212,188,65,251,5,3,9,0,0,0,4,0,5,10,3,15,1095,1207,2303,1613,2023,3640,231,193,423,18247,14734,32978
SED10086,1809,1810,3613,1135,1695,2827,654,386,1041,3,10,12,144,99,247,9482,7378,16859,493,927,1422,110,0,112,745,173,918,465,144,610,181,140,327,1030,1340,2365,16252,14100,30351,1887,2180,4065,65,34,99,4,0,3,161,106,272,55,88,138,62,30,97,2234,2440,4676,31,20,48,3,0,7,37,42,75,17,24,46,22,24,39,106,110,216,217,139,358,2559,2688,5246,219,183,398,16,17,30,8,6,17,239,205,444,1352,1807,3163,881,1703,2581,198,176,376,21479,20685,42163
SED10087,12,10,24,59,53,112,4,0,9,4,0,5,35,37,76,13418,11837,25257,993,1005,1996,326,15,334,155,18,169,155,37,193,247,80,322,855,793,1651,16263,13890,30156,0,0,0,0,0,0,0,0,0,8,3,12,0,0,0,0,0,0,12,3,14,0,0,0,0,0,0,3,3,9,0,3,3,0,0,4,5,10,19,113,49,167,133,61,194,3,0,3,3,3,6,14,6,17,17,5,28,814,870,1681,1129,2128,3256,203,180,382,18558,17141,35697
SED10088,44,44,82,2506,2697,5201,23,25,41,4,0,5,52,40,94,12563,10720,23281,652,976,1633,333,6,339,466,55,519,230,44,268,138,60,199,614,652,1273,17621,15320,32935,297,259,556,3,8,7,0,0,0,67,36,104,8,21,27,0,0,0,376,326,699,23,23,48,0,0,0,166,139,303,59,85,150,27,19,40,274,270,542,202,77,279,849,673,1517,79,65,144,33,23,57,8,3,11,120,90,210,919,1338,2258,1174,2142,3313,189,174,363,20871,19735,40606
SED10089,99,55,154,321,361,686,0,3,3,4,4,5,23,20,45,13320,11841,25161,775,968,1738,228,8,240,238,41,281,237,52,293,98,40,134,406,372,780,15753,13767,29524,15,18,34,0,0,0,0,0,0,31,14,50,3,7,14,7,3,14,66,42,104,0,3,3,0,0,0,24,33,57,22,37,57,10,7,12,57,80,132,139,76,223,257,196,460,18,8,29,3,6,9,13,0,14,34,19,52,426,629,1055,1585,2648,4231,144,118,262,18198,17385,35581
SED10090,3038,2779,5811,3315,3321,6637,8,5,15,6,9,14,76,59,134,8784,6931,15712,390,890,1278,81,5,87,328,35,367,386,51,437,137,99,240,1609,1876,3487,18157,16052,34212,597,709,1307,3,3,7,3,10,13,124,70,192,28,82,109,46,21,63,801,886,1690,10,7,13,0,0,4,81,59,141,25,42,63,43,40,82,159,146,303,112,80,191,1066,1118,2184,105,86,191,20,11,34,5,5,9,130,105,240,1223,1513,2728,1042,2096,3135,129,136,263,21743,21012,42760
SED10091,285,235,519,44,70,114,3,7,6,0,0,3,20,8,31,12921,11003,23927,740,674,1410,784,24,806,92,6,102,46,16,59,102,52,158,363,328,688,15407,12417,27822,22,20,49,0,0,0,0,0,0,302,204,504,31,39,69,8,0,6,357,268,628,0,0,0,0,0,0,0,3,5,4,15,17,0,0,0,7,21,26,123,52,177,488,338,829,42,30,71,0,0,0,3,9,8,42,39,81,853,1381,2230,1302,2155,3457,211,176,394,18306,16510,34816
SED10092,536,390,925,402,476,883,3,0,0,3,0,3,28,35,66,12088,9911,22003,813,955,1766,204,3,210,178,25,200,203,59,258,97,56,156,813,881,1700,15379,12796,28176,62,49,106,0,0,0,3,0,4,155,100,257,24,32,56,12,4,22,258,185,441,0,0,0,0,0,0,20,18,39,15,23,41,10,12,23,53,53,106,153,62,215,463,301,761,33,32,63,5,7,11,6,3,5,46,39,81,400,563,964,1512,2180,3693,217,153,372,18017,16031,34043
SED10093,420,298,721,117,152,271,3,3,7,0,0,3,10,7,19,11493,9875,21367,849,830,1682,389,6,396,110,8,116,61,10,69,95,52,148,230,228,455,13777,11484,25262,117,62,179,0,0,0,3,0,5,213,134,348,40,34,75,4,3,16,377,239,618,0,0,0,0,0,0,13,3,15,13,31,42,0,0,0,28,36,61,142,63,206,545,330,882,64,33,100,4,4,4,6,0,6,70,42,106,470,806,1272,1239,2180,3417,197,174,373,16300,15009,31315
SED19494,152,122,272,78,98,174,8,0,8,4,0,5,4,3,12,914,440,1355,125,98,221,36,0,36,13,4,21,33,6,39,68,34,106,190,164,352,1624,975,2603,57,38,95,0,0,0,0,0,0,11,7,18,0,10,11,4,0,4,79,49,128,0,0,3,0,0,0,0,0,0,3,0,4,0,0,4,8,3,11,19,6,21,101,55,158,15,11,24,0,0,0,0,0,0,18,7,25,60,51,112,190,163,360,46,29,74,2042,1291,3331
SED19797,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,14,15,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,50,79,5,3,7,59,72,130
