SED_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SED10068,9973,1378,736,534,56,12682,6606,507,274,27,29,7444,2495,1023,1177,26,19,4731,228,274,307,0,3,809,931,231,255,18,12,1450,50,83,34,0,5,174,113,39,41,120,8,327,81,21,38,7,5,147,3903,1668,1848,163,55,7635,138,224,166,7,0,538,490,180,160,45,27,905,21113,3950,3186,782,168,29200
SED10069,8387,1185,263,301,44,10180,7361,516,88,39,21,8021,2562,1138,402,23,14,4141,475,160,73,0,0,715,899,214,77,17,12,1222,41,89,16,0,0,144,430,64,12,84,8,599,81,19,12,7,0,113,4487,1690,585,133,41,6939,198,101,17,9,3,332,498,120,54,127,24,825,20932,3610,1002,616,132,26292
SED10070,7439,556,107,78,8,8191,7029,1632,352,59,29,9100,2362,1014,705,33,36,4153,403,581,233,0,0,1212,702,167,68,16,12,961,41,53,45,3,0,135,142,19,9,40,4,220,75,18,10,5,0,103,3718,1851,1069,95,53,6789,83,38,52,0,0,173,471,131,65,16,27,711,18732,4222,1646,246,116,24970
SED10071,3700,1249,47,21,16,5033,9956,3867,327,32,40,14221,2882,1332,317,17,32,4582,178,97,11,0,0,286,549,216,38,14,6,813,49,16,0,0,0,68,107,40,0,16,0,169,50,20,4,0,0,72,3818,1714,370,45,43,5987,55,35,0,0,0,91,377,87,9,53,21,547,17910,6941,763,153,125,25887
SED10072,6043,1392,1792,73,11,9319,4239,1202,3279,20,15,8757,1349,725,6346,91,37,8543,36,62,470,0,0,566,522,198,910,40,19,1691,35,45,66,0,5,146,62,24,92,22,7,195,53,22,61,4,3,139,2049,1073,7947,149,62,11287,78,27,84,3,5,192,397,121,391,10,22,935,12804,3812,13495,253,121,30485
SED10073,6313,1344,1507,10,31,9201,5043,1558,2558,14,22,9199,1442,1447,6796,53,39,9776,170,484,390,0,0,1043,725,329,1017,13,9,2085,25,127,88,0,14,251,64,88,82,4,11,247,67,32,47,0,0,149,2489,2507,8424,69,72,13554,85,96,104,4,19,312,293,122,291,3,31,736,14223,5621,12880,100,173,33004
SED10074,7229,497,500,3,3,8233,8040,1197,883,9,13,10146,2291,908,2352,12,31,5599,411,759,201,0,0,1371,699,166,191,10,13,1080,26,99,105,0,0,228,62,111,15,3,0,200,61,23,20,0,0,98,3546,2064,2884,25,45,8568,84,39,317,0,3,437,444,120,170,0,18,749,19342,3918,4759,36,78,28138
SED10075,8783,865,138,244,15,10039,9394,642,119,27,26,10206,2316,1035,532,16,17,3915,1277,493,205,0,3,1976,868,241,86,17,5,1220,41,52,20,0,0,122,64,19,11,31,4,130,56,21,10,0,0,90,4623,1860,862,70,33,7451,85,84,12,3,0,184,523,147,54,24,9,758,23404,3595,1186,365,78,28632
SED10076,11119,390,105,393,66,12080,6745,113,37,23,26,6948,2928,530,249,21,17,3739,601,207,60,0,0,872,1342,105,60,25,12,1542,103,61,14,0,8,189,300,8,0,97,16,423,129,17,4,9,0,165,5405,926,392,139,57,6923,195,111,15,10,15,331,718,69,55,35,18,889,24182,1608,607,610,175,27179
SED10077,5696,1055,1491,25,20,8288,3813,1172,2985,44,30,8047,1298,798,7207,118,86,9507,96,221,479,0,3,801,489,177,1254,28,29,1983,42,36,122,0,8,206,56,64,254,3,11,389,50,28,75,5,6,163,2037,1326,9391,153,143,13042,60,24,126,0,0,214,314,85,557,13,35,1010,11921,3674,14542,235,233,30600
SED10078,4875,1130,1779,37,13,7837,3265,1410,2910,54,18,7653,1028,797,7839,220,57,9929,100,83,673,0,0,853,449,252,1212,66,31,2012,61,55,174,3,5,295,34,13,84,9,6,153,41,20,93,3,0,161,1717,1214,10071,309,95,13406,56,24,82,0,0,166,246,82,427,18,171,946,10157,3863,15272,424,300,30008
SED10079,10157,631,351,156,16,11305,8691,223,121,22,11,9068,2712,479,430,31,21,3668,265,189,269,0,0,721,1038,112,71,8,5,1240,14,23,28,0,0,63,160,14,10,36,7,219,74,3,8,10,0,94,4261,822,809,83,27,6004,104,59,74,0,0,231,601,82,65,13,10,771,23805,1813,1417,266,62,27374
SED10080,169,1865,4987,17,23,7062,104,1889,5175,23,20,7215,58,2003,15920,59,66,18114,0,369,692,0,8,1067,30,572,3146,25,23,3787,0,27,264,0,6,300,9,26,243,7,19,300,3,42,202,0,4,248,101,3035,20469,91,120,23818,4,44,191,7,0,241,16,201,938,26,85,1274,392,7036,31758,164,259,39612
SED10081,9374,274,48,127,48,9868,8331,103,26,58,45,8557,3385,1029,366,82,29,4896,509,193,126,100,11,941,1635,130,65,28,22,1879,79,56,18,3,3,156,428,27,17,34,13,522,241,23,8,9,3,283,6278,1453,606,261,80,8673,185,33,7,7,5,241,714,125,45,31,19,926,24874,1989,729,480,193,28267
SED10082,8722,1076,471,82,21,10368,9209,293,272,10,12,9791,2099,393,517,22,30,3069,258,139,48,0,0,442,803,112,98,3,6,1021,28,48,5,0,0,84,135,25,9,8,3,181,79,12,8,0,0,103,3409,735,680,34,44,4901,112,505,107,3,0,723,491,137,58,4,14,692,21938,2739,1586,127,95,26482
SED10083,6690,1448,402,60,23,8626,8605,663,192,57,14,9529,2569,1116,779,34,27,4522,432,482,103,0,0,1020,968,225,121,20,11,1333,47,78,19,0,0,137,56,37,16,39,10,164,80,38,5,3,0,126,4145,1976,1042,94,45,7302,91,391,42,0,7,524,450,253,67,12,16,797,19978,4732,1747,226,107,26785
SED10084,7688,2303,1105,829,74,12004,6603,1146,426,41,24,8236,1739,1331,1328,10,14,4429,163,348,239,0,0,749,1127,534,354,32,31,2081,39,75,23,3,0,138,136,54,41,129,15,372,92,36,30,6,3,171,3287,2381,2019,188,65,7935,118,153,48,6,44,366,434,270,180,66,20,958,18125,6250,3778,1121,236,29512
SED10085,8995,150,76,135,59,9425,8665,123,42,33,40,8911,3203,701,369,12,24,4305,608,134,97,0,0,835,1468,59,58,15,16,1612,93,24,19,0,0,133,540,18,15,50,29,650,261,8,7,4,3,293,6172,940,562,83,75,7835,170,29,6,0,7,211,602,47,46,12,19,728,24608,1292,738,268,203,27104
SED10086,3470,1374,4336,31,46,9262,2231,1338,3590,22,30,7207,425,586,8410,79,31,9525,4,3,239,0,0,242,203,238,2080,28,17,2562,3,14,55,0,0,79,26,12,109,3,4,152,26,23,135,0,0,185,688,875,11021,113,50,12749,43,44,167,0,20,267,157,86,625,6,18,892,6586,3712,19742,172,159,30375
SED10087,8241,219,246,60,30,8786,8780,76,143,44,33,9071,3170,433,1354,52,14,5026,923,42,211,0,0,1175,1432,76,140,20,14,1687,57,43,63,0,0,165,437,17,24,28,9,518,137,5,21,7,0,177,6170,616,1813,106,34,8738,147,69,45,6,3,266,612,56,104,22,13,805,23944,1038,2355,235,104,27671
SED10088,6719,456,1602,5,12,8791,7357,424,2250,15,16,10056,1307,257,3034,24,19,4641,121,229,202,0,0,550,554,82,598,17,23,1279,21,70,150,0,0,238,40,46,36,6,0,126,48,14,45,0,3,106,2089,698,4055,47,47,6945,79,82,303,0,0,464,326,64,270,0,31,692,16561,1726,8486,72,106,26951
SED10089,8454,709,115,12,17,9310,9538,420,107,12,10,10086,3358,1101,756,28,33,5275,584,576,310,0,3,1469,1457,277,208,14,18,1967,64,90,37,0,0,200,133,31,29,0,7,200,78,22,12,0,0,107,5671,2094,1350,41,63,9225,130,113,28,0,3,274,521,114,70,3,14,724,24322,3447,1667,74,95,29613
SED10090,5989,1087,2708,9,23,9820,4808,1211,2773,7,12,8808,1236,805,6731,52,18,8840,16,14,249,0,0,281,504,237,1147,28,10,1924,19,23,65,0,0,99,41,19,105,7,3,169,48,14,72,0,0,134,1857,1109,8367,85,30,11450,70,17,147,3,4,238,237,80,295,7,18,627,12965,3500,14296,103,78,30938
SED10091,8326,570,50,50,46,9049,10368,144,30,29,32,10599,2164,286,160,17,18,2645,231,69,30,0,0,335,780,61,33,20,6,901,63,37,6,0,0,106,107,5,0,43,4,171,102,3,3,3,3,117,3451,459,235,84,37,4267,170,129,0,3,3,306,576,64,15,8,13,676,22893,1372,328,172,126,24890
SED10092,7831,718,1435,145,85,10223,5793,539,1129,18,20,7498,2051,913,3998,47,31,7043,1058,564,1132,10,0,2759,844,261,690,28,14,1836,37,57,64,3,0,165,98,31,77,35,6,246,72,22,59,4,3,160,4153,1854,6017,124,65,12216,77,131,81,4,36,328,508,106,328,34,104,1080,18365,3349,8995,326,310,31340
SED10093,7297,662,480,95,15,8550,8921,278,132,11,7,9345,3940,627,462,12,19,5057,332,309,247,3,3,891,1164,98,102,9,10,1389,57,95,76,0,5,230,176,29,19,86,11,312,92,8,18,0,3,118,5752,1167,918,112,41,7998,91,59,48,3,3,199,596,108,95,22,60,880,22654,2265,1674,240,133,26971
SED19494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
