SED_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SED10084,18125,48900,4066,7654,2184,4636,6250,12294,1672,2869,1349,2456,751,1337,5,14,3778,6672,579,858,473,740,33,68,36,101,1121,1766,236,442,29512,70068,3717,..,33229,70068
SED10085,24608,63590,951,1703,335,563,1292,2266,734,1114,10,15,0,0,3,4,738,1134,104,157,81,136,32,68,47,93,268,457,203,491,27104,67938,4582,..,31688,67938
SED10086,6586,20817,1458,3834,2256,6581,3712,10416,3733,8290,9285,18470,6654,12393,70,180,19742,39333,3,3,0,0,0,3,164,365,172,373,159,381,30375,71321,4122,..,34500,71321
SED10087,23944,62571,833,1288,200,346,1038,1636,2234,3527,81,102,35,40,7,23,2355,3699,30,61,35,63,7,16,157,428,235,565,104,277,27671,68743,3455,..,31128,68743
SED10088,16561,53382,374,705,1348,3236,1726,3945,1893,3490,4194,8753,2352,4821,45,102,8486,17167,0,3,9,16,0,0,63,166,72,184,106,212,26951,74896,1877,..,28827,74896
SED10089,24322,65499,2292,4129,1154,2563,3447,6694,1226,1925,325,551,31,51,92,164,1667,2689,3,19,0,0,7,21,62,118,74,156,95,240,29613,75276,2439,..,32051,75276
SED10090,12965,39920,1558,3901,1942,5002,3500,8900,2639,5447,4298,9019,7346,16199,13,27,14296,30689,3,4,3,3,0,3,95,198,103,211,78,153,30938,79878,2876,..,33807,79878
SED10091,22893,65541,1053,1737,315,540,1372,2273,312,501,5,9,3,0,7,16,328,531,75,109,24,31,20,53,50,139,172,341,126,299,24890,68988,2255,..,27144,68988
SED10092,18365,50892,1349,2357,1994,4644,3349,6999,2815,5184,2410,4347,3726,7211,39,92,8995,16832,184,284,29,71,0,4,108,262,326,622,310,515,31340,75864,2997,..,34337,75864
SED10093,22654,63658,1583,2864,689,1465,2265,4330,1551,2445,69,113,39,68,13,30,1674,2659,166,256,56,112,5,24,12,19,240,400,133,238,26971,71283,2448,..,29421,71283
SED19494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
