region_id,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_unit_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_unit_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_unit_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_unit_aprt,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_Ps_not_in_s_hh_DS_Flt_ut_at,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Fl_u_at,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flt_unt_apt,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flt_unit_apt,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_unit_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flt_unt_apt,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flt_unt_apt,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_unit_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
CED139,15497,2559,1109,1012,22,20199,12962,1620,566,76,12,15236,3683,1877,1642,33,11,7246,346,424,317,0,0,1087,3258,865,649,121,19,4912,114,85,63,7,0,269,254,80,83,275,4,696,311,59,53,33,0,456,7966,3390,2807,469,34,14666,274,142,66,20,0,502,811,290,233,121,3,1458,37510,8001,4781,1698,71,52061
CED140,17709,397,520,157,7,18790,15994,231,297,53,4,16579,4538,670,1809,53,19,7089,1785,106,229,3,3,2126,3186,162,367,55,8,3778,154,52,124,0,5,335,1182,43,118,80,0,1423,504,27,56,14,0,601,11349,1060,2703,205,35,15352,326,61,66,6,3,462,1275,76,199,53,19,1622,46653,1825,3785,474,68,52805
CED141,14304,2660,1046,358,15,18383,15292,1214,627,33,17,17183,4907,1764,1856,72,44,8643,585,565,539,0,0,1689,1903,408,295,40,16,2662,73,116,114,0,0,303,243,56,25,61,4,389,176,45,46,8,0,275,7887,2954,2875,181,64,13961,184,409,145,11,3,752,818,350,224,21,0,1413,38485,7587,4917,604,99,51692
CED142,17336,1319,505,234,0,19394,15383,484,225,19,8,16119,4522,909,747,35,4,6217,1347,564,568,0,0,2479,1970,239,185,27,3,2424,52,56,117,0,0,225,233,25,29,86,0,373,138,23,22,6,0,189,8262,1816,1668,154,7,11907,175,99,95,7,0,376,1045,164,132,28,0,1369,42201,3882,2625,442,15,49165
CED143,2351,3969,4630,44,12,11006,2220,5705,10072,49,36,18082,1121,4746,20002,172,78,26119,187,1455,4460,11,269,6382,482,1735,3852,116,30,6215,32,165,594,0,6,797,57,90,401,16,7,571,37,106,267,8,6,424,1916,8297,29576,323,396,40508,34,111,233,0,20,398,132,372,1026,14,22,1566,6653,18454,45537,430,486,71560
CED144,16922,1045,289,434,6,18696,15314,723,191,18,7,16253,3583,1045,862,51,7,5548,2127,631,702,0,0,3460,1948,289,231,39,0,2507,160,87,36,0,0,283,293,41,35,76,0,445,188,35,39,3,0,265,8299,2128,1905,169,7,12508,246,78,46,16,0,386,983,153,107,32,0,1275,41764,4127,2538,669,20,49118
CED145,10689,1850,5473,18,28,18058,9559,1711,6049,22,20,17361,1982,1346,10692,71,33,14124,98,160,361,0,0,619,967,459,2578,33,18,4055,35,16,283,0,0,334,64,43,107,0,7,221,88,32,163,5,0,288,3234,2056,14184,109,58,19641,104,25,243,5,0,377,367,74,595,7,5,1048,23953,5716,26544,161,111,56485
CED146,12242,1387,2131,48,16,15824,9227,2259,3506,26,34,15052,2669,1359,7511,100,60,11699,707,758,993,0,0,2458,1206,388,1073,42,11,2720,126,109,164,0,0,399,246,79,222,9,7,563,128,46,114,3,0,291,5082,2739,10077,154,78,18130,186,53,96,6,0,341,941,206,710,13,4,1874,27678,6644,16520,247,132,51221
CED147,5545,4158,7617,23,26,17369,3652,3945,7364,26,31,15018,1071,2620,17507,116,76,21390,18,264,774,0,3,1059,512,1021,4555,59,22,6169,13,26,189,0,0,228,43,52,212,9,9,325,65,80,329,0,0,474,1722,4063,23566,184,110,29645,51,64,287,0,0,402,247,292,1028,4,3,1574,11217,12522,39862,237,170,64008
CED148,9354,1186,199,145,0,10884,17152,2670,428,60,3,20313,3816,1716,707,18,3,6260,2039,1408,329,0,3,3779,1419,344,119,12,0,1894,90,110,32,0,0,232,227,38,22,27,0,314,129,43,13,4,3,192,7720,3659,1222,61,9,12671,162,64,12,0,3,241,841,324,86,10,0,1261,35229,7903,1947,276,15,45370
CED194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
