region_id,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_unit_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_unit_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_unit_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_unit_aprt,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_Ps_not_in_s_hh_DS_Flt_ut_at,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Fl_u_at,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flt_unt_apt,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flt_unit_apt,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_unit_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flt_unt_apt,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flt_unt_apt,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_unit_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SSC11519,344,89,81,9,0,523,207,23,47,0,0,277,102,69,121,0,0,292,11,9,12,0,0,32,51,19,42,0,0,112,0,29,3,0,0,32,4,3,8,3,0,18,6,0,4,0,0,10,174,129,190,3,0,496,9,24,0,0,0,33,16,25,14,0,0,55,750,290,332,12,0,1384
SSC11520,61,0,0,0,0,61,40,0,0,0,0,40,8,0,0,0,0,8,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,28,0,0,0,0,28,4,0,0,0,0,4,0,0,0,0,0,0,133,0,0,0,0,133
SSC11521,269,0,0,0,0,269,174,0,0,0,0,174,68,0,0,0,0,68,7,0,0,0,0,7,59,0,0,0,0,59,5,0,0,0,0,5,31,0,0,0,0,31,13,0,0,0,0,13,183,0,0,0,0,183,15,0,0,0,0,15,24,0,0,0,0,24,665,0,0,0,0,665
SSC11522,41,0,0,0,0,41,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,3,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,71
SSC11523,21,0,0,0,0,21,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,51
SSC11524,1972,166,223,0,0,2361,1565,317,511,0,0,2393,627,229,1147,0,0,2003,178,124,264,0,0,566,309,51,124,6,5,495,9,36,37,0,0,82,62,8,22,0,0,92,28,7,20,0,0,55,1213,455,1614,6,5,3293,33,14,7,0,0,54,182,23,76,3,0,284,4965,975,2431,9,5,8385
SSC11525,432,147,44,0,0,623,283,168,148,0,0,599,89,103,207,14,3,416,0,50,90,0,0,140,46,32,18,0,0,96,53,3,13,0,0,69,12,4,7,0,0,23,12,7,0,0,0,19,212,199,335,14,3,763,50,4,3,0,0,57,44,15,18,0,0,77,1021,533,548,14,3,2119
SSC11526,32,0,0,0,0,32,43,0,0,0,0,43,5,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,4,87,0,0,0,0,87
SSC11527,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6
SSC11528,351,0,10,0,0,361,698,9,8,0,0,715,238,21,78,0,0,337,144,0,12,0,0,156,61,9,13,0,0,83,9,0,0,0,0,9,8,0,0,0,0,8,3,0,0,0,0,3,463,30,103,0,0,596,5,0,0,0,0,5,28,0,9,0,0,37,1545,39,130,0,0,1714
SSC11529,66,0,0,0,0,66,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,15,0,0,0,0,15,4,0,0,0,0,4,0,0,0,0,0,0,100,0,0,0,0,100
SSC11530,80,0,0,0,0,80,106,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,21,0,0,0,0,21,4,0,0,0,0,4,0,0,0,0,0,0,211,0,0,0,0,211
SSC11531,84,0,0,0,0,84,72,0,0,0,0,72,7,0,0,0,0,7,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,19,0,0,0,0,19,3,0,0,0,0,3,3,0,0,0,0,3,181,0,0,0,0,181
SSC11532,46,0,0,0,0,46,59,0,0,0,0,59,3,0,0,0,0,3,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,11,0,0,0,0,11,4,0,0,0,0,4,32,0,0,0,0,32,0,0,0,0,0,0,6,0,0,0,0,6,143,0,0,0,0,143
SSC11533,203,0,0,0,0,203,154,0,0,0,0,154,27,0,0,3,0,30,0,0,0,0,0,0,21,4,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,53,4,0,3,0,60,0,0,0,0,0,0,4,0,0,0,0,4,414,4,0,3,0,421
SSC11534,154,0,0,0,0,154,90,3,0,0,0,93,11,0,0,0,0,11,0,0,0,0,0,0,17,0,3,0,0,20,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,34,0,3,0,0,37,3,0,0,0,0,3,3,0,0,0,0,3,284,3,3,0,0,290
SSC11535,28,0,0,0,0,28,64,6,0,0,0,70,17,4,0,0,0,21,16,4,0,0,0,20,5,0,0,0,0,5,3,3,0,0,0,6,3,0,0,0,0,3,3,0,0,0,0,3,47,11,0,0,0,58,3,0,0,0,0,3,5,0,0,0,0,5,147,17,0,0,0,164
SSC11536,50,0,0,0,0,50,27,0,0,0,0,27,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,6,3,0,0,0,0,3,17,0,0,0,0,17,3,0,0,0,0,3,5,0,0,0,0,5,102,0,0,0,0,102
SSC11537,158,19,3,0,0,180,206,13,10,0,0,229,38,7,5,0,0,50,186,45,222,0,0,453,37,5,0,0,0,42,0,0,19,0,0,19,10,0,0,0,0,10,6,0,3,0,0,9,277,57,249,0,0,583,8,0,0,0,0,8,28,3,17,0,0,48,677,92,279,0,0,1048
SSC11538,45,3,0,0,0,48,46,0,0,0,0,46,3,0,0,0,0,3,0,0,0,0,0,0,8,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,14,0,0,0,0,0,0,3,0,0,0,0,3,105,6,0,0,0,111
SSC11539,0,3,141,0,0,144,7,0,117,0,0,124,5,0,251,0,0,256,78,67,22,0,0,167,0,0,49,0,0,49,7,0,0,0,0,7,0,0,0,0,0,0,0,8,0,0,0,8,90,75,322,0,0,487,0,0,0,0,0,0,6,9,6,0,0,21,103,87,586,0,0,776
SSC11540,98,3,0,0,0,101,114,0,0,0,3,117,22,0,0,0,0,22,0,0,0,0,0,0,19,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,45,0,0,0,0,45,3,0,0,0,0,3,9,0,0,0,0,9,269,3,0,0,3,275
SSC11541,108,0,0,10,0,118,39,0,0,3,0,42,3,0,0,0,0,3,0,0,0,0,0,0,8,0,0,3,0,11,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,3,19,0,0,3,0,22,0,0,0,0,0,0,6,0,0,0,0,6,172,0,0,16,0,188
