UCL_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
UCL113009,0,13,56,966,1822,298,57,27,3244,0,0,35,18,3,0,0,0,56,0,0,0,14,0,0,0,0,14,0,0,35,30,3,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,9,0,0,8,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,103,999,1830,301,57,28,3333
UCL113010,5,24,290,1663,1443,216,28,41,3719,4,63,250,190,8,0,0,11,537,0,0,9,3,6,0,0,0,22,4,63,259,200,10,0,0,11,556,0,16,18,0,0,0,0,4,37,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,20,0,0,0,0,4,49,0,16,13,0,0,0,0,43,73,0,5,0,4,0,0,0,0,10,9,128,586,1873,1458,216,31,103,4401
UCL113011,0,27,230,1618,1384,255,34,59,3608,0,80,157,94,9,4,0,12,357,0,28,54,50,0,0,0,5,132,3,104,214,143,6,4,0,16,494,0,0,13,4,0,0,0,0,18,0,0,9,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,7,0,0,0,0,27,0,6,0,0,0,0,0,0,8,0,5,5,3,0,0,0,0,9,4,136,465,1777,1398,257,37,71,4148
UCL113012,4,35,226,1430,1631,351,47,42,3765,0,40,248,256,21,0,0,16,581,0,14,90,636,166,15,6,11,931,0,51,338,893,188,11,6,28,1515,0,57,83,33,5,3,3,3,185,0,17,77,36,0,0,0,6,141,0,17,194,118,14,0,0,0,347,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,89,359,191,25,4,3,8,682,0,0,6,0,0,0,0,0,9,0,3,8,5,0,0,0,0,17,9,179,926,2514,1850,372,57,78,5985
UCL113013,7,35,253,2208,1512,200,39,64,4319,0,31,430,118,20,0,0,10,611,0,41,94,33,21,0,0,11,196,0,70,525,148,39,0,0,25,804,0,27,8,5,0,0,0,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,3,0,0,0,15,0,27,12,9,0,0,0,3,51,12,52,70,9,0,0,0,0,139,0,0,3,0,0,0,0,0,7,20,175,860,2374,1559,199,39,89,5319
UCL113014,3,38,285,1919,1795,253,65,42,4405,0,18,135,187,15,3,0,8,368,0,18,124,50,9,0,0,4,209,0,42,256,239,26,3,0,12,584,0,42,137,45,5,0,0,9,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,41,137,45,5,0,0,9,231,6,47,8,6,6,0,0,6,76,0,0,0,5,0,0,0,0,7,11,168,694,2214,1830,260,63,64,5306
UCL113015,9,38,478,2086,1241,200,30,59,4145,0,0,111,58,11,0,0,3,178,0,0,12,8,0,0,0,0,28,0,0,123,67,11,0,0,4,202,0,3,31,43,3,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,8,0,3,31,41,5,0,0,0,85,0,27,11,0,0,0,0,5,44,0,4,5,0,0,0,0,4,15,8,76,651,2198,1256,198,29,71,4489
UCL113016,5,42,601,3132,1508,223,60,132,5705,9,128,495,109,8,0,0,22,765,0,0,29,15,4,0,0,0,45,9,126,528,124,8,0,0,22,809,10,154,384,35,5,0,0,27,610,7,14,18,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,16,164,402,33,0,0,0,27,649,0,5,5,6,0,0,0,0,14,0,5,0,3,0,0,0,3,12,30,343,1534,3295,1522,224,62,185,7190
UCL113017,5,50,490,2327,1819,314,49,60,5116,3,25,105,113,8,0,0,8,259,0,26,96,114,15,0,0,5,261,3,47,200,230,21,0,0,14,517,5,20,51,37,4,0,0,3,121,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,16,5,21,61,44,4,0,3,4,143,4,19,107,43,3,0,0,9,194,0,0,12,6,3,0,0,3,21,11,138,873,2656,1856,315,52,89,5992
UCL113018,0,12,121,365,263,36,3,21,807,0,11,86,15,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,11,86,15,0,0,0,0,113,0,0,16,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,221,381,265,36,3,20,943
UCL114001,3,18,138,828,521,87,13,13,1618,0,44,306,110,14,0,0,12,482,0,4,45,17,0,0,0,0,69,0,46,353,123,14,0,0,11,552,0,0,13,7,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,4,13,7,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,71,508,957,541,87,16,24,2200
UCL114002,4,35,513,1323,623,110,11,123,2750,0,19,236,122,5,0,0,114,508,0,7,37,12,5,0,0,0,69,0,27,278,139,11,3,0,119,574,0,43,115,40,0,0,0,8,206,0,5,4,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,48,119,46,6,0,0,8,223,6,53,57,11,0,0,0,79,205,0,0,6,5,4,0,0,7,19,10,167,981,1522,646,110,16,329,3776
UCL114003,8,40,482,1810,751,100,22,66,3280,5,29,197,56,6,0,0,14,308,0,0,20,17,0,0,0,0,40,5,29,222,70,7,0,0,15,348,0,44,138,27,0,0,0,8,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,12,0,44,143,30,0,0,0,8,225,11,34,9,7,4,0,0,9,66,0,3,0,0,0,0,0,0,5,28,146,854,1919,761,100,24,99,3930
UCL114004,7,28,298,1221,586,112,26,42,2315,0,26,80,24,0,0,0,0,132,0,7,12,11,3,0,0,0,30,0,33,92,32,7,0,0,0,166,0,36,50,10,0,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,49,54,12,0,0,0,0,121,0,6,4,9,3,5,3,0,26,0,3,0,0,0,0,0,0,7,5,121,452,1265,595,111,32,43,2634
UCL114005,8,22,315,1169,570,74,14,50,2213,0,28,129,22,0,0,0,0,183,0,5,10,4,4,0,0,0,17,0,31,135,24,3,0,0,5,202,0,0,6,0,0,0,0,0,0,0,4,10,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,15,0,4,7,0,0,0,0,0,20,0,0,0,0,0,0,0,0,3,11,60,474,1195,577,74,16,48,2450
UCL114006,0,11,216,1071,553,63,6,27,1955,0,29,251,58,3,0,0,12,358,0,0,0,0,0,0,0,0,0,0,29,251,58,3,0,0,12,358,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,6,13,4,0,0,0,0,29,0,0,0,5,0,0,0,0,8,4,50,486,1140,560,69,9,40,2361
UCL114007,3,39,403,1554,787,150,33,62,3045,0,29,172,24,5,0,0,5,231,0,4,23,9,0,0,0,0,29,0,28,194,30,5,0,0,5,260,7,24,34,6,0,0,0,6,80,0,3,8,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,26,43,6,0,0,0,6,91,0,0,3,0,0,0,0,0,8,0,0,0,4,0,0,0,0,8,12,102,644,1592,799,153,33,72,3409
UCL114008,3,25,288,1250,609,88,5,44,2319,0,39,210,13,3,0,0,12,272,0,0,4,3,0,0,0,0,13,0,39,211,14,3,0,0,12,279,0,6,6,6,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,16,0,0,5,3,0,0,0,0,13,0,0,3,0,3,0,0,3,13,3,70,516,1275,608,90,14,61,2646
UCL114009,0,5,73,568,1159,74,11,16,1910,0,11,99,38,6,0,0,8,157,0,0,3,8,0,0,0,0,8,0,11,103,46,6,0,0,8,164,0,36,4,10,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,36,7,10,3,0,0,0,55,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,3,0,50,184,630,1162,74,11,26,2140
UCL114010,3,20,303,1218,669,108,12,52,2392,0,4,95,25,11,0,0,13,142,0,0,7,0,0,0,0,0,13,0,9,98,21,11,0,0,13,154,0,27,106,6,0,0,3,12,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,30,106,6,0,0,3,12,162,4,16,10,7,4,4,0,5,42,0,0,0,5,0,0,0,0,0,11,77,521,1257,683,114,14,79,2752
UCL114011,7,27,326,1052,413,53,14,54,1939,0,44,74,21,0,0,0,10,148,0,0,3,0,0,0,0,0,3,0,44,75,21,0,0,0,10,153,0,29,39,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,39,0,0,0,0,0,70,4,11,3,4,0,0,0,0,21,0,0,0,0,0,0,0,0,3,5,109,445,1078,417,50,15,60,2181
UCL114012,0,18,24,347,1221,162,12,14,1796,0,0,0,9,0,0,0,0,14,0,9,26,62,0,0,0,0,96,0,9,26,67,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,64,424,1225,162,12,13,1929
UCL114013,0,14,268,1375,874,110,25,48,2720,0,24,195,73,8,0,0,10,309,0,7,29,0,0,0,0,0,42,3,36,223,74,5,0,0,10,352,3,21,39,8,0,0,0,3,75,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,3,21,47,8,0,0,0,3,82,6,5,3,4,0,0,0,0,15,0,3,0,0,0,0,0,0,3,15,75,542,1459,884,109,27,61,3177
UCL114014,0,14,84,772,652,166,32,16,1741,0,0,11,8,0,0,0,0,23,0,0,0,36,0,0,0,0,38,0,0,11,46,4,0,0,0,61,0,0,92,124,13,0,0,0,224,0,0,45,17,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,12,0,5,140,138,13,0,3,0,300,0,0,3,4,4,0,0,0,12,0,0,0,0,0,0,0,0,8,0,17,236,970,671,172,35,14,2116
UCL114015,3,27,386,1747,840,120,15,71,3216,3,88,182,71,8,0,0,41,392,0,30,39,4,0,0,0,0,72,3,110,219,79,8,0,0,40,463,0,28,19,4,0,0,0,4,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,28,17,4,0,0,0,4,51,8,7,4,4,0,0,0,9,38,5,5,4,0,0,0,3,0,27,23,180,633,1838,854,118,25,122,3789
UCL114016,0,13,193,1077,781,110,27,41,2246,0,12,54,35,0,0,0,4,103,0,0,0,11,0,0,0,0,13,0,12,50,39,0,0,0,4,111,0,39,197,72,3,0,0,9,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,197,72,3,0,0,9,319,0,8,9,8,3,0,0,3,38,0,0,0,0,4,0,0,0,11,4,75,448,1195,801,112,30,57,2734
UCL114017,0,21,100,666,872,193,29,17,1913,0,0,63,184,32,3,0,4,290,0,3,67,179,41,5,6,0,297,0,4,132,367,72,12,6,4,588,0,3,48,42,7,0,0,0,95,0,0,0,9,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,18,6,15,46,46,7,0,4,0,119,4,3,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,4,10,45,280,1084,956,204,34,19,2639
UCL114018,14,74,182,1245,782,138,26,22,2482,0,18,148,105,5,0,0,3,279,0,22,112,135,22,0,0,0,285,0,38,256,235,28,0,0,8,568,4,39,296,99,0,0,0,16,452,0,0,16,5,0,0,0,0,28,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,37,317,108,0,3,0,10,487,3,3,3,0,0,0,0,0,13,0,4,5,14,3,0,0,6,33,22,156,766,1600,820,146,29,52,3577
UCL114019,8,22,205,1006,570,88,15,75,1980,12,30,184,37,6,0,0,14,273,0,11,30,13,0,0,0,3,64,12,39,211,55,9,4,0,15,342,0,24,30,12,0,0,0,9,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,30,12,0,0,0,9,67,3,13,0,5,3,0,0,0,23,0,6,0,0,0,0,0,0,5,17,93,444,1075,579,97,17,95,2419
UCL114020,8,33,203,1221,1205,218,52,30,2968,0,40,143,73,3,0,0,7,267,0,0,7,17,0,0,0,0,27,0,40,151,88,7,0,0,12,293,0,23,53,17,0,0,0,3,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,30,55,17,3,3,0,3,107,4,24,39,0,3,0,0,6,76,0,0,0,0,0,0,0,0,3,7,120,445,1333,1219,224,52,43,3448
UCL114021,10,34,341,1510,872,153,31,32,2979,4,13,93,48,11,0,0,0,162,0,6,22,30,0,0,0,0,64,4,18,120,80,7,0,0,3,230,11,75,281,46,6,4,3,15,443,0,6,30,3,0,0,0,0,48,0,0,11,4,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,9,13,87,324,57,6,5,3,15,510,4,9,0,3,3,0,0,6,31,4,0,0,4,0,0,0,3,10,32,146,784,1652,890,153,37,58,3757
UCL114022,11,77,482,931,448,100,24,61,2131,6,32,129,53,8,0,0,10,244,0,39,47,38,3,4,0,4,134,6,72,179,94,4,4,3,16,380,6,33,105,39,3,0,0,5,193,0,12,59,27,0,0,0,3,96,0,0,8,15,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,8,10,44,182,82,6,0,0,10,328,0,25,35,9,0,0,0,4,75,0,16,25,0,0,0,0,0,34,31,234,899,1113,464,105,27,85,2946
UCL114023,10,17,174,986,514,62,20,23,1806,3,58,185,24,0,0,5,13,284,0,0,22,4,0,0,0,0,25,3,58,208,24,0,0,5,18,309,0,4,13,3,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,3,0,0,0,0,22,0,7,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,10,85,394,1018,512,66,25,42,2152
UCL114024,6,21,383,1614,1056,165,29,49,3322,0,11,73,47,6,0,0,0,139,0,13,0,0,0,0,0,0,17,0,19,77,47,6,0,0,4,156,12,37,176,29,4,0,0,14,269,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,12,38,180,29,5,0,0,14,277,3,9,5,4,0,0,0,0,22,6,4,0,3,0,0,0,6,22,20,95,648,1699,1066,176,29,70,3805
UCL114025,0,9,34,761,937,136,15,14,1912,0,0,44,156,10,0,0,0,214,0,16,14,199,6,0,0,4,234,0,14,62,352,15,0,0,4,447,8,8,33,10,0,0,0,0,58,0,4,27,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,6,3,0,0,0,13,8,15,63,12,3,0,0,0,104,8,5,30,7,3,0,0,0,45,0,0,0,0,0,0,0,0,0,12,44,180,1136,959,136,13,21,2508
UCL114026,0,7,187,562,683,123,22,8,1599,0,0,117,108,8,0,0,0,240,0,0,36,126,16,0,0,0,183,0,3,160,234,25,0,0,0,424,0,0,16,13,4,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,14,13,4,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,11,0,12,363,818,718,124,22,14,2069
UCL114027,3,15,146,585,584,139,16,13,1506,0,19,174,107,7,0,0,9,307,0,11,39,165,46,3,0,4,268,0,26,211,265,50,3,0,18,577,0,14,35,16,3,0,0,5,67,0,0,41,28,3,0,0,0,72,0,0,53,29,0,0,0,4,85,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,19,129,69,10,0,0,4,235,0,13,39,30,0,0,0,0,81,0,4,11,8,0,0,0,3,32,10,83,534,965,644,144,22,36,2437
UCL114028,0,16,150,749,604,115,16,25,1682,0,30,143,103,0,0,0,3,280,0,3,8,7,3,0,0,0,27,0,29,154,106,8,0,0,9,305,0,16,13,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,0,0,0,0,0,32,0,11,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,7,0,75,319,862,614,119,14,35,2034
UCL114029,0,5,98,461,772,258,54,19,1669,0,0,9,3,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,9,3,5,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,12,105,465,772,260,55,19,1689
UCL114030,3,25,253,1002,541,78,14,24,1939,0,14,20,58,3,0,0,5,92,0,0,8,10,0,0,0,3,23,0,14,31,62,4,0,0,3,116,0,10,173,46,6,0,0,9,240,0,0,16,17,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,10,188,63,6,0,0,13,272,3,7,5,0,4,0,0,0,19,0,0,0,0,0,0,0,0,5,3,48,486,1134,548,78,14,38,2353
UCL114031,0,38,289,971,899,147,25,26,2390,0,0,4,11,3,0,0,3,25,0,0,0,7,6,0,0,0,12,0,0,4,19,8,0,0,3,33,0,4,19,14,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,8,0,3,22,16,4,0,0,0,44,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,41,323,999,910,149,28,29,2472
UCL114032,0,20,89,682,679,97,28,11,1602,0,6,71,40,10,0,0,3,136,0,0,6,7,3,0,0,0,17,0,6,74,48,14,0,0,3,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,12,0,0,6,3,3,0,0,0,12,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,32,174,732,700,97,28,17,1774
UCL114033,0,21,233,1230,593,79,7,26,2186,6,33,219,27,4,0,0,11,305,0,0,0,7,0,0,0,0,7,6,33,219,36,4,0,0,11,308,0,19,24,0,0,0,0,0,44,0,4,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,22,27,0,0,0,0,0,50,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,4,9,72,482,1269,603,80,8,32,2558
UCL114034,8,28,314,1366,761,89,31,42,2641,0,11,170,99,9,0,0,4,297,0,10,15,3,4,0,0,0,35,0,23,184,104,16,0,0,4,334,0,7,23,7,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,9,23,3,3,0,0,0,43,0,4,9,8,0,0,0,0,20,0,0,0,0,0,0,0,0,6,8,67,526,1483,780,92,28,51,3037
UCL114035,15,92,332,736,424,118,40,44,1805,0,14,102,26,6,0,0,3,155,0,10,65,61,10,0,0,3,155,0,20,172,84,23,0,0,4,304,0,21,11,0,0,0,0,4,44,0,0,28,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,7,0,27,48,0,0,0,0,5,79,3,5,0,0,0,0,0,0,11,0,5,5,0,0,0,0,0,14,18,146,552,831,449,124,42,55,2214
UCL114036,0,19,309,1086,543,65,10,37,2069,0,8,182,118,4,0,0,10,325,0,5,62,74,6,0,0,3,149,0,17,250,194,10,0,0,14,474,0,7,31,22,0,0,0,3,64,0,6,38,20,4,0,0,3,69,0,0,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,16,77,53,3,3,0,7,161,5,12,5,14,4,0,0,0,44,0,3,6,0,0,0,0,0,13,4,64,649,1345,553,69,11,61,2763
UCL114037,4,10,189,926,653,99,6,16,1902,0,6,117,53,0,0,0,3,175,0,0,12,3,0,0,0,0,15,0,6,130,52,0,0,0,4,193,3,28,27,13,0,0,0,8,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,28,27,11,0,0,0,8,79,0,0,0,0,0,0,0,0,3,0,3,3,5,0,0,0,5,11,10,46,346,995,655,99,11,35,2197
