UCL_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL115006,..,7,25,3,8,5,3,0,0,47,..,0,3,13,12,20,34,13,8,93,3,0,0,0,5,0,0,0,0,11,263,88,114,195,186,114,107,27,12,1091,..,0,52,204,190,134,81,29,6,697,..,13,52,68,60,34,16,11,0,258,..,0,7,27,34,10,7,0,0,92,490,..,..,..,..,..,..,..,..,490,..,78,..,..,..,..,..,..,..,78,..,53,19,8,4,3,0,0,0,87,..,0,7,3,3,3,11,0,0,27,..,0,10,8,5,0,0,0,0,24,..,7,40,3,6,9,15,0,5,90,..,0,12,16,10,35,41,15,6,138,3,8,3,5,3,0,6,0,0,23,492,160,197,341,320,234,188,64,17,2013
UCL115007,..,0,3,0,3,8,0,0,0,17,..,0,0,5,17,29,31,59,18,156,4,3,0,0,0,3,5,6,0,22,310,188,164,208,201,204,167,123,38,1605,..,5,120,238,255,246,219,125,21,1221,..,37,97,59,56,41,15,4,3,310,..,0,24,35,34,19,14,5,4,144,640,..,..,..,..,..,..,..,..,640,..,141,..,..,..,..,..,..,..,141,..,162,70,25,11,3,0,0,0,274,..,11,10,7,8,10,14,9,4,71,..,9,7,3,3,0,4,0,0,24,..,0,3,0,11,9,7,0,0,31,..,0,19,11,45,46,59,71,26,282,8,8,0,0,0,3,4,6,0,38,652,383,335,380,424,394,333,218,64,3179
UCL115008,..,4,0,0,0,3,0,4,0,8,..,4,5,0,9,25,27,37,22,129,4,0,0,0,0,5,4,0,0,10,57,30,40,31,55,102,89,80,40,515,..,0,13,23,47,97,102,75,22,386,..,9,25,10,13,25,18,3,0,103,..,0,3,11,9,3,0,3,7,40,123,..,..,..,..,..,..,..,..,123,..,26,..,..,..,..,..,..,..,26,..,19,9,3,0,0,5,0,0,34,..,4,0,0,0,0,0,0,4,18,..,3,0,0,0,0,0,0,0,10,..,8,0,3,4,9,0,0,0,20,..,8,10,4,18,35,59,54,37,223,3,6,0,3,5,8,4,0,0,20,120,65,76,56,100,179,191,147,64,995
UCL115009,..,0,7,0,0,5,4,5,0,17,..,3,6,0,10,20,24,27,11,102,4,0,0,4,0,5,0,0,0,14,135,72,85,93,93,126,128,65,18,815,..,0,42,91,119,138,180,74,9,661,..,21,55,38,24,22,17,14,0,190,..,0,9,19,21,7,0,5,0,62,257,..,..,..,..,..,..,..,..,257,..,66,..,..,..,..,..,..,..,66,..,49,22,5,7,4,0,0,0,87,..,3,11,0,0,4,7,0,0,26,..,3,0,0,0,0,0,0,0,11,..,9,11,0,0,5,5,3,0,35,..,3,11,10,20,31,51,36,21,193,8,0,0,4,0,5,9,0,0,36,268,158,170,172,193,216,275,131,39,1615
UCL115010,..,0,0,0,0,7,3,0,0,17,..,4,4,3,0,19,39,49,16,132,3,0,4,0,0,4,3,3,0,17,52,30,44,33,37,79,110,87,18,482,..,0,17,23,31,73,104,61,11,318,..,3,12,4,12,9,9,4,0,50,..,0,8,13,11,10,3,4,0,56,105,..,..,..,..,..,..,..,..,105,..,12,..,..,..,..,..,..,..,12,..,24,10,0,8,0,0,0,0,43,..,6,0,0,0,12,6,3,0,31,..,0,0,4,0,0,0,0,0,4,..,0,8,0,4,12,11,0,0,39,..,7,11,9,20,47,60,58,22,240,4,6,4,0,5,4,8,3,0,29,114,60,67,55,87,170,202,136,34,920
UCL115011,..,6,4,0,3,7,8,8,8,36,..,0,4,4,10,23,20,5,17,83,0,6,0,0,0,4,0,0,0,10,110,71,79,73,91,114,108,55,27,735,..,0,44,73,91,122,121,71,12,535,..,24,55,24,34,27,13,5,0,181,..,0,14,17,26,9,4,0,0,70,246,..,..,..,..,..,..,..,..,246,..,60,..,..,..,..,..,..,..,60,..,45,24,8,7,0,0,0,0,85,..,3,0,0,0,3,4,5,0,23,..,0,3,3,0,3,0,8,7,20,..,0,12,0,11,9,11,14,7,62,..,0,6,14,16,43,40,19,16,150,0,9,4,3,3,6,5,4,0,29,242,148,160,142,187,227,195,119,46,1453
UCL115012,..,0,0,4,0,0,5,0,0,9,..,0,3,3,9,14,16,14,4,64,0,0,0,0,0,3,0,0,0,8,66,29,48,49,60,61,75,36,10,434,..,0,21,35,51,64,93,39,8,302,..,4,22,25,32,23,8,0,4,116,..,4,8,9,11,7,5,0,0,48,136,..,..,..,..,..,..,..,..,136,..,28,..,..,..,..,..,..,..,28,..,34,10,6,5,4,0,0,0,51,..,4,4,0,3,4,7,4,0,26,..,0,0,3,3,0,0,0,0,11,..,0,7,0,0,5,8,0,0,28,..,0,6,6,26,34,29,26,9,144,0,0,3,3,5,3,3,0,0,20,142,83,84,92,128,143,149,75,22,913
UCL115013,..,3,9,0,15,9,7,5,0,48,..,9,17,13,33,75,83,76,46,349,9,4,0,7,0,9,4,5,0,38,365,208,234,230,233,278,257,187,71,2056,..,10,143,167,158,223,238,178,46,1162,..,63,125,107,71,54,30,13,4,464,..,14,42,80,57,45,18,18,12,290,736,..,..,..,..,..,..,..,..,736,..,126,..,..,..,..,..,..,..,126,..,139,46,17,18,16,7,0,0,251,..,17,9,3,8,11,8,9,0,76,..,12,7,6,3,0,0,0,0,33,..,22,33,9,25,19,11,10,0,124,..,12,43,37,78,130,131,113,66,608,15,11,4,6,6,12,8,4,0,66,750,421,460,430,431,515,450,343,128,3926
UCL115014,..,3,13,14,6,19,4,4,0,61,..,4,4,9,31,47,68,51,27,241,5,3,0,5,0,6,3,0,0,25,291,168,114,199,245,230,185,113,39,1582,..,0,47,142,169,170,158,88,12,780,..,20,66,81,74,48,41,11,0,340,..,5,25,58,83,27,3,10,3,221,582,..,..,..,..,..,..,..,..,582,..,158,..,..,..,..,..,..,..,158,..,79,25,14,12,9,0,0,0,145,..,11,0,3,4,9,16,5,4,57,..,14,14,3,3,4,0,0,0,44,..,8,26,16,14,29,16,5,0,119,..,3,9,14,49,79,108,69,37,377,13,14,4,5,4,7,6,0,0,58,597,321,218,339,416,392,356,191,55,2891
UCL115015,..,0,0,0,8,6,3,0,0,15,..,0,7,0,11,33,44,39,22,160,0,5,0,0,5,6,3,0,0,19,102,44,54,71,92,160,172,91,40,829,..,0,27,56,74,150,196,95,25,614,..,10,37,32,34,43,44,13,0,214,..,0,4,16,19,9,6,4,3,57,200,..,..,..,..,..,..,..,..,200,..,38,..,..,..,..,..,..,..,38,..,34,11,4,5,8,0,0,0,61,..,3,3,0,0,4,5,9,7,34,..,3,3,4,0,4,0,0,0,13,..,5,5,0,6,15,9,0,0,37,..,0,7,11,23,58,83,45,34,263,4,6,5,4,5,16,6,5,0,42,205,100,109,131,158,294,358,169,65,1588
UCL115016,..,0,4,0,0,4,0,0,0,13,..,0,3,5,9,8,16,8,3,63,0,6,0,0,6,0,0,0,0,12,74,52,52,54,62,69,55,22,7,451,..,0,31,56,67,70,57,24,5,314,..,12,32,21,18,10,9,0,0,103,..,0,3,10,14,15,0,0,5,50,147,..,..,..,..,..,..,..,..,147,..,34,..,..,..,..,..,..,..,34,..,35,12,0,3,5,0,0,0,59,..,0,0,0,0,3,0,0,0,7,..,8,0,0,0,0,0,0,0,7,..,8,10,0,0,4,3,0,0,26,..,0,4,9,23,29,35,16,13,134,5,9,7,6,5,0,0,0,0,23,151,100,100,108,130,146,113,53,22,912
UCL115017,..,0,0,4,0,4,9,4,0,19,..,0,3,4,12,23,54,68,56,223,0,0,4,6,0,0,3,3,0,13,163,64,84,123,121,169,223,194,81,1215,..,0,69,164,134,205,279,221,51,1121,..,7,39,28,16,34,25,9,0,162,..,0,6,10,17,8,3,7,10,67,342,..,..,..,..,..,..,..,..,342,..,73,..,..,..,..,..,..,..,73,..,33,25,7,12,8,6,0,0,83,..,6,0,4,0,0,7,3,7,24,..,7,5,0,5,0,0,0,0,19,..,0,3,0,0,3,16,3,5,28,..,5,7,4,18,45,67,82,64,297,6,0,0,6,0,0,3,4,0,20,343,133,153,227,203,311,398,336,133,2240
UCL115018,..,0,0,0,6,0,0,0,0,11,..,0,5,0,4,13,28,27,20,98,0,0,0,0,0,0,0,0,0,15,59,40,26,37,52,70,102,79,31,501,..,0,11,23,36,80,118,78,22,364,..,14,9,10,8,6,10,4,0,57,..,0,6,12,13,3,4,6,6,56,103,..,..,..,..,..,..,..,..,103,..,18,..,..,..,..,..,..,..,18,..,22,9,6,12,11,0,0,0,64,..,4,3,0,0,0,5,11,4,22,..,0,3,0,0,0,0,0,0,4,..,3,3,4,8,3,4,9,0,28,..,5,6,13,10,28,53,43,21,171,0,3,0,0,0,4,3,3,0,27,101,69,49,64,95,141,198,145,51,921
UCL115019,..,7,18,0,9,13,12,7,5,63,..,4,12,11,36,102,143,112,26,449,0,8,9,9,0,13,9,6,3,51,276,126,168,233,300,400,389,231,64,2194,..,0,74,189,227,343,331,187,40,1394,..,11,111,121,115,109,82,24,0,577,..,0,16,42,77,48,22,22,8,238,563,..,..,..,..,..,..,..,..,563,..,130,..,..,..,..,..,..,..,130,..,75,51,27,21,16,7,0,0,199,..,3,3,4,10,4,18,7,9,67,..,7,0,6,0,9,0,0,0,18,..,4,34,9,14,31,28,11,5,138,..,4,27,39,78,186,221,150,33,739,4,6,11,14,5,19,16,11,0,93,566,256,330,450,550,764,734,409,96,4160
UCL115020,..,4,5,6,3,5,5,0,0,23,..,3,14,3,16,38,50,52,29,198,5,13,5,0,0,5,6,0,0,32,297,182,208,138,182,176,147,95,38,1463,..,9,140,138,169,206,160,87,20,915,..,58,109,54,38,30,21,3,0,313,..,6,30,42,48,13,12,9,3,166,597,..,..,..,..,..,..,..,..,597,..,109,..,..,..,..,..,..,..,109,..,114,40,6,15,14,0,0,0,181,..,16,11,6,6,9,13,4,0,58,..,12,11,0,0,0,0,0,0,27,..,9,9,11,4,12,7,3,0,54,..,12,40,21,35,78,76,74,33,364,4,14,4,4,3,7,6,4,0,55,604,358,382,279,322,363,288,176,57,2838
UCL115021,..,3,0,0,0,0,5,0,0,9,..,5,0,10,5,23,18,14,9,87,0,0,0,0,0,0,5,0,0,10,80,53,42,67,59,64,75,44,11,495,..,0,22,45,52,73,87,54,8,335,..,23,39,34,22,12,0,0,0,126,..,3,8,10,10,3,6,5,0,53,182,..,..,..,..,..,..,..,..,182,..,22,..,..,..,..,..,..,..,22,..,23,8,3,5,7,0,0,0,44,..,4,0,0,0,0,0,0,0,10,..,0,0,0,0,0,0,0,0,9,..,4,9,3,3,4,10,0,0,29,..,8,18,26,20,34,45,30,9,178,5,4,8,0,6,3,6,0,0,22,187,93,105,118,119,132,148,90,16,1005
UCL115022,..,3,0,0,5,7,5,6,0,27,..,0,10,0,13,33,42,38,16,155,4,5,0,3,0,6,5,0,0,33,199,136,76,133,211,231,212,150,39,1386,..,3,45,152,245,258,273,184,30,1192,..,24,41,49,51,46,26,7,0,250,..,0,5,20,40,19,6,4,9,105,382,..,..,..,..,..,..,..,..,382,..,134,..,..,..,..,..,..,..,134,..,109,30,21,13,12,0,0,0,182,..,3,4,0,4,9,9,11,7,39,..,9,9,0,0,0,3,0,0,27,..,3,4,3,16,17,7,6,0,54,..,0,6,3,19,53,73,59,15,240,11,11,4,5,4,13,10,5,0,55,395,298,154,258,397,429,413,272,63,2669
UCL115023,..,0,0,0,0,0,0,0,0,6,..,0,8,4,13,20,30,21,8,98,0,0,0,0,0,0,0,0,0,7,78,42,64,49,75,84,100,52,14,558,..,4,37,52,71,89,119,64,13,452,..,24,31,9,25,9,0,0,0,104,..,0,11,13,11,5,4,3,4,51,192,..,..,..,..,..,..,..,..,192,..,30,..,..,..,..,..,..,..,30,..,36,13,4,4,9,0,0,0,62,..,4,3,0,4,0,3,0,0,20,..,3,3,0,0,0,4,0,0,8,..,0,3,0,0,0,4,0,0,16,..,6,10,9,26,40,55,42,8,199,0,0,6,0,4,3,3,3,0,14,192,107,119,89,147,158,195,108,32,1150
UCL115024,..,3,4,0,3,0,0,0,0,9,..,10,11,8,11,11,17,15,4,85,4,3,0,3,4,0,0,0,0,22,139,82,105,69,79,73,54,22,14,638,..,4,66,43,52,58,46,19,4,287,..,29,55,45,20,17,4,0,0,164,..,11,15,13,19,15,13,4,0,86,281,..,..,..,..,..,..,..,..,281,..,39,..,..,..,..,..,..,..,39,..,24,20,11,5,3,0,0,0,66,..,19,0,4,3,6,15,3,4,55,..,0,0,0,6,0,0,0,0,7,..,7,9,6,5,0,0,0,0,27,..,13,23,16,36,33,31,17,8,166,4,6,3,4,4,5,7,3,0,42,286,149,188,138,153,139,102,46,19,1225
UCL115025,..,0,0,0,0,5,0,0,0,6,..,0,5,3,8,11,9,3,3,33,3,0,3,0,0,0,0,0,0,15,147,102,100,104,106,78,55,14,11,711,..,3,87,122,107,105,64,22,11,531,..,21,54,44,34,15,3,0,0,168,..,0,5,11,29,5,3,10,0,66,308,..,..,..,..,..,..,..,..,308,..,84,..,..,..,..,..,..,..,84,..,86,27,8,6,0,0,0,0,128,..,6,4,0,3,6,7,0,0,29,..,0,0,0,0,0,0,0,0,8,..,0,3,0,3,10,0,0,0,15,..,4,4,10,9,24,12,9,3,78,8,8,3,0,0,6,0,0,0,26,311,215,190,205,203,166,99,39,9,1435
UCL115026,..,0,0,0,0,0,0,6,0,8,..,0,7,5,18,24,38,39,11,138,0,3,0,0,0,4,0,0,0,11,88,40,61,73,72,84,107,98,14,631,..,0,29,67,67,68,87,91,7,423,..,12,41,32,30,25,19,9,4,177,..,0,5,15,12,4,5,3,0,46,210,..,..,..,..,..,..,..,..,210,..,29,..,..,..,..,..,..,..,29,..,28,10,6,7,0,0,0,0,52,..,5,0,0,4,0,4,3,0,21,..,0,3,3,0,0,0,0,0,10,..,0,4,4,0,0,7,6,0,18,..,9,21,16,24,41,51,43,13,212,4,5,4,0,0,6,3,4,0,28,211,90,115,139,145,149,171,162,28,1231
UCL115027,..,7,0,0,5,0,0,0,0,15,..,0,17,7,11,16,28,19,12,118,0,9,6,0,5,7,0,0,0,26,307,157,218,205,158,124,129,48,23,1372,..,6,161,232,172,141,166,59,7,943,..,46,130,62,45,13,6,0,0,306,..,8,30,42,46,16,12,0,0,154,640,..,..,..,..,..,..,..,..,640,..,110,..,..,..,..,..,..,..,110,..,108,36,15,11,5,0,0,0,169,..,19,9,0,4,9,9,4,6,66,..,3,7,4,0,0,0,0,0,19,..,7,9,3,3,3,8,0,0,31,..,11,39,27,29,40,46,28,17,232,5,14,12,3,5,7,0,0,0,50,652,322,438,393,312,239,248,98,34,2726
UCL115028,..,8,7,0,6,0,0,0,0,25,..,0,6,6,12,31,28,48,31,171,0,6,0,3,4,3,0,0,0,29,168,108,91,118,153,187,167,131,51,1177,..,0,37,135,160,219,237,138,39,959,..,8,66,40,38,31,18,4,0,196,..,0,3,16,35,31,3,0,0,93,343,..,..,..,..,..,..,..,..,343,..,119,..,..,..,..,..,..,..,119,..,58,35,3,3,0,0,0,0,98,..,9,3,0,3,6,11,7,3,43,..,11,3,0,9,0,4,0,0,23,..,17,15,5,0,5,0,0,0,47,..,3,14,11,27,58,51,65,50,287,0,4,3,12,7,15,3,5,4,52,343,226,170,224,281,361,334,224,93,2262
UCL115029,..,18,32,4,10,8,3,3,0,83,..,0,14,16,21,30,34,22,12,153,0,0,0,6,0,4,0,0,0,10,100,84,106,107,120,123,94,63,28,819,..,0,27,75,79,84,64,49,6,386,..,4,44,50,38,39,26,3,0,205,..,0,3,21,30,18,11,4,0,94,205,..,..,..,..,..,..,..,..,205,..,51,..,..,..,..,..,..,..,51,..,40,20,8,15,6,0,0,0,85,..,11,7,0,0,0,6,9,5,45,..,15,11,7,3,4,8,0,0,45,..,31,40,11,19,15,8,8,0,131,..,0,19,19,32,58,76,40,16,261,0,0,6,6,0,0,0,0,0,24,209,151,176,192,215,227,209,110,36,1528
UCL115030,..,0,0,5,0,9,3,6,0,20,..,0,0,0,9,15,18,21,12,72,0,6,0,0,0,0,11,0,0,25,72,45,38,48,69,85,98,52,19,530,..,0,21,23,52,97,120,54,18,388,..,4,16,13,19,13,5,0,0,76,..,3,9,18,19,8,5,8,6,74,152,..,..,..,..,..,..,..,..,152,..,34,..,..,..,..,..,..,..,34,..,39,8,13,10,5,5,0,0,76,..,0,0,0,0,3,4,0,0,17,..,0,4,0,6,3,0,0,0,26,..,4,0,5,0,15,11,6,0,35,..,0,0,0,15,33,40,34,13,148,3,6,0,0,8,5,14,0,0,40,150,96,75,86,130,180,202,102,39,1057
UCL115031,..,4,4,6,0,6,11,3,0,33,..,0,0,5,15,45,93,61,19,238,3,0,0,0,4,0,0,0,0,23,132,83,82,105,131,223,326,161,42,1289,..,0,58,117,144,222,349,190,29,1105,..,6,29,32,41,55,44,23,7,235,..,0,9,23,22,18,8,11,8,96,287,..,..,..,..,..,..,..,..,287,..,79,..,..,..,..,..,..,..,79,..,58,29,11,14,9,3,0,0,119,..,5,5,0,3,9,12,11,10,51,..,3,6,0,0,4,0,0,0,19,..,4,4,6,3,6,12,6,0,49,..,5,8,3,29,65,139,85,24,358,4,10,0,5,4,6,12,5,0,46,294,175,147,198,250,391,583,323,79,2433
UCL115032,..,0,0,0,3,7,4,4,0,19,..,0,0,7,15,19,24,19,15,96,4,3,0,3,0,3,0,0,0,13,171,91,67,93,166,195,141,74,22,1011,..,0,50,115,158,206,192,87,10,815,..,0,32,35,48,66,26,3,0,215,..,0,3,11,31,13,4,9,5,81,327,..,..,..,..,..,..,..,..,327,..,99,..,..,..,..,..,..,..,99,..,59,28,15,9,3,0,0,0,113,..,3,3,6,8,5,9,5,3,42,..,0,3,0,0,0,0,0,0,10,..,5,5,7,9,15,8,3,0,43,..,5,9,10,22,54,34,23,20,179,3,8,3,3,0,3,0,3,0,28,332,177,126,197,286,376,283,145,35,1961
UCL115033,..,3,6,0,0,4,7,0,0,10,..,0,5,5,18,19,30,19,0,102,9,6,0,0,3,9,3,0,0,30,460,167,234,315,279,229,127,62,11,1879,..,7,213,439,397,310,174,72,15,1619,..,41,122,97,69,47,12,3,0,398,..,4,16,41,35,23,7,4,0,115,914,..,..,..,..,..,..,..,..,914,..,160,..,..,..,..,..,..,..,160,..,137,41,10,6,5,0,0,0,198,..,12,9,0,3,4,7,5,6,45,..,8,11,3,5,0,0,0,0,30,..,3,6,0,0,3,7,0,0,15,..,0,18,16,36,31,43,27,3,177,7,13,0,0,7,8,8,0,0,55,923,385,432,608,557,430,258,118,25,3735
UCL115034,..,0,0,4,0,3,0,5,0,9,..,0,8,0,4,14,9,5,0,39,3,3,7,0,0,0,0,0,0,13,187,115,130,118,105,107,55,18,0,846,..,3,93,140,128,116,61,19,0,559,..,30,92,33,31,30,7,3,0,241,..,6,8,30,24,13,7,4,0,87,373,..,..,..,..,..,..,..,..,373,..,76,..,..,..,..,..,..,..,76,..,99,38,9,3,4,0,0,0,150,..,7,4,0,0,0,6,3,0,28,..,5,0,0,6,4,3,0,0,21,..,0,0,8,9,5,0,6,0,27,..,4,15,12,11,21,18,7,0,86,5,3,7,3,4,0,0,0,0,23,380,234,259,230,218,198,102,40,0,1668
UCL115035,..,12,10,6,0,5,0,0,0,33,..,7,28,15,30,25,34,39,10,198,6,10,6,0,0,4,3,0,0,36,390,250,319,264,208,192,165,109,24,1926,..,9,223,301,254,214,220,117,17,1352,..,76,155,63,30,41,12,0,0,384,..,3,44,53,36,30,7,5,6,187,834,..,..,..,..,..,..,..,..,834,..,166,..,..,..,..,..,..,..,166,..,121,45,23,14,3,3,0,0,205,..,17,7,0,7,9,9,7,5,69,..,18,16,8,4,4,0,0,0,41,..,29,28,6,3,0,6,0,0,81,..,15,43,40,50,46,49,52,19,313,12,14,15,4,0,3,9,0,0,61,848,462,571,494,400,354,323,183,39,3687
UCL115036,..,0,0,0,5,6,4,5,5,26,..,5,4,6,9,28,49,38,11,149,5,3,6,4,7,10,4,3,0,48,177,124,114,124,209,260,249,135,44,1428,..,5,64,109,210,293,319,178,38,1210,..,7,63,42,70,59,32,4,0,290,..,5,16,21,34,21,13,6,8,138,387,..,..,..,..,..,..,..,..,387,..,116,..,..,..,..,..,..,..,116,..,91,51,20,19,10,5,0,0,199,..,17,0,8,3,9,15,8,6,63,..,8,4,0,0,4,3,0,0,20,..,5,6,3,4,12,9,9,0,54,..,6,15,14,44,65,84,75,19,332,7,10,7,10,10,16,8,9,0,85,397,263,230,233,390,501,495,291,77,2878
UCL115037,..,4,0,0,0,0,0,0,0,4,..,0,0,4,7,8,12,3,4,31,0,0,0,0,0,0,0,0,0,10,123,63,48,75,92,86,66,25,7,585,..,0,44,101,132,119,107,37,12,555,..,7,9,14,7,18,9,3,0,64,..,0,3,11,9,11,0,3,6,37,230,..,..,..,..,..,..,..,..,230,..,75,..,..,..,..,..,..,..,75,..,52,26,0,3,5,0,0,0,92,..,4,3,0,0,3,3,0,0,12,..,5,0,0,0,0,0,0,0,3,..,7,4,0,0,0,4,0,0,17,..,0,7,4,6,11,20,6,8,56,0,3,3,0,0,0,4,0,0,15,232,152,97,137,163,169,145,50,20,1156
UCL115038,..,0,0,0,6,10,3,0,0,22,..,3,0,5,11,34,33,34,17,137,0,0,4,0,0,5,0,3,0,15,114,51,67,62,76,118,100,75,31,691,..,3,36,47,54,95,115,71,13,447,..,10,42,19,15,16,6,0,0,111,..,0,11,12,15,18,4,5,6,77,215,..,..,..,..,..,..,..,..,215,..,30,..,..,..,..,..,..,..,30,..,50,19,11,7,10,0,0,0,87,..,3,0,4,0,0,5,8,3,18,..,3,4,0,0,0,5,0,0,13,..,3,0,0,13,16,4,3,0,48,..,7,11,11,18,41,63,51,14,219,0,5,4,3,0,5,3,0,0,33,223,126,127,112,130,204,200,141,46,1301
UCL115039,..,4,6,0,0,5,0,0,0,11,..,17,26,9,16,33,32,36,25,201,15,11,13,4,3,0,9,6,0,51,297,140,223,177,139,178,115,71,31,1377,..,0,114,185,134,189,133,57,11,819,..,57,131,59,48,44,21,3,0,359,..,9,34,35,27,16,6,10,8,137,556,..,..,..,..,..,..,..,..,556,..,73,..,..,..,..,..,..,..,73,..,83,33,6,7,8,0,0,0,141,..,19,6,4,7,9,10,3,0,63,..,7,9,4,4,0,0,0,0,24,..,11,17,6,3,4,4,4,0,51,..,33,65,37,45,86,66,52,30,411,24,9,22,13,10,4,9,6,4,97,576,304,428,343,281,373,243,133,48,2722
UCL115040,..,0,0,0,3,3,0,0,0,8,..,0,3,3,7,13,13,9,5,53,0,4,0,0,0,0,0,0,0,12,144,86,104,87,119,98,82,28,7,753,..,0,74,93,155,123,108,40,5,584,..,14,63,28,19,16,12,3,0,153,..,5,11,10,16,9,13,5,0,66,297,..,..,..,..,..,..,..,..,297,..,73,..,..,..,..,..,..,..,73,..,83,33,8,5,0,0,0,0,129,..,3,0,0,0,0,8,0,6,18,..,10,8,0,0,0,0,0,0,20,..,0,9,4,4,7,0,0,0,24,..,3,9,4,15,24,24,19,5,102,3,3,4,3,4,4,0,0,0,17,302,193,202,155,214,179,164,65,11,1486
UCL115041,..,3,9,0,0,0,0,0,0,13,..,8,14,4,19,36,33,28,28,158,0,0,5,0,0,0,5,0,0,14,208,111,153,99,119,150,112,96,42,1084,..,6,95,88,96,131,127,93,25,663,..,31,91,42,17,27,13,6,0,231,..,3,18,33,27,23,12,9,6,131,442,..,..,..,..,..,..,..,..,442,..,59,..,..,..,..,..,..,..,59,..,79,20,13,6,11,3,0,0,130,..,27,9,0,4,12,20,6,5,85,..,5,9,3,4,3,0,0,0,27,..,8,16,6,0,3,5,6,0,39,..,13,24,22,47,68,57,55,35,328,3,8,10,6,4,3,6,3,0,44,447,234,297,215,216,293,236,180,74,2183
