UCL_CODE_2021,M_Ptn_in_RM_0_14,M_Ptn_in_RM_15_24,M_Ptn_in_RM_25_34,M_Ptn_in_RM_35_44,M_Ptn_in_RM_45_54,M_Ptn_in_RM_55_64,M_Ptn_in_RM_65_74,M_Ptn_in_RM_75_84,M_Ptn_in_RM_85ov,M_Ptn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ptn_in_RM_0_14,F_Ptn_in_RM_15_24,F_Ptn_in_RM_25_34,F_Ptn_in_RM_35_44,F_Ptn_in_RM_45_54,F_Ptn_in_RM_55_64,F_Ptn_in_RM_65_74,F_Ptn_in_RM_75_84,F_Ptn_in_RM_85ov,F_Ptn_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
UCL121004,..,0,18,34,29,29,38,14,4,164,..,0,16,13,6,0,5,0,0,53,..,0,0,0,3,0,4,0,0,9,109,..,..,..,..,..,..,..,..,109,..,15,..,..,..,..,..,..,..,15,..,16,6,0,0,0,0,0,0,27,..,5,0,0,4,3,3,0,0,17,..,0,4,0,0,0,4,0,0,7,..,0,0,0,0,0,0,0,0,9,..,0,0,0,0,5,3,0,0,18,6,4,0,3,0,3,0,0,0,15,114,42,58,52,46,45,52,21,5,433,..,0,27,34,22,36,32,15,0,163,..,7,16,17,9,3,4,0,0,55,..,0,12,7,3,5,0,0,7,44,87,..,..,..,..,..,..,..,..,87,..,17,..,..,..,..,..,..,..,17,..,15,4,3,0,4,0,0,0,24,..,0,0,0,4,0,0,0,0,8,..,0,0,0,0,0,0,0,0,0
UCL121005,..,0,14,24,27,32,29,7,0,123,..,3,0,0,5,5,0,0,0,12,..,0,0,0,4,0,0,0,0,4,63,..,..,..,..,..,..,..,..,63,..,12,..,..,..,..,..,..,..,12,..,21,12,7,0,0,0,0,0,43,..,0,0,0,4,0,0,0,0,6,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,62,40,33,32,37,38,34,13,0,287,..,0,22,17,25,33,21,3,0,124,..,0,4,3,0,0,0,0,0,13,..,0,0,5,4,5,5,0,0,12,52,..,..,..,..,..,..,..,..,52,..,23,..,..,..,..,..,..,..,23,..,10,3,0,0,0,0,0,0,14,..,0,0,0,0,0,4,0,0,8,..,0,0,0,0,0,0,0,0,0
UCL121006,..,0,3,16,20,31,33,16,0,117,..,0,4,5,4,10,7,0,0,23,..,0,0,0,0,0,0,0,0,5,31,..,..,..,..,..,..,..,..,31,..,6,..,..,..,..,..,..,..,6,..,9,3,0,3,0,0,0,0,16,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,5,0,0,7,0,0,0,8,..,0,3,3,4,15,7,9,0,44,0,0,3,0,0,0,4,0,0,10,31,19,23,24,31,59,52,24,4,270,..,0,14,11,22,29,32,17,0,117,..,0,4,3,4,7,0,0,0,24,..,0,0,0,4,3,0,0,0,11,23,..,..,..,..,..,..,..,..,23,..,7,..,..,..,..,..,..,..,7,..,0,7,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,5,0,0,0,0,0,0,0,3
UCL121007,..,0,3,14,20,28,49,32,7,158,..,5,8,9,8,7,4,3,0,38,..,0,0,0,5,0,0,0,0,11,45,..,..,..,..,..,..,..,..,45,..,17,..,..,..,..,..,..,..,17,..,16,0,5,3,0,0,0,0,27,..,4,0,0,0,4,0,0,0,6,..,0,6,0,0,0,0,0,0,4,..,0,0,0,0,5,5,0,0,6,..,0,5,6,14,19,16,10,8,70,0,3,0,4,0,0,0,0,0,12,45,44,28,33,45,67,71,44,18,393,..,0,5,12,21,33,40,36,4,163,..,4,11,9,5,10,3,0,0,44,..,3,7,14,3,0,0,5,0,37,57,..,..,..,..,..,..,..,..,57,..,13,..,..,..,..,..,..,..,13,..,10,6,3,5,4,0,0,0,22,..,3,0,0,4,0,4,4,0,14,..,3,0,0,0,0,0,0,0,3
UCL121008,..,0,0,0,5,5,10,0,0,29,..,0,3,5,4,0,0,0,0,20,..,0,0,0,0,0,0,0,0,6,44,..,..,..,..,..,..,..,..,44,..,8,..,..,..,..,..,..,..,8,..,9,6,3,0,0,0,0,0,22,..,8,0,0,0,4,0,0,0,13,..,5,0,0,0,0,0,0,0,3,..,3,0,0,0,0,0,0,0,3,..,3,3,0,0,10,11,7,0,35,0,0,4,0,0,0,0,0,0,3,44,26,23,16,18,21,29,6,0,184,..,0,4,5,4,8,9,0,0,30,..,0,3,3,6,4,5,3,0,21,..,6,9,7,4,8,5,0,0,39,31,..,..,..,..,..,..,..,..,31,..,9,..,..,..,..,..,..,..,9,..,13,3,6,0,0,0,0,0,18,..,9,0,0,0,0,0,0,0,11,..,0,0,0,0,0,0,0,0,0
UCL121009,..,0,3,20,19,16,26,19,7,105,..,4,21,0,10,9,0,0,0,47,..,0,0,0,3,3,0,0,0,7,66,..,..,..,..,..,..,..,..,66,..,8,..,..,..,..,..,..,..,8,..,11,3,0,0,4,0,0,0,17,..,3,0,0,0,0,0,0,0,11,..,0,4,0,0,0,0,0,0,3,..,3,6,0,0,6,4,0,0,16,..,5,0,4,13,13,9,9,5,54,0,0,0,0,3,0,0,0,0,6,66,44,39,27,47,44,40,28,8,355,..,0,3,24,24,16,29,11,3,109,..,12,16,8,4,3,0,0,0,46,..,3,4,11,10,0,0,0,0,27,79,..,..,..,..,..,..,..,..,79,..,11,..,..,..,..,..,..,..,11,..,13,0,0,0,4,0,0,0,21,..,0,0,0,0,0,0,0,0,10,..,0,0,0,0,0,0,0,0,3
UCL121010,..,0,0,11,21,30,36,15,4,121,..,3,5,6,4,6,8,0,0,33,..,0,0,0,0,3,0,0,0,0,55,..,..,..,..,..,..,..,..,55,..,8,..,..,..,..,..,..,..,8,..,11,3,0,0,0,0,0,0,16,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,5,..,0,0,3,4,10,9,5,3,36,0,0,5,0,0,0,0,0,0,6,55,25,12,30,37,53,58,18,5,288,..,0,7,18,24,32,38,4,0,122,..,0,5,6,3,8,0,0,0,30,..,0,3,10,11,0,0,0,0,26,42,..,..,..,..,..,..,..,..,42,..,7,..,..,..,..,..,..,..,7,..,4,3,0,0,0,0,0,0,10,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
UCL121011,..,0,0,13,14,20,25,9,3,87,..,5,6,5,7,6,5,0,0,34,..,0,4,3,4,4,0,0,0,13,76,..,..,..,..,..,..,..,..,76,..,20,..,..,..,..,..,..,..,20,..,25,17,9,4,5,0,0,0,54,..,6,11,0,0,0,5,0,0,20,..,0,0,0,0,0,0,0,0,4,..,0,3,0,3,7,5,0,0,20,..,0,3,0,8,15,17,12,0,55,0,4,0,0,0,0,3,0,0,8,76,59,50,29,40,53,61,30,7,404,..,0,8,18,17,19,15,13,0,83,..,9,3,7,5,6,0,3,0,35,..,3,15,17,24,15,10,5,3,86,96,..,..,..,..,..,..,..,..,96,..,14,..,..,..,..,..,..,..,14,..,9,9,3,4,0,0,0,0,22,..,0,3,6,0,0,9,0,0,18,..,4,0,0,0,0,0,0,0,6
UCL121012,..,0,4,32,45,70,46,11,0,212,..,0,7,3,6,8,4,0,0,26,..,0,0,0,5,0,0,0,0,6,57,..,..,..,..,..,..,..,..,57,..,31,..,..,..,..,..,..,..,31,..,27,9,4,0,0,0,0,0,48,..,0,0,0,0,0,3,6,0,13,..,6,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,4,6,0,0,13,0,0,3,0,0,0,0,0,0,3,57,64,29,39,54,90,60,12,0,411,..,0,13,35,53,75,31,9,0,214,..,0,4,0,6,4,5,0,0,24,..,0,0,5,3,4,0,0,0,9,63,..,..,..,..,..,..,..,..,63,..,28,..,..,..,..,..,..,..,28,..,26,9,0,0,0,0,0,0,33,..,0,0,0,0,0,3,0,0,12,..,3,3,0,0,0,0,0,0,10
UCL121013,..,0,12,8,6,5,4,0,0,35,..,3,12,3,12,17,0,0,0,45,..,0,0,0,0,0,0,0,0,5,71,..,..,..,..,..,..,..,..,71,..,5,..,..,..,..,..,..,..,5,..,7,6,0,0,4,0,0,0,12,..,3,0,0,0,0,0,0,0,11,..,4,0,0,0,0,0,0,0,10,..,0,8,4,3,5,0,0,0,20,..,0,9,9,9,19,14,9,0,47,0,4,4,0,3,0,0,0,0,10,74,31,40,23,29,47,21,12,0,284,..,0,12,0,5,15,4,0,0,36,..,3,15,5,12,15,0,0,0,44,..,3,24,8,4,5,0,0,5,51,58,..,..,..,..,..,..,..,..,58,..,8,..,..,..,..,..,..,..,8,..,3,7,0,0,0,0,0,0,12,..,9,7,0,3,0,0,0,0,19,..,0,0,0,0,0,0,0,0,0
UCL121014,..,0,0,11,16,18,14,11,0,69,..,0,6,3,4,8,4,3,0,26,..,0,0,4,0,0,0,0,0,9,42,..,..,..,..,..,..,..,..,42,..,8,..,..,..,..,..,..,..,8,..,0,0,0,0,0,0,0,0,7,..,0,0,0,0,0,4,0,0,3,..,0,0,5,0,0,0,0,0,5,..,0,8,0,4,0,4,0,0,13,..,0,0,3,11,19,9,6,0,57,3,3,0,0,0,0,0,0,0,10,39,11,17,26,34,53,43,23,0,254,..,0,0,15,21,22,12,3,0,75,..,4,5,0,4,7,3,0,0,23,..,0,3,5,3,0,0,0,0,14,34,..,..,..,..,..,..,..,..,34,..,8,..,..,..,..,..,..,..,8,..,7,4,5,0,0,0,0,0,11,..,0,0,0,0,0,3,4,0,3,..,0,0,0,0,0,0,0,0,0
UCL121015,..,0,10,21,31,45,16,11,0,135,..,0,8,3,3,10,0,0,0,41,..,0,0,0,0,0,3,0,0,7,50,..,..,..,..,..,..,..,..,50,..,18,..,..,..,..,..,..,..,18,..,17,15,0,3,0,0,0,0,41,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,5,..,0,0,3,0,3,0,0,0,10,..,0,5,6,8,16,10,8,0,46,0,4,0,0,0,0,0,0,0,6,46,40,42,31,48,81,36,24,6,353,..,0,17,24,39,37,17,9,0,137,..,0,12,9,5,7,5,3,0,37,..,0,0,0,6,3,5,3,3,18,44,..,..,..,..,..,..,..,..,44,..,15,..,..,..,..,..,..,..,15,..,7,5,0,0,0,0,0,0,15,..,0,0,0,0,4,3,3,0,6,..,0,0,0,0,0,0,0,0,3
UCL121016,..,0,0,16,15,24,18,4,0,82,..,0,14,8,7,7,4,0,0,33,..,0,0,0,3,0,0,0,0,4,45,..,..,..,..,..,..,..,..,45,..,0,..,..,..,..,..,..,..,0,..,8,11,4,4,0,0,0,0,25,..,0,4,0,0,0,3,0,0,9,..,0,0,0,0,0,0,0,0,5,..,0,4,4,0,3,4,0,0,17,..,0,0,0,4,10,0,0,4,16,3,0,3,0,0,0,0,0,0,12,47,19,34,38,35,42,30,9,7,248,..,0,5,10,15,27,16,5,0,87,..,4,12,5,3,5,0,0,0,28,..,0,8,3,3,9,0,0,0,18,51,..,..,..,..,..,..,..,..,51,..,12,..,..,..,..,..,..,..,12,..,12,3,0,0,0,0,0,0,16,..,0,0,0,0,0,4,0,0,11,..,4,3,0,0,0,0,0,0,4
UCL121017,..,0,21,51,43,42,20,6,0,176,..,0,6,8,6,9,0,0,0,37,..,0,0,0,0,0,0,0,0,5,114,..,..,..,..,..,..,..,..,114,..,18,..,..,..,..,..,..,..,18,..,16,0,0,0,3,0,0,0,14,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,5,3,0,5,0,0,16,0,0,0,0,0,0,0,0,0,6,114,36,30,63,50,58,27,11,0,393,..,4,24,56,35,34,17,0,0,179,..,3,12,8,9,9,0,0,0,36,..,0,0,6,0,0,0,0,0,14,101,..,..,..,..,..,..,..,..,101,..,22,..,..,..,..,..,..,..,22,..,10,8,0,0,0,0,0,0,14,..,0,0,0,0,0,0,3,0,8,..,7,0,0,0,0,0,0,0,7
UCL121018,..,0,22,27,20,36,25,20,0,150,..,9,13,11,13,6,0,0,0,54,..,0,3,4,0,3,0,0,0,8,88,..,..,..,..,..,..,..,..,88,..,15,..,..,..,..,..,..,..,15,..,17,12,0,3,0,0,0,0,33,..,0,3,0,0,3,3,5,0,11,..,3,0,0,0,0,0,0,0,5,..,0,0,0,3,4,0,0,0,3,..,0,12,4,9,11,9,0,0,45,0,0,6,4,0,3,0,0,0,12,88,39,61,50,49,57,44,26,0,424,..,0,22,29,25,35,30,14,0,152,..,5,18,15,8,6,6,0,0,58,..,0,7,9,8,0,0,4,0,25,91,..,..,..,..,..,..,..,..,91,..,16,..,..,..,..,..,..,..,16,..,14,6,3,3,0,0,0,0,27,..,0,0,0,0,0,0,3,0,3,..,0,0,0,0,0,0,0,0,3
UCL121019,..,0,10,25,41,26,40,19,3,163,..,0,0,0,8,4,4,0,0,14,..,0,0,0,0,0,0,0,0,5,83,..,..,..,..,..,..,..,..,83,..,16,..,..,..,..,..,..,..,16,..,17,5,0,4,0,0,0,0,31,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,5,0,0,0,8,..,3,0,0,0,0,0,0,0,6,..,0,0,0,0,0,4,0,0,6,0,0,0,3,0,0,0,0,0,13,82,38,17,33,54,37,52,20,0,337,..,0,7,32,30,43,38,6,0,167,..,0,3,0,6,3,0,0,0,20,..,0,7,0,4,0,0,0,0,12,73,..,..,..,..,..,..,..,..,73,..,9,..,..,..,..,..,..,..,9,..,10,3,3,0,0,0,0,0,17,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3
UCL121020,..,0,5,25,23,23,21,5,0,101,..,0,4,12,7,7,8,0,0,43,..,0,0,0,4,0,4,0,0,10,60,..,..,..,..,..,..,..,..,60,..,13,..,..,..,..,..,..,..,13,..,13,4,0,0,0,0,0,0,18,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,9,..,0,0,0,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,60,31,18,39,44,38,32,8,0,270,..,0,4,27,26,21,12,6,0,100,..,0,8,8,5,6,0,0,0,37,..,0,0,9,6,0,0,0,0,12,50,..,..,..,..,..,..,..,..,50,..,8,..,..,..,..,..,..,..,8,..,10,3,0,0,0,0,0,0,17,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
UCL121021,..,0,4,17,9,22,28,15,0,89,..,3,3,4,11,5,0,0,0,23,..,0,0,0,4,0,0,0,0,6,37,..,..,..,..,..,..,..,..,37,..,10,..,..,..,..,..,..,..,10,..,8,3,0,3,0,0,0,0,18,..,3,0,0,0,0,0,0,0,10,..,0,0,0,0,0,0,0,0,5,..,0,0,3,0,0,0,0,0,3,..,0,8,4,5,9,11,4,3,53,0,0,0,0,0,0,0,0,0,7,37,29,29,32,30,35,37,20,11,251,..,0,4,12,19,22,25,5,0,91,..,3,7,3,10,0,0,0,0,26,..,0,3,5,9,3,0,5,0,25,27,..,..,..,..,..,..,..,..,27,..,3,..,..,..,..,..,..,..,3,..,9,0,0,0,0,0,0,0,8,..,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0
UCL121022,..,0,5,12,16,24,20,21,4,104,..,4,7,8,6,8,0,0,0,32,..,0,0,0,0,0,0,0,0,0,45,..,..,..,..,..,..,..,..,45,..,11,..,..,..,..,..,..,..,11,..,13,0,0,4,0,0,0,0,19,..,0,0,3,0,0,0,0,0,12,..,0,0,0,0,0,0,0,0,0,..,0,0,5,0,4,0,3,0,10,..,0,0,3,3,13,13,12,3,52,4,5,3,0,4,0,0,0,0,12,50,33,22,23,28,52,42,39,11,301,..,0,11,13,21,26,21,16,4,106,..,7,5,9,6,6,3,0,0,37,..,0,0,3,12,7,0,3,0,26,33,..,..,..,..,..,..,..,..,33,..,20,..,..,..,..,..,..,..,20,..,0,9,0,0,0,0,0,0,10,..,3,0,0,0,0,0,3,0,7,..,0,0,0,0,0,0,0,0,0
UCL121023,..,0,0,4,10,29,45,14,0,116,..,0,0,4,4,11,6,4,0,29,..,0,0,0,0,0,0,0,0,7,22,..,..,..,..,..,..,..,..,22,..,3,..,..,..,..,..,..,..,3,..,6,3,8,3,0,0,0,0,21,..,0,5,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,7,4,0,13,..,0,0,3,4,25,19,8,5,64,0,0,0,0,0,0,0,0,0,3,22,14,11,22,22,66,82,27,8,282,..,0,0,12,12,36,39,12,6,120,..,0,0,3,6,6,4,0,0,31,..,0,3,3,0,3,3,0,0,20,21,..,..,..,..,..,..,..,..,21,..,10,..,..,..,..,..,..,..,10,..,3,3,0,0,0,0,0,0,14,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
UCL121024,..,0,3,16,20,15,20,18,4,98,..,0,10,0,5,0,0,0,0,21,..,0,0,5,5,3,0,0,0,13,66,..,..,..,..,..,..,..,..,66,..,7,..,..,..,..,..,..,..,7,..,8,3,6,0,0,0,0,0,13,..,4,0,0,0,0,0,0,0,3,..,5,0,0,0,0,0,0,0,3,..,0,0,0,6,0,3,0,0,5,..,0,3,4,0,7,0,0,0,17,0,0,0,4,0,0,0,0,0,6,69,25,23,25,28,32,22,18,6,251,..,0,13,17,14,15,21,18,0,92,..,5,11,3,3,0,0,0,0,20,..,0,6,8,6,0,4,0,0,19,66,..,..,..,..,..,..,..,..,66,..,7,..,..,..,..,..,..,..,7,..,4,0,0,0,0,0,0,0,8,..,0,0,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,0
UCL121025,..,0,3,23,27,34,21,17,6,128,..,0,6,5,4,3,0,0,0,15,..,0,0,3,3,0,0,0,0,9,59,..,..,..,..,..,..,..,..,59,..,27,..,..,..,..,..,..,..,27,..,18,11,0,5,0,0,0,0,29,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,5,4,8,0,0,19,0,0,0,0,0,4,0,0,0,8,64,40,21,31,44,41,33,20,4,299,..,0,7,25,29,31,21,5,0,126,..,0,3,3,5,3,0,0,0,19,..,0,0,7,12,0,0,0,0,13,52,..,..,..,..,..,..,..,..,52,..,23,..,..,..,..,..,..,..,23,..,18,5,0,0,0,0,0,0,19,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
UCL121026,..,0,7,13,16,43,51,13,5,143,..,4,16,12,6,7,10,3,0,51,..,0,0,6,3,3,0,0,0,7,64,..,..,..,..,..,..,..,..,64,..,15,..,..,..,..,..,..,..,15,..,4,12,0,0,0,0,0,0,23,..,5,0,0,0,0,0,0,0,7,..,0,0,6,0,0,0,0,0,5,..,0,6,4,0,0,3,0,0,19,..,4,3,4,7,25,29,8,0,88,4,4,0,0,4,6,0,0,0,23,71,35,44,37,46,84,104,24,3,446,..,3,10,12,18,56,35,12,0,151,..,4,12,14,5,9,9,0,0,50,..,0,5,8,9,7,0,0,0,38,51,..,..,..,..,..,..,..,..,51,..,13,..,..,..,..,..,..,..,13,..,7,4,0,0,0,0,0,0,14,..,0,0,0,0,0,0,0,3,9,..,0,4,0,0,6,0,0,0,10
UCL121027,..,0,0,18,24,29,18,4,0,89,..,0,3,8,6,3,5,0,0,33,..,0,0,3,3,0,0,0,0,11,71,..,..,..,..,..,..,..,..,71,..,12,..,..,..,..,..,..,..,12,..,11,10,0,5,0,0,0,0,35,..,0,0,0,0,0,0,0,0,7,..,0,3,0,0,0,0,0,0,5,..,0,0,0,0,0,0,0,0,4,..,0,0,0,4,4,4,0,0,7,0,0,0,0,0,0,0,0,0,3,71,31,24,30,43,41,24,9,0,278,..,0,11,25,25,26,12,3,0,98,..,0,9,4,3,6,8,0,0,33,..,0,4,4,7,9,3,3,4,31,49,..,..,..,..,..,..,..,..,49,..,14,..,..,..,..,..,..,..,14,..,17,0,0,0,3,0,0,0,25,..,0,0,0,0,0,0,0,4,7,..,0,0,0,0,0,0,0,0,4
UCL121028,..,0,4,16,15,43,52,15,5,141,..,0,8,3,3,12,12,0,0,47,..,0,0,0,0,3,0,0,0,10,38,..,..,..,..,..,..,..,..,38,..,3,..,..,..,..,..,..,..,3,..,13,11,0,4,4,0,0,0,25,..,0,0,0,0,3,0,0,0,4,..,0,0,0,0,0,0,0,0,4,..,0,3,0,0,0,0,0,0,9,..,4,5,8,9,18,20,5,0,75,0,0,0,0,5,5,0,0,0,11,44,20,42,30,40,91,86,27,5,379,..,0,12,14,18,42,45,13,0,143,..,5,8,7,8,11,3,0,0,45,..,0,3,8,3,0,0,6,0,18,42,..,..,..,..,..,..,..,..,42,..,0,..,..,..,..,..,..,..,0,..,5,0,0,0,0,0,0,0,11,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0
UCL121029,..,0,9,5,10,22,26,13,0,92,..,12,16,4,6,4,0,0,0,42,..,0,0,0,3,0,0,0,0,9,67,..,..,..,..,..,..,..,..,67,..,7,..,..,..,..,..,..,..,7,..,13,7,5,0,0,0,0,0,29,..,0,0,0,0,6,0,0,0,8,..,0,5,0,0,0,0,0,0,7,..,0,0,0,0,0,0,0,0,4,..,0,3,5,3,0,3,7,0,22,0,0,0,0,0,0,0,0,0,7,69,39,39,31,28,38,39,14,5,295,..,0,18,7,14,29,20,9,0,95,..,12,11,10,6,0,0,0,0,41,..,4,9,5,5,5,0,0,3,30,55,..,..,..,..,..,..,..,..,55,..,3,..,..,..,..,..,..,..,3,..,8,4,0,0,0,0,0,0,10,..,0,0,0,0,4,0,0,0,3,..,0,0,0,0,0,0,0,0,3
UCL121030,..,0,7,10,20,30,24,10,4,105,..,7,17,3,6,7,9,0,0,50,..,0,0,0,0,7,0,0,0,9,61,..,..,..,..,..,..,..,..,61,..,10,..,..,..,..,..,..,..,10,..,22,13,5,6,5,0,0,0,48,..,3,0,0,0,3,0,0,0,15,..,0,0,0,0,0,0,0,0,7,..,0,3,4,0,0,4,0,0,10,..,0,6,11,12,25,12,5,0,76,7,0,0,0,0,0,0,0,0,13,70,41,51,40,43,73,48,20,3,401,..,3,9,15,19,37,27,9,0,108,..,8,16,11,6,5,0,0,0,46,..,0,3,10,10,7,8,7,3,45,51,..,..,..,..,..,..,..,..,51,..,8,..,..,..,..,..,..,..,8,..,4,4,4,0,0,0,0,0,20,..,8,0,0,0,0,0,3,0,13,..,0,0,0,0,0,0,0,0,6
UCL121031,..,0,8,17,32,52,59,19,0,189,..,0,4,10,12,13,7,5,0,47,..,0,0,0,3,0,0,0,0,6,83,..,..,..,..,..,..,..,..,83,..,15,..,..,..,..,..,..,..,15,..,13,3,3,6,0,0,0,0,19,..,0,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,3,..,0,8,0,3,11,13,3,3,43,0,0,6,0,0,0,4,0,0,14,84,37,30,39,54,73,88,29,5,433,..,0,12,21,29,65,53,10,0,194,..,0,6,16,7,12,7,0,0,44,..,3,10,13,9,5,0,0,0,40,81,..,..,..,..,..,..,..,..,81,..,15,..,..,..,..,..,..,..,15,..,10,6,0,0,0,0,0,0,13,..,5,0,0,0,4,4,4,4,15,..,0,0,0,0,0,0,0,0,4
