UCL_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
UCL114015,3665,4106,7771,1302,858,2163,416,814,1230,99,123,224,165,134,296,1981,1933,3908,1331,1807,3139,8.3,6.8,7.6,54.1,47,50.3,49.6,43.8,46.5,32,58,92,25,56,76,187,368,550,143,300,446,957,674,1631,42,89,135,47,106,146,1047,862,1913,3280,3640,6923,803,846,1648,2105,2375,4480,1686,1871,3562
UCL114016,2813,3066,5879,1332,813,2153,278,683,957,73,91,168,77,73,151,1766,1659,3423,824,1180,2008,4.3,4.5,4.4,62.7,54.1,58.2,60,51.7,55.6,50,47,95,25,47,69,200,315,518,123,213,339,760,456,1213,31,54,82,38,73,107,824,580,1405,2768,2960,5726,503,526,1027,1711,1778,3486,1360,1526,2885
UCL114017,2838,3119,5957,1203,750,1947,621,1078,1702,117,139,259,61,65,123,1996,2037,4031,693,927,1622,3,3.1,3.1,70.4,65.2,67.7,68.3,63.2,65.6,170,231,398,55,124,179,601,834,1438,297,422,717,701,330,1032,20,19,44,46,91,130,766,441,1208,2789,2941,5727,618,673,1298,1700,1785,3484,1513,1663,3172
UCL114018,3396,3820,7214,1066,689,1752,513,901,1412,92,120,212,65,52,118,1734,1770,3501,1486,1834,3324,3.9,3,3.4,51.1,46.3,48.5,49.1,44.9,46.9,126,139,269,67,151,224,419,609,1022,295,445,736,972,501,1477,29,65,101,63,119,180,1067,688,1752,3037,3355,6394,624,682,1304,1889,2061,3949,1658,1864,3517
UCL114019,2753,2893,5644,1101,779,1880,236,499,737,80,111,182,83,60,141,1496,1447,2944,687,876,1565,5.4,4.1,4.8,54.4,50.1,52.2,51.5,48,49.7,39,54,96,16,48,60,194,335,525,119,219,342,561,321,884,22,52,68,14,40,59,598,410,1011,2232,2306,4539,455,477,930,1545,1553,3097,956,1077,2037
UCL114020,3397,3772,7167,1451,859,2306,488,960,1449,137,168,310,72,75,150,2146,2066,4210,1089,1544,2635,3.4,3.6,3.5,63.2,54.8,58.7,61,52.8,56.7,187,210,400,45,125,173,426,606,1034,283,472,754,910,471,1386,43,79,120,75,123,198,1025,678,1707,3283,3528,6813,693,761,1458,2013,2168,4181,1778,1938,3713
UCL114021,3781,4267,8047,1238,720,1959,584,1126,1706,112,140,254,125,115,245,2054,2102,4156,1422,1795,3221,6.1,5.6,5.8,54.4,49.3,51.7,51.1,46.5,48.7,74,133,205,41,112,159,312,569,879,233,431,667,1060,633,1692,34,68,99,57,125,184,1152,823,1976,3679,4030,7709,603,697,1299,2356,2545,4905,1706,1958,3668
UCL114022,2741,3019,5764,501,372,880,351,542,892,80,81,162,93,75,167,1026,1073,2101,1466,1697,3164,9,7,8,37.5,35.5,36.4,34.1,33,33.5,36,56,94,30,56,92,177,231,405,148,276,423,719,427,1145,29,71,103,41,85,130,790,581,1374,2464,2688,5155,372,396,763,1616,1765,3380,1090,1197,2288
UCL114023,2191,2248,4434,990,654,1648,229,441,670,75,95,162,69,52,115,1365,1242,2601,622,832,1455,4.9,4.2,4.6,62.3,55.1,58.6,59.2,52.8,56,50,46,99,14,32,39,134,238,367,91,178,264,539,358,896,26,36,64,27,49,76,592,445,1037,2072,2101,4180,358,390,750,1454,1491,2947,840,879,1711
UCL114024,3757,4054,7808,1671,1032,2702,383,920,1299,111,115,232,160,84,242,2319,2155,4474,1156,1661,2818,6.7,4,5.4,61.8,53.1,57.3,57.6,51,54.2,60,80,140,40,61,95,216,422,635,189,301,499,997,696,1697,42,65,113,56,127,183,1093,894,1986,3713,3966,7678,657,682,1338,2417,2582,4997,1662,1817,3479
UCL114025,2565,2964,5520,942,559,1498,414,891,1309,78,124,200,70,68,144,1514,1645,3152,901,1149,2057,4.8,4.3,4.5,59,55.5,57.1,56.2,53.1,54.5,78,133,211,45,103,146,336,548,881,245,394,639,781,375,1162,10,37,51,49,85,132,840,498,1344,2791,2998,5786,442,543,986,1763,1867,3620,1264,1488,2754
UCL114026,2002,2399,4401,838,594,1439,234,490,722,150,189,334,44,36,87,1265,1315,2581,655,1006,1660,3.7,3,3.4,63.2,54.8,58.6,60.8,53.1,56.6,75,105,172,27,53,81,180,311,490,191,290,481,611,369,984,9,46,55,49,80,128,666,498,1164,1956,2255,4209,451,515,967,1006,1147,2150,1243,1483,2731
UCL114027,2314,2606,4921,641,350,991,320,545,866,92,89,184,45,48,94,1097,1040,2135,1104,1425,2528,3.9,4.8,4.4,47.5,39.8,43.4,45.6,37.9,41.5,80,71,151,31,58,82,239,310,551,216,302,521,713,350,1059,13,49,62,56,90,143,775,487,1267,2156,2405,4564,348,369,714,1356,1503,2863,1075,1192,2269
UCL114028,1960,2082,4042,964,598,1564,231,473,706,64,71,129,48,40,86,1301,1183,2488,549,792,1341,3.5,3.3,3.4,66.3,57,61.5,64,55.1,59.4,27,54,84,18,30,44,144,262,408,117,184,302,563,339,908,20,37,52,28,55,82,610,433,1040,1905,1965,3872,412,429,839,1208,1229,2437,976,1036,2017
UCL114029,2110,2044,4146,1036,623,1658,280,514,794,181,190,366,45,33,74,1545,1355,2901,484,611,1088,2.9,2.4,2.7,73.3,66.4,69.9,71.2,64.9,68.1,33,63,97,18,42,55,109,245,351,133,233,364,795,360,1152,15,52,71,34,55,93,852,470,1319,2339,2215,4556,266,273,541,1546,1479,3028,876,861,1736
UCL114030,2317,2445,4755,525,375,896,278,472,750,65,84,150,68,45,113,939,973,1913,1250,1320,2571,7.4,4.8,6.1,40.6,39.9,40.2,37.6,38,37.8,42,53,90,30,51,77,171,273,439,144,270,411,750,323,1077,19,36,57,43,85,124,811,449,1264,2140,2213,4357,342,354,696,1412,1426,2830,971,1051,2022
UCL114031,2689,2682,5371,913,531,1441,344,614,959,135,183,314,84,55,142,1473,1386,2864,1079,1163,2241,5.9,4.1,5,54.8,51.7,53.2,51.6,49.6,50.6,36,47,77,26,47,76,141,245,385,148,284,436,1020,514,1533,29,38,64,50,94,146,1097,649,1748,2654,2644,5297,392,395,791,1773,1723,3493,1122,1196,2319
UCL114032,1849,2001,3846,812,497,1316,230,455,683,132,143,271,49,34,84,1220,1134,2358,543,783,1324,3.8,3.3,3.6,66.2,56.6,61.2,63.7,54.8,59,27,72,101,13,29,41,78,198,276,100,236,341,644,341,981,27,41,74,49,67,112,719,448,1167,1918,2065,3985,356,363,715,1131,1220,2355,980,1046,2024
UCL114033,2529,2718,5244,1088,578,1664,280,687,973,77,88,164,77,74,153,1524,1423,2950,836,1108,1951,5.3,5,5.2,60.3,52.4,56.2,57.1,49.8,53.3,33,47,82,17,67,84,181,268,452,115,214,327,712,383,1100,23,55,80,31,61,90,768,495,1269,2490,2620,5108,406,453,857,1696,1744,3440,1033,1151,2186
UCL114034,2930,3453,6387,1066,661,1724,333,827,1159,87,96,190,94,93,188,1573,1677,3250,1175,1601,2776,5.9,5.4,5.7,53.8,48.5,50.9,50.6,45.9,48,30,38,63,16,52,63,116,290,404,160,371,535,921,640,1563,45,94,140,62,92,161,1038,827,1866,2898,3280,6175,570,652,1226,1723,1956,3680,1527,1760,3286
UCL114035,2363,2532,4893,770,494,1265,366,576,942,71,91,154,88,64,155,1292,1227,2513,905,1150,2058,6.9,5.1,6,54.7,48.4,51.4,50.9,45.9,48.3,58,83,141,36,63,102,229,351,581,184,309,494,538,305,843,11,43,54,37,47,82,590,390,975,2198,2256,4451,427,511,937,1336,1354,2699,1143,1280,2428
UCL114036,2598,2933,5527,647,452,1095,325,618,949,85,88,179,53,38,87,1107,1199,2307,1310,1545,2858,4.5,3.3,3.9,42.6,40.9,41.7,40.7,39.5,40.1,77,78,150,41,66,109,258,388,646,184,326,507,693,345,1044,35,53,81,59,95,150,788,494,1277,2295,2542,4833,480,554,1028,1473,1595,3075,1199,1397,2598
UCL114037,2226,2467,4691,1017,652,1672,285,585,869,59,108,162,48,45,92,1411,1388,2799,678,965,1639,3.4,3.2,3.3,63.5,56.3,59.7,61.3,54.5,57.7,84,90,178,46,66,118,217,381,600,158,258,418,588,381,977,17,49,67,27,69,94,634,504,1139,2299,2502,4802,325,347,674,1459,1591,3051,1015,1123,2135
UCL114038,2865,3331,6200,1116,669,1780,309,723,1037,99,105,203,97,87,180,1616,1586,3197,1050,1531,2575,5.9,5.4,5.7,56.3,47.6,51.6,53,45,48.7,66,61,119,17,44,62,163,319,478,134,300,434,694,474,1168,27,67,95,51,74,123,768,617,1385,2806,3188,5997,521,574,1096,1797,1980,3781,1317,1584,2901
UCL115001,760,762,1520,337,191,521,67,183,252,41,26,65,21,18,34,464,414,876,257,308,565,3.7,3.9,3.8,60.8,54.3,57.6,58.6,52.2,55.4,5,7,13,3,10,16,11,50,63,18,50,72,263,150,414,7,18,22,8,22,27,281,181,463,780,752,1533,106,130,236,557,528,1085,280,308,590
UCL115002,1739,1732,3469,686,343,1028,229,530,763,97,108,202,50,31,83,1061,1015,2076,592,639,1233,4.8,3.3,4,61,58.6,59.8,58.1,56.7,57.4,55,64,112,18,44,60,159,248,403,162,226,391,620,315,939,13,33,44,29,59,92,664,401,1069,1781,1735,3511,238,268,507,1166,1147,2309,758,756,1513
UCL115003,1017,1031,2050,513,320,830,124,261,391,104,83,187,20,16,35,763,687,1445,229,319,544,2.8,2.5,2.6,74.7,66.4,70.5,72.6,64.7,68.6,9,34,39,8,20,24,68,143,220,78,123,206,391,188,577,9,18,31,19,22,42,420,230,650,1256,1205,2460,138,145,280,802,772,1573,450,460,911
UCL115004,768,809,1573,213,178,386,115,213,324,17,23,46,18,18,39,362,429,793,358,339,695,5.8,4.4,5,47.7,53.2,50.5,44.9,50.8,47.9,22,20,46,9,23,34,87,131,215,55,105,164,225,88,311,9,12,20,24,26,44,257,125,373,698,719,1416,149,159,303,497,488,989,319,345,666
UCL115005,420,449,871,170,101,272,49,93,140,14,11,21,15,11,21,244,211,458,120,171,295,5.7,3.3,4.6,58.3,46.9,52.4,55,45.3,50,4,7,13,5,4,11,17,31,53,15,31,51,87,55,140,0,3,6,5,3,8,88,63,156,396,400,794,54,58,108,303,324,626,125,110,232
UCL115006,784,933,1717,307,178,492,159,343,503,26,36,63,19,21,40,515,585,1096,200,285,489,3.9,3.4,3.6,65.9,62.6,64.1,63.3,60.5,61.8,33,82,118,28,54,80,165,232,396,77,117,194,144,75,217,0,12,9,17,20,32,156,107,264,734,863,1600,212,258,466,420,462,883,448,586,1035
UCL115007,1302,1344,2648,577,304,885,150,341,491,89,79,162,26,26,54,845,747,1594,393,542,936,3.5,3.6,3.6,64.9,55.7,60.2,62.6,53.7,58.1,20,37,54,12,24,32,56,143,199,83,149,230,494,213,704,15,31,39,17,41,57,524,280,800,1431,1444,2878,137,143,278,1052,1058,2107,430,440,872
UCL115008,461,537,1004,143,74,217,47,105,153,16,22,37,13,5,21,218,206,422,215,298,513,6.4,3.4,5,46.9,38.1,42.2,43.9,36.9,40.1,3,4,10,0,14,14,20,54,76,37,37,72,122,57,182,0,5,11,3,8,12,127,71,201,434,485,920,60,65,120,287,313,603,192,225,418
UCL115009,731,742,1475,292,163,449,85,201,283,26,31,61,11,8,24,414,403,820,272,278,546,3.4,2.2,2.8,56.5,54.9,55.7,54.6,53.7,54.2,3,5,14,4,25,31,36,87,125,57,79,131,209,101,308,7,11,16,7,10,20,221,118,341,688,682,1370,118,129,247,442,418,863,333,359,687
UCL115010,428,478,904,103,63,162,42,69,108,10,5,18,19,16,36,163,159,320,227,277,508,10.4,11.2,10.8,38,33.6,35.7,34,29.9,31.8,3,3,7,4,3,8,24,34,53,16,32,48,84,51,140,6,12,13,6,16,23,95,71,169,384,415,801,51,66,120,271,288,552,151,176,328
UCL115011,640,684,1322,217,142,356,88,153,244,27,25,50,18,16,38,343,338,676,259,314,574,4.9,5.1,5,53.8,48.8,51.2,51.1,46.4,48.6,9,10,25,0,12,17,31,78,102,39,69,114,236,130,362,11,17,27,10,17,27,255,163,419,632,642,1267,97,99,201,460,469,926,243,260,502
UCL115012,444,409,856,138,87,230,44,81,125,19,13,30,21,11,26,217,188,412,185,195,375,8.6,4.8,6.8,49.8,45.9,47.9,45.5,43.7,44.6,0,3,7,0,4,4,17,35,59,23,43,63,110,49,162,0,14,16,4,10,13,121,75,193,417,384,799,60,57,113,314,263,577,146,158,304
UCL115013,1640,1903,3543,535,375,903,254,448,707,61,70,130,41,25,68,890,919,1812,605,797,1410,4.6,3,3.8,54.5,48.3,51.2,52,46.8,49.2,46,55,104,15,45,62,138,226,365,82,137,217,400,289,688,20,33,53,12,43,62,434,364,804,1543,1726,3268,316,330,641,976,1074,2056,769,875,1639
UCL115014,1111,1428,2543,323,237,560,222,444,670,31,46,79,41,49,87,610,780,1394,405,536,937,6.7,6,6.3,55.1,54.6,54.8,51.4,51.3,51.4,59,85,144,22,78,102,166,305,466,101,180,278,268,154,424,7,20,33,18,30,51,298,203,504,1131,1372,2509,193,232,425,711,877,1592,548,669,1213
UCL115015,743,821,1562,175,98,275,108,195,300,25,32,60,15,9,23,322,339,661,363,407,772,3.8,3.8,3.8,43.1,41.6,42.3,41.5,40,40.7,29,35,70,24,31,55,64,122,179,56,111,168,226,90,311,9,18,23,16,22,36,245,124,370,684,733,1414,97,117,209,451,481,935,306,335,642
UCL115016,429,432,866,153,124,278,73,109,181,14,23,31,7,7,16,245,261,508,143,129,269,3.6,3.1,3.3,57.4,60.4,58.9,55.3,58.6,56.9,5,17,28,10,19,26,39,50,100,21,49,68,151,69,217,0,11,11,3,8,13,160,83,244,406,381,784,66,79,146,269,223,493,176,213,395
UCL115017,945,1175,2116,302,178,477,118,242,354,19,30,49,21,21,41,456,466,923,415,633,1045,4.6,4.1,4.3,48.5,39.6,43.6,46.3,38,41.7,56,90,149,13,38,53,170,206,380,110,175,280,214,86,306,5,20,17,20,40,63,241,145,385,869,1067,1935,204,226,431,554,689,1243,461,549,1013
UCL115018,428,494,923,94,53,144,40,84,126,10,10,17,9,16,29,157,159,318,237,310,544,7.6,8.2,7.9,36.5,32.1,34.2,33.7,29.5,31.5,3,4,11,6,6,7,19,31,51,12,41,53,88,52,144,8,5,13,11,6,14,105,63,170,367,453,816,64,74,134,272,321,589,149,192,341
UCL115019,1808,2059,3865,501,347,848,280,448,732,134,154,290,40,46,83,954,997,1956,760,955,1719,4.1,4.4,4.2,53,48.5,50.6,50.8,46.3,48.4,192,235,421,44,98,139,361,485,847,164,290,450,361,188,553,13,25,36,38,69,101,413,280,695,1752,1953,3708,251,254,502,1188,1307,2490,760,848,1604
UCL115020,1141,1248,2382,499,314,812,125,275,399,38,40,77,46,44,91,711,677,1388,383,521,906,7,6.4,6.7,62.6,54.4,58.3,58.2,51,54.4,9,24,33,9,23,30,51,101,156,60,98,161,352,241,600,13,36,48,21,33,50,387,311,695,1149,1238,2387,227,237,471,726,776,1501,552,618,1171
UCL115021,466,477,942,194,104,309,43,118,157,22,7,32,8,14,23,271,247,520,155,193,349,3.3,5.2,4.2,58.7,52,55.3,56.8,49.3,53,12,4,19,0,9,11,25,45,66,17,36,57,118,58,172,5,11,14,4,12,22,128,78,208,438,443,882,79,74,157,310,307,613,179,185,367
UCL115022,1155,1258,2415,423,258,682,162,338,497,29,51,77,31,20,50,642,668,1314,475,556,1028,4.5,3,3.7,56,52.9,54.4,53.5,51.4,52.4,35,47,86,18,44,60,127,187,311,97,175,271,375,186,552,14,30,38,38,33,67,420,249,667,1128,1225,2352,177,184,356,800,891,1694,468,479,941
UCL115023,595,575,1164,164,114,276,60,111,176,25,21,43,12,6,19,265,248,512,244,260,498,5.3,2,3.7,44.4,43.3,43.9,42.1,42.4,42.2,10,12,26,0,6,13,27,62,89,27,46,66,138,78,216,5,10,12,15,13,26,157,102,262,538,510,1047,76,72,151,375,366,741,211,193,406
UCL115024,555,620,1175,232,198,428,44,82,127,22,24,42,12,12,26,308,319,623,155,203,359,3.9,3.8,3.8,55.3,51.1,53.1,53.1,49.2,51.1,11,13,26,7,6,9,34,86,121,36,50,91,87,54,141,8,9,16,8,5,15,101,73,172,510,521,1037,88,112,203,351,388,736,193,205,395
UCL115025,579,590,1170,281,191,475,88,152,244,50,52,100,10,4,12,424,400,832,129,168,298,1.9,1.2,1.6,73.6,68.1,70.8,72.2,67.3,69.7,22,42,63,4,18,25,55,99,157,47,79,118,204,94,304,8,13,18,3,10,16,217,119,338,643,633,1277,75,76,151,434,448,879,235,234,465
UCL115026,537,635,1170,205,127,333,73,143,218,25,25,49,15,8,25,317,307,623,168,258,432,5.1,3.3,4.2,58.6,48.6,53.2,55.6,47,50.9,29,47,73,13,29,50,72,116,193,39,66,100,115,70,194,4,4,6,16,19,32,135,95,231,491,531,1020,116,107,225,281,330,609,293,277,571
UCL115027,1072,1122,2199,602,319,925,95,302,397,48,56,107,35,27,65,784,708,1494,241,361,611,4.5,4.1,4.3,73.1,63.1,68,69.8,60.5,65.1,5,22,26,0,25,26,49,133,180,69,122,185,450,214,662,8,33,39,12,28,44,475,270,744,1137,1160,2301,193,195,391,751,739,1492,495,547,1043
UCL115028,988,1132,2120,334,217,556,144,290,437,30,43,71,23,13,33,533,559,1093,417,518,934,4.1,2,3,53.9,49.6,51.6,51.7,48.6,50,60,61,119,25,62,87,182,234,414,85,136,220,252,119,374,15,15,30,22,39,57,291,174,461,938,1025,1972,168,200,367,602,664,1266,462,523,990
UCL115029,676,790,1464,191,148,341,143,233,374,23,29,59,20,20,42,381,430,811,239,304,544,5.3,5.1,5.2,55.8,54.9,55.3,52.8,52.1,52.4,24,48,74,12,26,33,99,164,268,45,106,155,167,85,249,0,8,11,9,13,27,175,105,283,590,650,1244,122,190,310,392,410,803,299,388,685
UCL115030,486,505,999,125,62,187,44,105,154,16,23,36,24,14,36,208,208,416,247,269,514,11.2,8.1,9.6,42.2,41.4,41.8,37.5,38.1,37.8,3,8,10,0,7,7,20,27,43,19,37,64,132,65,193,4,11,17,5,16,19,147,95,237,464,474,940,63,65,123,315,321,637,185,204,388
UCL115031,1077,1266,2345,308,194,501,148,285,430,46,52,102,10,15,29,515,545,1063,518,657,1180,2.7,2.6,2.6,47.9,43.2,45.4,46.6,42.1,44.2,88,92,184,33,53,87,162,258,420,102,168,271,265,130,397,4,23,29,36,44,81,302,204,506,1006,1137,2141,178,195,379,664,760,1424,486,534,1020
UCL115032,849,886,1738,262,187,450,135,198,336,63,66,126,22,17,42,483,468,950,326,387,709,4.3,4.1,4.2,56.8,52.6,54.7,54.4,50.5,52.4,67,98,162,11,46,61,141,188,333,88,115,205,234,98,330,5,10,15,23,23,41,256,125,387,869,906,1776,102,104,204,625,667,1292,308,316,626
UCL115033,1477,1504,2979,882,616,1498,196,407,603,48,80,125,31,21,51,1150,1119,2275,271,331,601,2.6,2.1,2.3,78.3,74.5,76.4,76.2,73,74.6,129,136,267,35,66,103,155,312,470,194,226,415,394,187,583,10,19,27,17,28,50,415,241,659,1561,1585,3149,300,303,607,936,913,1851,809,839,1643
UCL115034,665,680,1342,321,179,497,92,192,283,52,66,111,16,11,27,481,443,922,153,211,367,3.5,2,2.8,72.4,65.1,68.7,69.8,63.7,66.7,9,16,21,0,18,18,20,52,75,26,73,102,246,149,400,6,9,15,10,22,30,268,176,441,746,748,1495,57,88,138,488,496,991,253,280,533
UCL115035,1413,1617,3030,770,547,1318,166,411,578,36,70,103,30,24,58,999,1058,2058,347,494,842,3,2.6,2.8,70.9,65.3,67.9,68.8,63.6,66,42,60,100,18,50,70,129,257,386,119,205,326,464,297,764,15,32,47,15,45,60,501,369,866,1483,1594,3081,292,324,611,858,908,1774,782,906,1696
UCL115036,1322,1334,2655,409,248,662,182,281,464,31,52,88,37,33,65,660,616,1279,605,669,1270,5.4,5.4,5.4,50.3,46.1,48.2,47.6,43.7,45.6,37,58,93,21,40,67,127,174,303,107,157,266,445,195,641,9,23,28,24,41,69,478,259,740,1288,1250,2542,176,189,371,897,862,1760,510,537,1044
UCL115037,486,490,972,208,118,327,69,177,248,16,19,35,10,8,17,308,319,627,155,149,302,3.2,3.1,3.2,63.5,65.5,64.5,61.4,63.5,62.5,30,30,60,10,27,37,69,90,161,59,66,126,135,68,208,9,8,15,9,17,22,153,89,244,519,528,1045,49,52,106,367,378,746,175,188,360
UCL115038,562,643,1211,181,106,286,68,143,212,12,18,30,22,11,35,282,279,563,215,302,519,7,5.1,6,50.4,43,46.5,46.9,40.8,43.7,3,8,13,5,7,11,26,73,102,17,59,76,129,83,213,11,9,22,9,14,19,145,107,255,535,617,1152,63,61,123,365,422,785,191,230,423
UCL115039,1328,1329,2660,634,369,1000,95,259,358,72,55,130,27,28,53,824,711,1539,289,406,691,3.4,3.5,3.4,62.1,53.6,57.9,60,51.7,55.9,14,17,39,12,16,25,70,131,204,42,85,131,394,184,575,4,22,31,15,26,41,415,231,646,1123,1126,2251,240,267,508,728,737,1468,543,572,1114
UCL115040,598,617,1222,294,157,455,95,192,287,24,34,55,9,14,24,423,397,821,156,206,365,1.9,3.3,2.6,70.7,64.1,67.3,69.3,62,65.6,16,18,30,6,15,27,36,83,118,38,93,127,240,112,354,9,15,25,18,19,37,267,140,410,637,638,1276,91,97,185,424,417,840,255,271,532
UCL115041,997,1046,2040,363,212,580,114,205,321,31,27,58,41,35,72,554,475,1028,322,432,753,7.6,6.5,7.1,55.3,45.6,50.3,51.1,42.7,46.8,27,18,37,9,18,26,50,88,130,31,70,103,206,130,334,7,17,28,12,15,31,225,157,385,899,918,1814,183,177,361,636,635,1269,374,394,769
UCL115042,650,748,1393,283,183,466,65,176,235,18,24,40,24,9,29,384,396,784,223,313,534,5.7,2.5,4.1,59.6,52.7,55.9,56.2,51.4,53.6,19,21,41,4,22,27,45,107,150,42,70,111,178,105,281,3,7,21,10,12,23,189,130,319,638,745,1384,122,127,250,418,495,911,291,341,633
UCL115043,905,1103,2010,244,163,409,102,207,311,23,26,41,37,29,69,408,427,831,346,481,826,8.9,6.8,7.8,44.7,38.5,41.3,40.7,35.9,38.1,22,16,32,11,11,16,39,91,129,32,85,122,193,136,328,16,17,33,12,31,43,222,188,410,763,862,1634,159,175,333,550,626,1173,318,365,682
UCL115044,861,958,1826,251,201,451,92,161,254,34,26,59,43,29,73,421,417,835,328,405,727,9.8,6.9,8.4,48.6,43.7,46,43.8,40.7,42.2,12,16,23,3,10,14,35,81,120,20,49,67,154,123,278,6,26,34,5,7,10,171,152,323,818,821,1642,146,170,320,579,573,1147,301,349,656
UCL115045,465,514,983,124,80,210,59,95,153,11,22,31,9,11,26,208,216,422,201,225,432,6.3,6,6.2,44.5,41.7,43.1,41.7,39.2,40.4,4,0,11,3,8,12,15,35,43,19,44,58,123,71,194,0,8,9,4,14,17,126,92,217,415,432,852,64,76,141,312,333,640,163,166,325
UCL115046,649,682,1328,262,173,437,108,199,307,25,24,46,21,13,37,413,407,823,205,234,447,5.6,3.2,4.4,63.3,60.4,61.8,59.8,58.5,59.1,12,33,45,11,12,23,64,90,150,47,83,129,185,117,296,8,11,21,10,14,26,206,145,345,624,629,1251,150,141,291,389,390,780,334,336,671
UCL115047,818,958,1779,294,193,483,82,204,283,33,22,54,28,19,42,436,430,868,341,467,807,6.5,3.7,5.1,52.9,45.2,48.8,49.5,43.5,46.3,16,14,28,8,20,28,30,85,115,48,88,134,224,143,368,11,17,22,10,17,32,250,174,425,813,889,1704,100,131,232,604,626,1229,253,344,595
UCL115048,1553,1550,3106,447,267,718,188,344,528,49,73,128,51,35,84,742,715,1452,754,764,1520,6.6,4.9,5.8,47.4,46.4,46.9,44.3,44.1,44.2,61,41,101,23,54,72,137,181,316,109,176,285,527,238,771,10,23,33,26,48,78,571,311,877,1510,1460,2966,202,217,422,1010,982,1989,629,611,1239
UCL115049,452,455,908,153,78,229,42,85,125,16,22,40,16,13,22,218,194,417,210,222,432,6,4.5,5.3,48.1,43.8,46,45.3,41.8,43.5,6,6,16,0,8,15,25,44,67,24,33,65,113,89,198,6,6,12,3,6,13,121,103,223,441,406,848,71,95,171,293,265,558,190,211,404
UCL115050,722,805,1533,342,219,562,130,281,407,37,50,83,6,9,21,516,563,1072,179,209,389,1.6,2,1.8,71.4,69.5,70.4,70.3,68.1,69.1,29,42,69,15,33,53,110,171,278,67,96,164,205,124,330,5,8,12,11,31,42,218,169,382,727,790,1513,184,215,401,380,425,803,484,517,999
UCL115051,880,1015,1889,200,137,336,108,200,305,27,22,50,11,16,27,350,371,718,434,559,994,4,3.3,3.6,39.6,36.4,37.9,38,35.2,36.5,21,20,42,16,35,47,108,128,235,59,109,166,253,132,378,8,11,16,14,32,51,274,172,448,787,896,1686,134,163,296,507,589,1092,374,413,785
UCL115052,602,661,1264,271,141,413,65,157,224,21,23,43,12,14,30,371,338,709,186,282,471,3.8,3.8,3.8,61.6,51.1,56.1,59.3,49.1,53.9,9,11,15,4,5,7,14,48,62,34,55,88,195,132,327,7,12,17,10,17,24,213,160,370,607,627,1233,102,104,205,373,387,754,293,311,602
UCL115053,402,486,891,108,59,166,62,109,168,17,10,24,14,8,18,186,185,372,191,265,455,5.3,3.2,4.3,46.8,38.3,42.1,44.3,37,40.3,10,16,29,12,21,32,24,63,78,21,48,75,117,73,188,0,9,11,7,6,9,119,90,211,395,454,848,50,73,119,258,300,559,175,197,374
