SA2_MAINCODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
124041468,39,6,49,1026,426,43,1495,3145,1428,6070
124051469,27,3,30,1082,442,51,1567,3380,245,5195
124051470,85,16,106,3471,1340,99,4911,9862,968,15749
124051580,85,14,101,1797,693,71,2555,5863,754,9168
124051581,253,47,304,2434,751,68,3257,8116,1383,12753
125011473,51,7,54,3092,557,58,3702,8762,3306,15778
125011475,0,0,0,0,0,0,0,0,0,0
125011582,189,38,230,2382,523,62,2964,9759,1093,13821
125011583,60,4,68,1645,255,20,1921,6595,855,9367
125011584,153,26,181,1283,334,31,1643,4521,477,6641
125011585,103,16,123,1336,364,27,1727,5192,380,7304
125011586,235,20,261,2729,749,54,3532,12247,1258,17037
125011587,64,8,76,817,222,16,1055,2763,252,4069
125021476,480,112,607,5251,1651,110,7007,14226,1002,22239
125021477,362,52,421,3902,953,99,4954,11201,1029,17191
125021478,228,31,260,3124,873,87,4078,9402,934,14423
125031479,431,36,477,2652,705,64,3428,9580,1502,14505
125031480,416,55,473,1999,586,38,2624,8503,1140,12267
125031481,165,14,180,3052,788,47,3884,11292,1489,16664
125031482,285,85,378,4815,1609,136,6564,12793,1244,20597
125031483,266,51,318,3056,779,74,3910,10256,1655,15823
125031484,370,70,443,3262,904,67,4228,10788,1193,16206
125031485,380,56,440,4618,1081,86,5784,15107,1548,22441
125031486,0,0,0,0,0,0,0,10,0,8
125031487,0,0,0,4,0,0,4,10,0,11
125041489,388,60,458,3709,745,72,4523,12113,1881,18517
125041490,144,9,152,1543,568,38,2146,3913,200,6253
125041491,352,76,430,4237,724,85,5046,9700,1328,16079
125041492,176,52,231,5358,609,43,6005,15712,2482,24205
125041493,482,63,554,3707,1207,102,5014,11676,1064,17762
125041494,174,14,187,2132,735,76,2933,5212,248,8394
125041588,264,74,336,2552,446,29,3033,6156,783,9974
125041589,227,25,255,3172,525,46,3748,7769,822,12333
126011495,510,70,583,4888,1411,124,6429,15090,843,22364
126011496,497,56,565,3814,1441,119,5381,10551,635,16561
126021497,460,40,508,4311,1273,94,5680,14279,970,20931
126021498,360,29,398,2486,762,63,3311,7780,744,11834
126021499,597,41,645,1753,651,45,2445,5382,502,8327
126021500,592,154,746,3098,814,66,3979,13768,1200,18948
126021501,350,42,390,2255,627,49,2931,6680,452,10062
126021503,232,15,259,3386,803,71,4259,11248,759,16260
126021590,82,15,99,732,236,17,977,2211,143,3335
126021591,607,116,732,4604,1218,106,5927,15206,1460,22595
127011504,158,30,192,2226,674,76,2965,8438,1733,13142
127011505,194,25,220,1193,514,32,1737,4755,765,7261
127011506,103,12,122,3594,981,104,4677,7744,1225,13639
127011592,3,0,3,9,0,0,10,32,5,52
127011593,25,0,31,1078,365,20,1468,3803,307,5578
127011594,89,10,104,1888,635,31,2547,6733,596,9875
127011595,54,4,61,2018,522,47,2575,6449,476,9501
127011596,38,0,42,2347,487,50,2881,5258,459,8596
127011597,51,3,49,3166,649,84,3900,6589,664,11152
127021509,199,13,212,2233,815,71,3120,9118,643,12883
127021510,270,27,295,2500,1090,43,3628,11026,839,15498
127021511,516,51,573,3560,785,51,4398,14477,1401,20280
127021512,226,26,251,2576,785,75,3445,9198,994,13630
127021513,370,34,418,2996,840,52,3889,11905,1030,16822
127021514,95,6,101,1379,509,28,1919,5713,374,8008
127021515,262,30,293,2251,541,56,2850,10489,983,14319
127021516,249,18,279,2551,814,57,3419,10776,1015,15205
127021517,101,7,109,1142,402,28,1573,4867,313,6758
127021518,67,28,103,564,304,13,878,2388,397,3665
127021519,277,38,322,2427,992,63,3485,10151,936,14573
127021520,210,20,233,1415,676,30,2122,6404,495,9022
127021521,0,0,0,0,0,0,0,34,0,35
127031522,194,38,237,2518,772,58,3346,7937,1006,12297
127031523,220,24,253,3525,1120,89,4729,9118,753,14597
127031524,248,24,283,4251,904,128,5283,9898,832,16013
127031598,311,65,377,3975,837,65,4881,13469,3100,21448
127031599,120,30,147,1642,484,40,2166,5762,1016,8937
127031600,160,21,179,3556,781,76,4418,7890,744,13051
127031601,55,9,69,804,155,13,970,2980,792,4740
128011529,323,31,367,3308,1260,103,4670,8709,609,13992
128011530,720,87,813,3160,1091,83,4337,9642,936,14914
128011531,772,109,883,2566,1105,53,3725,8634,796,13156
128011602,330,56,382,2143,714,66,2928,6011,642,9573
128011603,298,35,337,2210,974,74,3262,5936,412,9611
128011604,453,76,538,3398,1812,129,5343,13054,1675,20062
128011605,53,3,60,580,235,26,838,1594,88,2516
128011606,170,19,194,1409,561,52,2029,3867,299,6198
128021533,259,16,279,1166,514,47,1722,3304,204,5238
128021534,154,5,162,1640,882,41,2572,5815,257,8650
128021535,292,28,328,3758,1570,111,5448,10864,730,17032
128021536,405,40,454,4330,1534,148,6017,9866,675,16559
128021537,0,0,0,4,0,0,3,12,6,26
128021538,691,71,764,3691,1244,118,5059,11066,1022,17146
128021607,256,25,281,3549,1444,133,5135,7380,484,12998
128021608,84,11,99,1376,602,79,2060,3462,173,5701
128021609,18,3,17,663,255,38,952,1931,83,2965
197979799,6,0,10,39,37,0,79,226,76,374
199999499,49,28,78,847,475,45,1373,6811,3361,11545
