SA2_MAINCODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
107031143,54,94,146,1838,2207,4042,0,0,0,81,109,187,0,0,0,2598,2882,5482,6,13,16,356,360,714,58,64,117,14,13,29,63,68,132,6,4,17,24,18,40,67,78,147,206,271,477,33,39,75,6,11,20,203,269,473,284,326,611,0,13,15,5831,6762,12595,7,11,22,131,131,264,0,0,0,12,5,15,3,0,3,25,30,52,37,36,72,2959,2476,5434,33,22,50,6,18,22,2992,2512,5506,929,884,1815,9984,10440,20421
107041144,116,161,280,1426,1635,3060,0,0,0,89,116,208,44,40,83,2933,3309,6244,5,6,16,315,318,631,29,46,73,3,17,17,32,29,65,16,17,31,23,27,53,67,102,164,256,306,563,31,44,75,11,8,19,337,437,783,242,244,487,9,10,23,5861,6721,12576,88,80,162,340,337,673,4,4,7,3,3,9,8,3,13,19,32,46,31,42,70,3095,2662,5754,38,28,63,14,22,32,3147,2711,5852,806,767,1576,10391,10810,21196
107041145,83,123,210,1182,1421,2604,0,0,0,69,77,148,0,3,3,1947,2252,4201,0,3,3,203,229,434,28,49,84,17,16,37,17,40,49,0,0,0,24,27,51,67,84,148,183,221,405,32,33,60,17,13,25,294,344,641,176,194,368,0,0,7,4256,5015,9273,40,28,69,95,84,182,6,3,8,0,0,0,5,3,7,28,46,78,36,49,86,2352,2036,4389,30,29,54,19,20,34,2399,2081,4479,564,561,1121,7476,7951,15424
107041146,165,170,338,1549,1825,3373,0,0,0,89,97,187,41,39,86,2388,2642,5033,21,27,51,693,665,1353,21,31,47,40,39,78,39,37,83,16,16,31,36,36,72,88,132,221,216,259,473,35,42,72,14,23,34,324,398,719,319,355,667,8,18,25,5942,6677,12617,122,92,217,338,282,620,9,9,15,0,4,3,8,5,8,34,43,78,41,48,88,3059,2614,5674,45,34,79,14,16,28,3116,2665,5785,739,669,1406,10473,10609,21080
107041147,28,35,60,874,972,1846,0,0,0,77,55,131,0,0,0,1078,1131,2207,10,8,21,29,31,64,11,6,15,4,3,3,12,16,29,0,0,0,15,13,33,60,85,139,103,120,223,8,4,14,0,3,4,144,155,292,77,79,161,0,3,7,2485,2686,5177,24,25,47,3,0,4,4,0,4,0,0,4,0,0,0,9,9,18,11,15,28,1511,1250,2758,15,17,28,5,6,18,1530,1271,2805,361,310,663,4450,4335,8789
107041148,45,55,108,878,989,1866,0,0,3,29,32,63,3,3,6,1202,1344,2542,3,3,10,51,50,102,27,34,62,8,3,5,20,24,46,3,0,4,9,10,25,33,50,84,106,103,207,3,10,11,0,0,3,190,229,421,88,96,188,4,10,16,2660,2989,5649,11,17,32,12,15,22,13,11,21,0,0,0,3,4,9,11,22,36,12,24,37,2318,2110,4430,33,17,45,11,29,38,2361,2152,4520,467,447,919,5590,5707,11305
107041150,74,131,200,1648,2058,3699,0,0,0,106,105,210,3,4,7,2294,2704,4993,4,4,10,101,115,213,45,62,110,3,5,9,26,36,64,3,0,4,23,30,50,107,127,230,309,378,690,31,37,66,11,20,29,400,526,928,159,179,345,4,7,13,5283,6389,11680,19,27,43,47,50,99,7,9,19,0,0,3,0,0,0,13,24,41,19,28,46,3406,2896,6293,34,26,62,11,24,41,3455,2943,6397,684,680,1361,9580,10254,19838
107041548,126,165,293,713,870,1585,0,4,3,63,62,125,0,0,0,1309,1513,2821,4,3,8,247,285,532,14,16,32,6,8,13,27,36,62,22,16,38,15,25,48,52,78,133,147,176,324,9,10,22,4,14,21,112,181,299,147,166,314,0,5,4,2907,3473,6377,116,81,192,280,231,511,6,5,17,3,0,7,4,3,12,15,13,28,23,18,44,2473,1947,4416,50,24,73,12,16,26,2540,1988,4526,1054,958,2007,7043,6918,13967
107041549,177,233,414,818,933,1750,3,0,3,77,72,151,0,0,0,1627,1809,3438,9,7,16,663,657,1320,24,28,54,4,12,17,19,22,40,22,19,41,23,43,67,103,134,236,135,159,291,11,16,30,7,12,10,188,233,418,321,334,653,7,0,8,4063,4482,8548,191,102,294,398,304,706,0,4,10,0,0,0,16,11,28,32,35,65,52,46,94,2859,2300,5161,39,32,66,15,30,42,2915,2362,5272,753,626,1378,8551,8156,16702
108011151,4,13,24,671,715,1391,0,0,0,45,59,109,0,0,0,452,437,890,0,3,4,9,3,6,3,3,7,7,8,18,4,6,16,0,0,0,9,9,15,5,3,3,76,81,154,5,4,12,3,3,7,158,175,331,40,46,88,0,0,0,1492,1563,3053,0,0,0,5,0,5,0,0,0,3,4,6,0,0,0,12,6,20,14,8,23,627,526,1154,11,6,16,3,6,4,638,543,1180,233,205,438,2388,2332,4723
108011152,43,65,113,1832,2191,4029,0,0,0,106,134,237,0,0,0,1500,1674,3179,9,19,27,25,22,45,51,67,119,5,14,17,12,19,27,6,3,7,50,76,125,37,51,85,232,295,526,25,19,46,16,10,27,260,388,649,78,127,202,0,3,7,4243,5116,9353,8,9,21,3,10,11,4,4,7,5,0,9,3,3,3,6,13,13,17,10,27,1811,1589,3397,17,20,28,10,12,24,1833,1618,3451,624,661,1289,6777,7498,14267
108011153,17,30,48,811,779,1593,3,0,3,29,39,70,0,0,0,541,545,1082,6,4,8,7,8,13,3,6,9,9,8,20,5,5,14,0,0,0,12,11,18,7,4,11,83,82,160,5,7,13,10,13,20,111,146,254,46,71,118,5,5,11,1688,1734,3422,4,3,8,0,0,0,0,4,4,0,0,0,0,0,0,7,7,13,10,7,18,1052,852,1904,13,0,11,7,7,16,1069,868,1937,353,295,650,3148,2943,6087
108011154,12,27,36,863,1037,1897,0,0,0,33,50,90,0,0,0,626,769,1399,4,4,10,9,4,13,18,25,44,3,10,20,10,11,22,0,0,0,20,19,34,15,23,41,119,123,244,18,15,34,4,4,12,138,191,330,44,46,92,0,0,0,1926,2353,4274,4,0,6,3,0,6,0,0,0,0,0,0,3,7,7,0,3,4,3,9,11,681,542,1223,8,3,13,0,8,10,692,555,1241,298,300,595,2944,3238,6186
108021155,31,42,73,1367,1697,3069,0,0,0,55,64,121,0,0,0,1653,1814,3461,3,3,4,12,16,27,44,64,110,3,6,6,3,6,4,0,0,0,21,27,45,71,85,158,192,191,383,49,73,122,138,175,314,409,473,884,104,115,214,0,0,0,4128,4810,8933,12,11,23,9,11,20,0,0,0,3,10,12,5,0,6,6,19,29,18,27,50,1796,1618,3411,13,8,22,3,9,13,1810,1635,3443,1306,911,2218,7310,7443,14754
108021156,35,58,93,968,951,1919,0,0,0,40,27,66,0,0,0,877,911,1795,0,4,8,7,3,16,36,46,78,8,4,13,9,11,19,0,0,0,8,5,11,32,49,84,103,99,201,9,9,17,94,106,202,239,273,508,77,69,145,3,3,4,2512,2582,5093,3,3,13,3,7,11,0,3,3,0,0,0,0,0,0,8,18,25,14,18,25,1475,1193,2669,8,12,18,10,18,26,1495,1223,2710,574,508,1085,4632,4394,9025
108021157,11,21,37,495,548,1044,0,0,0,18,13,31,0,0,0,512,538,1048,0,0,0,3,0,6,53,53,110,0,0,0,5,4,7,0,0,0,0,11,14,13,17,27,91,135,225,35,41,75,31,40,71,90,124,209,45,42,86,0,0,0,1385,1574,2957,4,0,10,0,0,0,3,0,7,3,0,3,3,0,5,8,8,11,11,7,18,661,582,1241,10,4,17,0,11,8,669,599,1268,253,252,506,2339,2449,4793
108021158,18,52,69,754,840,1591,0,0,0,30,33,60,0,0,0,565,659,1227,3,5,6,8,3,10,13,19,33,7,11,22,10,13,22,0,0,0,8,12,18,27,36,60,154,208,365,19,22,41,12,18,30,104,142,251,60,76,135,0,3,9,1785,2105,3894,3,8,11,3,3,3,3,4,5,6,3,14,0,3,3,11,20,37,20,33,52,985,915,1906,6,5,17,3,8,14,1001,931,1932,381,409,793,3220,3534,6750
108021159,46,40,84,738,790,1529,0,0,0,14,33,46,0,0,0,714,723,1436,0,0,0,3,10,10,27,41,68,3,6,12,4,5,12,0,0,0,8,4,16,25,42,66,170,174,342,31,36,71,22,27,53,154,162,310,107,102,206,3,7,8,2025,2166,4191,3,4,7,10,3,13,3,3,4,3,10,12,0,0,0,18,20,34,17,34,54,1294,1172,2462,7,0,13,11,13,27,1313,1190,2498,439,361,803,3860,3805,7661
108021160,14,32,43,659,750,1411,0,0,0,15,17,35,0,0,0,541,578,1119,0,0,0,7,5,13,3,4,7,4,3,5,9,12,21,0,0,0,9,4,17,13,12,25,107,110,212,17,16,31,12,11,25,137,171,307,30,29,60,0,0,0,1562,1739,3299,3,0,4,0,0,0,0,0,0,3,0,4,0,0,0,0,3,9,3,3,7,714,617,1324,4,7,10,5,7,10,718,632,1347,218,211,432,2516,2618,5133
108031161,3,0,3,38,41,76,0,0,0,0,0,0,0,0,0,21,23,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,6,0,0,0,21,20,41,0,9,8,3,4,7,0,0,0,84,102,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,62,136,0,3,3,0,0,0,78,60,137,21,27,51,192,191,382
108041162,29,66,98,2243,2540,4782,0,0,0,129,163,288,0,3,3,1650,1916,3568,4,6,7,11,14,29,25,26,48,11,12,30,28,27,56,0,0,0,34,27,56,33,38,76,289,296,585,19,21,38,15,18,36,391,532,921,134,177,309,3,3,5,5025,5818,10844,18,11,28,3,7,11,0,0,3,0,3,3,0,0,3,17,27,43,18,28,47,2314,1928,4247,19,17,41,6,21,27,2350,1968,4319,720,680,1402,8160,8580,16746
108041163,82,116,204,2736,3380,6120,3,0,5,130,144,269,0,0,0,3296,3872,7171,14,17,27,41,57,99,50,64,107,20,16,35,32,46,78,9,13,21,65,67,130,155,186,342,431,496,925,68,103,167,88,126,213,493,628,1121,340,459,798,5,13,17,7966,9677,17640,48,43,89,13,15,32,17,18,33,5,7,14,11,6,15,26,40,66,37,52,93,4089,3545,7638,32,38,76,25,51,71,4147,3632,7783,1111,1070,2174,13424,14620,28050
108041164,51,80,137,1877,2430,4310,0,0,0,77,84,167,0,0,0,1747,2218,3967,6,9,13,24,22,40,27,44,66,17,14,27,28,22,50,3,3,5,32,28,62,132,148,279,282,381,659,28,42,66,46,51,92,322,450,769,246,302,545,6,8,15,4897,6257,11155,40,43,79,6,8,13,3,7,12,6,0,7,4,9,17,15,32,48,27,45,66,2180,1991,4168,17,23,37,15,20,29,2215,2024,4243,805,816,1618,8048,9281,17329
108041165,13,23,40,608,587,1190,0,0,0,23,22,44,0,0,0,438,509,944,0,3,3,4,11,12,22,18,32,3,3,5,8,14,15,0,0,0,3,7,11,26,18,38,122,93,217,8,7,14,44,45,80,132,129,267,75,75,151,0,3,3,1515,1521,3039,0,0,5,3,0,8,0,0,0,3,0,3,0,0,0,4,10,16,4,6,17,801,650,1451,3,3,12,0,10,15,806,666,1472,368,344,714,2723,2575,5297
108041166,23,40,68,1355,1565,2925,0,0,0,65,79,145,0,0,0,1156,1298,2453,0,3,4,7,7,18,42,51,87,8,5,13,12,16,33,3,0,3,14,16,36,42,51,94,218,252,472,24,33,59,49,50,95,320,370,684,109,122,235,0,0,0,3425,3929,7356,4,3,9,12,6,22,8,7,13,7,0,11,0,0,0,5,6,15,15,12,26,1351,1271,2624,12,9,14,12,22,28,1372,1296,2664,487,510,1001,5348,5801,11151
108051167,17,18,38,758,807,1559,0,0,0,100,98,201,0,0,0,361,394,755,3,0,7,0,0,0,0,9,11,0,6,10,4,3,9,0,0,0,3,5,9,4,8,16,157,144,303,7,3,15,6,10,10,127,168,297,55,60,117,3,3,8,1591,1716,3313,6,9,13,0,3,0,0,0,0,0,0,0,0,0,0,3,7,10,6,7,9,589,540,1129,10,4,14,3,0,5,601,544,1142,259,252,513,2476,2553,5034
108051168,41,67,106,1371,1536,2901,0,0,0,100,102,198,0,0,0,1014,1120,2134,3,0,7,9,12,21,67,71,133,6,11,14,13,13,28,0,3,3,19,37,53,33,42,74,163,191,349,9,27,34,18,24,41,239,280,525,108,120,227,3,8,8,3174,3592,6766,9,6,19,4,0,6,3,10,7,0,0,0,4,5,12,8,12,22,14,19,36,1466,1339,2808,7,11,16,9,8,25,1482,1362,2843,373,366,745,5107,5425,10537
108051169,63,92,155,2605,2954,5555,0,0,0,273,315,588,7,3,9,1667,1940,3612,29,38,64,36,29,61,63,82,148,32,39,68,10,15,28,10,9,24,26,31,56,98,126,230,370,435,803,95,133,222,27,42,69,521,674,1192,244,323,563,4,3,9,6119,7186,13301,38,25,59,29,19,48,0,3,7,3,3,11,4,0,3,22,33,53,31,36,62,2548,2272,4813,31,16,41,13,11,24,2584,2292,4885,952,1010,1966,9817,10666,20482
108051170,39,47,94,1721,1739,3462,0,0,0,94,100,200,3,3,4,1080,1112,2192,13,14,22,13,9,22,22,20,38,8,14,20,6,17,25,0,0,0,15,7,25,20,21,36,247,231,471,32,44,70,32,25,55,351,357,708,152,155,304,0,3,7,3802,3867,7674,4,4,10,8,5,14,0,0,0,0,0,0,0,0,0,10,19,32,14,22,32,1727,1503,3227,17,16,32,10,18,27,1758,1532,3291,690,648,1338,6309,6126,12438
108051171,13,17,28,840,976,1818,0,0,0,51,57,110,0,0,0,414,497,907,0,3,9,3,4,4,6,9,20,9,12,19,3,0,3,0,0,0,5,8,13,11,12,23,140,137,278,7,15,19,15,11,28,124,159,285,49,60,108,0,0,0,1673,1969,3645,0,0,0,3,0,3,4,0,4,0,0,0,0,0,0,11,12,18,11,12,18,629,604,1236,3,7,11,4,7,12,641,617,1255,211,209,421,2552,2821,5374
109011172,80,94,181,1112,1340,2450,0,0,0,77,107,177,33,36,62,2003,2320,4321,7,5,4,32,35,62,21,27,49,0,3,10,141,165,305,0,0,3,15,19,33,64,82,150,222,281,504,9,7,14,53,42,97,252,384,639,139,174,314,0,3,4,4177,5032,9206,68,61,128,22,14,40,4,3,3,4,3,7,23,16,43,19,16,37,47,43,86,2246,1970,4222,26,22,50,6,15,19,2279,2014,4289,557,557,1113,7232,7812,15048
109011173,42,63,98,813,928,1744,0,0,0,43,33,74,6,7,12,1163,1265,2430,0,6,7,33,32,62,17,10,22,3,6,11,71,100,170,3,0,5,7,10,20,45,71,117,153,190,339,16,13,31,11,15,25,159,212,373,108,126,233,3,7,10,2649,3030,5685,81,85,166,19,13,29,0,3,3,0,3,7,32,31,60,4,16,20,40,46,84,1397,1282,2674,11,16,28,3,3,11,1414,1300,2708,557,507,1064,4802,5036,9844
109011174,38,67,103,695,938,1629,0,0,0,20,37,58,13,9,22,1142,1315,2459,3,5,11,47,60,106,13,28,42,10,6,9,64,111,173,3,3,5,8,10,11,34,35,71,167,187,352,7,6,9,9,16,25,195,340,531,85,99,182,3,7,9,2503,3218,5723,76,79,151,24,20,46,7,7,13,0,0,3,20,14,32,19,12,32,40,24,63,1659,1399,3055,16,14,35,3,7,6,1678,1422,3097,584,526,1106,4953,5346,10301
109011175,10,33,44,1079,1214,2290,0,0,0,53,60,117,0,0,0,1316,1315,2624,3,3,4,8,11,23,7,16,22,4,9,14,498,475,977,0,0,3,12,9,23,136,135,275,283,263,548,9,15,22,24,16,40,328,377,706,146,149,295,0,3,3,3911,4078,7995,3,8,5,9,8,13,3,0,7,0,3,5,0,0,0,7,16,23,12,18,26,1351,1186,2536,12,10,26,9,0,11,1375,1202,2574,489,465,955,5804,5802,11608
109011176,49,78,124,1114,1413,2524,0,0,0,100,109,209,4,5,10,1612,1852,3463,5,11,14,38,44,79,21,38,60,14,13,22,158,215,377,3,3,3,20,17,38,74,94,162,269,318,583,37,54,88,14,23,38,201,319,520,146,171,310,6,4,10,3827,4694,8522,202,189,391,64,64,130,6,0,6,0,3,4,59,52,111,23,30,50,83,88,168,2028,1735,3768,23,16,38,3,9,11,2053,1761,3815,677,643,1320,6962,7512,14468
109021177,4,4,6,360,373,735,0,0,0,14,12,27,0,0,0,457,498,954,0,0,0,6,7,18,0,0,0,0,0,0,0,3,7,4,0,4,0,0,5,11,15,24,94,82,177,0,0,0,0,0,0,47,60,104,4,9,15,0,0,0,998,1060,2061,11,3,12,3,3,6,0,0,0,0,0,0,4,5,11,0,3,7,7,7,14,274,216,490,0,4,9,0,0,0,274,220,495,203,179,383,1496,1474,2969
109021178,4,9,14,433,462,895,0,0,0,17,13,26,0,0,0,623,640,1266,5,8,18,14,10,17,8,11,22,0,3,6,26,48,68,0,0,0,7,3,10,8,20,28,80,84,167,12,12,23,24,29,51,151,205,355,61,58,121,0,0,4,1477,1601,3078,3,3,4,11,3,14,0,0,0,22,29,54,0,0,0,5,3,9,34,26,60,1096,902,2005,3,0,8,4,5,9,1108,909,2017,398,377,776,3033,2939,5967
109021179,10,13,25,277,266,544,0,0,0,11,4,12,0,0,0,560,515,1081,4,5,8,8,0,8,0,3,3,0,0,0,14,19,29,0,0,0,7,7,7,6,11,15,95,101,202,0,0,3,0,0,0,90,97,183,33,47,76,0,0,0,1105,1075,2177,6,10,16,4,0,7,0,0,0,0,0,0,0,0,0,0,3,3,0,3,4,507,366,868,0,0,0,0,0,0,506,367,874,281,232,515,1907,1703,3614
109031180,18,22,37,499,595,1093,0,0,0,43,41,86,0,0,0,690,801,1497,0,0,0,4,3,8,7,9,21,0,0,0,27,22,48,0,0,0,0,4,9,21,11,31,224,242,465,0,3,4,3,4,7,109,133,243,32,35,66,0,0,0,1656,1910,3563,10,11,15,9,6,16,0,0,0,0,0,0,5,3,13,5,9,11,9,9,25,727,582,1314,3,4,5,0,0,0,734,585,1319,240,260,500,2674,2804,5482
109031181,10,20,25,658,693,1346,0,0,0,46,44,91,0,0,3,875,907,1777,3,0,5,5,8,14,3,3,8,0,3,5,40,29,70,0,0,0,10,10,16,14,10,27,218,178,395,3,8,7,0,3,3,208,230,442,39,46,81,4,9,10,2120,2180,4297,3,6,10,0,0,0,0,3,3,0,0,0,0,0,0,0,4,8,0,4,8,882,762,1647,3,0,5,3,8,11,889,771,1659,380,355,737,3403,3338,6736
109031182,13,13,23,574,738,1309,0,0,0,57,53,112,0,0,0,873,961,1834,0,5,5,18,14,32,11,18,27,3,0,5,9,19,25,0,0,0,0,0,3,5,10,17,150,163,314,7,10,20,0,0,0,279,368,648,46,55,100,0,0,0,2042,2416,4455,10,14,20,6,5,6,0,0,5,4,0,3,0,3,3,5,3,11,6,10,19,1098,948,2045,6,5,9,3,4,7,1102,959,2059,394,441,840,3581,3856,7434
109031183,9,9,17,618,701,1315,0,0,0,46,40,89,0,0,0,680,654,1331,8,16,23,8,3,12,5,3,13,0,9,7,8,12,23,0,0,0,3,7,9,4,9,13,154,129,287,8,7,16,0,3,5,359,402,764,67,61,126,3,0,4,1983,2065,4043,3,0,3,0,0,3,0,0,0,26,28,47,0,0,0,3,4,8,29,30,60,1054,800,1855,0,9,7,3,0,4,1058,810,1869,400,358,758,3479,3277,6752
109031184,15,23,36,502,603,1105,0,0,0,13,23,41,0,0,0,766,848,1619,4,6,11,3,9,5,5,11,9,0,0,0,14,15,36,0,4,3,7,6,15,15,11,24,91,127,224,11,8,21,0,0,0,200,285,490,42,35,82,0,0,0,1680,2000,3677,11,5,15,4,0,6,0,0,0,0,0,0,4,4,6,0,0,0,4,4,8,864,711,1579,0,3,3,0,0,0,869,713,1581,253,264,518,2836,3013,5849
109031185,12,11,19,869,991,1855,0,0,0,15,12,31,0,0,0,1314,1346,2657,0,0,0,10,15,23,11,12,21,44,60,101,7,24,36,0,0,0,9,7,17,31,30,57,325,300,628,7,10,18,0,0,3,342,397,735,82,66,151,5,3,8,3077,3266,6342,19,10,35,15,11,24,0,0,3,3,0,3,3,4,4,8,13,23,17,17,32,1162,955,2112,18,7,27,6,11,20,1187,972,2161,570,553,1120,4890,4840,9728
110011186,123,164,290,2135,2714,4850,0,0,0,123,148,275,66,68,141,2184,2485,4666,20,35,54,38,36,71,35,40,76,20,28,50,25,34,62,0,3,3,24,29,57,67,110,181,415,508,927,43,56,102,62,76,135,269,422,687,231,233,465,12,11,25,5784,7031,12812,128,149,282,257,210,463,14,3,17,7,6,19,27,16,41,45,44,88,82,65,149,3519,3278,6797,49,38,83,19,24,37,3582,3336,6919,1170,1250,2418,11142,12209,23352
110011187,9,12,22,672,692,1367,0,0,0,10,9,19,0,0,0,471,503,973,0,0,0,0,0,3,0,0,3,0,0,0,4,5,9,0,0,0,6,3,9,16,20,40,168,156,323,3,7,11,18,15,31,87,91,180,32,31,59,7,0,7,1493,1545,3040,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,9,13,24,9,13,24,521,427,951,3,0,6,0,3,3,528,431,959,235,207,449,2276,2218,4488
110011188,15,22,36,837,886,1723,0,0,0,33,36,61,0,0,0,579,670,1248,0,3,6,6,3,9,23,30,57,5,4,5,6,12,15,0,0,0,8,3,9,12,17,28,153,152,300,19,22,45,4,5,11,120,153,271,41,63,103,3,9,13,1850,2064,3916,0,3,0,8,0,10,3,4,7,0,0,0,0,0,0,13,9,19,12,14,23,741,683,1420,3,9,13,6,8,14,747,699,1442,290,296,587,2922,3098,6021
110011189,3,4,7,530,569,1093,0,0,0,7,5,16,0,0,0,308,308,615,0,0,0,0,0,0,18,25,45,0,0,0,0,5,5,0,0,0,4,0,6,0,6,4,167,155,320,3,0,3,7,4,10,14,26,41,15,15,29,0,0,0,1069,1122,2192,3,0,3,0,0,0,0,0,0,3,3,6,0,0,0,0,3,6,4,10,14,317,256,581,3,4,6,0,0,0,323,266,587,215,209,425,1620,1611,3224
110021190,12,21,38,1239,1384,2618,0,0,0,70,63,130,0,0,0,848,926,1772,3,0,3,3,9,14,24,18,43,6,9,11,5,10,17,0,0,0,7,9,12,27,44,73,180,184,361,19,40,58,14,24,40,219,245,457,81,93,178,0,0,3,2736,3051,5794,17,15,31,11,13,24,3,3,7,0,0,0,6,7,8,15,27,43,22,34,58,892,760,1651,4,14,16,5,7,13,898,785,1683,681,526,1209,4380,4453,8836
110021191,24,40,58,1543,1818,3359,0,0,0,29,27,60,0,0,0,1277,1381,2666,6,9,16,7,7,10,23,27,59,3,3,5,6,6,15,3,0,3,9,5,14,53,72,123,377,385,757,69,96,168,19,19,41,233,309,547,133,154,295,6,9,8,3791,4350,8135,3,3,4,9,8,14,0,0,3,0,0,0,4,0,7,11,16,21,10,16,29,1236,1114,2351,5,4,11,9,11,17,1247,1134,2388,507,522,1026,5590,6070,11660
110021192,3,7,9,782,743,1528,0,0,0,22,24,42,0,0,0,441,468,911,3,10,13,0,3,3,3,7,10,0,3,3,3,3,10,0,0,0,7,8,14,14,21,38,153,153,315,37,54,94,10,26,35,102,122,224,88,93,177,6,11,15,1682,1744,3424,3,0,4,0,0,0,0,0,3,0,0,0,0,0,0,3,10,11,6,10,13,557,458,1020,0,0,4,0,0,0,557,459,1018,396,360,756,2653,2584,5241
110021193,10,9,17,1104,1116,2215,0,0,0,14,13,29,0,0,0,575,642,1221,0,4,4,0,0,0,3,7,14,0,0,0,3,9,15,0,0,0,3,7,11,4,3,3,202,189,389,15,18,30,3,5,13,134,146,283,29,44,73,5,4,13,2104,2208,4309,3,0,7,0,0,0,0,0,3,0,0,0,0,0,0,3,3,6,3,3,6,552,431,985,0,0,3,4,0,4,553,433,990,363,302,661,3030,2958,5988
110021194,21,19,41,764,753,1514,0,0,0,27,29,58,0,0,0,639,720,1358,0,0,0,9,7,12,26,35,60,5,3,5,18,17,27,0,0,0,3,4,13,22,31,48,154,176,326,19,26,44,7,17,30,158,189,343,83,105,185,5,9,14,1933,2106,4039,4,0,3,3,3,3,0,0,0,0,0,0,0,4,3,14,14,28,13,23,34,823,744,1565,15,9,16,0,4,7,831,762,1593,445,460,905,3253,3375,6628
110031195,21,24,47,975,1015,1995,0,0,0,35,37,70,0,0,0,1189,1311,2499,0,0,0,12,12,24,12,20,31,0,0,5,21,23,43,0,0,0,3,7,17,55,76,126,149,159,306,38,41,77,22,30,48,130,127,253,65,79,143,0,3,3,2704,2938,5646,42,23,66,13,14,23,0,0,0,10,6,16,0,0,3,0,4,4,9,11,20,706,586,1295,9,5,7,0,4,6,715,592,1311,562,536,1097,4067,4139,8200
110031196,0,0,3,928,897,1824,0,0,0,36,42,78,5,0,5,659,615,1273,4,0,6,0,3,10,8,6,17,0,4,4,16,18,40,0,0,0,4,3,4,7,12,20,150,126,273,9,9,16,6,10,13,68,86,149,69,43,108,5,3,5,1976,1876,3852,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,4,0,4,4,469,368,836,3,3,5,0,0,0,466,374,845,396,353,746,2842,2610,5451
110031197,5,16,27,1047,1179,2224,0,0,0,12,14,32,0,0,0,824,887,1716,0,3,3,3,5,4,4,6,10,4,3,9,5,4,16,0,0,0,0,5,3,62,63,125,128,125,256,15,17,36,5,9,15,91,130,223,72,86,153,0,0,0,2279,2543,4827,17,15,28,7,12,20,0,0,0,0,0,0,0,0,0,3,3,5,7,3,5,754,660,1413,4,4,7,5,3,10,762,666,1426,399,430,831,3484,3690,7167
