SA2_MAINCODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
109011173,2475,325,7,7,16,2836,592,156,4,8,4,764,103,20,3,0,0,126,3171,510,13,14,17,3722
109011174,2459,736,102,19,9,3317,403,273,51,3,3,732,60,46,13,0,0,116,2915,1051,167,19,13,4161
109011175,3090,21,15,16,20,3161,725,25,23,12,3,787,101,8,8,0,3,119,3920,48,40,26,28,4064
109011176,3440,736,82,25,15,4302,896,458,31,15,10,1408,113,47,4,3,0,174,4450,1242,124,46,21,5886
109021177,653,8,31,7,9,702,309,11,21,3,3,347,45,0,5,3,0,52,1003,27,51,14,9,1105
109021178,1428,19,51,35,8,1547,416,14,55,22,3,513,65,0,8,8,5,85,1910,38,115,69,16,2147
109021179,813,6,24,16,9,866,295,9,20,8,3,340,38,4,0,9,0,50,1145,22,41,28,13,1254
109031180,1459,61,61,18,13,1610,418,40,56,19,0,529,59,11,9,0,3,89,1939,118,130,35,11,2232
109031181,1736,46,81,26,5,1894,505,23,58,32,4,614,70,3,10,0,0,79,2306,69,139,56,7,2586
109031182,1886,28,112,16,23,2071,592,24,102,8,13,742,77,3,13,3,0,98,2555,57,232,28,33,2906
109031183,1708,28,29,35,11,1805,570,21,35,15,3,650,81,5,7,3,5,99,2362,55,65,50,23,2561
109031184,1491,76,95,37,7,1705,312,41,62,21,0,440,38,8,4,7,0,59,1843,126,169,64,6,2204
109031185,2501,52,71,81,5,2709,705,46,67,40,3,861,112,5,14,9,3,145,3323,103,148,129,12,3718
110011186,5494,637,343,28,54,6562,946,220,131,4,8,1307,156,36,27,3,8,217,6590,888,503,35,67,8089
110011187,1109,15,13,0,10,1138,418,4,15,3,4,449,32,0,0,0,0,36,1555,21,29,6,14,1628
110011188,1700,5,13,13,13,1752,417,8,12,6,3,448,60,0,3,0,3,66,2168,15,33,21,20,2263
110011189,802,3,12,13,15,843,321,0,15,3,4,346,46,0,3,0,0,46,1170,3,24,13,21,1239
110021190,2187,22,55,23,34,2324,884,13,61,13,17,981,101,0,10,0,7,118,3174,36,128,34,57,3427
110021191,2785,85,161,26,47,3099,946,74,167,10,5,1196,127,7,25,3,3,170,3854,164,351,39,60,4470
110021192,1158,3,3,21,8,1188,503,0,7,11,35,556,65,0,0,6,0,70,1725,5,10,38,44,1814
110021193,1405,11,6,15,14,1451,655,15,16,14,0,698,80,0,4,3,0,91,2145,18,26,32,12,2239
110021194,1718,21,12,24,15,1797,728,24,19,14,6,794,89,3,0,4,3,97,2536,51,36,43,19,2682
110031195,1583,82,204,31,11,1914,584,44,188,17,5,841,124,9,39,4,0,173,2295,133,431,58,14,2930
110031196,1108,83,3,13,9,1214,445,25,3,6,0,479,74,3,0,4,0,79,1626,111,5,27,10,1780
110031197,1647,59,96,17,7,1822,497,32,99,9,3,643,70,7,12,3,0,91,2212,104,208,29,11,2560
110031198,1085,12,8,25,9,1141,383,34,10,12,3,441,55,3,0,0,4,63,1521,54,24,33,15,1644
110041199,2176,81,117,15,15,2404,740,64,112,9,5,935,85,10,12,0,3,117,3011,156,248,23,22,3452
