SED_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SED10057,30747,33308,64054,8380,5365,13745,3905,7216,11122,984,1131,2117,1046,756,1801,14314,14468,28784,14121,16344,30465,7.3,5.2,6.3,46.6,43.4,44.9,43.2,41.2,42.1,627,714,1340,300,598,903,2161,3461,5621,1949,3343,5292,8978,4939,13915,362,693,1050,540,1002,1543,9876,6632,16509,28524,30358,58884,4893,5298,10192,19084,20013,39097,12895,14184,27080
SED10058,33143,34906,68054,14122,9974,24096,5263,9479,14742,1256,1654,2910,1199,760,1965,21843,21866,43709,9402,11274,20680,5.5,3.5,4.5,65.9,62.6,64.2,62.3,60.5,61.3,2434,2847,5277,673,1302,1980,6603,8419,15021,2652,3672,6328,7189,3791,10985,297,453,753,492,744,1232,7981,4988,12970,29309,30250,59557,7284,7927,15216,17956,18480,36437,17031,18127,35157
SED10059,37889,35089,72986,17098,13925,31028,5598,6700,12297,2207,2405,4618,1521,1214,2737,26423,24244,50673,8650,8690,17334,5.7,5,5.4,69.7,69.1,69.4,65.7,65.6,65.7,5557,5691,11242,993,1313,2305,11892,12292,24183,3044,2925,5967,3106,1585,4692,217,213,426,423,457,877,3738,2254,5997,27090,24783,51865,11377,11253,22631,14852,13626,28478,22372,21392,43770
SED10060,31750,36855,68609,16662,14411,31070,4196,6389,10585,1328,1870,3202,818,846,1668,23009,23516,46527,7341,11729,19069,3.6,3.6,3.6,72.5,63.8,67.8,69.9,61.5,65.4,6127,6306,12432,985,1658,2634,11648,13482,25134,2523,3916,6444,2051,1216,3272,122,193,318,404,768,1176,2577,2185,4760,27028,30716,57740,7964,9043,17015,14998,17689,32686,18576,20692,39266
SED10061,31515,33455,64966,12083,7740,19823,3726,7310,11029,962,1196,2156,1008,816,1821,17770,17055,34831,10103,12604,22709,5.6,4.8,5.2,56.4,51,53.6,53.2,48.5,50.8,1287,1526,2813,375,840,1212,2675,4540,7214,1681,3010,4694,7049,4166,11212,379,648,1028,414,779,1196,7845,5588,13433,28203,29412,57611,5524,5994,11520,19236,19832,39073,12636,13932,26575
SED10062,31682,33932,65612,11625,8660,20291,4093,6841,10940,2916,2535,5449,929,712,1643,19571,18753,38323,10717,13510,24229,4.8,3.8,4.3,61.8,55.3,58.4,58.8,53.2,55.9,2726,2653,5383,511,911,1421,6818,7928,14748,2854,3955,6809,5263,2370,7632,243,417,662,601,991,1592,6112,3775,9889,32296,33780,66077,4431,4498,8931,23048,24373,47420,11868,12264,24131
SED10063,31015,32982,63999,14486,9033,23516,3605,8035,11638,959,1208,2165,797,613,1410,19847,18885,38738,8961,11924,20884,4,3.2,3.6,64,57.3,60.5,61.4,55.4,58.3,1021,1211,2226,349,782,1130,2961,5085,8048,1964,3261,5226,8159,4862,13018,334,618,958,455,934,1392,8948,6416,15364,31152,32487,63645,5239,5413,10656,20230,20951,41190,13915,14910,28824
SED10064,31571,32983,64553,8823,5704,14529,4295,7663,11956,988,1128,2116,1122,821,1942,15227,15311,30538,13991,15229,29224,7.4,5.3,6.3,48.2,46.4,47.3,44.7,43.9,44.3,539,782,1321,323,764,1086,2200,3849,6052,1778,3394,5174,9073,5115,14187,348,719,1067,489,957,1446,9908,6800,16703,29777,31149,60930,4315,4703,9019,20046,20712,40757,12330,13521,25852
SED10065,46270,45370,91643,18616,13115,31732,6359,8110,14464,3728,3090,6819,1753,1694,3443,30459,25997,56458,13019,16838,29852,5.8,6.5,6.1,65.8,57.3,61.6,62,53.6,57.8,6673,6268,12942,712,1174,1887,12000,12228,24235,4042,4560,8599,5053,2722,7781,283,411,691,583,858,1436,5918,3990,9912,41897,41438,83333,11136,10442,21577,22707,23189,45903,27162,25707,52873
SED10066,32897,35419,68318,13685,9589,23277,4405,6924,11333,2330,2739,5066,1045,914,1964,21476,20169,41640,9366,12995,22361,4.9,4.5,4.7,65.3,56.9,60.9,62.1,54.3,58.1,1459,1750,3209,402,763,1169,3442,5186,8624,2487,3693,6180,8644,5010,13655,325,637,964,578,812,1386,9544,6457,16004,32726,34163,66890,5600,5936,11538,21548,22486,44037,14428,15446,29878
SED10067,29999,32203,62205,12385,7484,19867,5021,8209,13227,1559,2169,3725,663,520,1189,19618,18384,38006,9054,12266,21319,3.4,2.8,3.1,65.4,57.1,61.1,63.2,55.5,59.2,2308,2203,4511,519,1122,1641,6464,7735,14193,3034,4771,7807,6406,2416,8824,160,400,560,712,1152,1868,7279,3968,11250,30326,31788,62113,4539,4798,9339,20860,22059,42920,12474,13036,25509
SED10068,32580,35986,68567,10299,7056,17354,4552,8415,12963,959,1203,2167,932,735,1669,16745,17410,34157,14114,16797,30910,5.6,4.2,4.9,51.4,48.4,49.8,48.5,46.3,47.4,1070,1195,2263,467,891,1363,3276,5026,8300,2573,4101,6680,9526,5244,14768,323,705,1033,668,1139,1811,10516,7090,17605,30809,33360,64166,5553,6130,11687,19406,20777,40182,15451,17344,32790
SED10069,31327,32594,63917,10753,5776,16525,3849,7682,11532,1335,1519,2856,954,692,1648,16885,15669,32556,12637,15154,27798,5.6,4.4,5.1,53.9,48.1,50.9,50.9,46,48.4,791,829,1616,338,663,998,2405,3630,6041,2535,3669,6203,9936,5131,15068,342,678,1023,553,1038,1591,10830,6847,17675,30132,31095,61224,4996,5132,10127,19467,19915,39381,14162,14822,28986
SED10070,35006,35843,70856,11616,8249,19861,3827,5581,9409,3111,2224,5339,1167,952,2123,19716,17012,36728,13356,16889,30251,5.9,5.6,5.8,56.3,47.5,51.8,53,44.8,48.8,2546,2360,4904,364,592,947,5260,6318,11576,2804,3390,6190,5589,2849,8438,250,421,675,523,802,1325,6358,4076,10436,36592,37025,73618,4863,4748,9605,24968,25549,50516,14110,14003,28113
SED10071,45985,46329,92315,22351,16401,38752,5525,9379,14905,3917,3523,7445,1420,1491,2909,33212,30799,64013,11106,13858,24964,4.3,4.8,4.5,72.2,66.5,69.3,69.1,63.3,66.2,5890,5686,11579,774,1131,1910,10483,12710,23187,4120,4725,8844,6667,3863,10535,293,525,815,652,904,1557,7610,5290,12900,47302,48113,95416,9970,10128,20099,25992,26364,52352,27240,27954,55200
SED10072,39622,40518,80140,14413,11047,25460,6153,7735,13889,2749,2765,5516,1484,1160,2640,24795,22703,47498,12083,15177,27262,6,5.1,5.6,62.6,56,59.3,58.8,53.2,56,3513,3941,7455,542,814,1351,8514,9604,18114,3859,4454,8314,5556,2709,8266,242,420,659,651,1019,1667,6447,4139,10591,34865,35869,70730,8399,8129,16523,22000,23385,45387,19088,18518,37603
SED10073,40811,43399,84212,17306,13131,30439,5878,8199,14080,2552,2869,5423,1523,1390,2918,27265,25590,52857,11725,15923,27645,5.6,5.4,5.5,66.8,59,62.8,63.1,55.8,59.3,6631,6646,13278,715,1338,2047,11645,12780,24427,3449,4293,7745,4273,2205,6476,207,346,549,529,962,1492,5010,3513,8523,37035,38968,76002,9539,9628,19172,21700,23011,44708,22544,23307,45850
SED10074,34288,35254,69539,13634,10024,23660,4332,6542,10873,2991,2406,5397,1195,1059,2255,22154,20030,42184,10453,13556,24010,5.4,5.3,5.3,64.6,56.8,60.7,61.1,53.8,57.4,3845,3599,7441,612,924,1537,6831,8227,15066,3043,3538,6581,5762,2792,8552,246,449,696,560,900,1460,6565,4133,10702,34607,35344,69952,5882,5686,11566,22932,23942,46874,15126,14766,29893
SED10075,34628,37141,71773,13586,7782,21365,4320,8757,13083,2119,2738,4860,1087,818,1905,21117,20094,41209,11822,15415,27234,5.2,4.1,4.6,61,54.1,57.4,57.8,51.9,54.8,866,1066,1933,320,757,1074,2622,4239,6859,2662,4036,6698,10887,6159,17048,328,749,1080,564,1211,1774,11783,8123,19901,35528,37100,72627,5137,5563,10702,24552,25425,49986,13912,15151,29064
SED10076,31349,33084,64436,9447,5621,15065,4110,7456,11561,1064,1286,2355,938,701,1641,15555,15066,30625,13715,15910,29626,6,4.7,5.4,49.6,45.5,47.5,46.6,43.4,45,842,1045,1885,380,850,1234,2433,3874,6305,2158,3433,5593,10047,4980,15032,324,661,981,592,1039,1632,10964,6676,17641,29492,30507,60000,5127,5411,10536,19329,19759,39088,13575,14657,28234
SED10077,44215,44067,88279,15754,11912,27664,7597,8945,16542,3167,3018,6187,2011,1455,3469,28531,25328,53860,13028,16351,29379,7.1,5.7,6.4,64.5,57.5,61,60,54.2,57.1,5814,5471,11287,686,1121,1811,11411,12071,23481,4384,4768,9153,3889,2257,6149,202,349,553,544,746,1287,4629,3353,7985,36835,37754,74588,11292,10426,21722,21602,23066,44663,24423,23142,47564
SED10078,33791,36370,70158,14298,12561,26857,5073,7209,12279,2132,2301,4433,1209,970,2182,22707,23040,45748,9318,11605,20928,5.3,4.2,4.8,67.2,63.4,65.2,63.6,60.7,62.1,3885,4978,8866,849,1475,2319,9049,10752,19793,3017,3543,6563,3784,1991,5769,195,327,522,469,679,1146,4447,2992,7440,30049,31873,61921,7145,7703,14846,18776,20177,38950,16859,17866,34728
SED10079,29906,31702,61614,10698,6088,16785,3711,7605,11315,1322,1715,3038,927,695,1624,16662,16108,32767,11800,14124,25921,5.6,4.3,5,55.7,50.8,53.2,52.6,48.6,50.5,662,834,1501,303,653,959,2440,3841,6285,2133,3331,5460,9938,4948,14884,304,574,879,587,1029,1609,10818,6546,17370,30107,31121,61230,4162,4453,8613,20981,21531,42509,11665,12553,24215
SED10080,45731,41225,86954,20917,14792,35704,6999,7481,14483,2705,2795,5504,1713,1451,3164,32336,26521,58858,9611,11648,21265,5.3,5.5,5.4,70.7,64.3,67.7,67,60.8,64.1,7253,6460,13713,1159,1282,2441,15356,14573,29925,4606,4775,9383,2931,1586,4513,229,240,463,582,662,1244,3740,2479,6223,30808,27928,58733,14072,13123,27200,14790,13512,28302,28835,26348,55181
SED10081,31215,33224,64434,14168,8934,23101,3503,7748,11255,985,1219,2206,894,800,1692,19547,18705,38254,9194,12054,21249,4.6,4.3,4.4,62.6,56.3,59.4,59.8,53.9,56.7,651,906,1554,290,739,1031,2326,4246,6572,1734,3170,4901,8449,5176,13627,347,678,1019,478,925,1405,9272,6779,16056,30296,31337,61635,5807,6102,11907,19613,20200,39815,14237,15285,29524
SED10082,30274,33374,63648,11358,6756,18110,4544,8448,12991,1773,2374,4150,658,519,1180,18327,18101,36431,10511,13516,24029,3.6,2.9,3.2,60.6,54.2,57.2,58.4,52.7,55.4,1619,1650,3272,521,1026,1547,4660,6452,11109,2960,4222,7184,8015,3723,11736,232,488,719,607,1095,1698,8849,5303,14153,30711,32888,63596,4738,4991,9727,21161,22763,43923,12584,13435,26019
SED10083,29430,32544,61968,10850,6670,17523,4350,7665,12021,1776,2366,4146,933,709,1642,17913,17420,35331,9957,13297,23256,5.2,4.1,4.7,60.9,53.5,57,57.7,51.3,54.4,863,1048,1917,330,735,1064,2963,4710,7679,2353,3743,6088,8628,4843,13477,317,571,887,576,968,1542,9521,6385,15906,29914,31951,61862,4436,4770,9206,20207,21499,41708,12213,13453,25663
SED10084,31965,35892,67851,10672,6558,17230,4868,9366,14234,1218,1606,2817,936,793,1731,17689,18326,36010,12095,15244,27337,5.3,4.3,4.8,55.3,51.1,53.1,52.4,48.8,50.5,962,1209,2171,406,882,1291,3335,5269,8597,2539,4156,6689,8905,4644,13545,288,565,853,571,1049,1615,9763,6252,16015,30453,33074,63528,5461,6003,11464,19626,21215,40840,14550,16195,30747
SED10085,32075,31491,63562,14809,7583,22392,3359,7825,11175,1297,1410,2702,858,708,1568,20319,17518,37841,9338,11893,21230,4.2,4,4.1,63.4,55.6,59.5,60.7,53.4,57.1,521,644,1165,211,515,731,1894,3448,5344,1844,2944,4794,10202,5487,15690,351,675,1025,460,915,1371,11016,7070,18086,30958,30556,61511,5344,5267,10605,20661,20148,40814,13720,13880,27596
SED10086,31724,35951,67672,15351,11951,27302,4790,7319,12108,1483,2159,3647,781,818,1598,22405,22250,44656,7477,11596,19071,3.5,3.7,3.6,70.6,61.9,66,68.2,59.6,63.6,4774,4747,9522,707,1242,1954,11166,13140,24311,2376,3696,6073,2505,1253,3759,118,229,343,414,657,1075,3037,2140,5176,28074,30734,58802,7418,8581,16001,16700,18507,35209,17173,19219,36394
SED10087,31767,33983,65748,15492,9350,24845,3880,8705,12591,983,1311,2295,919,772,1687,21274,20139,41410,8434,11788,20221,4.3,3.8,4.1,67,59.3,63,64.1,57,60.4,1032,1182,2214,414,927,1341,3055,5324,8376,2010,3279,5292,8752,4863,13612,375,636,1011,456,839,1295,9583,6338,15920,30956,32323,63286,6125,6723,12846,19474,20196,39668,15357,16646,31999
SED10088,32739,34874,67618,14914,10055,24975,5319,8760,14077,1843,2547,4392,816,649,1465,22894,22011,44905,8714,11540,20250,3.6,2.9,3.3,69.9,63.1,66.4,67.4,61.3,64.3,2574,2595,5166,585,1136,1722,6848,8702,15548,3266,4579,7842,6581,2788,9363,234,456,689,660,1101,1756,7467,4344,11809,33862,35269,69129,5255,5362,10613,23015,24158,47172,14073,14534,28612
SED10089,34905,36975,71885,14201,8843,23047,5677,10114,15791,1322,1742,3067,1392,983,2375,22594,21686,44282,10490,13246,23737,6.2,4.5,5.4,64.7,58.6,61.6,60.7,56,58.3,1890,1940,3833,454,936,1393,4556,6287,10844,2510,3431,5947,8631,4953,13585,384,611,1004,494,860,1356,9515,6425,15944,33508,34688,68197,6631,6922,13556,21339,22052,43390,16648,17458,34099
SED10090,33340,37564,70906,16068,12206,28274,4637,7542,12173,1531,2206,3739,969,921,1895,23208,22879,46084,8975,13345,22320,4.2,4,4.1,69.6,60.9,65,66.7,58.4,62.3,5713,5950,11664,967,1487,2449,11313,12648,23959,2673,3973,6646,2391,1353,3743,135,263,399,480,726,1205,3008,2343,5350,32333,35381,67705,7415,8145,15558,20098,22254,42355,17571,19358,36922
SED10091,32394,34251,66649,13960,8167,22131,4588,8547,13132,2000,2170,4169,637,564,1205,21185,19451,40633,9599,13107,22709,3,2.9,3,65.4,56.8,61,63.4,55.1,59.2,1292,1549,2833,394,855,1245,3214,5080,8285,2511,4216,6730,10463,4650,15110,250,619,865,586,1106,1695,11301,6370,17671,33391,34360,67753,5036,5377,10417,22281,22818,45099,13919,14770,28688
SED10092,35716,36736,72457,12481,7973,20454,5063,7643,12711,2101,2546,4648,1314,955,2268,20959,19122,40085,12725,15503,28231,6.3,5,5.7,58.7,52.1,55.3,55,49.5,52.2,2379,2290,4670,475,912,1388,4952,6236,11188,2647,3549,6199,8282,4404,12681,332,594,933,544,1001,1541,9157,5999,15154,32914,33281,66197,6553,6868,13419,21852,22288,44142,15661,16078,31741
SED10093,31837,34593,66428,11494,7160,18656,4168,7401,11572,2040,2614,4653,1128,886,2017,18832,18064,36892,11023,14318,25338,6,4.9,5.5,59.2,52.2,55.5,55.6,49.6,52.5,655,757,1414,257,612,871,2181,3723,5900,2178,3639,5821,9230,6038,15269,382,707,1087,565,969,1535,10178,7710,17895,31831,33613,65444,5431,5829,11254,20269,21069,41343,14730,16156,30884
SED19494,5734,4381,10112,762,470,1229,410,506,910,216,155,370,392,252,647,1775,1382,3161,1917,1722,3630,22.1,18.4,0,31,31.6,0,24.1,25.8,0,146,181,327,33,76,109,425,540,969,274,339,614,858,463,1326,55,72,127,74,104,176,985,636,1621,1117,690,1808,2858,2673,5527,761,424,1186,3046,2835,5882
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
