SED_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SED10068,12000,1475,802,237,30,14534,7429,565,291,13,9,8314,2935,1210,1439,43,10,5640,123,126,145,0,4,395,152,209,186,0,0,543,989,239,216,23,10,1472,136,54,31,50,15,289,18,20,16,0,0,55,4347,1858,2039,120,41,8402,351,343,177,11,3,893,455,215,81,90,21,857,24580,4457,3384,471,94,32990
SED10069,10319,1354,347,245,50,12311,8052,608,110,19,11,8796,2812,1188,418,32,11,4460,389,116,49,0,0,562,147,123,38,3,0,307,890,222,71,18,5,1206,391,53,10,123,10,592,20,17,3,4,0,49,4659,1716,590,179,30,7173,559,254,34,8,10,862,296,80,18,19,7,413,23883,4015,1091,473,102,29562
SED10070,7595,597,173,17,3,8385,7255,1689,818,3,5,9770,3328,1244,1188,5,22,5781,418,540,202,0,3,1154,56,79,113,0,0,245,754,163,134,9,0,1059,210,22,42,37,5,314,33,14,11,0,0,60,4790,2059,1684,43,28,8613,242,97,76,0,3,420,243,86,55,0,0,392,20126,4531,2811,69,44,27582
SED10071,5419,450,77,7,6,5949,16764,1852,688,14,70,19384,6135,1348,1288,6,17,8790,178,44,13,0,0,246,74,15,0,0,0,84,708,115,67,0,6,898,181,27,14,0,0,217,21,6,3,0,0,36,7297,1551,1387,13,23,10272,188,121,12,0,0,325,332,35,18,0,7,391,30008,4004,2181,32,105,36320
SED10072,6178,1441,2251,62,3,9929,4487,1269,4532,21,12,10318,1565,862,8596,94,47,11168,37,37,360,0,0,433,21,27,140,4,0,196,466,200,918,37,14,1635,71,37,127,16,7,264,3,11,40,4,0,56,2151,1177,10185,158,77,13744,190,76,246,8,0,523,216,43,259,5,17,539,13216,4009,17475,255,105,35055
SED10073,6341,1325,1909,6,4,9589,5160,1674,3857,13,4,10704,1726,1714,9621,66,30,13146,161,357,215,0,0,732,83,182,214,0,13,498,621,266,949,11,16,1866,77,57,132,6,17,282,21,18,48,0,0,84,2676,2594,11176,83,72,16600,188,107,384,0,0,674,133,73,201,3,4,418,14506,5777,17519,110,77,37988
SED10074,7190,514,500,0,0,8204,8193,1245,1150,0,8,10603,3038,1058,3000,14,25,7130,362,729,192,0,0,1283,38,104,103,0,0,247,706,117,224,0,5,1061,74,62,30,0,0,163,25,17,10,0,0,49,4239,2082,3560,14,32,9929,180,80,399,0,0,665,205,63,115,0,0,388,20013,3985,5722,26,45,29787
SED10075,9816,1037,207,235,14,11310,10386,975,196,12,7,11571,3150,1304,600,17,8,5074,1256,484,182,4,0,1925,73,81,54,0,0,204,892,207,108,7,4,1225,71,18,10,26,0,127,25,13,5,0,0,52,5464,2109,957,53,14,8600,215,154,69,8,0,448,291,87,37,11,4,426,26175,4355,1477,318,34,32360
SED10076,12524,634,150,436,40,13788,7674,189,63,17,11,7953,3504,652,252,7,3,4425,418,120,30,0,0,566,315,172,54,0,3,537,1319,104,54,25,3,1508,354,32,9,67,11,474,32,13,7,0,4,52,5943,1087,401,105,24,7561,336,295,30,21,20,713,402,62,17,23,68,579,26883,2270,659,607,169,30594
SED10077,5824,1160,1711,17,7,8715,4019,1169,4267,25,7,9485,1523,931,10546,153,80,13231,72,232,469,0,0,772,41,36,153,0,4,229,463,170,1153,22,15,1828,94,67,400,4,12,573,7,8,70,0,0,88,2202,1449,12783,179,109,16727,186,82,384,9,5,673,176,43,294,0,22,539,12408,3906,19443,230,161,36143
SED10078,5022,1179,2131,51,7,8397,3461,1490,3719,55,6,8732,1261,908,9117,282,24,11597,64,65,579,0,0,710,61,31,341,6,0,441,392,206,1053,69,11,1728,42,13,97,18,4,167,6,0,42,3,0,48,1822,1227,11226,375,41,14683,144,46,341,4,0,535,103,29,198,8,0,342,10562,3964,17608,496,59,32688
SED10079,10959,765,426,146,16,12311,9284,254,153,15,6,9709,3079,525,497,40,5,4139,257,153,265,0,0,674,38,22,59,0,0,113,991,88,79,6,6,1171,139,25,13,43,0,220,24,8,8,0,0,37,4526,809,915,94,13,6357,251,107,78,7,5,450,290,43,45,8,5,401,25308,1988,1620,271,46,29225
SED10080,249,1968,5597,17,18,7845,221,1878,5182,23,16,7326,120,2353,19349,99,103,22034,0,362,553,0,0,912,0,27,378,0,3,416,29,537,2614,29,30,3234,11,37,270,8,10,338,0,12,81,0,0,93,163,3333,23244,134,159,27027,16,78,640,6,3,745,5,66,423,5,18,515,652,7324,35081,190,213,43451
SED10081,9954,326,30,64,39,10423,9166,144,23,13,15,9362,4096,1363,315,18,14,5796,526,170,79,0,0,777,157,126,43,0,3,323,1562,155,20,10,3,1756,255,23,10,36,10,342,53,24,7,3,0,91,6646,1867,473,68,30,9083,635,123,11,10,22,802,472,59,20,7,22,580,26875,2524,557,164,131,30249
SED10082,9688,849,623,119,5,11290,9725,383,365,10,5,10490,2343,366,617,19,8,3358,255,108,42,0,0,404,35,28,24,0,0,89,769,84,123,0,9,988,153,31,14,11,0,217,27,5,5,0,0,31,3584,626,830,29,20,5089,379,648,265,6,5,1304,253,89,48,3,3,396,23638,2596,2130,169,34,28567
SED10083,7236,1446,517,63,9,9272,9282,766,263,15,3,10335,2984,1178,860,33,12,5064,367,505,98,0,6,970,113,73,70,0,6,254,902,214,116,7,5,1246,79,39,4,33,0,161,24,17,10,3,0,54,4468,2018,1152,78,27,7746,206,561,131,3,4,906,224,132,41,11,4,409,21417,4921,2104,171,50,28659
SED10084,8663,2610,1425,483,29,13204,7350,1487,657,20,9,9522,1707,1287,1309,7,7,4317,161,332,189,0,0,683,42,107,49,0,0,202,993,536,329,21,15,1897,183,169,76,75,6,516,22,18,6,0,0,48,3110,2450,1961,110,28,7662,273,192,185,21,9,681,303,130,93,11,7,543,19694,6878,4319,642,82,31615
SED10085,10032,236,65,111,32,10483,9678,176,40,15,10,9923,2977,913,200,20,3,4113,545,140,42,0,0,737,157,97,9,0,0,263,1323,80,17,19,10,1445,389,41,10,71,12,522,26,9,0,0,0,40,5421,1281,281,107,32,7116,806,62,5,10,13,894,427,38,9,9,8,487,26366,1790,401,255,90,28908
SED10086,3522,1359,4644,50,7,9585,2405,1369,3893,43,10,7712,484,610,9838,96,19,11043,0,0,216,0,0,219,3,12,68,0,0,81,191,188,1812,38,8,2237,22,15,118,3,15,174,3,9,45,0,0,50,705,823,12102,141,45,13817,98,64,462,5,10,638,92,42,249,6,5,395,6820,3656,21344,246,79,32150
SED10087,9109,309,263,32,25,9735,9809,119,125,13,12,10076,3779,658,1455,36,7,5936,862,52,143,0,0,1055,90,61,73,0,0,231,1349,100,121,8,9,1595,426,28,30,12,4,506,32,13,12,0,0,62,6542,905,1841,67,25,9383,456,151,65,3,8,692,360,37,53,5,11,469,26284,1521,2348,120,87,30350
SED10088,6877,558,1806,5,3,9252,7799,446,2534,6,7,10793,1691,291,3680,38,14,5716,108,172,173,0,0,455,86,119,141,0,0,347,632,71,624,7,5,1347,57,46,58,0,7,167,18,3,32,0,0,61,2597,709,4710,48,23,8090,145,254,349,0,3,756,143,44,127,6,0,323,17560,2014,9525,69,48,29211
SED10089,8676,780,110,9,8,9582,10182,702,150,6,4,11049,4307,1536,838,33,14,6727,513,515,236,0,0,1265,136,141,60,0,0,344,1462,255,192,7,5,1921,168,39,20,0,0,232,35,4,4,0,0,48,6624,2492,1355,39,22,10534,341,289,25,0,4,647,256,94,53,0,3,404,26074,4346,1691,58,41,32217
SED10090,6274,1148,3075,6,5,10506,4854,1204,2787,3,6,8862,1403,856,8115,62,25,10460,18,12,170,0,4,197,13,16,167,0,0,201,434,188,973,24,3,1629,29,11,100,8,0,150,3,3,29,0,0,45,1899,1088,9561,98,33,12676,164,50,374,4,0,591,95,24,147,5,3,268,13290,3512,15943,119,44,32909
SED10091,9699,561,86,58,19,10421,11799,160,59,13,16,12044,2878,384,213,31,16,3524,135,37,25,0,0,196,163,51,24,0,0,233,819,50,31,7,11,917,131,16,5,36,3,191,15,10,3,0,0,23,4146,543,302,71,33,5096,466,286,27,5,0,781,308,38,13,9,3,366,26411,1582,484,156,72,28707
SED10092,8017,582,2094,182,7,10884,6159,631,1623,47,10,8463,2581,1069,5024,75,15,8769,1057,571,1042,3,0,2671,56,47,123,3,0,233,729,197,684,33,13,1661,143,18,85,32,4,279,33,7,26,0,0,66,4591,1918,6991,146,35,13681,235,65,330,7,0,645,257,40,160,10,7,474,19256,3238,11199,397,58,34152
SED10093,8218,541,436,35,3,9226,9838,319,179,5,7,10355,5142,627,590,8,10,6379,334,255,239,0,0,834,104,155,109,0,0,371,1118,94,103,0,9,1333,223,31,9,33,4,307,30,10,3,0,0,44,6954,1184,1064,49,26,9270,244,134,23,3,3,408,367,78,46,11,0,500,25620,2256,1742,106,42,29764
SED19494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
