SA2_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
123011433,5,5,0,0,0,5,6,0,13,170,99,39,306,10,3,7,319,159,4,483
123011698,3,7,0,0,0,7,0,4,6,113,75,35,230,12,0,13,240,110,7,352
123011699,0,0,0,0,0,0,0,4,3,223,155,52,421,11,5,16,435,245,0,681
123011700,0,0,0,0,0,0,5,0,10,105,82,18,208,5,5,10,217,93,4,315
123011701,0,3,0,0,0,3,0,7,11,340,176,54,574,17,10,27,603,275,10,881
123011702,3,3,0,0,0,3,5,3,10,185,97,28,313,13,0,10,324,90,5,417
123021436,6,4,0,0,0,4,12,11,26,341,213,98,656,35,27,66,720,691,19,1420
123021437,0,4,0,0,0,4,4,6,15,318,160,71,546,33,14,48,594,488,16,1099
123021438,0,4,0,0,0,4,9,9,25,283,201,91,578,29,9,35,616,566,17,1200
123021439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123021441,0,6,0,0,0,6,6,0,16,209,136,61,414,20,10,32,446,402,10,855
123021443,3,7,0,0,0,7,10,8,22,234,176,83,496,22,15,36,532,514,16,1056
123021444,0,5,0,0,0,5,3,11,19,286,199,86,572,30,16,50,617,647,19,1287
123021703,0,0,0,0,0,0,5,9,9,119,72,40,234,13,0,12,247,158,7,409
123021704,0,4,0,0,0,4,0,0,10,130,53,24,208,11,4,18,225,188,7,421
123021705,0,9,0,0,0,9,5,6,21,209,148,52,411,20,18,42,453,377,11,848
123021706,0,0,0,0,0,3,20,14,33,173,119,51,344,15,16,29,375,551,17,944
123031445,0,0,0,0,0,0,0,0,0,65,57,13,132,4,0,10,141,101,6,245
123031446,0,0,0,0,0,0,0,3,4,107,64,17,189,4,0,4,195,91,3,288
123031447,0,3,0,0,0,3,3,3,12,268,191,52,512,19,14,31,545,322,10,877
123031448,0,0,0,0,0,0,0,0,6,91,59,26,175,3,0,7,178,95,0,277
124011449,0,0,0,0,0,0,0,3,3,76,73,19,163,4,6,7,173,114,3,291
124011450,0,0,0,0,0,0,0,4,10,268,153,43,465,9,13,26,491,221,8,715
124011451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124011452,0,0,0,0,0,0,3,0,3,136,183,48,371,6,14,20,393,272,0,659
124011453,0,0,0,0,0,0,9,3,7,156,148,36,338,4,9,4,349,192,3,542
124011454,0,4,0,0,0,4,0,0,8,298,214,49,558,5,16,18,580,257,4,841
124011455,0,0,0,0,0,0,0,0,0,51,57,14,123,0,4,5,129,99,5,231
124021456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
