SA2_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
121031410,9,26,42,50,68,53,16,3,0,274,12,20,56,128,111,76,34,3,0,444,420,778,1018,2405,2623,1769,682,141,8,9854
121031411,9,22,37,42,48,39,17,3,0,230,8,24,45,91,88,69,15,10,0,346,448,769,1060,2113,2497,1691,604,125,16,9324
121031412,11,24,30,43,57,33,14,0,0,218,9,26,40,81,106,52,19,7,0,347,471,788,957,1845,2331,1582,539,118,16,8644
121041413,7,13,72,62,53,38,11,6,0,261,5,23,122,98,78,62,25,11,0,422,216,589,2591,2629,2217,1530,728,125,7,10630
121041414,4,14,83,57,58,35,14,7,0,269,7,28,137,129,66,45,20,5,0,431,163,740,3533,3004,1931,1158,460,90,3,11095
121041416,5,21,62,54,40,27,5,0,0,214,3,23,129,106,65,49,24,9,0,398,142,719,3273,2395,1614,1246,541,140,5,10073
121041417,0,15,44,36,28,23,4,0,0,156,0,21,120,82,54,40,15,5,0,340,102,471,2569,1913,1171,907,383,108,0,7625
121041688,9,24,29,32,29,22,19,0,0,157,9,23,68,79,57,48,21,13,0,315,217,448,1247,1471,1488,1193,521,150,20,6763
121041689,5,13,23,36,45,26,11,3,0,167,0,16,53,58,81,49,19,8,0,287,250,531,1262,1525,1809,1298,555,146,12,7394
122011418,5,31,48,38,82,56,6,0,0,265,20,26,79,109,122,79,20,4,0,466,559,768,1267,2199,2973,1841,541,104,14,10269
122011419,10,19,101,70,37,45,12,0,0,299,9,44,212,176,94,50,19,3,0,622,330,768,3903,3159,2313,1748,552,104,18,12899
122021420,15,16,27,34,41,30,13,3,0,183,11,19,40,77,58,66,30,9,0,316,360,471,611,1038,1471,1434,625,107,6,6124
122021421,14,13,32,35,47,39,25,0,0,203,11,9,29,47,62,47,23,12,0,250,333,405,568,938,1345,1130,431,97,5,5248
122021422,13,19,30,35,56,56,13,7,0,225,12,18,47,69,95,91,24,14,0,368,417,584,963,1214,1766,1559,554,94,3,7150
122021690,27,27,47,54,61,58,28,10,0,305,19,25,46,73,79,44,13,13,0,317,396,612,978,1427,1768,1294,449,71,4,6995
122021691,15,17,45,56,47,29,8,3,0,211,6,13,45,61,65,46,15,0,0,249,376,411,879,1279,1468,985,292,45,0,5740
122031424,10,34,52,60,75,40,10,0,0,287,12,30,48,90,90,42,13,5,0,324,432,685,1012,1542,1846,1273,305,53,3,7152
122031425,6,15,23,32,25,30,4,5,0,147,11,15,27,52,47,25,3,0,0,172,249,315,509,887,1092,612,175,18,0,3859
122031427,12,22,30,38,72,36,9,0,0,214,20,25,21,67,75,48,12,9,0,274,417,537,587,1323,1877,1110,302,47,3,6214
122031429,28,32,126,92,74,70,17,0,0,435,19,41,205,169,128,75,14,7,0,662,505,860,3231,2997,2720,1673,470,52,6,12505
122031430,15,30,63,65,68,31,15,0,0,276,17,19,79,104,120,45,14,4,0,385,474,635,1459,2227,2454,1327,384,29,0,8992
122031432,7,11,12,10,29,19,6,0,0,93,3,6,10,12,15,19,7,0,0,75,109,160,196,306,497,371,131,41,0,1820
122031692,6,18,17,28,40,34,11,4,0,165,8,17,22,45,52,28,9,0,0,175,249,355,380,852,1195,695,242,42,3,4021
122031693,13,20,65,54,52,44,10,3,0,260,9,29,56,83,97,56,12,6,3,355,444,666,1334,1559,1762,1238,376,48,5,7432
122031694,10,12,43,25,24,34,3,0,0,152,15,19,58,55,58,38,11,0,0,256,251,461,1035,1039,1224,835,181,17,0,5037
122031695,7,31,130,74,65,44,11,4,0,354,5,47,182,138,81,79,10,0,0,551,253,851,3243,2754,1872,1255,332,32,5,10592
122031696,26,32,47,62,92,59,18,4,0,334,19,34,57,86,122,60,18,4,0,396,571,736,979,1944,2523,1462,405,83,3,8708
122031697,12,20,50,49,48,34,10,0,0,228,4,16,45,68,52,44,19,5,6,252,247,430,1074,1234,1229,930,285,46,6,5485
