POA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
POA2680,..,1888,1888,2409,178,2586,1104,42,1140,1263,18,1281,667,11,675,317,10,333,5763,2141,7905
POA2681,..,143,143,199,16,211,86,0,86,80,0,80,57,0,57,22,0,22,436,153,592
POA2700,..,593,593,604,40,650,220,4,225,205,0,205,107,0,111,43,0,43,1182,643,1826
POA2701,..,176,176,279,7,285,119,0,121,106,0,106,62,0,62,43,0,43,607,189,791
POA2702,..,79,79,106,5,106,30,3,34,33,0,33,19,0,19,9,0,9,198,80,281
POA2703,..,84,84,75,3,86,35,0,35,21,0,21,14,0,14,7,0,7,154,87,244
POA2705,..,1008,1008,1192,65,1256,490,17,501,477,4,475,255,0,255,121,0,121,2522,1089,3613
POA2706,..,101,101,148,12,165,62,0,62,61,0,61,26,0,26,14,0,14,306,120,421
POA2707,..,142,142,142,7,144,66,0,64,48,0,48,49,0,49,14,0,14,319,150,468
POA2710,..,1271,1271,1432,79,1505,436,8,448,408,3,414,216,3,218,78,3,79,2574,1362,3929
POA2711,..,378,378,446,21,463,148,3,152,129,0,124,77,0,77,34,0,34,824,403,1233
POA2712,..,195,195,173,9,185,45,0,45,58,0,58,27,0,27,12,0,12,309,205,519
POA2713,..,351,351,385,31,409,114,0,113,99,0,99,57,0,57,34,0,34,680,383,1062
POA2714,..,367,367,453,26,479,111,0,112,95,0,95,49,0,49,22,0,22,719,390,1116
POA2715,..,177,177,192,4,197,74,0,75,49,0,49,47,0,47,17,0,17,378,183,567
POA2716,..,125,125,147,5,158,56,0,58,38,0,38,22,0,22,10,0,10,276,135,409
POA2717,..,108,108,169,4,172,67,0,67,50,0,51,33,0,33,14,0,14,328,116,444
POA2720,..,859,859,1063,42,1101,371,4,376,401,3,405,155,0,155,80,0,80,2068,907,2977
POA2721,..,20,20,32,3,35,12,0,12,10,0,10,10,0,10,4,0,4,60,26,80
POA2722,..,349,349,423,23,448,158,0,161,123,0,123,79,0,79,49,0,49,832,376,1205
POA2725,..,46,46,56,0,59,14,0,14,14,0,14,6,0,6,3,0,3,100,51,145
POA2726,..,27,27,31,0,32,8,0,8,10,0,10,3,0,3,0,0,0,56,28,85
POA2727,..,27,27,35,4,40,15,0,15,18,0,18,10,0,10,7,0,7,85,34,116
POA2729,..,169,169,233,8,242,70,0,70,92,0,92,42,0,42,17,0,17,456,178,631
POA2730,..,183,183,223,17,235,51,3,54,49,0,55,30,0,30,11,0,14,360,201,565
POA2731,..,650,650,930,39,972,284,10,294,301,3,309,142,0,142,42,0,42,1705,704,2409
POA2732,..,267,267,281,20,299,70,0,70,60,0,60,29,0,29,17,0,17,446,287,736
POA2733,..,76,76,87,0,82,24,0,24,20,0,20,5,0,5,3,0,7,141,77,215
POA2734,..,20,20,59,0,59,20,0,20,19,0,19,21,0,21,3,0,3,116,22,138
POA2735,..,25,25,65,3,68,21,0,20,17,0,17,10,0,10,9,0,9,118,30,147
POA2736,..,30,30,52,4,56,17,0,17,10,0,10,8,0,8,0,0,0,94,34,134
POA2737,..,57,57,80,6,88,37,0,37,26,0,26,36,0,36,14,0,14,191,64,258
POA2738,..,113,113,194,7,200,77,0,77,105,0,105,55,0,55,19,0,19,448,119,563
POA2739,..,137,137,148,15,168,68,0,68,72,0,72,35,0,35,4,0,4,337,152,490
POA2745,..,992,992,2241,89,2337,1775,20,1792,2142,9,2148,1009,3,1009,561,0,561,7725,1110,8839
POA2747,..,2793,2793,3915,349,4266,2580,44,2625,2445,18,2465,1193,4,1198,721,3,724,10849,3217,14068
POA2748,..,46,46,151,5,157,97,0,101,113,3,110,68,0,68,50,0,46,476,60,532
POA2749,..,741,741,1432,88,1522,1021,9,1029,1122,3,1128,501,0,501,337,0,337,4414,841,5257
POA2750,..,4296,4296,4849,398,5246,2552,76,2631,2501,16,2520,1073,4,1074,546,0,545,11525,4785,16308
POA2752,..,230,230,387,21,405,263,3,268,331,0,331,186,0,186,92,0,92,1255,252,1508
POA2753,..,1383,1383,1576,125,1704,898,25,922,856,7,866,474,3,476,336,0,336,4142,1541,5681
POA2754,..,437,437,611,27,636,332,7,345,304,0,304,159,0,159,85,0,85,1496,472,1963
POA2755,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA2756,..,2066,2066,3018,236,3254,1988,32,2027,2131,8,2140,1027,3,1031,548,0,548,8713,2346,11061
POA2757,..,49,49,98,0,101,39,0,40,49,0,49,22,0,22,24,0,24,228,50,278
POA2758,..,400,400,865,37,900,422,4,424,549,0,554,283,0,283,142,0,142,2261,437,2695
POA2759,..,915,915,2084,96,2181,1587,11,1598,1863,3,1862,864,0,861,525,0,525,6926,1023,7946
POA2760,..,2488,2488,2919,328,3248,1962,53,2007,1788,16,1801,909,3,912,672,4,674,8247,2884,11134
POA2761,..,864,864,1589,92,1678,1701,15,1718,2189,10,2194,1192,3,1189,822,0,826,7496,982,8479
POA2762,..,195,195,389,30,421,326,3,331,349,0,345,154,0,154,87,0,87,1303,230,1535
POA2763,..,1033,1033,2108,133,2244,1953,31,1981,2504,6,2509,988,3,991,552,0,552,8105,1204,9302
POA2765,..,848,848,1271,92,1367,842,18,858,795,7,794,476,4,473,350,0,352,3738,967,4705
POA2766,..,567,567,925,55,976,811,12,820,985,3,989,524,3,521,414,0,415,3655,645,4297
POA2767,..,870,870,1454,113,1568,1386,24,1412,1495,11,1507,722,4,727,578,3,581,5638,1032,6665
POA2768,..,726,726,1405,73,1478,1566,15,1577,2417,7,2426,1008,14,1015,608,25,638,7005,854,7860
POA2769,..,171,171,608,22,627,765,9,779,1099,4,1109,382,0,383,201,0,201,3057,211,3272
