POA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
POA2734,53,110,0,0,11,33,0,0,29,118,35,149,0,5,6,13,16,43,21,63,56,212,0,0,0,0,0,0,0,3,0,3,0,0,0,5,4,9,5,8,4,13,0,0,117,335
POA2735,55,109,0,12,7,54,0,3,19,81,34,148,0,8,3,8,7,29,18,46,48,196,0,0,0,0,0,0,3,8,3,8,3,11,3,6,7,12,11,28,16,33,3,7,117,340
POA2736,56,110,0,7,6,19,0,0,21,81,26,101,4,11,0,3,3,9,5,23,32,131,0,0,0,0,0,0,3,3,3,3,0,0,0,4,4,5,3,13,10,15,0,3,96,261
POA2737,75,152,3,10,10,54,3,21,51,240,69,318,4,18,4,19,17,57,29,90,93,406,0,0,3,12,0,3,10,24,11,38,0,0,3,3,6,10,6,20,23,53,4,8,198,625
POA2738,189,367,5,26,29,132,3,24,133,541,175,720,6,28,16,53,32,99,53,173,229,894,0,3,3,12,0,0,16,41,19,63,3,7,4,8,12,21,19,40,33,97,3,4,449,1362
POA2739,138,270,3,14,9,39,7,26,87,362,106,443,9,35,4,19,32,89,43,135,153,580,0,0,8,15,3,7,27,76,32,102,0,0,3,9,14,34,16,44,52,141,3,9,348,998
POA2745,2217,4464,107,598,475,2203,173,802,2385,9500,3142,13109,319,1402,352,1259,853,2794,1523,5460,4662,18567,20,84,94,345,46,158,442,1198,602,1784,48,152,105,244,357,825,505,1226,1109,3005,66,137,8053,26177
POA2747,3536,7169,122,694,438,2185,202,961,3051,11891,3813,15736,223,954,281,964,1066,3481,1567,5391,5381,21130,31,163,126,475,89,320,951,2682,1201,3632,84,266,163,365,818,1798,1064,2430,2263,6068,181,371,11353,34737
POA2748,157,322,9,74,25,136,11,74,74,313,125,588,32,136,28,105,97,307,157,548,284,1135,5,13,6,22,0,0,20,52,30,89,0,5,0,7,29,64,32,69,64,157,3,11,505,1634
POA2749,1324,2644,47,255,223,1088,101,478,1182,4653,1552,6484,132,575,138,484,517,1739,787,2797,2340,9281,12,55,61,217,40,150,362,1066,475,1475,51,159,65,150,309,682,418,987,896,2466,61,134,4619,14523
